Date,Price,Volume
Jan 13 2017 01: +0,1.072,856
Jan 14 2017 01: +0,1.059,876
Jan 15 2017 01: +0,1.061,674
Jan 16 2017 01: +0,1.136,506
Jan 17 2017 01: +0,1.036,418
Jan 18 2017 01: +0,1.041,460
Jan 19 2017 01: +0,1.038,490
Jan 20 2017 01: +0,1.024,510
Jan 21 2017 01: +0,1.03,535
Jan 22 2017 01: +0,1.032,484
Jan 23 2017 01: +0,1.047,493
Jan 24 2017 01: +0,1.057,442
Jan 25 2017 01: +0,1.057,405
Jan 26 2017 01: +0,1.048,538
Jan 27 2017 01: +0,0.607,1671
Jan 28 2017 01: +0,0.614,1853
Jan 29 2017 01: +0,0.408,20830
Jan 30 2017 01: +0,0.258,11489
Jan 31 2017 01: +0,0.293,5345
Feb 01 2017 01: +0,0.296,3946
Feb 02 2017 01: +0,0.312,2664
Feb 03 2017 01: +0,0.342,2557
Feb 04 2017 01: +0,0.368,2994
Feb 05 2017 01: +0,0.382,2414
Feb 06 2017 01: +0,0.376,1567
Feb 07 2017 01: +0,0.356,1828
Feb 08 2017 01: +0,0.341,1575
Feb 09 2017 01: +0,0.339,1998
Feb 10 2017 01: +0,0.347,2326
Feb 11 2017 01: +0,0.364,2645
Feb 12 2017 01: +0,0.366,2624
Feb 13 2017 01: +0,0.378,1769
Feb 14 2017 01: +0,0.387,1470
Feb 15 2017 01: +0,0.386,1371
Feb 16 2017 01: +0,0.392,1355
Feb 17 2017 01: +0,0.396,1424
Feb 18 2017 01: +0,0.399,1814
Feb 19 2017 01: +0,0.398,1772
Feb 20 2017 01: +0,0.399,1570
Feb 21 2017 01: +0,0.408,1209
Feb 22 2017 01: +0,0.413,1273
Feb 23 2017 01: +0,0.416,1118
Feb 24 2017 01: +0,0.427,1511
Feb 25 2017 01: +0,0.475,1781
Feb 26 2017 01: +0,0.483,1472
Feb 27 2017 01: +0,0.474,1217
Feb 28 2017 01: +0,0.478,1063
Mar 01 2017 01: +0,0.484,1212
Mar 02 2017 01: +0,0.491,1276
Mar 03 2017 01: +0,0.499,1331
Mar 04 2017 01: +0,0.551,3193
Mar 05 2017 01: +0,0.59,2609
Mar 06 2017 01: +0,0.568,1785
Mar 07 2017 01: +0,0.569,1334
Mar 08 2017 01: +0,0.569,1334
Mar 09 2017 01: +0,0.625,1240
Mar 10 2017 01: +0,0.637,1363
Mar 11 2017 01: +0,0.687,1394
Mar 12 2017 01: +0,0.743,1202
Mar 13 2017 01: +0,0.693,954
Mar 14 2017 01: +0,0.701,842
Mar 15 2017 01: +0,0.678,915
Mar 16 2017 01: +0,0.677,985
Mar 17 2017 01: +0,0.669,1120
Mar 18 2017 01: +0,0.674,1255
Mar 19 2017 01: +0,0.679,1152
Mar 20 2017 01: +0,0.672,875
Mar 21 2017 01: +0,0.651,862
Mar 22 2017 01: +0,0.653,924
Mar 23 2017 01: +0,0.653,798
Mar 24 2017 01: +0,0.665,845
Mar 25 2017 01: +0,0.666,1097
Mar 26 2017 01: +0,0.676,964
Mar 27 2017 01: +0,0.672,742
Mar 28 2017 01: +0,0.677,620
Mar 29 2017 01: +0,0.681,681
Mar 30 2017 01: +0,0.688,691
Mar 31 2017 01: +0,0.68,796
Apr 01 2017 01: +0,0.674,946
Apr 02 2017 01: +0,0.696,844
Apr 03 2017 01: +0,0.693,694
Apr 04 2017 01: +0,0.681,660
Apr 05 2017 01: +0,0.687,584
Apr 06 2017 01: +0,0.697,594
Apr 07 2017 01: +0,0.697,710
Apr 08 2017 01: +0,0.694,891
Apr 09 2017 01: +0,0.705,1310
Apr 10 2017 01: +0,0.72,1449
Apr 11 2017 01: +0,0.727,1061
Apr 12 2017 01: +0,0.75,850
Apr 13 2017 01: +0,0.799,793
Apr 14 2017 01: +0,0.838,833
Apr 15 2017 01: +0,0.879,795
Apr 16 2017 01: +0,0.923,668
Apr 17 2017 01: +0,0.945,579
Apr 18 2017 01: +0,0.943,590
Apr 19 2017 01: +0,0.94,487
Apr 20 2017 01: +0,0.938,452
Apr 21 2017 01: +0,0.938,557
Apr 22 2017 01: +0,0.931,544
Apr 23 2017 01: +0,0.911,547
Apr 24 2017 01: +0,0.906,434
Apr 25 2017 01: +0,0.879,453
Apr 26 2017 01: +0,0.825,644
Apr 27 2017 01: +0,0.815,528
Apr 28 2017 01: +0,0.895,562
Apr 29 2017 01: +0,0.906,612
Apr 30 2017 01: +0,0.875,556
May 01 2017 01: +0,0.876,442
