Date,Price,Volume
Jan 13 2017 01: +0,1.081,342
Jan 14 2017 01: +0,1.045,257
Jan 15 2017 01: +0,1.033,175
Jan 16 2017 01: +0,1.052,165
Jan 17 2017 01: +0,1.024,181
Jan 18 2017 01: +0,1.029,169
Jan 19 2017 01: +0,1.024,133
Jan 20 2017 01: +0,1.039,259
Jan 21 2017 01: +0,1.026,279
Jan 22 2017 01: +0,1.034,282
Jan 23 2017 01: +0,1.06,184
Jan 24 2017 01: +0,1.029,211
Jan 25 2017 01: +0,1.025,169
Jan 26 2017 01: +0,1.056,283
Jan 27 2017 01: +0,0.896,508
Jan 28 2017 01: +0,0.731,560
Jan 29 2017 01: +0,0.506,6888
Jan 30 2017 01: +0,0.233,7733
Jan 31 2017 01: +0,0.269,3800
Feb 01 2017 01: +0,0.279,2313
Feb 02 2017 01: +0,0.281,1614
Feb 03 2017 01: +0,0.286,1640
Feb 04 2017 01: +0,0.287,1691
Feb 05 2017 01: +0,0.286,1500
Feb 06 2017 01: +0,0.292,1246
Feb 07 2017 01: +0,0.288,1175
Feb 08 2017 01: +0,0.289,1113
Feb 09 2017 01: +0,0.288,1094
Feb 10 2017 01: +0,0.289,1183
Feb 11 2017 01: +0,0.295,1397
Feb 12 2017 01: +0,0.296,1194
Feb 13 2017 01: +0,0.292,1042
Feb 14 2017 01: +0,0.299,881
Feb 15 2017 01: +0,0.299,849
Feb 16 2017 01: +0,0.3,881
Feb 17 2017 01: +0,0.299,881
Feb 18 2017 01: +0,0.302,1028
Feb 19 2017 01: +0,0.307,1051
Feb 20 2017 01: +0,0.317,1038
Feb 21 2017 01: +0,0.326,795
Feb 22 2017 01: +0,0.33,778
Feb 23 2017 01: +0,0.328,643
Feb 24 2017 01: +0,0.328,805
Feb 25 2017 01: +0,0.334,766
Feb 26 2017 01: +0,0.333,784
Feb 27 2017 01: +0,0.348,589
Feb 28 2017 01: +0,0.343,589
Mar 01 2017 01: +0,0.335,703
Mar 02 2017 01: +0,0.341,761
Mar 03 2017 01: +0,0.334,781
Mar 04 2017 01: +0,0.341,824
Mar 05 2017 01: +0,0.339,725
Mar 06 2017 01: +0,0.341,518
Mar 07 2017 01: +0,0.339,594
Mar 08 2017 01: +0,0.333,650
Mar 09 2017 01: +0,0.332,583
