Date,Price,Volume
Dec 20 2017 01: +0,0.891,44
Dec 21 2017 01: +0,1.072,27
Dec 22 2017 01: +0,0.934,13
Dec 23 2017 01: +0,0.936,12
Dec 24 2017 01: +0,1.017,16
Dec 25 2017 01: +0,0.945,11
Dec 26 2017 01: +0,1.133,9
Dec 27 2017 01: +0,1.021,13
Dec 28 2017 01: +0,0.924,14
Dec 29 2017 01: +0,0.917,9
Dec 30 2017 01: +0,0.921,13
Dec 31 2017 01: +0,0.938,5
Jan 01 2018 01: +0,0.929,9
Jan 02 2018 01: +0,0.97,15
Jan 03 2018 01: +0,0.921,20
Jan 04 2018 01: +0,0.927,8
Jan 05 2018 01: +0,0.977,33
Jan 06 2018 01: +0,0.881,24
Jan 07 2018 01: +0,0.923,15
Jan 08 2018 01: +0,1.019,15
Jan 09 2018 01: +0,0.968,13
Jan 10 2018 01: +0,0.963,28
Jan 11 2018 01: +0,0.975,19
Jan 12 2018 01: +0,1.016,29
Jan 13 2018 01: +0,1.082,43
Jan 14 2018 01: +0,0.969,29
Jan 15 2018 01: +0,0.851,35
Jan 16 2018 01: +0,0.537,674
Jan 17 2018 01: +0,0.338,306
Jan 18 2018 01: +0,0.326,349
Jan 19 2018 01: +0,0.358,183
Jan 20 2018 01: +0,0.33,178
Jan 21 2018 01: +0,0.334,146
Jan 22 2018 01: +0,0.339,161
Jan 23 2018 01: +0,0.299,188
Jan 24 2018 01: +0,0.3,125
Jan 25 2018 01: +0,0.283,109
Jan 26 2018 01: +0,0.287,415
Jan 27 2018 01: +0,0.274,380
Jan 28 2018 01: +0,0.278,560
Jan 29 2018 01: +0,0.275,580
Jan 30 2018 01: +0,0.277,343
Jan 31 2018 01: +0,0.279,191
Feb 01 2018 01: +0,0.273,139
Feb 02 2018 01: +0,0.268,131
Feb 03 2018 01: +0,0.251,178
Feb 04 2018 01: +0,0.247,212
Feb 05 2018 01: +0,0.268,136
Feb 06 2018 01: +0,0.241,141
Feb 07 2018 01: +0,0.236,148
Feb 08 2018 01: +0,0.225,105
Feb 09 2018 01: +0,0.22,139
Feb 10 2018 01: +0,0.219,143
Feb 11 2018 01: +0,0.215,186
Feb 12 2018 01: +0,0.207,117
Feb 13 2018 01: +0,0.206,102
Feb 14 2018 01: +0,0.203,169
Feb 15 2018 01: +0,0.207,75
Feb 16 2018 01: +0,0.194,146
Feb 17 2018 01: +0,0.198,190
Feb 18 2018 01: +0,0.185,156
Feb 19 2018 01: +0,0.19,168
Feb 20 2018 01: +0,0.186,145
Feb 21 2018 01: +0,0.193,171
Feb 22 2018 01: +0,0.19,146
Feb 23 2018 01: +0,0.192,179
Feb 24 2018 01: +0,0.203,128
Feb 25 2018 01: +0,0.204,162
Feb 26 2018 01: +0,0.201,131
Feb 27 2018 01: +0,0.206,168
Feb 28 2018 01: +0,0.215,152
Mar 01 2018 01: +0,0.221,149
Mar 02 2018 01: +0,0.228,99
Mar 03 2018 01: +0,0.228,107
Mar 04 2018 01: +0,0.233,103
Mar 05 2018 01: +0,0.229,101
Mar 06 2018 01: +0,0.227,99
Mar 07 2018 01: +0,0.237,85
Mar 08 2018 01: +0,0.255,63
Mar 09 2018 01: +0,0.243,78
Mar 10 2018 01: +0,0.256,77
Mar 11 2018 01: +0,0.259,83
Mar 12 2018 01: +0,0.257,61
Mar 13 2018 01: +0,0.248,52
Mar 14 2018 01: +0,0.253,67
Mar 15 2018 01: +0,0.254,71
Mar 16 2018 01: +0,0.247,80
Mar 17 2018 01: +0,0.254,97
Mar 18 2018 01: +0,0.242,59
Mar 19 2018 01: +0,0.259,60
Mar 20 2018 01: +0,0.246,55
Mar 21 2018 01: +0,0.256,58
Mar 22 2018 01: +0,0.256,71
Mar 23 2018 01: +0,0.26,66
Mar 24 2018 01: +0,0.265,81
Mar 25 2018 01: +0,0.27,73
Mar 26 2018 01: +0,0.271,52
Mar 27 2018 01: +0,0.272,54
Mar 28 2018 01: +0,0.275,46
Mar 29 2018 01: +0,0.276,42
Mar 30 2018 01: +0,0.25,93
Mar 31 2018 01: +0,0.262,78
Apr 01 2018 01: +0,0.283,40
Apr 02 2018 01: +0,0.272,62
Apr 03 2018 01: +0,0.286,73
Apr 04 2018 01: +0,0.283,29
Apr 05 2018 01: +0,0.285,51
Apr 06 2018 01: +0,0.285,41
Apr 07 2018 01: +0,0.293,47
Apr 08 2018 01: +0,0.288,47
Apr 09 2018 01: +0,0.294,45
Apr 10 2018 01: +0,0.275,51
Apr 11 2018 01: +0,0.279,54
Apr 12 2018 01: +0,0.301,30
Apr 13 2018 01: +0,0.313,37
Apr 14 2018 01: +0,0.318,37
Apr 15 2018 01: +0,0.297,33
Apr 16 2018 01: +0,0.314,47
Apr 17 2018 01: +0,0.315,39
Apr 18 2018 01: +0,0.293,36
Apr 19 2018 01: +0,0.294,37
Apr 20 2018 01: +0,0.307,38
Apr 21 2018 01: +0,0.301,50
Apr 22 2018 01: +0,0.301,46
Apr 23 2018 01: +0,0.315,33
Apr 24 2018 01: +0,0.31,48
Apr 25 2018 01: +0,0.312,40
Apr 26 2018 01: +0,0.31,48
Apr 27 2018 01: +0,0.304,38
Apr 28 2018 01: +0,0.293,42
Apr 29 2018 01: +0,0.302,58
Apr 30 2018 01: +0,0.316,54
May 01 2018 01: +0,0.288,36
May 02 2018 01: +0,0.303,44
May 03 2018 01: +0,0.293,27
May 04 2018 01: +0,0.281,58
May 05 2018 01: +0,0.3,44
May 06 2018 01: +0,0.293,31
May 07 2018 01: +0,0.3,52
May 08 2018 01: +0,0.29,63
May 09 2018 01: +0,0.274,36
May 10 2018 01: +0,0.285,45
May 11 2018 01: +0,0.298,44
May 12 2018 01: +0,0.298,65
May 13 2018 01: +0,0.283,40
May 14 2018 01: +0,0.301,44
May 15 2018 01: +0,0.305,70
May 16 2018 01: +0,0.301,29
May 17 2018 01: +0,0.297,33
May 18 2018 01: +0,0.301,27
May 19 2018 01: +0,0.29,22
May 20 2018 01: +0,0.299,44
May 21 2018 01: +0,0.29,29
May 22 2018 01: +0,0.286,27
May 23 2018 01: +0,0.297,43
May 24 2018 01: +0,0.3,50
May 25 2018 01: +0,0.303,69
May 26 2018 01: +0,0.319,114
May 27 2018 01: +0,0.298,35
May 28 2018 01: +0,0.314,68
May 29 2018 01: +0,0.387,170
May 30 2018 01: +0,0.437,105
May 31 2018 01: +0,0.447,101
Jun 01 2018 01: +0,0.449,90
Jun 02 2018 01: +0,0.425,37
Jun 03 2018 01: +0,0.392,64
Jun 04 2018 01: +0,0.359,43
Jun 05 2018 01: +0,0.364,36
Jun 06 2018 01: +0,0.339,53
Jun 07 2018 01: +0,0.326,23
Jun 08 2018 01: +0,0.307,36
Jun 09 2018 01: +0,0.306,37
Jun 10 2018 01: +0,0.31,30
Jun 11 2018 01: +0,0.308,46
Jun 12 2018 01: +0,0.305,30
Jun 13 2018 01: +0,0.296,24
Jun 14 2018 01: +0,0.301,32
Jun 15 2018 01: +0,0.3,31
Jun 16 2018 01: +0,0.302,31
Jun 17 2018 01: +0,0.319,39
Jun 18 2018 01: +0,0.33,36
Jun 19 2018 01: +0,0.318,17
Jun 20 2018 01: +0,0.324,18
Jun 21 2018 01: +0,0.308,30
Jun 22 2018 01: +0,0.294,40
Jun 23 2018 01: +0,0.274,42
Jun 24 2018 01: +0,0.267,32
Jun 25 2018 01: +0,0.291,32
Jun 26 2018 01: +0,0.287,27
Jun 27 2018 01: +0,0.291,23
Jun 28 2018 01: +0,0.277,23
Jun 29 2018 01: +0,0.304,36
Jun 30 2018 01: +0,0.284,19
Jul 01 2018 01: +0,0.258,22
Jul 02 2018 01: +0,0.297,28
Jul 03 2018 01: +0,0.278,15
Jul 04 2018 01: +0,0.27,23
Jul 05 2018 01: +0,0.271,44
Jul 06 2018 01: +0,0.287,34
Jul 07 2018 01: +0,0.306,33
Jul 08 2018 01: +0,0.295,31
Jul 09 2018 01: +0,0.312,12
Jul 10 2018 01: +0,0.319,22
Jul 11 2018 01: +0,0.313,22
Jul 12 2018 01: +0,0.3,114
Jul 13 2018 01: +0,0.307,33
Jul 14 2018 01: +0,0.309,34
Jul 15 2018 01: +0,0.295,26
Jul 16 2018 01: +0,0.3,37
Jul 17 2018 01: +0,0.304,32
Jul 18 2018 01: +0,0.298,44
Jul 19 2018 01: +0,0.301,21
Jul 20 2018 01: +0,0.313,51
Jul 21 2018 01: +0,0.302,20
Jul 22 2018 01: +0,0.3,22
Jul 23 2018 01: +0,0.292,31
Jul 24 2018 01: +0,0.293,40
Jul 25 2018 01: +0,0.313,48
Jul 26 2018 01: +0,0.322,21
Jul 27 2018 01: +0,0.32,26
Jul 28 2018 01: +0,0.302,17
