Date,Price,Volume
Dec 20 2017 01: +0,1.042,56
Dec 21 2017 01: +0,1.017,39
Dec 22 2017 01: +0,1.062,28
Dec 23 2017 01: +0,0.998,21
Dec 24 2017 01: +0,1.044,37
Dec 25 2017 01: +0,1.108,33
Dec 26 2017 01: +0,1.035,24
Dec 27 2017 01: +0,1.043,26
Dec 28 2017 01: +0,1.002,20
Dec 29 2017 01: +0,0.951,20
Dec 30 2017 01: +0,0.916,31
Dec 31 2017 01: +0,0.99,22
Jan 01 2018 01: +0,0.961,14
Jan 02 2018 01: +0,1.037,29
Jan 03 2018 01: +0,1.015,36
Jan 04 2018 01: +0,1.013,34
Jan 05 2018 01: +0,1,35
Jan 06 2018 01: +0,0.988,40
Jan 07 2018 01: +0,0.962,41
Jan 08 2018 01: +0,1.009,26
Jan 09 2018 01: +0,0.974,32
Jan 10 2018 01: +0,0.972,35
Jan 11 2018 01: +0,0.996,42
Jan 12 2018 01: +0,0.989,51
Jan 13 2018 01: +0,1.05,60
Jan 14 2018 01: +0,1.014,39
Jan 15 2018 01: +0,0.971,51
Jan 16 2018 01: +0,1.073,86
Jan 17 2018 01: +0,1.105,69
Jan 18 2018 01: +0,1.063,58
Jan 19 2018 01: +0,1.041,55
Jan 20 2018 01: +0,1.026,37
Jan 21 2018 01: +0,0.958,44
Jan 22 2018 01: +0,0.969,43
Jan 23 2018 01: +0,0.574,726
Jan 24 2018 01: +0,0.353,372
Jan 25 2018 01: +0,0.441,313
Jan 26 2018 01: +0,0.375,687
Jan 27 2018 01: +0,0.283,1244
Jan 28 2018 01: +0,0.28,1510
Jan 29 2018 01: +0,0.259,2205
Jan 30 2018 01: +0,0.27,893
Jan 31 2018 01: +0,0.275,432
Feb 01 2018 01: +0,0.268,391
Feb 02 2018 01: +0,0.274,395
Feb 03 2018 01: +0,0.284,432
Feb 04 2018 01: +0,0.275,407
Feb 05 2018 01: +0,0.282,273
Feb 06 2018 01: +0,0.268,285
Feb 07 2018 01: +0,0.258,333
Feb 08 2018 01: +0,0.27,269
Feb 09 2018 01: +0,0.272,351
Feb 10 2018 01: +0,0.266,312
Feb 11 2018 01: +0,0.261,271
Feb 12 2018 01: +0,0.247,261
Feb 13 2018 01: +0,0.245,288
Feb 14 2018 01: +0,0.253,298
Feb 15 2018 01: +0,0.251,279
Feb 16 2018 01: +0,0.252,391
Feb 17 2018 01: +0,0.26,369
Feb 18 2018 01: +0,0.256,324
