Date,Price,Volume
Dec 20 2017 01: +0,1.105,1441
Dec 21 2017 01: +0,1.085,432
Dec 22 2017 01: +0,1.073,356
Dec 23 2017 01: +0,1.102,268
Dec 24 2017 01: +0,1.097,174
Dec 25 2017 01: +0,1.125,180
Dec 26 2017 01: +0,1.085,133
Dec 27 2017 01: +0,1.093,128
Dec 28 2017 01: +0,1.092,104
Dec 29 2017 01: +0,1.099,135
Dec 30 2017 01: +0,1.117,123
Dec 31 2017 01: +0,1.135,99
Jan 01 2018 01: +0,1.139,101
Jan 02 2018 01: +0,1.107,67
Jan 03 2018 01: +0,1.092,60
Jan 04 2018 01: +0,1.087,60
Jan 05 2018 01: +0,1.099,110
Jan 06 2018 01: +0,1.091,96
Jan 07 2018 01: +0,1.142,87
Jan 08 2018 01: +0,1.113,90
Jan 09 2018 01: +0,1.097,87
Jan 10 2018 01: +0,1.119,84
Jan 11 2018 01: +0,1.105,100
Jan 12 2018 01: +0,1.133,125
Jan 13 2018 01: +0,1.131,143
Jan 14 2018 01: +0,1.107,134
Jan 15 2018 01: +0,1.092,154
Jan 16 2018 01: +0,0.725,1080
Jan 17 2018 01: +0,0.647,522
Jan 18 2018 01: +0,0.732,419
Jan 19 2018 01: +0,0.717,424
Jan 20 2018 01: +0,0.859,412
Jan 21 2018 01: +0,0.913,337
Jan 22 2018 01: +0,0.916,384
Jan 23 2018 01: +0,0.531,1426
Jan 24 2018 01: +0,0.513,703
Jan 25 2018 01: +0,0.569,501
Jan 26 2018 01: +0,0.445,1871
Jan 27 2018 01: +0,0.287,2858
Jan 28 2018 01: +0,0.283,3304
Jan 29 2018 01: +0,0.283,2365
Jan 30 2018 01: +0,0.308,1228
Jan 31 2018 01: +0,0.329,1003
Feb 01 2018 01: +0,0.341,881
Feb 02 2018 01: +0,0.368,895
Feb 03 2018 01: +0,0.406,767
Feb 04 2018 01: +0,0.393,561
Feb 05 2018 01: +0,0.381,517
Feb 06 2018 01: +0,0.362,358
Feb 07 2018 01: +0,0.354,510
Feb 08 2018 01: +0,0.355,497
Feb 09 2018 01: +0,0.355,578
Feb 10 2018 01: +0,0.35,540
Feb 11 2018 01: +0,0.336,409
Feb 12 2018 01: +0,0.334,391
Feb 13 2018 01: +0,0.338,347
Feb 14 2018 01: +0,0.34,335
Feb 15 2018 01: +0,0.338,352
Feb 16 2018 01: +0,0.326,569
Feb 17 2018 01: +0,0.338,642
Feb 18 2018 01: +0,0.342,478
Feb 19 2018 01: +0,0.327,435
Feb 20 2018 01: +0,0.344,427
Feb 21 2018 01: +0,0.333,384
Feb 22 2018 01: +0,0.333,381
Feb 23 2018 01: +0,0.328,514
Feb 24 2018 01: +0,0.337,652
Feb 25 2018 01: +0,0.35,394
Feb 26 2018 01: +0,0.349,353
Feb 27 2018 01: +0,0.362,339
Feb 28 2018 01: +0,0.371,312
Mar 01 2018 01: +0,0.374,245
Mar 02 2018 01: +0,0.377,305
Mar 03 2018 01: +0,0.406,346
Mar 04 2018 01: +0,0.406,317
Mar 05 2018 01: +0,0.403,241
Mar 06 2018 01: +0,0.419,188
Mar 07 2018 01: +0,0.419,208
Mar 08 2018 01: +0,0.426,255
Mar 09 2018 01: +0,0.415,277
Mar 10 2018 01: +0,0.426,327
Mar 11 2018 01: +0,0.427,298
Mar 12 2018 01: +0,0.433,256
Mar 13 2018 01: +0,0.45,284
Mar 14 2018 01: +0,0.43,221
Mar 15 2018 01: +0,0.436,199
Mar 16 2018 01: +0,0.435,167
Mar 17 2018 01: +0,0.452,266
Mar 18 2018 01: +0,0.461,243
Mar 19 2018 01: +0,0.473,196
Mar 20 2018 01: +0,0.472,191
Mar 21 2018 01: +0,0.476,160
Mar 22 2018 01: +0,0.472,165
Mar 23 2018 01: +0,0.48,164
Mar 24 2018 01: +0,0.521,528
Mar 25 2018 01: +0,0.618,540
Mar 26 2018 01: +0,0.575,192
Mar 27 2018 01: +0,0.571,116
Mar 28 2018 01: +0,0.56,152
Mar 29 2018 01: +0,0.583,187
Mar 30 2018 01: +0,0.506,244
Mar 31 2018 01: +0,0.485,219
Apr 01 2018 01: +0,0.523,174
Apr 02 2018 01: +0,0.554,133
Apr 03 2018 01: +0,0.552,120
Apr 04 2018 01: +0,0.522,130
Apr 05 2018 01: +0,0.535,103
