Date,Price,Volume
Oct 21 2015 01: +0,1.135,517
Oct 22 2015 01: +0,1.118,281
Oct 23 2015 01: +0,1.117,261
Oct 24 2015 01: +0,1.109,214
Oct 25 2015 01: +0,1.093,181
Oct 26 2015 01: +0,1.115,209
Oct 27 2015 01: +0,1.103,295
Oct 28 2015 01: +0,1.103,300
Oct 29 2015 01: +0,0.885,580
Oct 30 2015 01: +0,0.621,1181
Oct 31 2015 01: +0,0.364,5668
Nov 01 2015 01: +0,0.264,11827
Nov 02 2015 01: +0,0.242,4352
Nov 03 2015 01: +0,0.241,2738
Nov 04 2015 01: +0,0.221,2365
Nov 05 2015 01: +0,0.219,2419
Nov 06 2015 01: +0,0.216,2348
Nov 07 2015 01: +0,0.225,2413
Nov 08 2015 01: +0,0.222,2034
Nov 09 2015 01: +0,0.214,1765
Nov 10 2015 01: +0,0.216,1402
Nov 11 2015 01: +0,0.221,1272
Nov 12 2015 01: +0,0.222,1220
Nov 13 2015 01: +0,0.228,1512
Nov 14 2015 01: +0,0.23,1768
Nov 15 2015 01: +0,0.223,1685
Nov 16 2015 01: +0,0.226,1168
Nov 17 2015 01: +0,0.234,1213
Nov 18 2015 01: +0,0.231,1083
Nov 19 2015 01: +0,0.238,947
Nov 20 2015 01: +0,0.24,1058
Nov 21 2015 01: +0,0.247,1173
Nov 22 2015 01: +0,0.227,939
Nov 23 2015 01: +0,0.23,933
Nov 24 2015 01: +0,0.246,1069
Nov 25 2015 01: +0,0.241,1604
Nov 26 2015 01: +0,0.207,1113
Nov 27 2015 01: +0,0.213,1057
Nov 28 2015 01: +0,0.217,1294
Nov 29 2015 01: +0,0.22,1216
Nov 30 2015 01: +0,0.211,999
Dec 01 2015 01: +0,0.216,1073
Dec 02 2015 01: +0,0.23,714
Dec 03 2015 01: +0,0.232,877
Dec 04 2015 01: +0,0.245,976
Dec 05 2015 01: +0,0.255,920
Dec 06 2015 01: +0,0.264,980
Dec 07 2015 01: +0,0.261,835
Dec 08 2015 01: +0,0.265,780
Dec 09 2015 01: +0,0.265,884
Dec 10 2015 01: +0,0.281,866
Dec 11 2015 01: +0,0.298,771
Dec 12 2015 01: +0,0.316,993
Dec 13 2015 01: +0,0.317,889
Dec 14 2015 01: +0,0.311,746
Dec 15 2015 01: +0,0.303,871
Dec 16 2015 01: +0,0.304,927
Dec 17 2015 01: +0,0.307,768
Dec 18 2015 01: +0,0.315,799
Dec 19 2015 01: +0,0.337,617
Dec 20 2015 01: +0,0.337,526
Dec 21 2015 01: +0,0.325,487
Dec 22 2015 01: +0,0.309,678
Dec 23 2015 01: +0,0.284,699
Dec 24 2015 01: +0,0.293,628
Dec 25 2015 01: +0,0.299,731
Dec 26 2015 01: +0,0.308,678
Dec 27 2015 01: +0,0.306,618
Dec 28 2015 01: +0,0.307,615
Dec 29 2015 01: +0,0.315,708
Dec 30 2015 01: +0,0.315,651
Dec 31 2015 01: +0,0.318,563
Jan 01 2016 01: +0,0.328,756
Jan 02 2016 01: +0,0.326,640
Jan 03 2016 01: +0,0.312,616
Jan 04 2016 01: +0,0.307,556
Jan 05 2016 01: +0,0.327,537
Jan 06 2016 01: +0,0.346,463
Jan 07 2016 01: +0,0.432,2082
Jan 08 2016 01: +0,0.504,389
Jan 09 2016 01: +0,0.497,408
Jan 10 2016 01: +0,0.472,626
Jan 11 2016 01: +0,0.427,316
Jan 12 2016 01: +0,0.421,441
Jan 13 2016 01: +0,0.42,372
Jan 14 2016 01: +0,0.438,673
Jan 15 2016 01: +0,0.415,555
Jan 16 2016 01: +0,0.473,913
Jan 17 2016 01: +0,0.513,458
Jan 18 2016 01: +0,0.494,301
Jan 19 2016 01: +0,0.519,336
Jan 20 2016 01: +0,0.544,578
Jan 21 2016 01: +0,0.546,340
Jan 22 2016 01: +0,0.527,309
Jan 23 2016 01: +0,0.525,411
Jan 24 2016 01: +0,0.494,431
Jan 25 2016 01: +0,0.476,411
Jan 26 2016 01: +0,0.478,432
Jan 27 2016 01: +0,0.482,347
Jan 28 2016 01: +0,0.451,390
Jan 29 2016 01: +0,0.457,421
Jan 30 2016 01: +0,0.433,705
Jan 31 2016 01: +0,0.434,457
Feb 01 2016 01: +0,0.449,426
Feb 02 2016 01: +0,0.443,378
Feb 03 2016 01: +0,0.437,374
Feb 04 2016 01: +0,0.44,492
Feb 05 2016 01: +0,0.437,456
Feb 06 2016 01: +0,0.429,507
Feb 07 2016 01: +0,0.425,455
Feb 08 2016 01: +0,0.428,315
Feb 09 2016 01: +0,0.428,315
Feb 10 2016 01: +0,0.425,422
Feb 11 2016 01: +0,0.425,422
Feb 12 2016 01: +0,0.433,455
Feb 13 2016 01: +0,0.46,452
Feb 14 2016 01: +0,0.473,399
Feb 15 2016 01: +0,0.469,351
Feb 16 2016 01: +0,0.474,332
Feb 17 2016 01: +0,0.486,442
Feb 18 2016 01: +0,0.387,812
Feb 19 2016 01: +0,0.449,509
Feb 20 2016 01: +0,0.486,452
Feb 21 2016 01: +0,0.504,395
Feb 22 2016 01: +0,0.492,341
Feb 23 2016 01: +0,0.489,379
Feb 24 2016 01: +0,0.488,357
Feb 25 2016 01: +0,0.491,348
