Date,Price,Volume
Oct 21 2015 01: +0,1.15,408
Oct 22 2015 01: +0,1.132,207
Oct 23 2015 01: +0,1.127,241
Oct 24 2015 01: +0,1.116,172
Oct 25 2015 01: +0,1.11,180
Oct 26 2015 01: +0,1.115,177
Oct 27 2015 01: +0,1.114,218
Oct 28 2015 01: +0,1.13,278
Oct 29 2015 01: +0,1,303
Oct 30 2015 01: +0,0.706,825
Oct 31 2015 01: +0,0.762,1400
Nov 01 2015 01: +0,0.285,12961
Nov 02 2015 01: +0,0.254,8696
Nov 03 2015 01: +0,0.246,4381
Nov 04 2015 01: +0,0.213,4551
Nov 05 2015 01: +0,0.212,3472
Nov 06 2015 01: +0,0.223,3218
Nov 07 2015 01: +0,0.24,3014
Nov 08 2015 01: +0,0.232,2486
Nov 09 2015 01: +0,0.222,2260
Nov 10 2015 01: +0,0.21,1866
Nov 11 2015 01: +0,0.215,2029
Nov 12 2015 01: +0,0.22,1638
Nov 13 2015 01: +0,0.221,2069
Nov 14 2015 01: +0,0.232,2088
Nov 15 2015 01: +0,0.233,1775
Nov 16 2015 01: +0,0.23,1397
Nov 17 2015 01: +0,0.229,1257
Nov 18 2015 01: +0,0.232,1281
Nov 19 2015 01: +0,0.229,1147
Nov 20 2015 01: +0,0.232,1233
Nov 21 2015 01: +0,0.236,1438
Nov 22 2015 01: +0,0.218,1294
Nov 23 2015 01: +0,0.22,922
Nov 24 2015 01: +0,0.231,1298
Nov 25 2015 01: +0,0.224,1337
Nov 26 2015 01: +0,0.203,1270
Nov 27 2015 01: +0,0.201,1783
Nov 28 2015 01: +0,0.206,1451
Nov 29 2015 01: +0,0.201,1391
Nov 30 2015 01: +0,0.2,1152
Dec 01 2015 01: +0,0.204,953
Dec 02 2015 01: +0,0.216,857
Dec 03 2015 01: +0,0.221,949
Dec 04 2015 01: +0,0.225,1292
Dec 05 2015 01: +0,0.228,1673
Dec 06 2015 01: +0,0.236,1245
Dec 07 2015 01: +0,0.241,954
Dec 08 2015 01: +0,0.241,1001
Dec 09 2015 01: +0,0.243,1350
Dec 10 2015 01: +0,0.26,1151
Dec 11 2015 01: +0,0.267,1226
Dec 12 2015 01: +0,0.281,1301
Dec 13 2015 01: +0,0.287,1038
Dec 14 2015 01: +0,0.289,694
Dec 15 2015 01: +0,0.292,759
Dec 16 2015 01: +0,0.293,757
