Date,Price,Volume
Oct 21 2015 01: +0,1.2,184
Oct 22 2015 01: +0,1.143,78
Oct 23 2015 01: +0,1.174,70
Oct 24 2015 01: +0,1.158,78
Oct 25 2015 01: +0,1.138,106
Oct 26 2015 01: +0,1.124,61
Oct 27 2015 01: +0,1.119,36
Oct 28 2015 01: +0,1.216,122
Oct 29 2015 01: +0,1.048,140
Oct 30 2015 01: +0,0.51,772
Oct 31 2015 01: +0,0.328,912
Nov 01 2015 01: +0,0.282,3232
Nov 02 2015 01: +0,0.277,1105
Nov 03 2015 01: +0,0.261,783
Nov 04 2015 01: +0,0.256,650
Nov 05 2015 01: +0,0.258,432
Nov 06 2015 01: +0,0.249,426
Nov 07 2015 01: +0,0.242,455
Nov 08 2015 01: +0,0.244,436
Nov 09 2015 01: +0,0.233,478
Nov 10 2015 01: +0,0.219,379
Nov 11 2015 01: +0,0.229,339
Nov 12 2015 01: +0,0.23,309
Nov 13 2015 01: +0,0.232,356
Nov 14 2015 01: +0,0.229,404
Nov 15 2015 01: +0,0.231,498
Nov 16 2015 01: +0,0.232,372
Nov 17 2015 01: +0,0.234,258
Nov 18 2015 01: +0,0.239,266
Nov 19 2015 01: +0,0.243,392
Nov 20 2015 01: +0,0.246,313
Nov 21 2015 01: +0,0.252,351
Nov 22 2015 01: +0,0.25,422
Nov 23 2015 01: +0,0.256,298
Nov 24 2015 01: +0,0.267,361
Nov 25 2015 01: +0,0.272,317
Nov 26 2015 01: +0,0.245,454
Nov 27 2015 01: +0,0.232,416
Nov 28 2015 01: +0,0.233,341
Nov 29 2015 01: +0,0.238,290
Nov 30 2015 01: +0,0.225,282
Dec 01 2015 01: +0,0.222,338
Dec 02 2015 01: +0,0.235,267
Dec 03 2015 01: +0,0.25,223
Dec 04 2015 01: +0,0.249,207
Dec 05 2015 01: +0,0.264,254
Dec 06 2015 01: +0,0.267,451
Dec 07 2015 01: +0,0.257,238
Dec 08 2015 01: +0,0.264,215
Dec 09 2015 01: +0,0.264,322
Dec 10 2015 01: +0,0.27,451
Dec 11 2015 01: +0,0.274,422
Dec 12 2015 01: +0,0.289,437
Dec 13 2015 01: +0,0.319,399
Dec 14 2015 01: +0,0.307,210
Dec 15 2015 01: +0,0.305,212
Dec 16 2015 01: +0,0.308,253
