Date,Price,Volume
Oct 21 2015 01: +0,1.152,57
Oct 22 2015 01: +0,1.13,23
Oct 23 2015 01: +0,1.133,40
Oct 24 2015 01: +0,1.115,32
Oct 25 2015 01: +0,1.081,27
Oct 26 2015 01: +0,1.129,30
Oct 27 2015 01: +0,1.086,39
Oct 28 2015 01: +0,1.131,80
Oct 29 2015 01: +0,0.97,62
Oct 30 2015 01: +0,0.515,471
Oct 31 2015 01: +0,0.398,710
Nov 01 2015 01: +0,0.284,2188
Nov 02 2015 01: +0,0.279,947
Nov 03 2015 01: +0,0.273,509
Nov 04 2015 01: +0,0.256,592
Nov 05 2015 01: +0,0.256,346
Nov 06 2015 01: +0,0.249,430
Nov 07 2015 01: +0,0.246,551
Nov 08 2015 01: +0,0.24,602
Nov 09 2015 01: +0,0.235,542
Nov 10 2015 01: +0,0.25,380
Nov 11 2015 01: +0,0.252,242
Nov 12 2015 01: +0,0.25,290
Nov 13 2015 01: +0,0.258,276
Nov 14 2015 01: +0,0.268,309
Nov 15 2015 01: +0,0.27,306
Nov 16 2015 01: +0,0.264,222
Nov 17 2015 01: +0,0.276,193
Nov 18 2015 01: +0,0.277,196
Nov 19 2015 01: +0,0.273,241
Nov 20 2015 01: +0,0.29,252
Nov 21 2015 01: +0,0.289,230
Nov 22 2015 01: +0,0.282,193
Nov 23 2015 01: +0,0.275,183
Nov 24 2015 01: +0,0.284,261
Nov 25 2015 01: +0,0.281,232
Nov 26 2015 01: +0,0.258,226
Nov 27 2015 01: +0,0.267,218
Nov 28 2015 01: +0,0.271,258
Nov 29 2015 01: +0,0.27,214
Nov 30 2015 01: +0,0.253,182
Dec 01 2015 01: +0,0.265,155
Dec 02 2015 01: +0,0.266,148
Dec 03 2015 01: +0,0.278,192
Dec 04 2015 01: +0,0.278,185
Dec 05 2015 01: +0,0.293,197
Dec 06 2015 01: +0,0.315,213
Dec 07 2015 01: +0,0.307,283
Dec 08 2015 01: +0,0.292,220
Dec 09 2015 01: +0,0.3,253
Dec 10 2015 01: +0,0.341,219
Dec 11 2015 01: +0,0.343,169
Dec 12 2015 01: +0,0.363,230
Dec 13 2015 01: +0,0.384,202
Dec 14 2015 01: +0,0.381,118
Dec 15 2015 01: +0,0.388,134
Dec 16 2015 01: +0,0.378,142
Dec 17 2015 01: +0,0.386,105
Dec 18 2015 01: +0,0.465,760
Dec 19 2015 01: +0,0.541,125
Dec 20 2015 01: +0,0.536,118
Dec 21 2015 01: +0,0.644,141
Dec 22 2015 01: +0,0.525,126
Dec 23 2015 01: +0,0.445,115
Dec 24 2015 01: +0,0.466,86
Dec 25 2015 01: +0,0.46,113
Dec 26 2015 01: +0,0.45,99
Dec 27 2015 01: +0,0.446,122
Dec 28 2015 01: +0,0.453,129
Dec 29 2015 01: +0,0.463,280
Dec 30 2015 01: +0,0.547,351
Dec 31 2015 01: +0,0.554,112
Jan 01 2016 01: +0,0.514,85
Jan 02 2016 01: +0,0.499,212
Jan 03 2016 01: +0,0.507,107
Jan 04 2016 01: +0,0.506,119
Jan 05 2016 01: +0,0.804,200
Jan 06 2016 01: +0,1.131,159
Jan 07 2016 01: +0,0.87,213
Jan 08 2016 01: +0,1.056,179
Jan 09 2016 01: +0,1.076,142
Jan 10 2016 01: +0,0.914,286
Jan 11 2016 01: +0,0.754,82
Jan 12 2016 01: +0,0.77,58
Jan 13 2016 01: +0,0.755,96
Jan 14 2016 01: +0,0.706,188
Jan 15 2016 01: +0,0.731,124
Jan 16 2016 01: +0,0.782,193
Jan 17 2016 01: +0,0.804,102
Jan 18 2016 01: +0,0.81,49
Jan 19 2016 01: +0,0.798,118
Jan 20 2016 01: +0,0.914,67
Jan 21 2016 01: +0,0.921,132
Jan 22 2016 01: +0,0.866,68
Jan 23 2016 01: +0,0.83,77
Jan 24 2016 01: +0,0.816,86
Jan 25 2016 01: +0,0.783,63
Jan 26 2016 01: +0,0.781,55
Jan 27 2016 01: +0,0.716,29
Jan 28 2016 01: +0,0.697,44
Jan 29 2016 01: +0,0.695,71
Jan 30 2016 01: +0,0.678,97
Jan 31 2016 01: +0,0.677,84
Feb 01 2016 01: +0,0.692,101
Feb 02 2016 01: +0,0.76,36
Feb 03 2016 01: +0,0.764,61
Feb 04 2016 01: +0,0.764,42
Feb 05 2016 01: +0,0.755,36
Feb 06 2016 01: +0,0.667,103
Feb 07 2016 01: +0,0.654,74
Feb 08 2016 01: +0,0.661,49
Feb 09 2016 01: +0,0.663,77
Feb 10 2016 01: +0,0.665,52
Feb 11 2016 01: +0,0.68,65
Feb 12 2016 01: +0,0.708,45
Feb 13 2016 01: +0,0.698,57
Feb 14 2016 01: +0,0.679,53
Feb 15 2016 01: +0,0.652,68
Feb 16 2016 01: +0,0.635,103
Feb 17 2016 01: +0,0.617,173
Feb 18 2016 01: +0,0.504,187
Feb 19 2016 01: +0,0.549,110
Feb 20 2016 01: +0,0.607,78
Feb 21 2016 01: +0,0.626,102
Feb 22 2016 01: +0,0.631,70
Feb 23 2016 01: +0,0.671,75
Feb 24 2016 01: +0,0.593,90
Feb 25 2016 01: +0,0.58,88
Feb 26 2016 01: +0,0.563,103
Feb 27 2016 01: +0,0.608,166
Feb 28 2016 01: +0,0.673,63
Feb 29 2016 01: +0,0.675,53
Mar 01 2016 01: +0,0.658,75
Mar 02 2016 01: +0,0.636,54
Mar 03 2016 01: +0,0.658,76
Mar 04 2016 01: +0,0.686,61
Mar 05 2016 01: +0,0.69,86
Mar 06 2016 01: +0,0.678,56
Mar 07 2016 01: +0,0.656,63
Mar 08 2016 01: +0,0.869,860
Mar 09 2016 01: +0,0.844,182
Mar 10 2016 01: +0,0.788,71
Mar 11 2016 01: +0,0.81,59
Mar 12 2016 01: +0,0.856,35
Mar 13 2016 01: +0,0.773,62
Mar 14 2016 01: +0,0.737,49
Mar 15 2016 01: +0,0.798,54
Mar 16 2016 01: +0,0.821,30
Mar 17 2016 01: +0,0.798,81
Mar 18 2016 01: +0,0.662,46
Mar 19 2016 01: +0,0.652,58
Mar 20 2016 01: +0,0.619,60
Mar 21 2016 01: +0,0.536,51
Mar 22 2016 01: +0,0.563,39
Mar 23 2016 01: +0,0.556,43
Mar 24 2016 01: +0,0.566,45
Mar 25 2016 01: +0,0.666,32
Mar 26 2016 01: +0,0.577,36
Mar 27 2016 01: +0,0.569,42
Mar 28 2016 01: +0,0.525,48
Mar 29 2016 01: +0,0.504,67
Mar 30 2016 01: +0,0.501,45
Mar 31 2016 01: +0,0.507,44
Apr 01 2016 01: +0,0.534,35
Apr 02 2016 01: +0,0.506,45
Apr 03 2016 01: +0,0.418,122
Apr 04 2016 01: +0,0.446,46
Apr 05 2016 01: +0,0.467,35
Apr 06 2016 01: +0,0.459,48
Apr 07 2016 01: +0,0.502,55
Apr 08 2016 01: +0,0.478,32
Apr 09 2016 01: +0,0.496,46
Apr 10 2016 01: +0,0.522,30
Apr 11 2016 01: +0,0.556,41
Apr 12 2016 01: +0,0.527,21
Apr 13 2016 01: +0,0.508,48
Apr 14 2016 01: +0,0.456,34
Apr 15 2016 01: +0,0.405,37
Apr 16 2016 01: +0,0.443,44
Apr 17 2016 01: +0,0.428,131
Apr 18 2016 01: +0,0.445,39
Apr 19 2016 01: +0,0.448,35
Apr 20 2016 01: +0,0.433,29
Apr 21 2016 01: +0,0.399,96
Apr 22 2016 01: +0,0.384,62
Apr 23 2016 01: +0,0.421,45
Apr 24 2016 01: +0,0.466,41
Apr 25 2016 01: +0,0.445,34
Apr 26 2016 01: +0,0.432,30
Apr 27 2016 01: +0,0.448,34
Apr 28 2016 01: +0,0.429,31
Apr 29 2016 01: +0,0.421,57
Apr 30 2016 01: +0,0.444,52
May 01 2016 01: +0,0.445,52
May 02 2016 01: +0,0.443,35
May 03 2016 01: +0,0.429,50
May 04 2016 01: +0,0.403,76
May 05 2016 01: +0,0.398,80
May 06 2016 01: +0,0.403,98
May 07 2016 01: +0,0.414,94
May 08 2016 01: +0,0.446,46
May 09 2016 01: +0,0.474,38
May 10 2016 01: +0,0.479,21
May 11 2016 01: +0,0.462,72
May 12 2016 01: +0,0.458,40
May 13 2016 01: +0,0.463,37
May 14 2016 01: +0,0.468,38
May 15 2016 01: +0,0.476,50
May 16 2016 01: +0,0.488,35
May 17 2016 01: +0,0.479,27
May 18 2016 01: +0,0.478,30
May 19 2016 01: +0,0.469,40
May 20 2016 01: +0,0.455,59
May 21 2016 01: +0,0.485,46
May 22 2016 01: +0,0.48,30
May 23 2016 01: +0,0.427,34
May 24 2016 01: +0,0.44,28
May 25 2016 01: +0,0.453,34
May 26 2016 01: +0,0.475,28
May 27 2016 01: +0,0.482,45
May 28 2016 01: +0,0.527,43
May 29 2016 01: +0,0.54,34
May 30 2016 01: +0,0.536,28
May 31 2016 01: +0,0.585,36
Jun 01 2016 01: +0,0.635,19
Jun 02 2016 01: +0,0.608,33
Jun 03 2016 01: +0,0.603,24
Jun 04 2016 01: +0,0.537,38
Jun 05 2016 01: +0,0.558,27
Jun 06 2016 01: +0,0.513,21
Jun 07 2016 01: +0,0.446,37
Jun 08 2016 01: +0,0.423,44
Jun 09 2016 01: +0,0.45,34
Jun 10 2016 01: +0,0.513,15
Jun 11 2016 01: +0,0.53,21
Jun 12 2016 01: +0,0.519,27
Jun 13 2016 01: +0,0.463,16
Jun 14 2016 01: +0,0.501,22
Jun 15 2016 01: +0,0.51,22
Jun 16 2016 01: +0,0.461,50
Jun 17 2016 01: +0,0.494,33
Jun 18 2016 01: +0,0.487,33
Jun 19 2016 01: +0,0.479,33
Jun 20 2016 01: +0,0.464,50
Jun 21 2016 01: +0,0.43,52
Jun 22 2016 01: +0,0.428,44
Jun 23 2016 01: +0,0.43,39
Jun 24 2016 01: +0,0.431,37
Jun 25 2016 01: +0,0.419,24
Jun 26 2016 01: +0,0.456,23
Jun 27 2016 01: +0,0.442,14
Jun 28 2016 01: +0,0.384,22
Jun 29 2016 01: +0,0.393,26
Jun 30 2016 01: +0,0.376,43
Jul 01 2016 01: +0,0.388,38
Jul 02 2016 01: +0,0.401,24
Jul 03 2016 01: +0,0.402,24
Jul 04 2016 01: +0,0.386,33
Jul 05 2016 01: +0,0.417,25
Jul 06 2016 01: +0,0.41,29
Jul 07 2016 01: +0,0.429,15
Jul 08 2016 01: +0,0.419,19
Jul 09 2016 01: +0,0.388,16
Jul 10 2016 01: +0,0.289,54
Jul 11 2016 01: +0,0.271,35
Jul 12 2016 01: +0,0.31,36
Jul 13 2016 01: +0,0.385,14
Jul 14 2016 01: +0,0.376,13
Jul 15 2016 01: +0,0.376,12
Jul 16 2016 01: +0,0.381,21
Jul 17 2016 01: +0,0.389,21
Jul 18 2016 01: +0,0.403,14
Jul 19 2016 01: +0,0.394,23
Jul 20 2016 01: +0,0.423,11
Jul 21 2016 01: +0,0.406,10
Jul 22 2016 01: +0,0.427,13
Jul 23 2016 01: +0,0.428,7
Jul 24 2016 01: +0,0.421,16
Jul 25 2016 01: +0,0.385,20
Jul 26 2016 01: +0,0.377,14
Jul 27 2016 01: +0,0.365,12
Jul 28 2016 01: +0,0.348,37
Jul 29 2016 01: +0,0.346,13
Jul 30 2016 01: +0,0.34,25
Jul 31 2016 01: +0,0.357,17
