Date,Price,Volume
Aug 05 2014 01: +0,0.357,4180
Aug 06 2014 01: +0,0.376,1873
Aug 07 2014 01: +0,0.35,1522
Aug 08 2014 01: +0,0.358,1251
Aug 09 2014 01: +0,0.357,1328
Aug 10 2014 01: +0,0.356,1175
Aug 11 2014 01: +0,0.356,1113
Aug 12 2014 01: +0,0.346,1357
Aug 13 2014 01: +0,0.346,2033
Aug 14 2014 01: +0,0.472,4168
Aug 15 2014 01: +0,0.336,2432
Aug 16 2014 01: +0,0.234,2262
Aug 17 2014 01: +0,0.075,13493
Aug 18 2014 01: +0,0.063,5293
Aug 19 2014 01: +0,0.136,2548
Aug 20 2014 01: +0,0.15,1682
Aug 21 2014 01: +0,0.14,1283
Aug 22 2014 01: +0,0.139,1396
Aug 23 2014 01: +0,0.142,1299
Aug 24 2014 01: +0,0.145,1187
Aug 25 2014 01: +0,0.14,1195
Aug 26 2014 01: +0,0.147,1139
Aug 27 2014 01: +0,0.148,1085
Aug 28 2014 01: +0,0.162,1052
Aug 29 2014 01: +0,0.168,1018
Aug 30 2014 01: +0,0.18,1134
Aug 31 2014 01: +0,0.19,1123
Sep 01 2014 01: +0,0.198,1006
Sep 02 2014 01: +0,0.215,1320
Sep 03 2014 01: +0,0.243,865
Sep 04 2014 01: +0,0.224,659
Sep 05 2014 01: +0,0.205,854
Sep 06 2014 01: +0,0.205,909
Sep 07 2014 01: +0,0.206,818
Sep 08 2014 01: +0,0.197,708
Sep 09 2014 01: +0,0.204,622
Sep 10 2014 01: +0,0.207,653
Sep 11 2014 01: +0,0.183,707
Sep 12 2014 01: +0,0.179,784
Sep 13 2014 01: +0,0.174,884
Sep 14 2014 01: +0,0.206,698
Sep 15 2014 01: +0,0.212,551
Sep 16 2014 01: +0,0.202,593
Sep 17 2014 01: +0,0.201,648
Sep 18 2014 01: +0,0.207,594
Sep 19 2014 01: +0,0.197,620
Sep 20 2014 01: +0,0.196,796
Sep 21 2014 01: +0,0.204,665
Sep 22 2014 01: +0,0.2,586
Sep 23 2014 01: +0,0.202,538
Sep 24 2014 01: +0,0.204,510
Sep 25 2014 01: +0,0.206,475
Sep 26 2014 01: +0,0.197,661
Sep 27 2014 01: +0,0.202,733
Sep 28 2014 01: +0,0.196,725
Sep 29 2014 01: +0,0.198,562
Sep 30 2014 01: +0,0.193,583
Oct 01 2014 01: +0,0.195,606
Oct 02 2014 01: +0,0.193,539
Oct 03 2014 01: +0,0.19,627
Oct 04 2014 01: +0,0.199,722
Oct 05 2014 01: +0,0.2,704
Oct 06 2014 01: +0,0.197,549
Oct 07 2014 01: +0,0.205,613
Oct 08 2014 01: +0,0.197,615
