Date,Price,Volume
Aug 05 2014 01: +0,1.292,11496
Aug 06 2014 01: +0,1.332,4170
Aug 07 2014 01: +0,1.225,2977
Aug 08 2014 01: +0,1.202,2375
Aug 09 2014 01: +0,1.283,2296
Aug 10 2014 01: +0,1.284,1870
Aug 11 2014 01: +0,1.332,1817
Aug 12 2014 01: +0,1.373,2175
Aug 13 2014 01: +0,1.666,3071
Aug 14 2014 01: +0,1.544,4967
Aug 15 2014 01: +0,1.182,3385
Aug 16 2014 01: +0,1.154,4245
Aug 17 2014 01: +0,0.303,39728
Aug 18 2014 01: +0,0.259,14796
Aug 19 2014 01: +0,0.497,6063
Aug 20 2014 01: +0,0.506,4216
Aug 21 2014 01: +0,0.449,3550
Aug 22 2014 01: +0,0.413,3702
Aug 23 2014 01: +0,0.412,3594
Aug 24 2014 01: +0,0.409,3191
Aug 25 2014 01: +0,0.406,3193
Aug 26 2014 01: +0,0.403,3103
Aug 27 2014 01: +0,0.397,2756
Aug 28 2014 01: +0,0.404,2632
Aug 29 2014 01: +0,0.398,2920
Aug 30 2014 01: +0,0.463,2889
Aug 31 2014 01: +0,0.492,2531
Sep 01 2014 01: +0,0.555,2236
Sep 02 2014 01: +0,0.649,2253
Sep 03 2014 01: +0,0.657,2226
Sep 04 2014 01: +0,0.558,1557
Sep 05 2014 01: +0,0.48,2002
Sep 06 2014 01: +0,0.51,2037
Sep 07 2014 01: +0,0.48,1810
Sep 08 2014 01: +0,0.459,1744
Sep 09 2014 01: +0,0.489,1381
Sep 10 2014 01: +0,0.468,1531
Sep 11 2014 01: +0,0.4,1869
Sep 12 2014 01: +0,0.392,2041
Sep 13 2014 01: +0,0.409,2171
Sep 14 2014 01: +0,0.397,1934
Sep 15 2014 01: +0,0.388,1640
Sep 16 2014 01: +0,0.381,1707
Sep 17 2014 01: +0,0.391,1738
Sep 18 2014 01: +0,0.401,1642
Sep 19 2014 01: +0,0.388,1790
Sep 20 2014 01: +0,0.383,2046
Sep 21 2014 01: +0,0.388,1653
Sep 22 2014 01: +0,0.381,1511
Sep 23 2014 01: +0,0.386,1301
Sep 24 2014 01: +0,0.39,1393
Sep 25 2014 01: +0,0.405,1161
Sep 26 2014 01: +0,0.373,1589
Sep 27 2014 01: +0,0.368,1877
Sep 28 2014 01: +0,0.36,1827
Sep 29 2014 01: +0,0.344,1501
Sep 30 2014 01: +0,0.344,1539
Oct 01 2014 01: +0,0.349,1546
Oct 02 2014 01: +0,0.352,1488
Oct 03 2014 01: +0,0.351,1703
Oct 04 2014 01: +0,0.377,1807
Oct 05 2014 01: +0,0.366,1749
Oct 06 2014 01: +0,0.362,1494
Oct 07 2014 01: +0,0.357,1307
Oct 08 2014 01: +0,0.34,1371
Oct 09 2014 01: +0,0.328,1481
Oct 10 2014 01: +0,0.334,1658
Oct 11 2014 01: +0,0.339,1714
Oct 12 2014 01: +0,0.35,1628
Oct 13 2014 01: +0,0.344,1604
Oct 14 2014 01: +0,0.347,1402
Oct 15 2014 01: +0,0.341,1260
Oct 16 2014 01: +0,0.318,1503
Oct 17 2014 01: +0,0.323,1611
Oct 18 2014 01: +0,0.317,1901
Oct 19 2014 01: +0,0.311,1654
Oct 20 2014 01: +0,0.302,1315
Oct 21 2014 01: +0,0.316,1140
Oct 22 2014 01: +0,0.315,1229
Oct 23 2014 01: +0,0.326,1123
Oct 24 2014 01: +0,0.324,1486
Oct 25 2014 01: +0,0.307,1776
Oct 26 2014 01: +0,0.305,1721
Oct 27 2014 01: +0,0.313,1351
Oct 28 2014 01: +0,0.323,1207
Oct 29 2014 01: +0,0.321,1211
Oct 30 2014 01: +0,0.329,1102
Oct 31 2014 01: +0,0.325,1525
Nov 01 2014 01: +0,0.322,1418
Nov 02 2014 01: +0,0.302,1591
Nov 03 2014 01: +0,0.317,1129
Nov 04 2014 01: +0,0.317,1267
Nov 05 2014 01: +0,0.326,1234
Nov 06 2014 01: +0,0.319,1095
Nov 07 2014 01: +0,0.327,1309
Nov 08 2014 01: +0,0.334,1527
Nov 09 2014 01: +0,0.32,1380
