Date,Price,Volume
Aug 05 2014 01: +0,0.364,8276
Aug 06 2014 01: +0,0.383,3462
Aug 07 2014 01: +0,0.403,2431
Aug 08 2014 01: +0,0.412,2101
Aug 09 2014 01: +0,0.428,2021
Aug 10 2014 01: +0,0.412,1699
Aug 11 2014 01: +0,0.415,1761
Aug 12 2014 01: +0,0.44,2033
Aug 13 2014 01: +0,0.472,2752
Aug 14 2014 01: +0,0.563,4899
Aug 15 2014 01: +0,0.502,3499
Aug 16 2014 01: +0,0.365,4593
Aug 17 2014 01: +0,0.09,32744
Aug 18 2014 01: +0,0.065,12090
Aug 19 2014 01: +0,0.141,6099
Aug 20 2014 01: +0,0.153,4000
Aug 21 2014 01: +0,0.142,3449
Aug 22 2014 01: +0,0.136,3638
Aug 23 2014 01: +0,0.138,3415
Aug 24 2014 01: +0,0.139,2920
Aug 25 2014 01: +0,0.134,3029
Aug 26 2014 01: +0,0.137,3057
Aug 27 2014 01: +0,0.146,2785
Aug 28 2014 01: +0,0.157,2518
Aug 29 2014 01: +0,0.162,2708
Aug 30 2014 01: +0,0.171,2843
Aug 31 2014 01: +0,0.179,2686
Sep 01 2014 01: +0,0.194,2408
Sep 02 2014 01: +0,0.231,3292
Sep 03 2014 01: +0,0.245,2178
Sep 04 2014 01: +0,0.214,1808
Sep 05 2014 01: +0,0.213,3105
Sep 06 2014 01: +0,0.255,2489
Sep 07 2014 01: +0,0.213,1935
Sep 08 2014 01: +0,0.203,1665
Sep 09 2014 01: +0,0.211,1374
Sep 10 2014 01: +0,0.216,1628
Sep 11 2014 01: +0,0.192,1823
Sep 12 2014 01: +0,0.18,1969
Sep 13 2014 01: +0,0.176,1996
Sep 14 2014 01: +0,0.195,2004
Sep 15 2014 01: +0,0.192,1628
Sep 16 2014 01: +0,0.194,1702
Sep 17 2014 01: +0,0.204,1739
Sep 18 2014 01: +0,0.205,1615
Sep 19 2014 01: +0,0.197,1448
Sep 20 2014 01: +0,0.197,1773
Sep 21 2014 01: +0,0.199,1538
Sep 22 2014 01: +0,0.194,1464
Sep 23 2014 01: +0,0.196,1298
Sep 24 2014 01: +0,0.202,1328
Sep 25 2014 01: +0,0.207,1336
Sep 26 2014 01: +0,0.209,1603
Sep 27 2014 01: +0,0.206,1820
Sep 28 2014 01: +0,0.205,1802
Sep 29 2014 01: +0,0.199,1348
Sep 30 2014 01: +0,0.2,1507
Oct 01 2014 01: +0,0.197,1495
Oct 02 2014 01: +0,0.193,1794
Oct 03 2014 01: +0,0.197,1637
Oct 04 2014 01: +0,0.2,1883
Oct 05 2014 01: +0,0.199,1746
Oct 06 2014 01: +0,0.205,1470
Oct 07 2014 01: +0,0.214,1249
Oct 08 2014 01: +0,0.204,1441
Oct 09 2014 01: +0,0.212,1332
Oct 10 2014 01: +0,0.214,1499
Oct 11 2014 01: +0,0.214,1652
Oct 12 2014 01: +0,0.222,1562
Oct 13 2014 01: +0,0.214,1357
Oct 14 2014 01: +0,0.213,1403
Oct 15 2014 01: +0,0.214,1393
Oct 16 2014 01: +0,0.212,1455
Oct 17 2014 01: +0,0.224,1535
Oct 18 2014 01: +0,0.238,1887
Oct 19 2014 01: +0,0.245,1577
Oct 20 2014 01: +0,0.246,1370
Oct 21 2014 01: +0,0.256,1060
Oct 22 2014 01: +0,0.255,1359
Oct 23 2014 01: +0,0.272,1250
Oct 24 2014 01: +0,0.279,1863
Oct 25 2014 01: +0,0.258,1568
Oct 26 2014 01: +0,0.254,1575
Oct 27 2014 01: +0,0.246,1219
Oct 28 2014 01: +0,0.253,1149
Oct 29 2014 01: +0,0.251,1129
Oct 30 2014 01: +0,0.245,1106
Oct 31 2014 01: +0,0.245,1340
Nov 01 2014 01: +0,0.244,1669
Nov 02 2014 01: +0,0.246,1661
Nov 03 2014 01: +0,0.247,1191
Nov 04 2014 01: +0,0.243,1201
Nov 05 2014 01: +0,0.253,1102
Nov 06 2014 01: +0,0.242,1186
Nov 07 2014 01: +0,0.249,1134
Nov 08 2014 01: +0,0.244,1397
Nov 09 2014 01: +0,0.249,1351
Nov 10 2014 01: +0,0.246,1149
Nov 11 2014 01: +0,0.24,1188
Nov 12 2014 01: +0,0.183,1876
Nov 13 2014 01: +0,0.18,1187
Nov 14 2014 01: +0,0.189,1261
Nov 15 2014 01: +0,0.214,1267
Nov 16 2014 01: +0,0.216,1190
Nov 17 2014 01: +0,0.214,1083
Nov 18 2014 01: +0,0.216,859
Nov 19 2014 01: +0,0.209,956
Nov 20 2014 01: +0,0.212,869
Nov 21 2014 01: +0,0.167,1677
Nov 22 2014 01: +0,0.155,1272
Nov 23 2014 01: +0,0.163,1308
Nov 24 2014 01: +0,0.167,1000
Nov 25 2014 01: +0,0.165,924
Nov 26 2014 01: +0,0.167,1006
Nov 27 2014 01: +0,0.162,1171
Nov 28 2014 01: +0,0.17,1287
Nov 29 2014 01: +0,0.168,1808
Nov 30 2014 01: +0,0.18,1960
Dec 01 2014 01: +0,0.18,1164
Dec 02 2014 01: +0,0.207,1054
Dec 03 2014 01: +0,0.231,875
Dec 04 2014 01: +0,0.234,935
Dec 05 2014 01: +0,0.23,790
Dec 06 2014 01: +0,0.236,1123
Dec 07 2014 01: +0,0.234,1221
Dec 08 2014 01: +0,0.238,807
Dec 09 2014 01: +0,0.234,876
Dec 10 2014 01: +0,0.22,1007
Dec 11 2014 01: +0,0.225,862
Dec 12 2014 01: +0,0.212,908
Dec 13 2014 01: +0,0.221,1068
Dec 14 2014 01: +0,0.21,1080
Dec 15 2014 01: +0,0.216,906
Dec 16 2014 01: +0,0.205,926
Dec 17 2014 01: +0,0.213,883
Dec 18 2014 01: +0,0.211,1003
Dec 19 2014 01: +0,0.207,1008
Dec 20 2014 01: +0,0.211,982
Dec 21 2014 01: +0,0.21,1076
Dec 22 2014 01: +0,0.213,1214
Dec 23 2014 01: +0,0.213,1035
Dec 24 2014 01: +0,0.22,977
Dec 25 2014 01: +0,0.237,1034
Dec 26 2014 01: +0,0.234,1275
Dec 27 2014 01: +0,0.254,1172
Dec 28 2014 01: +0,0.262,1159
Dec 29 2014 01: +0,0.26,1239
Dec 30 2014 01: +0,0.27,1079
Dec 31 2014 01: +0,0.288,1066
Jan 01 2015 01: +0,0.299,827
Jan 02 2015 01: +0,0.294,1132
Jan 03 2015 01: +0,0.309,1071
Jan 04 2015 01: +0,0.319,1014
Jan 05 2015 01: +0,0.321,1004
Jan 06 2015 01: +0,0.325,1041
Jan 07 2015 01: +0,0.333,871
Jan 08 2015 01: +0,0.349,1021
Jan 09 2015 01: +0,0.362,1113
Jan 10 2015 01: +0,0.361,1220
Jan 11 2015 01: +0,0.392,1107
Jan 12 2015 01: +0,0.4,788
Jan 13 2015 01: +0,0.404,758
Jan 14 2015 01: +0,0.391,988
Jan 15 2015 01: +0,0.374,839
Jan 16 2015 01: +0,0.394,879
Jan 17 2015 01: +0,0.393,1034
Jan 18 2015 01: +0,0.392,996
Jan 19 2015 01: +0,0.388,786
Jan 20 2015 01: +0,0.386,850
Jan 21 2015 01: +0,0.397,713
Jan 22 2015 01: +0,0.4,816
Jan 23 2015 01: +0,0.392,1136
Jan 24 2015 01: +0,0.411,1182
Jan 25 2015 01: +0,0.41,1371
Jan 26 2015 01: +0,0.452,1151
Jan 27 2015 01: +0,0.445,1009
Jan 28 2015 01: +0,0.465,706
Jan 29 2015 01: +0,0.445,774
Jan 30 2015 01: +0,0.449,866
Jan 31 2015 01: +0,0.449,887
Feb 01 2015 01: +0,0.434,1315
Feb 02 2015 01: +0,0.437,905
Feb 03 2015 01: +0,0.436,872
Feb 04 2015 01: +0,0.437,761
Feb 05 2015 01: +0,0.427,732
Feb 06 2015 01: +0,0.423,802
Feb 07 2015 01: +0,0.43,986
Feb 08 2015 01: +0,0.427,934
Feb 09 2015 01: +0,0.433,656
Feb 10 2015 01: +0,0.428,671
Feb 11 2015 01: +0,0.412,776
Feb 12 2015 01: +0,0.42,725
Feb 13 2015 01: +0,0.426,898
Feb 14 2015 01: +0,0.43,924
Feb 15 2015 01: +0,0.423,895
Feb 16 2015 01: +0,0.412,933
Feb 17 2015 01: +0,0.418,809
Feb 18 2015 01: +0,0.431,673
Feb 19 2015 01: +0,0.43,738
Feb 20 2015 01: +0,0.429,864
Feb 21 2015 01: +0,0.444,770
Feb 22 2015 01: +0,0.459,818
Feb 23 2015 01: +0,0.463,717
Feb 24 2015 01: +0,0.463,617
Feb 25 2015 01: +0,0.457,650
Feb 26 2015 01: +0,0.473,625
Feb 27 2015 01: +0,0.386,924
Feb 28 2015 01: +0,0.396,784
Mar 01 2015 01: +0,0.376,747
Mar 02 2015 01: +0,0.383,611
Mar 03 2015 01: +0,0.399,495
Mar 04 2015 01: +0,0.407,484
Mar 05 2015 01: +0,0.406,501
Mar 06 2015 01: +0,0.422,608
Mar 07 2015 01: +0,0.421,724
Mar 08 2015 01: +0,0.42,621
Mar 09 2015 01: +0,0.418,527
Mar 10 2015 01: +0,0.413,448
Mar 11 2015 01: +0,0.382,524
Mar 12 2015 01: +0,0.347,684
Mar 13 2015 01: +0,0.361,569
Mar 14 2015 01: +0,0.336,749
Mar 15 2015 01: +0,0.28,950
Mar 16 2015 01: +0,0.276,599
Mar 17 2015 01: +0,0.344,409
Mar 18 2015 01: +0,0.356,394
Mar 19 2015 01: +0,0.343,332
Mar 20 2015 01: +0,0.338,416
Mar 21 2015 01: +0,0.35,445
Mar 22 2015 01: +0,0.351,423
Mar 23 2015 01: +0,0.364,403
Mar 24 2015 01: +0,0.362,338
Mar 25 2015 01: +0,0.367,340
Mar 26 2015 01: +0,0.361,373
Mar 27 2015 01: +0,0.362,390
Mar 28 2015 01: +0,0.375,429
Mar 29 2015 01: +0,0.368,550
Mar 30 2015 01: +0,0.367,419
Mar 31 2015 01: +0,0.37,440
Apr 01 2015 01: +0,0.363,565
Apr 02 2015 01: +0,0.373,517
Apr 03 2015 01: +0,0.383,522
Apr 04 2015 01: +0,0.392,559
Apr 05 2015 01: +0,0.392,507
Apr 06 2015 01: +0,0.402,513
Apr 07 2015 01: +0,0.407,467
Apr 08 2015 01: +0,0.407,532
Apr 09 2015 01: +0,0.41,455
Apr 10 2015 01: +0,0.39,604
Apr 11 2015 01: +0,0.41,684
Apr 12 2015 01: +0,0.408,626
Apr 13 2015 01: +0,0.391,476
Apr 14 2015 01: +0,0.388,443
