Date,Price,Volume
Aug 05 2014 01: +0,1.031,10157
Aug 06 2014 01: +0,1.02,3950
Aug 07 2014 01: +0,1,2746
Aug 08 2014 01: +0,0.992,2284
Aug 09 2014 01: +0,1.023,2242
Aug 10 2014 01: +0,1.011,1782
Aug 11 2014 01: +0,1.019,1761
Aug 12 2014 01: +0,1.079,2180
Aug 13 2014 01: +0,1.178,3077
Aug 14 2014 01: +0,1.225,4895
Aug 15 2014 01: +0,0.977,3914
Aug 16 2014 01: +0,0.881,3735
Aug 17 2014 01: +0,0.153,36410
Aug 18 2014 01: +0,0.135,12375
Aug 19 2014 01: +0,0.269,5960
Aug 20 2014 01: +0,0.278,3922
Aug 21 2014 01: +0,0.253,3390
Aug 22 2014 01: +0,0.238,3558
Aug 23 2014 01: +0,0.231,3435
Aug 24 2014 01: +0,0.238,3069
Aug 25 2014 01: +0,0.244,3227
Aug 26 2014 01: +0,0.249,3109
Aug 27 2014 01: +0,0.25,2850
Aug 28 2014 01: +0,0.263,2815
Aug 29 2014 01: +0,0.27,2790
Aug 30 2014 01: +0,0.289,2917
Aug 31 2014 01: +0,0.316,2595
Sep 01 2014 01: +0,0.345,2382
Sep 02 2014 01: +0,0.405,2705
Sep 03 2014 01: +0,0.409,2016
Sep 04 2014 01: +0,0.351,1673
Sep 05 2014 01: +0,0.335,2060
Sep 06 2014 01: +0,0.33,2164
Sep 07 2014 01: +0,0.334,1986
Sep 08 2014 01: +0,0.324,1688
Sep 09 2014 01: +0,0.331,1640
Sep 10 2014 01: +0,0.334,1616
Sep 11 2014 01: +0,0.293,1953
Sep 12 2014 01: +0,0.268,2189
Sep 13 2014 01: +0,0.292,2156
Sep 14 2014 01: +0,0.296,1964
Sep 15 2014 01: +0,0.29,1677
Sep 16 2014 01: +0,0.291,1698
Sep 17 2014 01: +0,0.301,1755
Sep 18 2014 01: +0,0.302,1752
Sep 19 2014 01: +0,0.295,1883
Sep 20 2014 01: +0,0.297,1994
Sep 21 2014 01: +0,0.307,1715
Sep 22 2014 01: +0,0.293,1475
Sep 23 2014 01: +0,0.289,1422
