Date,Price,Volume
Aug 15 2015 01: +0,1.1,392
Aug 16 2015 01: +0,1.091,176
Aug 17 2015 01: +0,1.081,156
Aug 18 2015 01: +0,1.054,115
Aug 19 2015 01: +0,1.064,115
Aug 20 2015 01: +0,1.034,404
Aug 21 2015 01: +0,1.041,856
Aug 22 2015 01: +0,0.488,5979
Aug 23 2015 01: +0,0.316,33743
Aug 24 2015 01: +0,0.345,7857
Aug 25 2015 01: +0,0.358,2868
Aug 26 2015 01: +0,0.352,2428
Aug 27 2015 01: +0,0.357,1996
Aug 28 2015 01: +0,0.356,2056
Aug 29 2015 01: +0,0.353,1905
Aug 30 2015 01: +0,0.352,1790
Aug 31 2015 01: +0,0.343,1867
Sep 01 2015 01: +0,0.35,1646
Sep 02 2015 01: +0,0.327,1557
Sep 03 2015 01: +0,0.317,1440
Sep 04 2015 01: +0,0.319,1495
Sep 05 2015 01: +0,0.328,1653
Sep 06 2015 01: +0,0.324,1499
Sep 07 2015 01: +0,0.319,1264
Sep 08 2015 01: +0,0.321,1159
Sep 09 2015 01: +0,0.315,1111
Sep 10 2015 01: +0,0.308,1366
Sep 11 2015 01: +0,0.314,1565
Sep 12 2015 01: +0,0.33,1496
Sep 13 2015 01: +0,0.322,1391
Sep 14 2015 01: +0,0.321,1347
Sep 15 2015 01: +0,0.315,1328
Sep 16 2015 01: +0,0.309,1531
Sep 17 2015 01: +0,0.311,1546
Sep 18 2015 01: +0,0.323,1642
Sep 19 2015 01: +0,0.335,1977
Sep 20 2015 01: +0,0.346,1621
Sep 21 2015 01: +0,0.357,1257
Sep 22 2015 01: +0,0.367,1316
Sep 23 2015 01: +0,0.366,1246
Sep 24 2015 01: +0,0.373,1152
Sep 25 2015 01: +0,0.371,1267
Sep 26 2015 01: +0,0.395,1378
Sep 27 2015 01: +0,0.418,1018
Sep 28 2015 01: +0,0.408,906
Sep 29 2015 01: +0,0.401,912
Sep 30 2015 01: +0,0.39,968
Oct 01 2015 01: +0,0.381,1076
Oct 02 2015 01: +0,0.369,1268
Oct 03 2015 01: +0,0.382,1133
Oct 04 2015 01: +0,0.388,1069
Oct 05 2015 01: +0,0.38,994
Oct 06 2015 01: +0,0.375,956
Oct 07 2015 01: +0,0.358,1039
Oct 08 2015 01: +0,0.348,1116
Oct 09 2015 01: +0,0.349,1213
Oct 10 2015 01: +0,0.344,1318
Oct 11 2015 01: +0,0.349,1292
