Date,Price,Volume
Jun 24 2016 01: +0,1.163,10
Jun 25 2016 01: +0,1.101,384
Jun 26 2016 01: +0,1.086,265
Jun 27 2016 01: +0,1.083,245
Jun 28 2016 01: +0,1.068,199
Jun 29 2016 01: +0,1.06,158
Jun 30 2016 01: +0,1.066,157
Jul 01 2016 01: +0,1.058,159
Jul 02 2016 01: +0,1.078,124
Jul 03 2016 01: +0,1.072,134
Jul 04 2016 01: +0,1.067,191
Jul 05 2016 01: +0,1.056,275
Jul 06 2016 01: +0,0.842,665
Jul 07 2016 01: +0,1.009,321
Jul 08 2016 01: +0,1.022,432
Jul 09 2016 01: +0,0.815,1169
Jul 10 2016 01: +0,0.315,10319
Jul 11 2016 01: +0,0.274,3333
Jul 12 2016 01: +0,0.321,2507
Jul 13 2016 01: +0,0.342,1735
Jul 14 2016 01: +0,0.293,1888
Jul 15 2016 01: +0,0.297,1510
Jul 16 2016 01: +0,0.306,1551
Jul 17 2016 01: +0,0.316,1390
Jul 18 2016 01: +0,0.329,1348
Jul 19 2016 01: +0,0.312,1124
Jul 20 2016 01: +0,0.311,1064
Jul 21 2016 01: +0,0.304,969
Jul 22 2016 01: +0,0.31,948
Jul 23 2016 01: +0,0.311,853
Jul 24 2016 01: +0,0.314,830
Jul 25 2016 01: +0,0.316,868
Jul 26 2016 01: +0,0.323,830
Jul 27 2016 01: +0,0.338,787
Jul 28 2016 01: +0,0.346,765
Jul 29 2016 01: +0,0.356,810
Jul 30 2016 01: +0,0.362,814
Jul 31 2016 01: +0,0.365,733
Aug 01 2016 01: +0,0.355,783
Aug 02 2016 01: +0,0.353,716
Aug 03 2016 01: +0,0.357,666
Aug 04 2016 01: +0,0.35,578
Aug 05 2016 01: +0,0.35,623
Aug 06 2016 01: +0,0.338,660
Aug 07 2016 01: +0,0.345,619
Aug 08 2016 01: +0,0.345,617
Aug 09 2016 01: +0,0.353,514
Aug 10 2016 01: +0,0.36,559
Aug 11 2016 01: +0,0.351,536
Aug 12 2016 01: +0,0.358,538
Aug 13 2016 01: +0,0.369,521
Aug 14 2016 01: +0,0.377,585
Aug 15 2016 01: +0,0.393,673
Aug 16 2016 01: +0,0.42,489
Aug 17 2016 01: +0,0.422,881
Aug 18 2016 01: +0,0.5,786
Aug 19 2016 01: +0,0.503,876
Aug 20 2016 01: +0,0.443,580
Aug 21 2016 01: +0,0.419,526
Aug 22 2016 01: +0,0.423,498
Aug 23 2016 01: +0,0.419,482
Aug 24 2016 01: +0,0.418,460
Aug 25 2016 01: +0,0.422,489
Aug 26 2016 01: +0,0.421,466
Aug 27 2016 01: +0,0.425,515
Aug 28 2016 01: +0,0.426,507
Aug 29 2016 01: +0,0.43,437
Aug 30 2016 01: +0,0.434,432
Aug 31 2016 01: +0,0.446,354
Sep 01 2016 01: +0,0.446,331
Sep 02 2016 01: +0,0.475,318
Sep 03 2016 01: +0,0.479,385
Sep 04 2016 01: +0,0.469,413
Sep 05 2016 01: +0,0.467,290
Sep 06 2016 01: +0,0.478,247
Sep 07 2016 01: +0,0.481,270
Sep 08 2016 01: +0,0.463,252
Sep 09 2016 01: +0,0.452,366
Sep 10 2016 01: +0,0.488,383
Sep 11 2016 01: +0,0.493,290
Sep 12 2016 01: +0,0.47,353
Sep 13 2016 01: +0,0.466,295
Sep 14 2016 01: +0,0.47,226
Sep 15 2016 01: +0,0.466,261
Sep 16 2016 01: +0,0.463,321
Sep 17 2016 01: +0,0.456,356
Sep 18 2016 01: +0,0.454,330
Sep 19 2016 01: +0,0.45,271
Sep 20 2016 01: +0,0.461,259
Sep 21 2016 01: +0,0.451,267
Sep 22 2016 01: +0,0.469,231
Sep 23 2016 01: +0,0.468,259
Sep 24 2016 01: +0,0.455,322
Sep 25 2016 01: +0,0.458,327
Sep 26 2016 01: +0,0.458,253
Sep 27 2016 01: +0,0.455,202
Sep 28 2016 01: +0,0.457,245
Sep 29 2016 01: +0,0.452,286
Sep 30 2016 01: +0,0.451,279
Oct 01 2016 01: +0,0.448,325
Oct 02 2016 01: +0,0.45,334
Oct 03 2016 01: +0,0.452,231
Oct 04 2016 01: +0,0.45,241
Oct 05 2016 01: +0,0.451,274
Oct 06 2016 01: +0,0.444,202
Oct 07 2016 01: +0,0.428,283
Oct 08 2016 01: +0,0.418,324
Oct 09 2016 01: +0,0.411,287
Oct 10 2016 01: +0,0.413,236
Oct 11 2016 01: +0,0.407,213
Oct 12 2016 01: +0,0.407,206
Oct 13 2016 01: +0,0.408,199
Oct 14 2016 01: +0,0.402,235
Oct 15 2016 01: +0,0.412,273
Oct 16 2016 01: +0,0.417,302
Oct 17 2016 01: +0,0.412,214
Oct 18 2016 01: +0,0.429,169
Oct 19 2016 01: +0,0.435,190
Oct 20 2016 01: +0,0.426,169
Oct 21 2016 01: +0,0.423,184
Oct 22 2016 01: +0,0.423,220
Oct 23 2016 01: +0,0.426,243
Oct 24 2016 01: +0,0.425,193
Oct 25 2016 01: +0,0.426,178
Oct 26 2016 01: +0,0.442,155
Oct 27 2016 01: +0,0.436,157
Oct 28 2016 01: +0,0.443,191
Oct 29 2016 01: +0,0.418,235
Oct 30 2016 01: +0,0.413,220
Oct 31 2016 01: +0,0.424,192
Nov 01 2016 01: +0,0.41,219
Nov 02 2016 01: +0,0.422,214
Nov 03 2016 01: +0,0.427,164
Nov 04 2016 01: +0,0.431,223
Nov 05 2016 01: +0,0.43,248
Nov 06 2016 01: +0,0.431,259
Nov 07 2016 01: +0,0.439,179
Nov 08 2016 01: +0,0.446,195
Nov 09 2016 01: +0,0.453,196
Nov 10 2016 01: +0,0.461,198
Nov 11 2016 01: +0,0.451,162
Nov 12 2016 01: +0,0.456,238
Nov 13 2016 01: +0,0.452,202
Nov 14 2016 01: +0,0.448,183
Nov 15 2016 01: +0,0.448,178
Nov 16 2016 01: +0,0.438,182
Nov 17 2016 01: +0,0.434,160
Nov 18 2016 01: +0,0.432,185
Nov 19 2016 01: +0,0.437,280
Nov 20 2016 01: +0,0.424,240
Nov 21 2016 01: +0,0.433,205
Nov 22 2016 01: +0,0.446,161
Nov 23 2016 01: +0,0.435,170
Nov 24 2016 01: +0,0.367,191
Nov 25 2016 01: +0,0.369,204
Nov 26 2016 01: +0,0.386,212
Nov 27 2016 01: +0,0.384,207
Nov 28 2016 01: +0,0.397,163
Nov 29 2016 01: +0,0.403,179
Nov 30 2016 01: +0,0.414,182
Dec 01 2016 01: +0,0.426,195
Dec 02 2016 01: +0,0.443,193
Dec 03 2016 01: +0,0.438,247
Dec 04 2016 01: +0,0.463,196
Dec 05 2016 01: +0,0.459,146
Dec 06 2016 01: +0,0.46,190
Dec 07 2016 01: +0,0.458,180
Dec 08 2016 01: +0,0.433,187
Dec 09 2016 01: +0,0.448,228
Dec 10 2016 01: +0,0.465,254
Dec 11 2016 01: +0,0.459,184
Dec 12 2016 01: +0,0.456,171
Dec 13 2016 01: +0,0.452,136
Dec 14 2016 01: +0,0.453,141
Dec 15 2016 01: +0,0.457,185
Dec 16 2016 01: +0,0.449,228
Dec 17 2016 01: +0,0.458,213
Dec 18 2016 01: +0,0.433,207
Dec 19 2016 01: +0,0.406,206
Dec 20 2016 01: +0,0.42,149
Dec 21 2016 01: +0,0.432,153
Dec 22 2016 01: +0,0.426,202
Dec 23 2016 01: +0,0.396,173
Dec 24 2016 01: +0,0.398,240
Dec 25 2016 01: +0,0.439,272
Dec 26 2016 01: +0,0.445,228
Dec 27 2016 01: +0,0.438,244
Dec 28 2016 01: +0,0.438,227
Dec 29 2016 01: +0,0.425,228
Dec 30 2016 01: +0,0.428,232
Dec 31 2016 01: +0,0.434,208
Jan 01 2017 01: +0,0.415,191
Jan 02 2017 01: +0,0.432,242
Jan 03 2017 01: +0,0.442,186
Jan 04 2017 01: +0,0.453,209
Jan 05 2017 01: +0,0.446,168
Jan 06 2017 01: +0,0.452,201
Jan 07 2017 01: +0,0.446,285
Jan 08 2017 01: +0,0.464,266
Jan 09 2017 01: +0,0.483,198
Jan 10 2017 01: +0,0.462,186
Jan 11 2017 01: +0,0.469,181
Jan 12 2017 01: +0,0.466,156
Jan 13 2017 01: +0,0.452,197
Jan 14 2017 01: +0,0.447,234
Jan 15 2017 01: +0,0.444,211
Jan 16 2017 01: +0,0.438,192
Jan 17 2017 01: +0,0.43,176
Jan 18 2017 01: +0,0.433,174
Jan 19 2017 01: +0,0.459,133
Jan 20 2017 01: +0,0.439,209
Jan 21 2017 01: +0,0.421,225
Jan 22 2017 01: +0,0.428,182
Jan 23 2017 01: +0,0.471,167
Jan 24 2017 01: +0,0.499,146
Jan 25 2017 01: +0,0.502,145
Jan 26 2017 01: +0,0.49,188
Jan 27 2017 01: +0,0.484,146
Jan 28 2017 01: +0,0.485,206
Jan 29 2017 01: +0,0.439,191
Jan 30 2017 01: +0,0.371,106
Jan 31 2017 01: +0,0.385,111
Feb 01 2017 01: +0,0.41,108
Feb 02 2017 01: +0,0.41,113
Feb 03 2017 01: +0,0.421,114
Feb 04 2017 01: +0,0.458,168
Feb 05 2017 01: +0,0.476,102
Feb 06 2017 01: +0,0.484,76
Feb 07 2017 01: +0,0.493,99
Feb 08 2017 01: +0,0.465,70
Feb 09 2017 01: +0,0.47,82
Feb 10 2017 01: +0,0.477,103
Feb 11 2017 01: +0,0.466,113
Feb 12 2017 01: +0,0.478,109
Feb 13 2017 01: +0,0.462,84
Feb 14 2017 01: +0,0.484,87
Feb 15 2017 01: +0,0.471,77
Feb 16 2017 01: +0,0.465,78
Feb 17 2017 01: +0,0.472,85
Feb 18 2017 01: +0,0.482,71
Feb 19 2017 01: +0,0.458,97
Feb 20 2017 01: +0,0.466,96
Feb 21 2017 01: +0,0.458,59
Feb 22 2017 01: +0,0.449,63
Feb 23 2017 01: +0,0.453,70
Feb 24 2017 01: +0,0.472,93
Feb 25 2017 01: +0,0.455,101
Feb 26 2017 01: +0,0.479,80
Feb 27 2017 01: +0,0.455,75
Feb 28 2017 01: +0,0.45,81
Mar 01 2017 01: +0,0.463,76
Mar 02 2017 01: +0,0.476,76
Mar 03 2017 01: +0,0.476,90
