Date,Price,Volume
Jun 24 2016 01: +0,1.64,28
Jun 25 2016 01: +0,1.103,1228
Jun 26 2016 01: +0,1.082,685
Jun 27 2016 01: +0,1.075,393
Jun 28 2016 01: +0,1.065,330
Jun 29 2016 01: +0,1.065,287
Jun 30 2016 01: +0,1.055,245
Jul 01 2016 01: +0,1.062,264
Jul 02 2016 01: +0,1.065,263
Jul 03 2016 01: +0,1.056,195
Jul 04 2016 01: +0,1.078,202
Jul 05 2016 01: +0,1.075,331
Jul 06 2016 01: +0,1.047,363
Jul 07 2016 01: +0,0.6,994
Jul 08 2016 01: +0,0.439,844
Jul 09 2016 01: +0,0.467,748
Jul 10 2016 01: +0,0.371,24240
Jul 11 2016 01: +0,0.286,8107
Jul 12 2016 01: +0,0.294,2937
Jul 13 2016 01: +0,0.285,1630
Jul 14 2016 01: +0,0.266,1846
Jul 15 2016 01: +0,0.271,1374
Jul 16 2016 01: +0,0.262,1314
Jul 17 2016 01: +0,0.27,1272
Jul 18 2016 01: +0,0.264,1751
Jul 19 2016 01: +0,0.249,1451
Jul 20 2016 01: +0,0.259,1229
Jul 21 2016 01: +0,0.256,1165
Jul 22 2016 01: +0,0.256,990
Jul 23 2016 01: +0,0.261,1016
Jul 24 2016 01: +0,0.257,1140
Jul 25 2016 01: +0,0.258,1069
Jul 26 2016 01: +0,0.264,1131
Jul 27 2016 01: +0,0.266,1039
Jul 28 2016 01: +0,0.267,901
Jul 29 2016 01: +0,0.272,1073
Jul 30 2016 01: +0,0.27,1061
Jul 31 2016 01: +0,0.267,963
Aug 01 2016 01: +0,0.268,1237
Aug 02 2016 01: +0,0.269,1042
Aug 03 2016 01: +0,0.273,905
Aug 04 2016 01: +0,0.27,942
Aug 05 2016 01: +0,0.267,874
Aug 06 2016 01: +0,0.264,947
Aug 07 2016 01: +0,0.264,1031
Aug 08 2016 01: +0,0.265,979
Aug 09 2016 01: +0,0.267,950
Aug 10 2016 01: +0,0.266,814
Aug 11 2016 01: +0,0.271,673
Aug 12 2016 01: +0,0.273,658
Aug 13 2016 01: +0,0.267,765
Aug 14 2016 01: +0,0.269,840
Aug 15 2016 01: +0,0.268,1003
Aug 16 2016 01: +0,0.277,816
Aug 17 2016 01: +0,0.276,997
Aug 18 2016 01: +0,0.278,1202
Aug 19 2016 01: +0,0.279,1169
Aug 20 2016 01: +0,0.283,1327
Aug 21 2016 01: +0,0.285,1342
Aug 22 2016 01: +0,0.291,1000
Aug 23 2016 01: +0,0.29,1054
Aug 24 2016 01: +0,0.298,847
Aug 25 2016 01: +0,0.306,828
Aug 26 2016 01: +0,0.318,862
Aug 27 2016 01: +0,0.327,777
Aug 28 2016 01: +0,0.33,672
Aug 29 2016 01: +0,0.327,771
Aug 30 2016 01: +0,0.324,694
Aug 31 2016 01: +0,0.329,589
Sep 01 2016 01: +0,0.331,576
Sep 02 2016 01: +0,0.33,654
Sep 03 2016 01: +0,0.333,915
Sep 04 2016 01: +0,0.334,799
Sep 05 2016 01: +0,0.337,677
Sep 06 2016 01: +0,0.348,612
Sep 07 2016 01: +0,0.363,332
Sep 08 2016 01: +0,0.362,385
Sep 09 2016 01: +0,0.361,540
Sep 10 2016 01: +0,0.358,575
Sep 11 2016 01: +0,0.359,595
Sep 12 2016 01: +0,0.353,536
Sep 13 2016 01: +0,0.354,527
Sep 14 2016 01: +0,0.349,523
Sep 15 2016 01: +0,0.339,880
Sep 16 2016 01: +0,0.336,1009
Sep 17 2016 01: +0,0.35,879
Sep 18 2016 01: +0,0.353,724
Sep 19 2016 01: +0,0.356,528
Sep 20 2016 01: +0,0.356,417
Sep 21 2016 01: +0,0.36,434
Sep 22 2016 01: +0,0.358,355
Sep 23 2016 01: +0,0.362,420
Sep 24 2016 01: +0,0.358,595
Sep 25 2016 01: +0,0.351,572
Sep 26 2016 01: +0,0.355,442
Sep 27 2016 01: +0,0.356,403
Sep 28 2016 01: +0,0.357,440
Sep 29 2016 01: +0,0.35,523
Sep 30 2016 01: +0,0.354,471
Oct 01 2016 01: +0,0.356,805
Oct 02 2016 01: +0,0.356,577
Oct 03 2016 01: +0,0.347,631
Oct 04 2016 01: +0,0.354,495
Oct 05 2016 01: +0,0.352,396
Oct 06 2016 01: +0,0.349,339
Oct 07 2016 01: +0,0.341,364
Oct 08 2016 01: +0,0.341,359
Oct 09 2016 01: +0,0.337,470
Oct 10 2016 01: +0,0.34,323
Oct 11 2016 01: +0,0.334,350
Oct 12 2016 01: +0,0.342,302
Oct 13 2016 01: +0,0.339,326
Oct 14 2016 01: +0,0.337,337
Oct 15 2016 01: +0,0.336,334
Oct 16 2016 01: +0,0.336,341
Oct 17 2016 01: +0,0.324,366
Oct 18 2016 01: +0,0.328,266
Oct 19 2016 01: +0,0.331,315
Oct 20 2016 01: +0,0.327,334
Oct 21 2016 01: +0,0.325,372
Oct 22 2016 01: +0,0.327,402
Oct 23 2016 01: +0,0.323,396
Oct 24 2016 01: +0,0.329,277
Oct 25 2016 01: +0,0.321,402
Oct 26 2016 01: +0,0.319,395
Oct 27 2016 01: +0,0.322,305
Oct 28 2016 01: +0,0.323,385
Oct 29 2016 01: +0,0.327,399
Oct 30 2016 01: +0,0.326,336
Oct 31 2016 01: +0,0.325,269
Nov 01 2016 01: +0,0.323,278
Nov 02 2016 01: +0,0.327,356
Nov 03 2016 01: +0,0.334,206
Nov 04 2016 01: +0,0.332,291
Nov 05 2016 01: +0,0.335,360
Nov 06 2016 01: +0,0.34,345
Nov 07 2016 01: +0,0.333,255
Nov 08 2016 01: +0,0.331,271
Nov 09 2016 01: +0,0.327,348
Nov 10 2016 01: +0,0.333,286
Nov 11 2016 01: +0,0.335,303
Nov 12 2016 01: +0,0.334,419
Nov 13 2016 01: +0,0.33,363
Nov 14 2016 01: +0,0.325,378
Nov 15 2016 01: +0,0.317,448
Nov 16 2016 01: +0,0.321,292
Nov 17 2016 01: +0,0.321,291
Nov 18 2016 01: +0,0.322,327
Nov 19 2016 01: +0,0.323,558
Nov 20 2016 01: +0,0.323,364
Nov 21 2016 01: +0,0.328,256
Nov 22 2016 01: +0,0.329,256
Nov 23 2016 01: +0,0.324,323
Nov 24 2016 01: +0,0.307,364
Nov 25 2016 01: +0,0.311,276
Nov 26 2016 01: +0,0.313,372
Nov 27 2016 01: +0,0.308,327
Nov 28 2016 01: +0,0.305,293
Nov 29 2016 01: +0,0.307,300
Nov 30 2016 01: +0,0.314,367
Dec 01 2016 01: +0,0.321,456
Dec 02 2016 01: +0,0.321,706
Dec 03 2016 01: +0,0.322,1148
Dec 04 2016 01: +0,0.338,971
Dec 05 2016 01: +0,0.334,686
Dec 06 2016 01: +0,0.334,623
Dec 07 2016 01: +0,0.341,530
Dec 08 2016 01: +0,0.339,616
Dec 09 2016 01: +0,0.341,538
Dec 10 2016 01: +0,0.347,698
Dec 11 2016 01: +0,0.356,722
Dec 12 2016 01: +0,0.356,492
Dec 13 2016 01: +0,0.352,516
Dec 14 2016 01: +0,0.354,439
Dec 15 2016 01: +0,0.349,475
Dec 16 2016 01: +0,0.348,512
Dec 17 2016 01: +0,0.346,671
Dec 18 2016 01: +0,0.347,539
Dec 19 2016 01: +0,0.336,484
Dec 20 2016 01: +0,0.333,513
Dec 21 2016 01: +0,0.32,746
Dec 22 2016 01: +0,0.325,546
Dec 23 2016 01: +0,0.326,456
Dec 24 2016 01: +0,0.332,510
Dec 25 2016 01: +0,0.333,646
Dec 26 2016 01: +0,0.344,621
Dec 27 2016 01: +0,0.343,507
Dec 28 2016 01: +0,0.338,533
Dec 29 2016 01: +0,0.336,526
Dec 30 2016 01: +0,0.336,591
Dec 31 2016 01: +0,0.341,559
Jan 01 2017 01: +0,0.332,765
Jan 02 2017 01: +0,0.328,755
Jan 03 2017 01: +0,0.329,786
Jan 04 2017 01: +0,0.335,638
Jan 05 2017 01: +0,0.333,801
Jan 06 2017 01: +0,0.336,680
Jan 07 2017 01: +0,0.333,770
Jan 08 2017 01: +0,0.34,678
Jan 09 2017 01: +0,0.336,801
Jan 10 2017 01: +0,0.337,552
Jan 11 2017 01: +0,0.328,793
Jan 12 2017 01: +0,0.333,683
Jan 13 2017 01: +0,0.334,698
Jan 14 2017 01: +0,0.335,589
Jan 15 2017 01: +0,0.338,462
Jan 16 2017 01: +0,0.341,367
Jan 17 2017 01: +0,0.34,295
Jan 18 2017 01: +0,0.34,427
Jan 19 2017 01: +0,0.336,406
Jan 20 2017 01: +0,0.334,483
