Date,Price,Volume
Jun 25 2016 01: +0,1.106,142
Jun 26 2016 01: +0,1.091,99
Jun 27 2016 01: +0,1.045,80
Jun 28 2016 01: +0,1.063,101
Jun 29 2016 01: +0,1.074,73
Jun 30 2016 01: +0,1.083,68
Jul 01 2016 01: +0,1.133,70
Jul 02 2016 01: +0,1.063,78
Jul 03 2016 01: +0,1.039,69
Jul 04 2016 01: +0,1.079,107
Jul 05 2016 01: +0,1.069,169
Jul 06 2016 01: +0,0.815,482
Jul 07 2016 01: +0,0.32,2640
Jul 08 2016 01: +0,0.279,2013
Jul 09 2016 01: +0,0.281,1651
Jul 10 2016 01: +0,0.286,4098
Jul 11 2016 01: +0,0.275,1130
Jul 12 2016 01: +0,0.302,1044
Jul 13 2016 01: +0,0.302,702
Jul 14 2016 01: +0,0.282,736
Jul 15 2016 01: +0,0.283,598
Jul 16 2016 01: +0,0.302,610
Jul 17 2016 01: +0,0.311,504
Jul 18 2016 01: +0,0.3,518
Jul 19 2016 01: +0,0.299,495
Jul 20 2016 01: +0,0.302,425
Jul 21 2016 01: +0,0.302,387
Jul 22 2016 01: +0,0.298,406
Jul 23 2016 01: +0,0.304,395
Jul 24 2016 01: +0,0.306,368
Jul 25 2016 01: +0,0.303,342
Jul 26 2016 01: +0,0.314,332
Jul 27 2016 01: +0,0.308,375
Jul 28 2016 01: +0,0.318,349
Jul 29 2016 01: +0,0.32,328
Jul 30 2016 01: +0,0.322,336
Jul 31 2016 01: +0,0.334,313
Aug 01 2016 01: +0,0.336,303
Aug 02 2016 01: +0,0.332,319
Aug 03 2016 01: +0,0.332,270
Aug 04 2016 01: +0,0.33,291
Aug 05 2016 01: +0,0.32,233
Aug 06 2016 01: +0,0.319,254
Aug 07 2016 01: +0,0.336,257
Aug 08 2016 01: +0,0.323,256
Aug 09 2016 01: +0,0.322,242
Aug 10 2016 01: +0,0.325,239
Aug 11 2016 01: +0,0.337,243
Aug 12 2016 01: +0,0.33,222
Aug 13 2016 01: +0,0.316,213
Aug 14 2016 01: +0,0.325,223
Aug 15 2016 01: +0,0.327,238
Aug 16 2016 01: +0,0.336,222
Aug 17 2016 01: +0,0.336,228
Aug 18 2016 01: +0,0.346,238
Aug 19 2016 01: +0,0.331,228
Aug 20 2016 01: +0,0.353,246
Aug 21 2016 01: +0,0.352,210
Aug 22 2016 01: +0,0.354,243
Aug 23 2016 01: +0,0.352,233
Aug 24 2016 01: +0,0.371,245
Aug 25 2016 01: +0,0.366,220
Aug 26 2016 01: +0,0.376,228
Aug 27 2016 01: +0,0.379,243
Aug 28 2016 01: +0,0.399,244
Aug 29 2016 01: +0,0.419,185
Aug 30 2016 01: +0,0.417,214
Aug 31 2016 01: +0,0.417,171
Sep 01 2016 01: +0,0.441,156
Sep 02 2016 01: +0,0.436,152
Sep 03 2016 01: +0,0.432,210
Sep 04 2016 01: +0,0.445,149
Sep 05 2016 01: +0,0.436,126
Sep 06 2016 01: +0,0.423,146
Sep 07 2016 01: +0,0.421,123
Sep 08 2016 01: +0,0.46,152
Sep 09 2016 01: +0,0.455,138
Sep 10 2016 01: +0,0.463,171
Sep 11 2016 01: +0,0.46,210
Sep 12 2016 01: +0,0.463,189
Sep 13 2016 01: +0,0.451,128
Sep 14 2016 01: +0,0.448,154
Sep 15 2016 01: +0,0.455,145
Sep 16 2016 01: +0,0.449,177
Sep 17 2016 01: +0,0.456,192
Sep 18 2016 01: +0,0.454,178
Sep 19 2016 01: +0,0.436,132
Sep 20 2016 01: +0,0.458,127
Sep 21 2016 01: +0,0.461,122
Sep 22 2016 01: +0,0.457,121
Sep 23 2016 01: +0,0.459,165
Sep 24 2016 01: +0,0.461,150
