Date,Price,Volume
Nov 21 2014 01: +0,1.018,264
Nov 22 2014 01: +0,1.026,242
Nov 23 2014 01: +0,1.029,192
Nov 24 2014 01: +0,1.025,150
Nov 25 2014 01: +0,1.047,126
Nov 26 2014 01: +0,1.021,241
Nov 27 2014 01: +0,0.985,217
Nov 28 2014 01: +0,0.491,1609
Nov 29 2014 01: +0,0.279,2097
Nov 30 2014 01: +0,0.237,2519
Dec 01 2014 01: +0,0.234,1040
Dec 02 2014 01: +0,0.298,998
Dec 03 2014 01: +0,0.345,741
Dec 04 2014 01: +0,0.344,471
Dec 05 2014 01: +0,0.317,578
Dec 06 2014 01: +0,0.348,643
Dec 07 2014 01: +0,0.342,551
Dec 08 2014 01: +0,0.342,461
Dec 09 2014 01: +0,0.323,416
Dec 10 2014 01: +0,0.306,519
Dec 11 2014 01: +0,0.305,476
Dec 12 2014 01: +0,0.312,516
Dec 13 2014 01: +0,0.303,500
Dec 14 2014 01: +0,0.294,435
Dec 15 2014 01: +0,0.29,484
Dec 16 2014 01: +0,0.281,430
Dec 17 2014 01: +0,0.291,376
Dec 18 2014 01: +0,0.277,372
Dec 19 2014 01: +0,0.285,435
Dec 20 2014 01: +0,0.291,391
Dec 21 2014 01: +0,0.289,397
Dec 22 2014 01: +0,0.311,380
Dec 23 2014 01: +0,0.33,356
Dec 24 2014 01: +0,0.359,306
Dec 25 2014 01: +0,0.393,354
Dec 26 2014 01: +0,0.402,380
Dec 27 2014 01: +0,0.447,345
Dec 28 2014 01: +0,0.461,309
Dec 29 2014 01: +0,0.507,237
Dec 30 2014 01: +0,0.51,202
Dec 31 2014 01: +0,0.512,249
Jan 01 2015 01: +0,0.512,233
Jan 02 2015 01: +0,0.498,268
Jan 03 2015 01: +0,0.535,268
Jan 04 2015 01: +0,0.568,243
Jan 05 2015 01: +0,0.554,216
Jan 06 2015 01: +0,0.619,190
Jan 07 2015 01: +0,0.612,186
Jan 08 2015 01: +0,0.617,221
Jan 09 2015 01: +0,0.618,244
Jan 10 2015 01: +0,0.627,322
Jan 11 2015 01: +0,0.63,270
Jan 12 2015 01: +0,0.593,191
Jan 13 2015 01: +0,0.649,208
Jan 14 2015 01: +0,0.635,190
Jan 15 2015 01: +0,0.607,218
Jan 16 2015 01: +0,0.599,289
Jan 17 2015 01: +0,0.61,263
Jan 18 2015 01: +0,0.641,253
Jan 19 2015 01: +0,0.622,199
Jan 20 2015 01: +0,0.666,177
Jan 21 2015 01: +0,0.684,199
Jan 22 2015 01: +0,0.628,179
Jan 23 2015 01: +0,0.655,182
Jan 24 2015 01: +0,0.674,232
Jan 25 2015 01: +0,0.71,227
Jan 26 2015 01: +0,0.641,203
Jan 27 2015 01: +0,0.684,190
Jan 28 2015 01: +0,0.693,150
Jan 29 2015 01: +0,0.664,150
Jan 30 2015 01: +0,0.681,161
Jan 31 2015 01: +0,0.682,179
Feb 01 2015 01: +0,0.689,221
Feb 02 2015 01: +0,0.714,135
Feb 03 2015 01: +0,0.735,140
Feb 04 2015 01: +0,0.728,142
Feb 05 2015 01: +0,0.772,124
Feb 06 2015 01: +0,0.794,164
Feb 07 2015 01: +0,0.816,186
Feb 08 2015 01: +0,0.781,160
Feb 09 2015 01: +0,0.772,143
Feb 10 2015 01: +0,0.801,113
Feb 11 2015 01: +0,0.795,144
Feb 12 2015 01: +0,0.818,124
Feb 13 2015 01: +0,0.789,159
Feb 14 2015 01: +0,0.794,125
Feb 15 2015 01: +0,0.807,191
Feb 16 2015 01: +0,0.827,161
Feb 17 2015 01: +0,0.821,190
Feb 18 2015 01: +0,0.818,159
Feb 19 2015 01: +0,0.812,158
Feb 20 2015 01: +0,0.846,194
Feb 21 2015 01: +0,0.867,131
Feb 22 2015 01: +0,0.88,141
Feb 23 2015 01: +0,0.934,113
Feb 24 2015 01: +0,0.964,98
Feb 25 2015 01: +0,0.927,118
Feb 26 2015 01: +0,0.923,111
Feb 27 2015 01: +0,0.63,319
Feb 28 2015 01: +0,0.702,165
Mar 01 2015 01: +0,0.685,153
Mar 02 2015 01: +0,0.675,120
Mar 03 2015 01: +0,0.688,111
Mar 04 2015 01: +0,0.698,100
Mar 05 2015 01: +0,0.676,105
Mar 06 2015 01: +0,0.669,115
Mar 07 2015 01: +0,0.673,140
Mar 08 2015 01: +0,0.682,140
Mar 09 2015 01: +0,0.696,111
Mar 10 2015 01: +0,0.626,99
Mar 11 2015 01: +0,0.578,95
Mar 12 2015 01: +0,0.613,116
Mar 13 2015 01: +0,0.616,106
Mar 14 2015 01: +0,0.522,123
Mar 15 2015 01: +0,0.463,203
Mar 16 2015 01: +0,0.44,153
Mar 17 2015 01: +0,0.482,88
Mar 18 2015 01: +0,0.553,61
Mar 19 2015 01: +0,0.531,65
Mar 20 2015 01: +0,0.525,71
Mar 21 2015 01: +0,0.558,73
Mar 22 2015 01: +0,0.59,89
Mar 23 2015 01: +0,0.533,65
Mar 24 2015 01: +0,0.533,68
Mar 25 2015 01: +0,0.607,66
Mar 26 2015 01: +0,0.569,49
Mar 27 2015 01: +0,0.557,72
Mar 28 2015 01: +0,0.567,60
Mar 29 2015 01: +0,0.568,74
Mar 30 2015 01: +0,0.56,74
Mar 31 2015 01: +0,0.513,75
Apr 01 2015 01: +0,0.554,121
Apr 02 2015 01: +0,0.576,77
Apr 03 2015 01: +0,0.596,90
Apr 04 2015 01: +0,0.602,103
Apr 05 2015 01: +0,0.621,92
Apr 06 2015 01: +0,0.653,82
Apr 07 2015 01: +0,0.631,80
Apr 08 2015 01: +0,0.643,92
Apr 09 2015 01: +0,0.619,131
Apr 10 2015 01: +0,0.627,83
Apr 11 2015 01: +0,0.624,110
Apr 12 2015 01: +0,0.618,77
Apr 13 2015 01: +0,0.6,89
Apr 14 2015 01: +0,0.616,74
Apr 15 2015 01: +0,0.61,58
Apr 16 2015 01: +0,0.627,79
Apr 17 2015 01: +0,0.593,54
Apr 18 2015 01: +0,0.579,111
Apr 19 2015 01: +0,0.586,81
Apr 20 2015 01: +0,0.555,74
Apr 21 2015 01: +0,0.579,78
Apr 22 2015 01: +0,0.601,81
Apr 23 2015 01: +0,0.617,70
Apr 24 2015 01: +0,0.65,86
Apr 25 2015 01: +0,0.674,80
Apr 26 2015 01: +0,0.695,89
Apr 27 2015 01: +0,0.679,74
Apr 28 2015 01: +0,0.687,84
Apr 29 2015 01: +0,0.727,97
Apr 30 2015 01: +0,0.774,79
May 01 2015 01: +0,0.806,62
May 02 2015 01: +0,0.729,67
May 03 2015 01: +0,0.773,79
May 04 2015 01: +0,0.845,61
May 05 2015 01: +0,0.827,42
May 06 2015 01: +0,0.859,64
May 07 2015 01: +0,0.849,53
May 08 2015 01: +0,0.808,69
May 09 2015 01: +0,0.865,90
May 10 2015 01: +0,0.788,50
May 11 2015 01: +0,0.848,71
May 12 2015 01: +0,0.88,57
May 13 2015 01: +0,0.852,58
May 14 2015 01: +0,0.897,53
May 15 2015 01: +0,0.944,65
May 16 2015 01: +0,0.966,56
May 17 2015 01: +0,0.917,61
May 18 2015 01: +0,0.88,47
May 19 2015 01: +0,0.907,49
May 20 2015 01: +0,0.938,63
May 21 2015 01: +0,0.938,48
May 22 2015 01: +0,0.926,60
May 23 2015 01: +0,0.934,72
May 24 2015 01: +0,0.962,72
May 25 2015 01: +0,0.983,51
May 26 2015 01: +0,0.978,38
May 27 2015 01: +0,0.651,152
May 28 2015 01: +0,0.831,74
May 29 2015 01: +0,0.904,49
May 30 2015 01: +0,0.915,66
May 31 2015 01: +0,0.943,63
Jun 01 2015 01: +0,0.915,90
Jun 02 2015 01: +0,0.97,64
Jun 03 2015 01: +0,0.952,55
Jun 04 2015 01: +0,0.896,85
Jun 05 2015 01: +0,0.858,82
Jun 06 2015 01: +0,0.939,60
Jun 07 2015 01: +0,0.904,68
Jun 08 2015 01: +0,0.972,69
Jun 09 2015 01: +0,0.989,52
Jun 10 2015 01: +0,0.932,62
Jun 11 2015 01: +0,0.943,59
Jun 12 2015 01: +0,0.953,56
Jun 13 2015 01: +0,0.93,79
Jun 14 2015 01: +0,0.927,78
Jun 15 2015 01: +0,1.063,57
Jun 16 2015 01: +0,1.05,43
