Date,Price,Volume
Nov 24 2014 01: +0,1.053,91
Nov 25 2014 01: +0,1.004,90
Nov 26 2014 01: +0,1.022,48
Nov 27 2014 01: +0,1.009,74
Nov 28 2014 01: +0,0.743,364
Nov 29 2014 01: +0,0.494,946
Nov 30 2014 01: +0,0.243,1875
Dec 01 2014 01: +0,0.239,1281
Dec 02 2014 01: +0,0.39,536
Dec 03 2014 01: +0,0.598,348
Dec 04 2014 01: +0,0.574,233
Dec 05 2014 01: +0,0.548,257
Dec 06 2014 01: +0,0.59,319
Dec 07 2014 01: +0,0.605,280
Dec 08 2014 01: +0,0.602,177
Dec 09 2014 01: +0,0.631,182
Dec 10 2014 01: +0,0.6,216
Dec 11 2014 01: +0,0.547,253
Dec 12 2014 01: +0,0.612,172
Dec 13 2014 01: +0,0.602,187
Dec 14 2014 01: +0,0.689,238
Dec 15 2014 01: +0,0.76,168
Dec 16 2014 01: +0,0.859,156
Dec 17 2014 01: +0,0.874,136
Dec 18 2014 01: +0,0.821,119
Dec 19 2014 01: +0,0.756,115
Dec 20 2014 01: +0,0.757,124
Dec 21 2014 01: +0,0.804,100
Dec 22 2014 01: +0,0.747,124
Dec 23 2014 01: +0,0.778,90
Dec 24 2014 01: +0,0.815,92
Dec 25 2014 01: +0,0.889,94
Dec 26 2014 01: +0,0.863,148
Dec 27 2014 01: +0,0.876,112
Dec 28 2014 01: +0,0.878,85
Dec 29 2014 01: +0,0.85,80
Dec 30 2014 01: +0,0.887,107
Dec 31 2014 01: +0,0.931,80
Jan 01 2015 01: +0,0.958,64
Jan 02 2015 01: +0,0.917,102
Jan 03 2015 01: +0,1.098,108
Jan 04 2015 01: +0,1.232,100
Jan 05 2015 01: +0,1.246,88
Jan 06 2015 01: +0,1.456,106
Jan 07 2015 01: +0,1.815,86
Jan 08 2015 01: +0,2.015,61
Jan 09 2015 01: +0,2.017,99
Jan 10 2015 01: +0,2.794,228
Jan 11 2015 01: +0,2.501,110
Jan 12 2015 01: +0,2.149,83
Jan 13 2015 01: +0,2.172,71
Jan 14 2015 01: +0,1.91,73
Jan 15 2015 01: +0,1.9,83
Jan 16 2015 01: +0,1.82,84
Jan 17 2015 01: +0,1.797,62
Jan 18 2015 01: +0,1.701,58
Jan 19 2015 01: +0,1.761,66
