Date,Price,Volume
Nov 21 2014 01: +0,1.006,141
Nov 22 2014 01: +0,1.011,50
Nov 23 2014 01: +0,0.984,23
Nov 24 2014 01: +0,0.951,29
Nov 25 2014 01: +0,0.98,24
Nov 26 2014 01: +0,1.003,25
Nov 27 2014 01: +0,1.029,98
Nov 28 2014 01: +0,0.861,193
Nov 29 2014 01: +0,0.373,1056
Nov 30 2014 01: +0,0.242,1216
Dec 01 2014 01: +0,0.232,736
Dec 02 2014 01: +0,0.366,293
Dec 03 2014 01: +0,0.497,194
Dec 04 2014 01: +0,0.499,171
Dec 05 2014 01: +0,0.447,149
Dec 06 2014 01: +0,0.491,195
Dec 07 2014 01: +0,0.461,151
Dec 08 2014 01: +0,0.455,137
Dec 09 2014 01: +0,0.432,156
Dec 10 2014 01: +0,0.434,137
Dec 11 2014 01: +0,0.46,143
Dec 12 2014 01: +0,0.431,138
Dec 13 2014 01: +0,0.405,150
Dec 14 2014 01: +0,0.475,115
Dec 15 2014 01: +0,0.448,109
Dec 16 2014 01: +0,0.477,103
Dec 17 2014 01: +0,0.446,98
Dec 18 2014 01: +0,0.404,90
Dec 19 2014 01: +0,0.408,103
Dec 20 2014 01: +0,0.49,93
Dec 21 2014 01: +0,0.561,105
Dec 22 2014 01: +0,0.526,75
Dec 23 2014 01: +0,0.566,56
Dec 24 2014 01: +0,0.588,96
Dec 25 2014 01: +0,0.729,78
Dec 26 2014 01: +0,0.783,101
Dec 27 2014 01: +0,0.803,85
Dec 28 2014 01: +0,0.758,78
Dec 29 2014 01: +0,0.815,68
Dec 30 2014 01: +0,0.867,86
Dec 31 2014 01: +0,0.971,51
Jan 01 2015 01: +0,0.832,51
Jan 02 2015 01: +0,0.848,127
Jan 03 2015 01: +0,0.976,65
Jan 04 2015 01: +0,0.972,68
Jan 05 2015 01: +0,1.042,66
Jan 06 2015 01: +0,1.133,58
Jan 07 2015 01: +0,1.103,36
Jan 08 2015 01: +0,1.112,53
Jan 09 2015 01: +0,1.113,85
Jan 10 2015 01: +0,0.987,58
Jan 11 2015 01: +0,0.911,60
Jan 12 2015 01: +0,0.907,57
Jan 13 2015 01: +0,0.979,76
Jan 14 2015 01: +0,1.131,62
Jan 15 2015 01: +0,1.192,75
Jan 16 2015 01: +0,0.993,62
Jan 17 2015 01: +0,0.983,76
Jan 18 2015 01: +0,0.937,55
Jan 19 2015 01: +0,0.987,60
Jan 20 2015 01: +0,0.942,57
Jan 21 2015 01: +0,1.024,59
Jan 22 2015 01: +0,1.124,47
Jan 23 2015 01: +0,0.938,45
Jan 24 2015 01: +0,0.97,68
Jan 25 2015 01: +0,1.009,63
Jan 26 2015 01: +0,0.964,40
Jan 27 2015 01: +0,0.942,42
Jan 28 2015 01: +0,0.91,45
Jan 29 2015 01: +0,0.908,40
Jan 30 2015 01: +0,0.949,122
Jan 31 2015 01: +0,1.169,122
Feb 01 2015 01: +0,1.124,81
Feb 02 2015 01: +0,1.145,55
Feb 03 2015 01: +0,1.353,84
Feb 04 2015 01: +0,1.623,52
Feb 05 2015 01: +0,1.617,54
Feb 06 2015 01: +0,1.937,76
Feb 07 2015 01: +0,2.299,42
Feb 08 2015 01: +0,1.791,50
Feb 09 2015 01: +0,1.651,25
