Date,Price,Volume
Nov 21 2014 01: +0,1.006,173
Nov 22 2014 01: +0,1.028,163
Nov 23 2014 01: +0,1.004,97
Nov 24 2014 01: +0,1.019,104
Nov 25 2014 01: +0,1.035,96
Nov 26 2014 01: +0,1.028,207
Nov 27 2014 01: +0,1.019,179
Nov 28 2014 01: +0,0.945,412
Nov 29 2014 01: +0,0.256,2268
Nov 30 2014 01: +0,0.195,3419
Dec 01 2014 01: +0,0.197,1394
Dec 02 2014 01: +0,0.238,1435
Dec 03 2014 01: +0,0.257,960
Dec 04 2014 01: +0,0.233,878
Dec 05 2014 01: +0,0.229,1010
Dec 06 2014 01: +0,0.243,1190
Dec 07 2014 01: +0,0.244,981
Dec 08 2014 01: +0,0.241,808
Dec 09 2014 01: +0,0.239,702
Dec 10 2014 01: +0,0.223,769
Dec 11 2014 01: +0,0.231,769
Dec 12 2014 01: +0,0.227,734
Dec 13 2014 01: +0,0.23,902
Dec 14 2014 01: +0,0.23,785
Dec 15 2014 01: +0,0.227,627
Dec 16 2014 01: +0,0.221,578
Dec 17 2014 01: +0,0.23,537
Dec 18 2014 01: +0,0.233,612
Dec 19 2014 01: +0,0.232,638
Dec 20 2014 01: +0,0.244,607
Dec 21 2014 01: +0,0.246,566
Dec 22 2014 01: +0,0.251,575
Dec 23 2014 01: +0,0.253,487
Dec 24 2014 01: +0,0.262,528
Dec 25 2014 01: +0,0.292,530
Dec 26 2014 01: +0,0.307,559
Dec 27 2014 01: +0,0.337,455
Dec 28 2014 01: +0,0.357,406
Dec 29 2014 01: +0,0.369,310
Dec 30 2014 01: +0,0.382,339
Dec 31 2014 01: +0,0.406,326
Jan 01 2015 01: +0,0.368,324
Jan 02 2015 01: +0,0.374,458
Jan 03 2015 01: +0,0.39,436
Jan 04 2015 01: +0,0.415,368
Jan 05 2015 01: +0,0.412,384
Jan 06 2015 01: +0,0.411,365
Jan 07 2015 01: +0,0.438,293
Jan 08 2015 01: +0,0.457,354
Jan 09 2015 01: +0,0.444,388
Jan 10 2015 01: +0,0.451,433
Jan 11 2015 01: +0,0.469,431
Jan 12 2015 01: +0,0.47,330
Jan 13 2015 01: +0,0.457,350
Jan 14 2015 01: +0,0.467,338
Jan 15 2015 01: +0,0.456,316
Jan 16 2015 01: +0,0.47,372
Jan 17 2015 01: +0,0.49,313
Jan 18 2015 01: +0,0.476,373
Jan 19 2015 01: +0,0.466,316
Jan 20 2015 01: +0,0.459,340
Jan 21 2015 01: +0,0.476,346
Jan 22 2015 01: +0,0.49,355
Jan 23 2015 01: +0,0.512,324
