Date,Price,Volume
Nov 21 2014 01: +0,1.023,289
Nov 22 2014 01: +0,1.042,234
Nov 23 2014 01: +0,1.013,123
Nov 24 2014 01: +0,1.021,137
Nov 25 2014 01: +0,1.045,116
Nov 26 2014 01: +0,1.026,264
Nov 27 2014 01: +0,1.039,291
Nov 28 2014 01: +0,0.66,1353
Nov 29 2014 01: +0,0.325,6276
Nov 30 2014 01: +0,0.24,9132
Dec 01 2014 01: +0,0.234,3672
Dec 02 2014 01: +0,0.287,2769
Dec 03 2014 01: +0,0.303,1953
Dec 04 2014 01: +0,0.27,1836
Dec 05 2014 01: +0,0.269,1891
Dec 06 2014 01: +0,0.292,1848
Dec 07 2014 01: +0,0.281,1734
Dec 08 2014 01: +0,0.283,1402
Dec 09 2014 01: +0,0.285,1224
Dec 10 2014 01: +0,0.257,1595
Dec 11 2014 01: +0,0.264,1268
Dec 12 2014 01: +0,0.259,1303
Dec 13 2014 01: +0,0.264,1514
Dec 14 2014 01: +0,0.256,1318
Dec 15 2014 01: +0,0.262,1109
Dec 16 2014 01: +0,0.263,955
Dec 17 2014 01: +0,0.259,992
Dec 18 2014 01: +0,0.264,958
Dec 19 2014 01: +0,0.267,1124
Dec 20 2014 01: +0,0.266,1007
Dec 21 2014 01: +0,0.263,1044
Dec 22 2014 01: +0,0.271,1028
Dec 23 2014 01: +0,0.284,927
Dec 24 2014 01: +0,0.289,954
Dec 25 2014 01: +0,0.31,996
Dec 26 2014 01: +0,0.33,929
Dec 27 2014 01: +0,0.352,921
Dec 28 2014 01: +0,0.384,1046
Dec 29 2014 01: +0,0.389,714
Dec 30 2014 01: +0,0.381,704
Dec 31 2014 01: +0,0.416,657
Jan 01 2015 01: +0,0.383,647
Jan 02 2015 01: +0,0.385,831
Jan 03 2015 01: +0,0.407,738
Jan 04 2015 01: +0,0.419,677
Jan 05 2015 01: +0,0.423,682
Jan 06 2015 01: +0,0.453,587
Jan 07 2015 01: +0,0.476,464
Jan 08 2015 01: +0,0.506,590
Jan 09 2015 01: +0,0.47,853
Jan 10 2015 01: +0,0.505,865
Jan 11 2015 01: +0,0.506,706
Jan 12 2015 01: +0,0.527,574
Jan 13 2015 01: +0,0.51,585
Jan 14 2015 01: +0,0.486,608
Jan 15 2015 01: +0,0.479,602
Jan 16 2015 01: +0,0.497,581
Jan 17 2015 01: +0,0.496,691
Jan 18 2015 01: +0,0.496,639
Jan 19 2015 01: +0,0.49,533
Jan 20 2015 01: +0,0.489,550
Jan 21 2015 01: +0,0.507,481
Jan 22 2015 01: +0,0.504,523
Jan 23 2015 01: +0,0.509,596
Jan 24 2015 01: +0,0.518,734
Jan 25 2015 01: +0,0.562,765
Jan 26 2015 01: +0,0.657,630
Jan 27 2015 01: +0,0.671,444
Jan 28 2015 01: +0,0.626,482
Jan 29 2015 01: +0,0.614,427
Jan 30 2015 01: +0,0.62,432
Jan 31 2015 01: +0,0.598,501
Feb 01 2015 01: +0,0.611,800
Feb 02 2015 01: +0,0.614,649
Feb 03 2015 01: +0,0.634,464
Feb 04 2015 01: +0,0.63,368
Feb 05 2015 01: +0,0.628,299
Feb 06 2015 01: +0,0.608,363
Feb 07 2015 01: +0,0.612,487
Feb 08 2015 01: +0,0.588,458
Feb 09 2015 01: +0,0.595,321
Feb 10 2015 01: +0,0.611,307
Feb 11 2015 01: +0,0.592,353
Feb 12 2015 01: +0,0.544,429
Feb 13 2015 01: +0,0.577,441
Feb 14 2015 01: +0,0.579,474
Feb 15 2015 01: +0,0.578,501
Feb 16 2015 01: +0,0.582,517
Feb 17 2015 01: +0,0.593,417
Feb 18 2015 01: +0,0.597,359
Feb 19 2015 01: +0,0.594,391
Feb 20 2015 01: +0,0.585,450
Feb 21 2015 01: +0,0.589,486
Feb 22 2015 01: +0,0.621,444
Feb 23 2015 01: +0,0.611,364
Feb 24 2015 01: +0,0.624,318
Feb 25 2015 01: +0,0.663,364
Feb 26 2015 01: +0,0.66,261
Feb 27 2015 01: +0,0.501,718
Feb 28 2015 01: +0,0.505,411
Mar 01 2015 01: +0,0.506,369
Mar 02 2015 01: +0,0.502,260
Mar 03 2015 01: +0,0.517,226
Mar 04 2015 01: +0,0.529,247
Mar 05 2015 01: +0,0.536,240
Mar 06 2015 01: +0,0.541,281
Mar 07 2015 01: +0,0.542,283
Mar 08 2015 01: +0,0.55,302
Mar 09 2015 01: +0,0.543,273
Mar 10 2015 01: +0,0.534,232
Mar 11 2015 01: +0,0.507,259
Mar 12 2015 01: +0,0.48,324
Mar 13 2015 01: +0,0.447,365
Mar 14 2015 01: +0,0.409,396
Mar 15 2015 01: +0,0.353,537
Mar 16 2015 01: +0,0.342,345
Mar 17 2015 01: +0,0.399,238
Mar 18 2015 01: +0,0.45,149
Mar 19 2015 01: +0,0.419,144
Mar 20 2015 01: +0,0.4,230
Mar 21 2015 01: +0,0.427,224
Mar 22 2015 01: +0,0.421,200
Mar 23 2015 01: +0,0.435,169
Mar 24 2015 01: +0,0.427,177
Mar 25 2015 01: +0,0.434,152
Mar 26 2015 01: +0,0.42,165
Mar 27 2015 01: +0,0.423,178
Mar 28 2015 01: +0,0.414,249
Mar 29 2015 01: +0,0.431,189
Mar 30 2015 01: +0,0.439,176
Mar 31 2015 01: +0,0.432,175
Apr 01 2015 01: +0,0.432,208
Apr 02 2015 01: +0,0.436,209
Apr 03 2015 01: +0,0.443,258
Apr 04 2015 01: +0,0.457,246
Apr 05 2015 01: +0,0.452,252
Apr 06 2015 01: +0,0.464,287
Apr 07 2015 01: +0,0.469,208
Apr 08 2015 01: +0,0.5,193
Apr 09 2015 01: +0,0.505,228
Apr 10 2015 01: +0,0.49,180
Apr 11 2015 01: +0,0.524,218
Apr 12 2015 01: +0,0.512,195
Apr 13 2015 01: +0,0.483,184
Apr 14 2015 01: +0,0.462,173
Apr 15 2015 01: +0,0.452,142
Apr 16 2015 01: +0,0.42,233
Apr 17 2015 01: +0,0.454,198
Apr 18 2015 01: +0,0.453,255
Apr 19 2015 01: +0,0.459,209
Apr 20 2015 01: +0,0.466,179
Apr 21 2015 01: +0,0.466,178
Apr 22 2015 01: +0,0.482,154
Apr 23 2015 01: +0,0.502,134
Apr 24 2015 01: +0,0.495,202
Apr 25 2015 01: +0,0.522,209
Apr 26 2015 01: +0,0.504,209
Apr 27 2015 01: +0,0.512,206
Apr 28 2015 01: +0,0.529,173
Apr 29 2015 01: +0,0.525,259
Apr 30 2015 01: +0,0.557,244
May 01 2015 01: +0,0.548,168
May 02 2015 01: +0,0.592,190
May 03 2015 01: +0,0.572,168
May 04 2015 01: +0,0.579,166
May 05 2015 01: +0,0.591,125
May 06 2015 01: +0,0.581,121
May 07 2015 01: +0,0.586,107
May 08 2015 01: +0,0.587,199
May 09 2015 01: +0,0.627,155
May 10 2015 01: +0,0.607,203
May 11 2015 01: +0,0.625,139
May 12 2015 01: +0,0.62,120
May 13 2015 01: +0,0.651,133
May 14 2015 01: +0,0.64,158
May 15 2015 01: +0,0.649,161
May 16 2015 01: +0,0.668,220
May 17 2015 01: +0,0.698,214
May 18 2015 01: +0,0.714,117
May 19 2015 01: +0,0.685,187
May 20 2015 01: +0,0.705,130
May 21 2015 01: +0,0.724,136
May 22 2015 01: +0,0.724,125
May 23 2015 01: +0,0.742,156
May 24 2015 01: +0,0.74,118
May 25 2015 01: +0,0.744,99
May 26 2015 01: +0,0.702,121
May 27 2015 01: +0,0.475,315
May 28 2015 01: +0,0.594,199
May 29 2015 01: +0,0.645,172
May 30 2015 01: +0,0.667,127
May 31 2015 01: +0,0.664,140
Jun 01 2015 01: +0,0.646,142
Jun 02 2015 01: +0,0.682,131
Jun 03 2015 01: +0,0.687,130
Jun 04 2015 01: +0,0.661,149
Jun 05 2015 01: +0,0.629,149
Jun 06 2015 01: +0,0.636,155
Jun 07 2015 01: +0,0.626,187
Jun 08 2015 01: +0,0.643,116
Jun 09 2015 01: +0,0.627,119
Jun 10 2015 01: +0,0.633,133
Jun 11 2015 01: +0,0.632,131
Jun 12 2015 01: +0,0.609,149
Jun 13 2015 01: +0,0.618,138
Jun 14 2015 01: +0,0.601,143
Jun 15 2015 01: +0,0.606,132
Jun 16 2015 01: +0,0.611,160
Jun 17 2015 01: +0,0.606,151
Jun 18 2015 01: +0,0.625,173
Jun 19 2015 01: +0,0.637,165
Jun 20 2015 01: +0,0.635,188
Jun 21 2015 01: +0,0.59,209
Jun 22 2015 01: +0,0.623,168
Jun 23 2015 01: +0,0.639,132
Jun 24 2015 01: +0,0.644,182
Jun 25 2015 01: +0,0.664,208
Jun 26 2015 01: +0,0.707,137
Jun 27 2015 01: +0,0.693,186
Jun 28 2015 01: +0,0.712,157
Jun 29 2015 01: +0,0.722,172
Jun 30 2015 01: +0,0.75,141
Jul 01 2015 01: +0,0.751,156
Jul 02 2015 01: +0,0.78,140
Jul 03 2015 01: +0,0.806,119
Jul 04 2015 01: +0,0.811,92
Jul 05 2015 01: +0,0.851,92
Jul 06 2015 01: +0,0.871,87
Jul 07 2015 01: +0,0.852,97
Jul 08 2015 01: +0,0.852,84
Jul 09 2015 01: +0,0.866,101
Jul 10 2015 01: +0,0.852,113
Jul 11 2015 01: +0,0.862,89
Jul 12 2015 01: +0,0.886,96
Jul 13 2015 01: +0,0.896,103
Jul 14 2015 01: +0,0.928,69
Jul 15 2015 01: +0,0.9,90
Jul 16 2015 01: +0,0.937,62
Jul 17 2015 01: +0,0.944,77
Jul 18 2015 01: +0,0.918,74
Jul 19 2015 01: +0,0.908,107
Jul 20 2015 01: +0,0.93,82
Jul 21 2015 01: +0,0.938,131
Jul 22 2015 01: +0,0.929,81
Jul 23 2015 01: +0,0.897,96
Jul 24 2015 01: +0,0.91,61
Jul 25 2015 01: +0,0.915,106
Jul 26 2015 01: +0,0.922,97
Jul 27 2015 01: +0,0.904,102
Jul 28 2015 01: +0,0.897,93
Jul 29 2015 01: +0,0.806,109
Jul 30 2015 01: +0,0.901,81
Jul 31 2015 01: +0,0.919,112
Aug 01 2015 01: +0,0.939,66
Aug 02 2015 01: +0,0.88,60
Aug 03 2015 01: +0,0.921,84
Aug 04 2015 01: +0,0.933,78
Aug 05 2015 01: +0,0.892,82
Aug 06 2015 01: +0,0.9,73
Aug 07 2015 01: +0,0.857,65
Aug 08 2015 01: +0,0.874,83
Aug 09 2015 01: +0,0.892,50
Aug 10 2015 01: +0,0.91,80
Aug 11 2015 01: +0,0.871,72
Aug 12 2015 01: +0,0.848,96
Aug 13 2015 01: +0,0.85,66
Aug 14 2015 01: +0,0.912,68
Aug 15 2015 01: +0,0.67,91
Aug 16 2015 01: +0,0.577,102
Aug 17 2015 01: +0,0.656,100
Aug 18 2015 01: +0,0.688,40
Aug 19 2015 01: +0,0.598,58
Aug 20 2015 01: +0,0.575,66
Aug 21 2015 01: +0,0.54,97
Aug 22 2015 01: +0,0.577,51
Aug 23 2015 01: +0,0.446,86
Aug 24 2015 01: +0,0.401,72
Aug 25 2015 01: +0,0.486,85
Aug 26 2015 01: +0,0.568,43
Aug 27 2015 01: +0,0.597,35
Aug 28 2015 01: +0,0.52,46
Aug 29 2015 01: +0,0.511,64
Aug 30 2015 01: +0,0.595,35
Aug 31 2015 01: +0,0.631,66
Sep 01 2015 01: +0,0.591,42
Sep 02 2015 01: +0,0.579,33
Sep 03 2015 01: +0,0.504,62
Sep 04 2015 01: +0,0.494,45
Sep 05 2015 01: +0,0.524,63
Sep 06 2015 01: +0,0.552,48
Sep 07 2015 01: +0,0.587,40
Sep 08 2015 01: +0,0.543,38
Sep 09 2015 01: +0,0.511,44
Sep 10 2015 01: +0,0.531,101
Sep 11 2015 01: +0,0.581,48
Sep 12 2015 01: +0,0.502,72
Sep 13 2015 01: +0,0.518,74
Sep 14 2015 01: +0,0.541,50
Sep 15 2015 01: +0,0.562,44
Sep 16 2015 01: +0,0.621,82
Sep 17 2015 01: +0,0.621,48
Sep 18 2015 01: +0,0.696,69
Sep 19 2015 01: +0,0.744,45
Sep 20 2015 01: +0,0.564,56
Sep 21 2015 01: +0,0.55,52
Sep 22 2015 01: +0,0.541,43
Sep 23 2015 01: +0,0.538,59
Sep 24 2015 01: +0,0.564,45
Sep 25 2015 01: +0,0.641,39
Sep 26 2015 01: +0,0.638,56
Sep 27 2015 01: +0,0.613,47
Sep 28 2015 01: +0,0.608,38
Sep 29 2015 01: +0,0.656,38
Sep 30 2015 01: +0,0.653,41
Oct 01 2015 01: +0,0.647,52
Oct 02 2015 01: +0,0.649,37
Oct 03 2015 01: +0,0.648,44
Oct 04 2015 01: +0,0.656,42
Oct 05 2015 01: +0,0.669,47
Oct 06 2015 01: +0,0.724,29
Oct 07 2015 01: +0,0.698,27
Oct 08 2015 01: +0,0.666,34
Oct 09 2015 01: +0,0.701,36
Oct 10 2015 01: +0,0.693,38
Oct 11 2015 01: +0,0.731,48
Oct 12 2015 01: +0,0.681,36
Oct 13 2015 01: +0,0.706,23
Oct 14 2015 01: +0,0.726,31
Oct 15 2015 01: +0,0.748,46
Oct 16 2015 01: +0,0.754,23
Oct 17 2015 01: +0,0.77,38
Oct 18 2015 01: +0,0.766,40
Oct 19 2015 01: +0,0.765,34
Oct 20 2015 01: +0,0.787,38
Oct 21 2015 01: +0,0.588,45
Oct 22 2015 01: +0,0.575,53
Oct 23 2015 01: +0,0.583,34
Oct 24 2015 01: +0,0.57,42
Oct 25 2015 01: +0,0.575,80
Oct 26 2015 01: +0,0.569,46
Oct 27 2015 01: +0,0.621,39
Oct 28 2015 01: +0,0.603,48
Oct 29 2015 01: +0,0.597,57
Oct 30 2015 01: +0,0.6,49
Oct 31 2015 01: +0,0.613,51
Nov 01 2015 01: +0,0.55,69
Nov 02 2015 01: +0,0.64,66
Nov 03 2015 01: +0,0.617,27
Nov 04 2015 01: +0,0.607,35
Nov 05 2015 01: +0,0.603,33
Nov 06 2015 01: +0,0.583,31
Nov 07 2015 01: +0,0.591,29
Nov 08 2015 01: +0,0.545,33
Nov 09 2015 01: +0,0.554,34
Nov 10 2015 01: +0,0.557,76
Nov 11 2015 01: +0,0.629,32
Nov 12 2015 01: +0,0.578,23
Nov 13 2015 01: +0,0.739,125
Nov 14 2015 01: +0,0.754,20
Nov 15 2015 01: +0,0.713,28
Nov 16 2015 01: +0,0.742,27
Nov 17 2015 01: +0,0.765,26
Nov 18 2015 01: +0,0.797,17
Nov 19 2015 01: +0,0.724,22
Nov 20 2015 01: +0,0.813,23
Nov 21 2015 01: +0,0.811,52
Nov 22 2015 01: +0,0.722,17
Nov 23 2015 01: +0,0.692,22
Nov 24 2015 01: +0,0.663,32
Nov 25 2015 01: +0,0.654,27
Nov 26 2015 01: +0,0.636,45
Nov 27 2015 01: +0,0.618,36
Nov 28 2015 01: +0,0.645,37
Nov 29 2015 01: +0,0.601,34
Nov 30 2015 01: +0,0.604,32
Dec 01 2015 01: +0,0.603,36
Dec 02 2015 01: +0,0.557,40
Dec 03 2015 01: +0,0.631,33
Dec 04 2015 01: +0,0.631,32
Dec 05 2015 01: +0,0.673,37
Dec 06 2015 01: +0,0.698,37
Dec 07 2015 01: +0,0.726,26
Dec 08 2015 01: +0,0.729,30
Dec 09 2015 01: +0,0.688,27
Dec 10 2015 01: +0,0.739,29
Dec 11 2015 01: +0,0.707,35
Dec 12 2015 01: +0,0.741,44
Dec 13 2015 01: +0,0.798,33
Dec 14 2015 01: +0,0.812,26
Dec 15 2015 01: +0,0.802,23
Dec 16 2015 01: +0,0.754,29
Dec 17 2015 01: +0,0.824,32
Dec 18 2015 01: +0,0.798,36
Dec 19 2015 01: +0,0.965,120
Dec 20 2015 01: +0,1.119,40
Dec 21 2015 01: +0,0.998,15
Dec 22 2015 01: +0,0.965,24
Dec 23 2015 01: +0,0.797,21
Dec 24 2015 01: +0,0.893,19
Dec 25 2015 01: +0,0.899,24
Dec 26 2015 01: +0,1.014,52
Dec 27 2015 01: +0,0.948,28
Dec 28 2015 01: +0,0.965,36
Dec 29 2015 01: +0,0.98,40
Dec 30 2015 01: +0,0.999,31
Dec 31 2015 01: +0,1.078,31
Jan 01 2016 01: +0,0.927,38
Jan 02 2016 01: +0,0.926,39
Jan 03 2016 01: +0,0.92,17
Jan 04 2016 01: +0,0.905,25
Jan 05 2016 01: +0,0.895,29
Jan 06 2016 01: +0,0.857,48
Jan 07 2016 01: +0,1.067,42
Jan 08 2016 01: +0,1.152,39
Jan 09 2016 01: +0,1.311,54
Jan 10 2016 01: +0,1.538,17
Jan 11 2016 01: +0,1.416,23
Jan 12 2016 01: +0,1.449,16
Jan 13 2016 01: +0,1.555,30
Jan 14 2016 01: +0,2.681,85
Jan 15 2016 01: +0,2.074,35
Jan 16 2016 01: +0,1.865,26
Jan 17 2016 01: +0,1.759,26
Jan 18 2016 01: +0,1.921,14
Jan 19 2016 01: +0,1.706,15
Jan 20 2016 01: +0,1.726,25
Jan 21 2016 01: +0,1.692,24
Jan 22 2016 01: +0,1.464,33
Jan 23 2016 01: +0,1.305,32
Jan 24 2016 01: +0,1.324,30
Jan 25 2016 01: +0,1.26,25
Jan 26 2016 01: +0,1.226,23
Jan 27 2016 01: +0,1.303,10
Jan 28 2016 01: +0,1.21,16
Jan 29 2016 01: +0,1.171,24
Jan 30 2016 01: +0,1.426,36
Jan 31 2016 01: +0,1.343,19
Feb 01 2016 01: +0,1.478,28
Feb 02 2016 01: +0,1.733,24
Feb 03 2016 01: +0,1.645,17
Feb 04 2016 01: +0,1.646,17
Feb 05 2016 01: +0,1.72,29
Feb 06 2016 01: +0,1.43,27
Feb 07 2016 01: +0,1.178,21
Feb 08 2016 01: +0,1.24,19
Feb 09 2016 01: +0,1.155,27
Feb 10 2016 01: +0,1.233,26
Feb 11 2016 01: +0,1.22,19
Feb 12 2016 01: +0,1.239,30
Feb 13 2016 01: +0,1.337,28
Feb 14 2016 01: +0,1.309,19
Feb 15 2016 01: +0,1.348,21
Feb 16 2016 01: +0,1.415,20
Feb 17 2016 01: +0,1.39,15
Feb 18 2016 01: +0,1.012,48
Feb 19 2016 01: +0,1.073,37
Feb 20 2016 01: +0,1.322,30
Feb 21 2016 01: +0,1.243,28
Feb 22 2016 01: +0,1.273,32
Feb 23 2016 01: +0,1.331,23
