Date,Price,Volume
Nov 21 2014 01: +0,1.014,449
Nov 22 2014 01: +0,1.028,360
Nov 23 2014 01: +0,1.019,177
Nov 24 2014 01: +0,1.014,183
Nov 25 2014 01: +0,1.031,159
Nov 26 2014 01: +0,1.017,295
Nov 27 2014 01: +0,1.03,291
Nov 28 2014 01: +0,0.963,564
Nov 29 2014 01: +0,0.525,3454
Nov 30 2014 01: +0,0.232,6058
Dec 01 2014 01: +0,0.231,3076
Dec 02 2014 01: +0,0.286,2297
Dec 03 2014 01: +0,0.305,1773
Dec 04 2014 01: +0,0.276,1630
Dec 05 2014 01: +0,0.284,1726
Dec 06 2014 01: +0,0.324,1877
Dec 07 2014 01: +0,0.34,1714
Dec 08 2014 01: +0,0.329,1357
Dec 09 2014 01: +0,0.336,1139
Dec 10 2014 01: +0,0.305,1440
Dec 11 2014 01: +0,0.307,1322
Dec 12 2014 01: +0,0.303,1278
Dec 13 2014 01: +0,0.3,1438
Dec 14 2014 01: +0,0.311,1240
Dec 15 2014 01: +0,0.309,1030
Dec 16 2014 01: +0,0.295,990
Dec 17 2014 01: +0,0.308,993
Dec 18 2014 01: +0,0.315,933
Dec 19 2014 01: +0,0.311,1112
Dec 20 2014 01: +0,0.316,1088
Dec 21 2014 01: +0,0.332,1071
Dec 22 2014 01: +0,0.357,1060
Dec 23 2014 01: +0,0.367,748
Dec 24 2014 01: +0,0.408,698
Dec 25 2014 01: +0,0.456,723
Dec 26 2014 01: +0,0.448,752
Dec 27 2014 01: +0,0.465,834
Dec 28 2014 01: +0,0.467,717
Dec 29 2014 01: +0,0.482,869
Dec 30 2014 01: +0,0.491,741
Dec 31 2014 01: +0,0.543,569
Jan 01 2015 01: +0,0.516,509
Jan 02 2015 01: +0,0.505,732
Jan 03 2015 01: +0,0.528,616
Jan 04 2015 01: +0,0.583,614
Jan 05 2015 01: +0,0.566,584
Jan 06 2015 01: +0,0.586,509
Jan 07 2015 01: +0,0.619,511
Jan 08 2015 01: +0,0.648,482
Jan 09 2015 01: +0,0.617,642
Jan 10 2015 01: +0,0.636,643
Jan 11 2015 01: +0,0.612,652
Jan 12 2015 01: +0,0.622,542
Jan 13 2015 01: +0,0.621,464
Jan 14 2015 01: +0,0.609,486
Jan 15 2015 01: +0,0.609,501
Jan 16 2015 01: +0,0.624,537
Jan 17 2015 01: +0,0.634,609
Jan 18 2015 01: +0,0.641,608
Jan 19 2015 01: +0,0.629,444
Jan 20 2015 01: +0,0.644,485
Jan 21 2015 01: +0,0.675,476
Jan 22 2015 01: +0,0.683,476
Jan 23 2015 01: +0,0.684,495
Jan 24 2015 01: +0,0.728,484
Jan 25 2015 01: +0,0.719,434
Jan 26 2015 01: +0,0.684,411
Jan 27 2015 01: +0,0.698,372
Jan 28 2015 01: +0,0.697,339
Jan 29 2015 01: +0,0.717,359
Jan 30 2015 01: +0,0.731,415
Jan 31 2015 01: +0,0.703,456
Feb 01 2015 01: +0,0.717,413
Feb 02 2015 01: +0,0.737,312
Feb 03 2015 01: +0,0.726,309
Feb 04 2015 01: +0,0.731,350
Feb 05 2015 01: +0,0.779,278
Feb 06 2015 01: +0,0.809,297
Feb 07 2015 01: +0,0.799,409
Feb 08 2015 01: +0,0.757,363
Feb 09 2015 01: +0,0.777,301
Feb 10 2015 01: +0,0.79,259
Feb 11 2015 01: +0,0.791,265
Feb 12 2015 01: +0,0.783,298
Feb 13 2015 01: +0,0.831,337
Feb 14 2015 01: +0,0.847,336
Feb 15 2015 01: +0,0.815,321
Feb 16 2015 01: +0,0.776,253
Feb 17 2015 01: +0,0.79,352
Feb 18 2015 01: +0,0.822,266
Feb 19 2015 01: +0,0.821,273
Feb 20 2015 01: +0,0.849,314
Feb 21 2015 01: +0,0.843,278
Feb 22 2015 01: +0,0.887,266
Feb 23 2015 01: +0,0.874,255
Feb 24 2015 01: +0,0.944,283
Feb 25 2015 01: +0,0.955,250
Feb 26 2015 01: +0,1.02,234
Feb 27 2015 01: +0,0.714,633
Feb 28 2015 01: +0,0.705,371
Mar 01 2015 01: +0,0.728,278
Mar 02 2015 01: +0,0.721,231
Mar 03 2015 01: +0,0.728,216
Mar 04 2015 01: +0,0.745,234
Mar 05 2015 01: +0,0.765,226
Mar 06 2015 01: +0,0.762,215
Mar 07 2015 01: +0,0.777,259
Mar 08 2015 01: +0,0.755,240
Mar 09 2015 01: +0,0.739,207
Mar 10 2015 01: +0,0.74,197
Mar 11 2015 01: +0,0.727,219
Mar 12 2015 01: +0,0.706,275
Mar 13 2015 01: +0,0.747,309
Mar 14 2015 01: +0,0.758,309
Mar 15 2015 01: +0,0.56,420
Mar 16 2015 01: +0,0.541,246
Mar 17 2015 01: +0,0.645,150
Mar 18 2015 01: +0,0.649,157
Mar 19 2015 01: +0,0.647,164
Mar 20 2015 01: +0,0.654,163
Mar 21 2015 01: +0,0.682,174
Mar 22 2015 01: +0,0.683,165
Mar 23 2015 01: +0,0.687,149
Mar 24 2015 01: +0,0.691,131
Mar 25 2015 01: +0,0.69,139
Mar 26 2015 01: +0,0.705,137
Mar 27 2015 01: +0,0.715,163
Mar 28 2015 01: +0,0.705,175
Mar 29 2015 01: +0,0.693,153
Mar 30 2015 01: +0,0.646,165
Mar 31 2015 01: +0,0.67,164
Apr 01 2015 01: +0,0.669,200
Apr 02 2015 01: +0,0.708,150
Apr 03 2015 01: +0,0.732,184
Apr 04 2015 01: +0,0.733,205
Apr 05 2015 01: +0,0.716,144
Apr 06 2015 01: +0,0.757,196
Apr 07 2015 01: +0,0.77,206
Apr 08 2015 01: +0,0.814,170
Apr 09 2015 01: +0,0.835,126
Apr 10 2015 01: +0,0.836,142
Apr 11 2015 01: +0,0.852,133
Apr 12 2015 01: +0,0.833,162
Apr 13 2015 01: +0,0.774,137
Apr 14 2015 01: +0,0.723,128
Apr 15 2015 01: +0,0.708,125
Apr 16 2015 01: +0,0.651,174
Apr 17 2015 01: +0,0.667,178
Apr 18 2015 01: +0,0.667,218
Apr 19 2015 01: +0,0.71,171
Apr 20 2015 01: +0,0.73,146
Apr 21 2015 01: +0,0.724,137
Apr 22 2015 01: +0,0.745,130
Apr 23 2015 01: +0,0.805,137
Apr 24 2015 01: +0,0.763,161
Apr 25 2015 01: +0,0.828,165
Apr 26 2015 01: +0,0.812,151
Apr 27 2015 01: +0,0.811,143
Apr 28 2015 01: +0,0.828,114
Apr 29 2015 01: +0,0.822,122
Apr 30 2015 01: +0,0.87,135
May 01 2015 01: +0,0.858,145
May 02 2015 01: +0,0.913,158
May 03 2015 01: +0,0.907,172
May 04 2015 01: +0,0.904,107
May 05 2015 01: +0,0.882,129
May 06 2015 01: +0,0.901,121
May 07 2015 01: +0,0.929,97
May 08 2015 01: +0,0.903,165
May 09 2015 01: +0,1.003,139
May 10 2015 01: +0,0.951,143
May 11 2015 01: +0,0.92,98
May 12 2015 01: +0,0.995,91
May 13 2015 01: +0,1.101,87
May 14 2015 01: +0,1.044,91
May 15 2015 01: +0,0.996,129
May 16 2015 01: +0,1.077,116
May 17 2015 01: +0,1.1,127
May 18 2015 01: +0,1.087,117
May 19 2015 01: +0,1.063,94
May 20 2015 01: +0,1.07,96
May 21 2015 01: +0,1.057,101
May 22 2015 01: +0,1.066,97
May 23 2015 01: +0,1.103,95
May 24 2015 01: +0,1.142,83
May 25 2015 01: +0,1.123,77
May 26 2015 01: +0,1.055,86
May 27 2015 01: +0,0.737,302
May 28 2015 01: +0,0.882,154
May 29 2015 01: +0,1.02,115
May 30 2015 01: +0,0.999,117
May 31 2015 01: +0,1.006,112
Jun 01 2015 01: +0,1.032,107
Jun 02 2015 01: +0,1.035,108
Jun 03 2015 01: +0,1.083,100
Jun 04 2015 01: +0,1.036,111
Jun 05 2015 01: +0,1.015,124
Jun 06 2015 01: +0,1.035,105
Jun 07 2015 01: +0,1.005,126
Jun 08 2015 01: +0,0.967,105
Jun 09 2015 01: +0,0.924,129
Jun 10 2015 01: +0,0.955,131
Jun 11 2015 01: +0,0.948,118
Jun 12 2015 01: +0,0.986,140
Jun 13 2015 01: +0,0.993,120
Jun 14 2015 01: +0,0.934,132
Jun 15 2015 01: +0,0.889,121
Jun 16 2015 01: +0,0.995,134
Jun 17 2015 01: +0,1.026,90
Jun 18 2015 01: +0,0.998,112
Jun 19 2015 01: +0,1.054,120
Jun 20 2015 01: +0,1.024,115
Jun 21 2015 01: +0,0.917,145
Jun 22 2015 01: +0,0.955,105
Jun 23 2015 01: +0,1.087,90
Jun 24 2015 01: +0,1.096,99
Jun 25 2015 01: +0,1.089,96
Jun 26 2015 01: +0,1.106,114
Jun 27 2015 01: +0,1.153,92
Jun 28 2015 01: +0,1.199,90
Jun 29 2015 01: +0,1.189,85
Jun 30 2015 01: +0,1.216,71
Jul 01 2015 01: +0,1.171,101
Jul 02 2015 01: +0,1.234,84
Jul 03 2015 01: +0,1.224,105
Jul 04 2015 01: +0,1.282,82
Jul 05 2015 01: +0,1.321,61
Jul 06 2015 01: +0,1.302,66
Jul 07 2015 01: +0,1.436,69
Jul 08 2015 01: +0,1.363,87
Jul 09 2015 01: +0,1.321,91
Jul 10 2015 01: +0,1.399,77
Jul 11 2015 01: +0,1.428,87
Jul 12 2015 01: +0,1.402,77
Jul 13 2015 01: +0,1.369,89
Jul 14 2015 01: +0,1.31,74
Jul 15 2015 01: +0,1.367,53
Jul 16 2015 01: +0,1.348,89
Jul 17 2015 01: +0,1.467,74
Jul 18 2015 01: +0,1.513,48
Jul 19 2015 01: +0,1.319,60
Jul 20 2015 01: +0,1.434,81
Jul 21 2015 01: +0,1.567,54
Jul 22 2015 01: +0,1.536,59
Jul 23 2015 01: +0,1.515,55
Jul 24 2015 01: +0,1.384,59
Jul 25 2015 01: +0,1.49,67
Jul 26 2015 01: +0,1.522,54
Jul 27 2015 01: +0,1.485,69
Jul 28 2015 01: +0,1.572,65
Jul 29 2015 01: +0,1.375,79
Jul 30 2015 01: +0,1.496,74
Jul 31 2015 01: +0,1.474,67
Aug 01 2015 01: +0,1.517,66
Aug 02 2015 01: +0,1.548,47
Aug 03 2015 01: +0,1.428,73
Aug 04 2015 01: +0,1.363,65
Aug 05 2015 01: +0,1.463,69
Aug 06 2015 01: +0,1.492,55
Aug 07 2015 01: +0,1.414,46
Aug 08 2015 01: +0,1.422,50
Aug 09 2015 01: +0,1.415,55
Aug 10 2015 01: +0,1.436,55
Aug 11 2015 01: +0,1.429,86
Aug 12 2015 01: +0,1.261,99
Aug 13 2015 01: +0,1.284,71
Aug 14 2015 01: +0,1.486,56
Aug 15 2015 01: +0,1.065,76
Aug 16 2015 01: +0,0.998,58
Aug 17 2015 01: +0,1.034,50
Aug 18 2015 01: +0,0.977,43
Aug 19 2015 01: +0,0.998,48
Aug 20 2015 01: +0,0.98,65
Aug 21 2015 01: +0,0.901,74
Aug 22 2015 01: +0,1.02,80
Aug 23 2015 01: +0,0.929,82
Aug 24 2015 01: +0,1.031,80
Aug 25 2015 01: +0,1.247,38
Aug 26 2015 01: +0,1.173,49
Aug 27 2015 01: +0,1.114,45
Aug 28 2015 01: +0,1.151,46
Aug 29 2015 01: +0,1.148,42
Aug 30 2015 01: +0,1.211,43
Aug 31 2015 01: +0,1.153,34
Sep 01 2015 01: +0,1.268,38
Sep 02 2015 01: +0,1.2,36
Sep 03 2015 01: +0,1.251,28
Sep 04 2015 01: +0,1.066,47
Sep 05 2015 01: +0,1.239,38
Sep 06 2015 01: +0,1.252,50
Sep 07 2015 01: +0,1.227,36
Sep 08 2015 01: +0,1.173,25
Sep 09 2015 01: +0,1.125,26
Sep 10 2015 01: +0,1.072,51
Sep 11 2015 01: +0,1.129,54
Sep 12 2015 01: +0,1.092,55
Sep 13 2015 01: +0,1.165,58
Sep 14 2015 01: +0,1.157,63
Sep 15 2015 01: +0,1.241,47
Sep 16 2015 01: +0,1.312,80
Sep 17 2015 01: +0,1.242,39
Sep 18 2015 01: +0,1.398,43
Sep 19 2015 01: +0,1.336,41
Sep 20 2015 01: +0,1.178,50
Sep 21 2015 01: +0,1.195,32
Sep 22 2015 01: +0,1.157,51
Sep 23 2015 01: +0,1.134,38
Sep 24 2015 01: +0,1.2,34
Sep 25 2015 01: +0,1.096,41
Sep 26 2015 01: +0,1.183,55
Sep 27 2015 01: +0,1.281,43
Sep 28 2015 01: +0,1.215,37
Sep 29 2015 01: +0,1.194,38
Sep 30 2015 01: +0,1.231,34
Oct 01 2015 01: +0,1.215,37
Oct 02 2015 01: +0,1.132,49
Oct 03 2015 01: +0,1.101,45
Oct 04 2015 01: +0,1.184,37
Oct 05 2015 01: +0,1.191,40
Oct 06 2015 01: +0,1.157,29
Oct 07 2015 01: +0,1.191,29
Oct 08 2015 01: +0,1.122,89
Oct 09 2015 01: +0,1.104,43
Oct 10 2015 01: +0,1.123,51
Oct 11 2015 01: +0,1.202,43
Oct 12 2015 01: +0,1.218,36
Oct 13 2015 01: +0,1.223,24
Oct 14 2015 01: +0,1.186,28
Oct 15 2015 01: +0,1.212,30
Oct 16 2015 01: +0,1.212,32
Oct 17 2015 01: +0,1.231,50
Oct 18 2015 01: +0,1.169,36
Oct 19 2015 01: +0,1.159,31
Oct 20 2015 01: +0,1.222,36
Oct 21 2015 01: +0,1.168,35
Oct 22 2015 01: +0,1.032,18
Oct 23 2015 01: +0,1.112,42
Oct 24 2015 01: +0,1.044,37
Oct 25 2015 01: +0,1.056,30
Oct 26 2015 01: +0,1.03,35
Oct 27 2015 01: +0,1.08,22
Oct 28 2015 01: +0,1.051,31
Oct 29 2015 01: +0,0.99,37
Oct 30 2015 01: +0,1.083,40
Oct 31 2015 01: +0,1.109,46
Nov 01 2015 01: +0,0.939,83
Nov 02 2015 01: +0,1.003,42
Nov 03 2015 01: +0,1.096,24
Nov 04 2015 01: +0,1.054,27
Nov 05 2015 01: +0,1.047,27
Nov 06 2015 01: +0,1.044,34
Nov 07 2015 01: +0,1.112,23
Nov 08 2015 01: +0,1.05,31
Nov 09 2015 01: +0,1.035,34
Nov 10 2015 01: +0,1.047,18
Nov 11 2015 01: +0,0.982,23
Nov 12 2015 01: +0,0.991,32
Nov 13 2015 01: +0,1.055,37
Nov 14 2015 01: +0,1.103,24
Nov 15 2015 01: +0,1.087,29
Nov 16 2015 01: +0,1.171,25
Nov 17 2015 01: +0,1.169,20
