Date,Price,Volume
Feb 27 2015 01: +0,1.153,883
Feb 28 2015 01: +0,1.105,491
Mar 01 2015 01: +0,1.099,336
Mar 02 2015 01: +0,1.102,243
Mar 03 2015 01: +0,1.096,195
Mar 04 2015 01: +0,1.086,177
Mar 05 2015 01: +0,1.086,173
Mar 06 2015 01: +0,1.075,211
Mar 07 2015 01: +0,1.069,250
Mar 08 2015 01: +0,1.075,220
Mar 09 2015 01: +0,1.067,221
Mar 10 2015 01: +0,1.051,153
Mar 11 2015 01: +0,1.165,204
Mar 12 2015 01: +0,1.152,230
Mar 13 2015 01: +0,0.899,1446
Mar 14 2015 01: +0,0.404,2878
Mar 15 2015 01: +0,0.361,19695
Mar 16 2015 01: +0,0.358,9935
Mar 17 2015 01: +0,0.457,1774
Mar 18 2015 01: +0,0.468,1268
Mar 19 2015 01: +0,0.441,1224
Mar 20 2015 01: +0,0.423,1302
Mar 21 2015 01: +0,0.421,1453
Mar 22 2015 01: +0,0.426,1158
Mar 23 2015 01: +0,0.417,1246
Mar 24 2015 01: +0,0.419,1146
Mar 25 2015 01: +0,0.42,1135
Mar 26 2015 01: +0,0.422,988
Mar 27 2015 01: +0,0.418,1207
Mar 28 2015 01: +0,0.43,1378
Mar 29 2015 01: +0,0.437,1167
Mar 30 2015 01: +0,0.442,958
Mar 31 2015 01: +0,0.448,883
Apr 01 2015 01: +0,0.451,1410
Apr 02 2015 01: +0,0.462,990
Apr 03 2015 01: +0,0.468,952
Apr 04 2015 01: +0,0.498,849
Apr 05 2015 01: +0,0.493,919
Apr 06 2015 01: +0,0.499,1015
Apr 07 2015 01: +0,0.508,1078
Apr 08 2015 01: +0,0.543,1015
Apr 09 2015 01: +0,0.548,869
Apr 10 2015 01: +0,0.552,755
Apr 11 2015 01: +0,0.568,811
Apr 12 2015 01: +0,0.565,729
Apr 13 2015 01: +0,0.517,661
Apr 14 2015 01: +0,0.512,710
Apr 15 2015 01: +0,0.5,636
Apr 16 2015 01: +0,0.492,795
Apr 17 2015 01: +0,0.512,713
Apr 18 2015 01: +0,0.523,892
Apr 19 2015 01: +0,0.517,694
Apr 20 2015 01: +0,0.499,645
Apr 21 2015 01: +0,0.493,671
Apr 22 2015 01: +0,0.49,808
Apr 23 2015 01: +0,0.505,708
Apr 24 2015 01: +0,0.522,774
Apr 25 2015 01: +0,0.548,875
Apr 26 2015 01: +0,0.529,786
Apr 27 2015 01: +0,0.535,762
Apr 28 2015 01: +0,0.561,649
Apr 29 2015 01: +0,0.573,595
Apr 30 2015 01: +0,0.577,841
May 01 2015 01: +0,0.595,621
May 02 2015 01: +0,0.631,678
May 03 2015 01: +0,0.625,596
May 04 2015 01: +0,0.618,582
May 05 2015 01: +0,0.606,584
May 06 2015 01: +0,0.628,572
May 07 2015 01: +0,0.649,506
May 08 2015 01: +0,0.651,639
May 09 2015 01: +0,0.635,748
May 10 2015 01: +0,0.654,612
May 11 2015 01: +0,0.665,519
May 12 2015 01: +0,0.671,473
May 13 2015 01: +0,0.659,545
May 14 2015 01: +0,0.669,558
May 15 2015 01: +0,0.713,475
May 16 2015 01: +0,0.714,712
May 17 2015 01: +0,0.727,666
May 18 2015 01: +0,0.728,561
May 19 2015 01: +0,0.72,649
May 20 2015 01: +0,0.696,658
May 21 2015 01: +0,0.722,536
May 22 2015 01: +0,0.721,520
May 23 2015 01: +0,0.735,744
May 24 2015 01: +0,0.741,562
May 25 2015 01: +0,0.754,444
May 26 2015 01: +0,0.779,396
May 27 2015 01: +0,0.534,894
May 28 2015 01: +0,0.696,461
May 29 2015 01: +0,0.735,423
May 30 2015 01: +0,0.754,446
May 31 2015 01: +0,0.772,481
Jun 01 2015 01: +0,0.791,376
Jun 02 2015 01: +0,0.754,412
Jun 03 2015 01: +0,0.752,424
Jun 04 2015 01: +0,0.713,442
Jun 05 2015 01: +0,0.682,561
Jun 06 2015 01: +0,0.704,496
Jun 07 2015 01: +0,0.718,459
Jun 08 2015 01: +0,0.719,416
Jun 09 2015 01: +0,0.731,353
Jun 10 2015 01: +0,0.687,584
Jun 11 2015 01: +0,0.696,461
Jun 12 2015 01: +0,0.706,404
Jun 13 2015 01: +0,0.695,461
Jun 14 2015 01: +0,0.697,402
Jun 15 2015 01: +0,0.716,350
Jun 16 2015 01: +0,0.725,371
Jun 17 2015 01: +0,0.726,373
Jun 18 2015 01: +0,0.751,342
Jun 19 2015 01: +0,0.713,464
Jun 20 2015 01: +0,0.724,438
Jun 21 2015 01: +0,0.717,478
Jun 22 2015 01: +0,0.724,410
Jun 23 2015 01: +0,0.747,337
Jun 24 2015 01: +0,0.787,355
Jun 25 2015 01: +0,0.826,344
Jun 26 2015 01: +0,0.853,315
Jun 27 2015 01: +0,0.871,304
Jun 28 2015 01: +0,0.862,336
Jun 29 2015 01: +0,0.875,335
Jun 30 2015 01: +0,0.884,369
Jul 01 2015 01: +0,0.898,309
Jul 02 2015 01: +0,0.913,497
Jul 03 2015 01: +0,0.963,432
Jul 04 2015 01: +0,1.042,276
Jul 05 2015 01: +0,0.998,357
Jul 06 2015 01: +0,0.993,325
Jul 07 2015 01: +0,0.974,317
Jul 08 2015 01: +0,1.019,298
Jul 09 2015 01: +0,1.056,296
Jul 10 2015 01: +0,1.068,221
Jul 11 2015 01: +0,1.075,250
Jul 12 2015 01: +0,1.066,210
Jul 13 2015 01: +0,1.08,290
Jul 14 2015 01: +0,1.098,236
Jul 15 2015 01: +0,1.087,194
Jul 16 2015 01: +0,1.038,259
Jul 17 2015 01: +0,1.069,256
Jul 18 2015 01: +0,1.125,200
Jul 19 2015 01: +0,1.115,260
Jul 20 2015 01: +0,1.102,244
Jul 21 2015 01: +0,1.112,281
Jul 22 2015 01: +0,1.101,243
