Date,Price,Volume
Feb 27 2015 01: +0,1.127,505
Feb 28 2015 01: +0,1.093,256
Mar 01 2015 01: +0,1.083,210
Mar 02 2015 01: +0,1.085,128
Mar 03 2015 01: +0,1.085,136
Mar 04 2015 01: +0,1.061,111
Mar 05 2015 01: +0,1.073,123
Mar 06 2015 01: +0,1.032,121
Mar 07 2015 01: +0,1.038,116
Mar 08 2015 01: +0,1.048,137
Mar 09 2015 01: +0,1.05,112
Mar 10 2015 01: +0,1.036,89
Mar 11 2015 01: +0,1.106,134
Mar 12 2015 01: +0,1.112,207
Mar 13 2015 01: +0,0.827,1423
Mar 14 2015 01: +0,0.423,2521
Mar 15 2015 01: +0,0.362,11852
Mar 16 2015 01: +0,0.362,5286
Mar 17 2015 01: +0,0.447,1621
Mar 18 2015 01: +0,0.462,1237
Mar 19 2015 01: +0,0.456,1087
Mar 20 2015 01: +0,0.44,1231
Mar 21 2015 01: +0,0.443,1252
Mar 22 2015 01: +0,0.455,1136
Mar 23 2015 01: +0,0.462,985
Mar 24 2015 01: +0,0.46,898
Mar 25 2015 01: +0,0.488,822
Mar 26 2015 01: +0,0.474,889
Mar 27 2015 01: +0,0.464,886
Mar 28 2015 01: +0,0.492,883
Mar 29 2015 01: +0,0.5,865
Mar 30 2015 01: +0,0.507,691
Mar 31 2015 01: +0,0.507,636
Apr 01 2015 01: +0,0.475,1016
Apr 02 2015 01: +0,0.521,862
Apr 03 2015 01: +0,0.551,727
Apr 04 2015 01: +0,0.59,708
Apr 05 2015 01: +0,0.619,666
Apr 06 2015 01: +0,0.677,669
Apr 07 2015 01: +0,0.754,724
Apr 08 2015 01: +0,0.775,540
Apr 09 2015 01: +0,0.738,529
Apr 10 2015 01: +0,0.708,560
Apr 11 2015 01: +0,0.69,662
Apr 12 2015 01: +0,0.681,618
Apr 13 2015 01: +0,0.634,634
Apr 14 2015 01: +0,0.596,552
Apr 15 2015 01: +0,0.618,513
Apr 16 2015 01: +0,0.56,702
Apr 17 2015 01: +0,0.592,627
Apr 18 2015 01: +0,0.622,726
Apr 19 2015 01: +0,0.596,598
Apr 20 2015 01: +0,0.629,586
Apr 21 2015 01: +0,0.591,724
Apr 22 2015 01: +0,0.644,590
Apr 23 2015 01: +0,0.649,461
Apr 24 2015 01: +0,0.654,564
Apr 25 2015 01: +0,0.665,709
Apr 26 2015 01: +0,0.672,593
Apr 27 2015 01: +0,0.675,527
Apr 28 2015 01: +0,0.711,444
Apr 29 2015 01: +0,0.738,449
Apr 30 2015 01: +0,0.758,514
May 01 2015 01: +0,0.758,488
May 02 2015 01: +0,0.765,524
May 03 2015 01: +0,0.777,443
May 04 2015 01: +0,0.767,401
May 05 2015 01: +0,0.754,509
May 06 2015 01: +0,0.783,424
May 07 2015 01: +0,0.796,427
May 08 2015 01: +0,0.807,503
May 09 2015 01: +0,0.838,443
May 10 2015 01: +0,0.866,441
May 11 2015 01: +0,0.869,359
May 12 2015 01: +0,0.908,343
May 13 2015 01: +0,0.907,315
May 14 2015 01: +0,0.934,333
May 15 2015 01: +0,0.94,342
May 16 2015 01: +0,0.937,429
May 17 2015 01: +0,0.957,441
May 18 2015 01: +0,0.949,371
May 19 2015 01: +0,0.989,337
May 20 2015 01: +0,1.002,281
May 21 2015 01: +0,1.005,272
May 22 2015 01: +0,0.973,393
May 23 2015 01: +0,0.99,441
May 24 2015 01: +0,1.03,388
May 25 2015 01: +0,1.024,362
May 26 2015 01: +0,1.03,336
May 27 2015 01: +0,0.738,771
May 28 2015 01: +0,0.936,419
May 29 2015 01: +0,0.969,417
May 30 2015 01: +0,1.012,337
May 31 2015 01: +0,1.06,297
Jun 01 2015 01: +0,1.034,334
Jun 02 2015 01: +0,1.034,326
Jun 03 2015 01: +0,1.024,326
Jun 04 2015 01: +0,0.989,362
Jun 05 2015 01: +0,0.96,337
Jun 06 2015 01: +0,0.97,288
Jun 07 2015 01: +0,0.987,378
Jun 08 2015 01: +0,0.983,349
Jun 09 2015 01: +0,0.982,330
Jun 10 2015 01: +0,0.985,359
Jun 11 2015 01: +0,0.963,349
Jun 12 2015 01: +0,0.974,320
Jun 13 2015 01: +0,1.003,315
Jun 14 2015 01: +0,0.981,269
Jun 15 2015 01: +0,1.013,270
Jun 16 2015 01: +0,1.017,268
Jun 17 2015 01: +0,1.03,247
Jun 18 2015 01: +0,1.045,214
Jun 19 2015 01: +0,1.015,278
Jun 20 2015 01: +0,1.053,260
Jun 21 2015 01: +0,0.995,259
Jun 22 2015 01: +0,1.035,292
