Date,Price,Volume
Feb 27 2015 01: +0,1.107,207
Feb 28 2015 01: +0,1.063,124
Mar 01 2015 01: +0,1.065,70
Mar 02 2015 01: +0,1.011,45
Mar 03 2015 01: +0,1.05,41
Mar 04 2015 01: +0,1.038,44
Mar 05 2015 01: +0,1.038,40
Mar 06 2015 01: +0,1.054,78
Mar 07 2015 01: +0,1.005,65
Mar 08 2015 01: +0,1.026,62
Mar 09 2015 01: +0,1.034,49
Mar 10 2015 01: +0,1.02,63
Mar 11 2015 01: +0,1.059,58
Mar 12 2015 01: +0,1.113,158
Mar 13 2015 01: +0,0.883,448
Mar 14 2015 01: +0,0.526,779
Mar 15 2015 01: +0,0.387,8971
Mar 16 2015 01: +0,0.346,4477
Mar 17 2015 01: +0,0.415,930
Mar 18 2015 01: +0,0.43,676
Mar 19 2015 01: +0,0.413,635
Mar 20 2015 01: +0,0.41,596
Mar 21 2015 01: +0,0.401,579
Mar 22 2015 01: +0,0.403,580
Mar 23 2015 01: +0,0.399,524
Mar 24 2015 01: +0,0.404,496
Mar 25 2015 01: +0,0.397,439
Mar 26 2015 01: +0,0.401,475
Mar 27 2015 01: +0,0.391,641
Mar 28 2015 01: +0,0.416,574
Mar 29 2015 01: +0,0.419,501
Mar 30 2015 01: +0,0.421,412
Mar 31 2015 01: +0,0.429,466
Apr 01 2015 01: +0,0.412,574
Apr 02 2015 01: +0,0.437,446
Apr 03 2015 01: +0,0.446,449
Apr 04 2015 01: +0,0.453,453
Apr 05 2015 01: +0,0.455,506
Apr 06 2015 01: +0,0.47,567
Apr 07 2015 01: +0,0.496,589
Apr 08 2015 01: +0,0.536,470
Apr 09 2015 01: +0,0.508,424
Apr 10 2015 01: +0,0.517,336
Apr 11 2015 01: +0,0.523,422
Apr 12 2015 01: +0,0.528,332
Apr 13 2015 01: +0,0.519,304
Apr 14 2015 01: +0,0.467,330
Apr 15 2015 01: +0,0.45,309
Apr 16 2015 01: +0,0.432,329
Apr 17 2015 01: +0,0.447,402
Apr 18 2015 01: +0,0.47,385
Apr 19 2015 01: +0,0.468,370
Apr 20 2015 01: +0,0.46,425
Apr 21 2015 01: +0,0.45,437
Apr 22 2015 01: +0,0.451,407
Apr 23 2015 01: +0,0.462,372
Apr 24 2015 01: +0,0.465,411
Apr 25 2015 01: +0,0.509,473
Apr 26 2015 01: +0,0.512,407
Apr 27 2015 01: +0,0.506,365
Apr 28 2015 01: +0,0.523,315
Apr 29 2015 01: +0,0.546,276
Apr 30 2015 01: +0,0.555,403
May 01 2015 01: +0,0.565,324
May 02 2015 01: +0,0.586,357
May 03 2015 01: +0,0.58,375
May 04 2015 01: +0,0.568,355
May 05 2015 01: +0,0.568,358
May 06 2015 01: +0,0.579,272
May 07 2015 01: +0,0.584,239
May 08 2015 01: +0,0.588,325
May 09 2015 01: +0,0.568,522
May 10 2015 01: +0,0.598,378
May 11 2015 01: +0,0.58,348
May 12 2015 01: +0,0.588,393
May 13 2015 01: +0,0.599,324
May 14 2015 01: +0,0.603,367
May 15 2015 01: +0,0.61,329
May 16 2015 01: +0,0.667,393
May 17 2015 01: +0,0.708,224
May 18 2015 01: +0,0.701,247
May 19 2015 01: +0,0.699,195
May 20 2015 01: +0,0.702,193
May 21 2015 01: +0,0.683,325
May 22 2015 01: +0,0.693,305
May 23 2015 01: +0,0.723,355
May 24 2015 01: +0,0.742,179
May 25 2015 01: +0,0.722,195
May 26 2015 01: +0,0.717,199
May 27 2015 01: +0,0.493,464
May 28 2015 01: +0,0.648,186
May 29 2015 01: +0,0.689,232
May 30 2015 01: +0,0.706,238
May 31 2015 01: +0,0.697,198
Jun 01 2015 01: +0,0.679,213
Jun 02 2015 01: +0,0.68,198
Jun 03 2015 01: +0,0.696,221
Jun 04 2015 01: +0,0.666,186
Jun 05 2015 01: +0,0.652,205
Jun 06 2015 01: +0,0.636,227
Jun 07 2015 01: +0,0.642,178
Jun 08 2015 01: +0,0.624,200
Jun 09 2015 01: +0,0.652,208
Jun 10 2015 01: +0,0.639,252
Jun 11 2015 01: +0,0.634,169
Jun 12 2015 01: +0,0.639,204
Jun 13 2015 01: +0,0.637,202
Jun 14 2015 01: +0,0.625,160
Jun 15 2015 01: +0,0.63,136
Jun 16 2015 01: +0,0.657,141
Jun 17 2015 01: +0,0.65,162
Jun 18 2015 01: +0,0.662,170
Jun 19 2015 01: +0,0.64,230
Jun 20 2015 01: +0,0.659,220
Jun 21 2015 01: +0,0.642,159
Jun 22 2015 01: +0,0.644,172
Jun 23 2015 01: +0,0.666,205
Jun 24 2015 01: +0,0.664,217
Jun 25 2015 01: +0,0.703,175
Jun 26 2015 01: +0,0.703,221
Jun 27 2015 01: +0,0.719,286
Jun 28 2015 01: +0,0.738,183
Jun 29 2015 01: +0,0.757,163
Jun 30 2015 01: +0,0.785,182
Jul 01 2015 01: +0,0.815,169
Jul 02 2015 01: +0,0.834,175
Jul 03 2015 01: +0,0.893,131
Jul 04 2015 01: +0,0.902,111
Jul 05 2015 01: +0,0.902,136
Jul 06 2015 01: +0,0.898,133
Jul 07 2015 01: +0,0.881,109
Jul 08 2015 01: +0,0.877,103
Jul 09 2015 01: +0,0.869,141
Jul 10 2015 01: +0,0.896,177
Jul 11 2015 01: +0,0.873,126
Jul 12 2015 01: +0,0.904,117
Jul 13 2015 01: +0,0.911,157
Jul 14 2015 01: +0,0.914,111
Jul 15 2015 01: +0,0.905,158
Jul 16 2015 01: +0,0.887,199
Jul 17 2015 01: +0,0.916,146
Jul 18 2015 01: +0,0.973,133
Jul 19 2015 01: +0,0.93,121
Jul 20 2015 01: +0,0.939,124
Jul 21 2015 01: +0,0.958,102
Jul 22 2015 01: +0,0.99,78
Jul 23 2015 01: +0,0.996,125
Jul 24 2015 01: +0,0.995,116
Jul 25 2015 01: +0,0.988,110
Jul 26 2015 01: +0,0.951,159
Jul 27 2015 01: +0,0.911,145
Jul 28 2015 01: +0,0.892,174
Jul 29 2015 01: +0,0.851,152
Jul 30 2015 01: +0,0.876,136
Jul 31 2015 01: +0,0.884,124
Aug 01 2015 01: +0,0.863,123
Aug 02 2015 01: +0,0.831,203
Aug 03 2015 01: +0,0.812,167
Aug 04 2015 01: +0,0.776,230
Aug 05 2015 01: +0,0.773,225
Aug 06 2015 01: +0,0.797,185
Aug 07 2015 01: +0,0.836,105
Aug 08 2015 01: +0,0.829,139
Aug 09 2015 01: +0,0.851,118
Aug 10 2015 01: +0,0.841,124
Aug 11 2015 01: +0,0.86,136
Aug 12 2015 01: +0,0.89,118
Aug 13 2015 01: +0,0.898,80
Aug 14 2015 01: +0,0.848,106
Aug 15 2015 01: +0,0.697,122
Aug 16 2015 01: +0,0.627,113
