Date,Price,Volume
Feb 27 2015 01: +0,1.142,483
Feb 28 2015 01: +0,1.102,273
Mar 01 2015 01: +0,1.098,229
Mar 02 2015 01: +0,1.101,139
Mar 03 2015 01: +0,1.081,114
Mar 04 2015 01: +0,1.086,111
Mar 05 2015 01: +0,1.061,88
Mar 06 2015 01: +0,1.06,107
Mar 07 2015 01: +0,1.053,131
Mar 08 2015 01: +0,1.055,94
Mar 09 2015 01: +0,1.06,103
Mar 10 2015 01: +0,1.058,114
Mar 11 2015 01: +0,1.142,152
Mar 12 2015 01: +0,1.153,242
Mar 13 2015 01: +0,0.907,1170
Mar 14 2015 01: +0,0.405,3336
Mar 15 2015 01: +0,0.338,10442
Mar 16 2015 01: +0,0.346,4816
Mar 17 2015 01: +0,0.408,1476
Mar 18 2015 01: +0,0.415,1070
Mar 19 2015 01: +0,0.403,1048
Mar 20 2015 01: +0,0.38,1162
Mar 21 2015 01: +0,0.379,1298
Mar 22 2015 01: +0,0.386,1216
Mar 23 2015 01: +0,0.384,970
Mar 24 2015 01: +0,0.385,914
Mar 25 2015 01: +0,0.394,1032
Mar 26 2015 01: +0,0.396,952
Mar 27 2015 01: +0,0.403,917
Mar 28 2015 01: +0,0.43,1090
Mar 29 2015 01: +0,0.446,960
Mar 30 2015 01: +0,0.43,834
Mar 31 2015 01: +0,0.451,678
Apr 01 2015 01: +0,0.419,1192
Apr 02 2015 01: +0,0.426,1087
Apr 03 2015 01: +0,0.454,890
Apr 04 2015 01: +0,0.472,925
Apr 05 2015 01: +0,0.476,774
Apr 06 2015 01: +0,0.501,709
Apr 07 2015 01: +0,0.537,919
Apr 08 2015 01: +0,0.607,716
Apr 09 2015 01: +0,0.591,573
Apr 10 2015 01: +0,0.604,686
Apr 11 2015 01: +0,0.605,695
Apr 12 2015 01: +0,0.586,596
Apr 13 2015 01: +0,0.566,532
Apr 14 2015 01: +0,0.536,490
Apr 15 2015 01: +0,0.492,557
Apr 16 2015 01: +0,0.49,681
Apr 17 2015 01: +0,0.495,625
Apr 18 2015 01: +0,0.504,813
Apr 19 2015 01: +0,0.508,603
Apr 20 2015 01: +0,0.524,538
Apr 21 2015 01: +0,0.513,529
Apr 22 2015 01: +0,0.527,481
Apr 23 2015 01: +0,0.516,480
Apr 24 2015 01: +0,0.537,619
Apr 25 2015 01: +0,0.601,920
Apr 26 2015 01: +0,0.686,992
Apr 27 2015 01: +0,0.743,755
Apr 28 2015 01: +0,0.766,579
Apr 29 2015 01: +0,0.789,484
Apr 30 2015 01: +0,0.786,503
May 01 2015 01: +0,0.779,519
May 02 2015 01: +0,0.817,653
May 03 2015 01: +0,0.863,754
May 04 2015 01: +0,0.917,699
May 05 2015 01: +0,0.948,546
May 06 2015 01: +0,1.019,519
May 07 2015 01: +0,1.016,374
May 08 2015 01: +0,0.966,440
May 09 2015 01: +0,0.889,530
May 10 2015 01: +0,0.876,370
May 11 2015 01: +0,0.886,406
May 12 2015 01: +0,0.896,355
May 13 2015 01: +0,0.882,368
May 14 2015 01: +0,0.902,409
May 15 2015 01: +0,0.919,378
May 16 2015 01: +0,0.956,364
May 17 2015 01: +0,0.944,340
May 18 2015 01: +0,0.93,305
May 19 2015 01: +0,0.933,313
May 20 2015 01: +0,0.962,247
May 21 2015 01: +0,0.957,265
May 22 2015 01: +0,0.981,305
May 23 2015 01: +0,0.987,308
May 24 2015 01: +0,0.973,320
May 25 2015 01: +0,0.971,235
May 26 2015 01: +0,0.965,233
May 27 2015 01: +0,0.645,880
May 28 2015 01: +0,0.859,391
May 29 2015 01: +0,0.935,364
May 30 2015 01: +0,0.957,326
May 31 2015 01: +0,0.977,341
Jun 01 2015 01: +0,0.941,328
Jun 02 2015 01: +0,0.921,337
Jun 03 2015 01: +0,0.936,306
Jun 04 2015 01: +0,0.924,343
Jun 05 2015 01: +0,0.883,347
Jun 06 2015 01: +0,0.92,350
Jun 07 2015 01: +0,0.929,441
Jun 08 2015 01: +0,0.975,426
Jun 09 2015 01: +0,1.001,312
