Date,Price,Volume
Feb 27 2015 01: +0,1.116,2433
Feb 28 2015 01: +0,1.104,1047
Mar 01 2015 01: +0,1.097,741
Mar 02 2015 01: +0,1.097,620
Mar 03 2015 01: +0,1.095,439
Mar 04 2015 01: +0,1.089,405
Mar 05 2015 01: +0,1.078,400
Mar 06 2015 01: +0,1.075,434
Mar 07 2015 01: +0,1.069,529
Mar 08 2015 01: +0,1.065,467
Mar 09 2015 01: +0,1.051,361
Mar 10 2015 01: +0,1.05,384
Mar 11 2015 01: +0,1.117,413
Mar 12 2015 01: +0,1.168,545
Mar 13 2015 01: +0,0.881,3126
Mar 14 2015 01: +0,0.47,5711
Mar 15 2015 01: +0,0.384,61233
Mar 16 2015 01: +0,0.429,34691
Mar 17 2015 01: +0,0.576,4895
Mar 18 2015 01: +0,0.54,3191
Mar 19 2015 01: +0,0.493,2780
Mar 20 2015 01: +0,0.448,3301
Mar 21 2015 01: +0,0.437,3882
Mar 22 2015 01: +0,0.446,2929
Mar 23 2015 01: +0,0.433,3021
Mar 24 2015 01: +0,0.449,3292
Mar 25 2015 01: +0,0.454,2322
Mar 26 2015 01: +0,0.448,2336
Mar 27 2015 01: +0,0.449,2628
Mar 28 2015 01: +0,0.483,3238
Mar 29 2015 01: +0,0.497,2390
Mar 30 2015 01: +0,0.485,2136
Mar 31 2015 01: +0,0.48,2228
Apr 01 2015 01: +0,0.463,2803
Apr 02 2015 01: +0,0.493,2354
Apr 03 2015 01: +0,0.501,2264
Apr 04 2015 01: +0,0.502,2508
Apr 05 2015 01: +0,0.524,3060
Apr 06 2015 01: +0,0.538,2163
Apr 07 2015 01: +0,0.566,3442
Apr 08 2015 01: +0,0.704,2803
Apr 09 2015 01: +0,0.645,1694
Apr 10 2015 01: +0,0.64,1591
Apr 11 2015 01: +0,0.636,2034
Apr 12 2015 01: +0,0.617,2154
Apr 13 2015 01: +0,0.584,1768
Apr 14 2015 01: +0,0.541,1728
Apr 15 2015 01: +0,0.543,1478
Apr 16 2015 01: +0,0.525,2150
Apr 17 2015 01: +0,0.534,2011
Apr 18 2015 01: +0,0.537,2550
Apr 19 2015 01: +0,0.546,1895
Apr 20 2015 01: +0,0.556,1891
Apr 21 2015 01: +0,0.535,1848
Apr 22 2015 01: +0,0.54,1769
Apr 23 2015 01: +0,0.539,1780
Apr 24 2015 01: +0,0.547,2012
Apr 25 2015 01: +0,0.566,2396
Apr 26 2015 01: +0,0.579,1882
Apr 27 2015 01: +0,0.573,1729
Apr 28 2015 01: +0,0.598,1483
Apr 29 2015 01: +0,0.611,1420
Apr 30 2015 01: +0,0.623,1821
May 01 2015 01: +0,0.629,1651
May 02 2015 01: +0,0.633,1928
May 03 2015 01: +0,0.642,1630
May 04 2015 01: +0,0.63,1462
May 05 2015 01: +0,0.64,1488
May 06 2015 01: +0,0.645,1319
May 07 2015 01: +0,0.654,1258
May 08 2015 01: +0,0.66,1549
May 09 2015 01: +0,0.678,1625
May 10 2015 01: +0,0.701,1400
May 11 2015 01: +0,0.694,1160
May 12 2015 01: +0,0.703,1300
May 13 2015 01: +0,0.699,1228
May 14 2015 01: +0,0.716,1226
May 15 2015 01: +0,0.738,1249
May 16 2015 01: +0,0.795,1532
May 17 2015 01: +0,0.842,1391
May 18 2015 01: +0,0.836,1034
May 19 2015 01: +0,0.819,1093
May 20 2015 01: +0,0.802,1034
May 21 2015 01: +0,0.822,1018
May 22 2015 01: +0,0.827,1002
May 23 2015 01: +0,0.832,1244
May 24 2015 01: +0,0.823,1085
May 25 2015 01: +0,0.794,1121
May 26 2015 01: +0,0.793,1208
May 27 2015 01: +0,0.576,2560
May 28 2015 01: +0,0.764,1185
May 29 2015 01: +0,0.787,1144
May 30 2015 01: +0,0.824,1063
May 31 2015 01: +0,0.834,1011
Jun 01 2015 01: +0,0.838,1016
Jun 02 2015 01: +0,0.83,1014
Jun 03 2015 01: +0,0.799,1170
Jun 04 2015 01: +0,0.771,1168
Jun 05 2015 01: +0,0.736,1183
Jun 06 2015 01: +0,0.731,1191
Jun 07 2015 01: +0,0.705,1259
Jun 08 2015 01: +0,0.717,1162
Jun 09 2015 01: +0,0.74,1035
Jun 10 2015 01: +0,0.721,1188
Jun 11 2015 01: +0,0.708,1085
Jun 12 2015 01: +0,0.717,1214
Jun 13 2015 01: +0,0.727,1360
Jun 14 2015 01: +0,0.747,1140
Jun 15 2015 01: +0,0.775,1094
Jun 16 2015 01: +0,0.817,1003
Jun 17 2015 01: +0,0.861,859
Jun 18 2015 01: +0,0.832,896
Jun 19 2015 01: +0,0.84,1115
Jun 20 2015 01: +0,0.863,995
Jun 21 2015 01: +0,0.849,887
Jun 22 2015 01: +0,0.861,943
Jun 23 2015 01: +0,0.893,845
Jun 24 2015 01: +0,0.881,919
Jun 25 2015 01: +0,0.89,1005
Jun 26 2015 01: +0,0.941,913
Jun 27 2015 01: +0,0.961,929
Jun 28 2015 01: +0,0.956,929
Jun 29 2015 01: +0,0.956,979
Jun 30 2015 01: +0,0.999,859
Jul 01 2015 01: +0,1.041,946
Jul 02 2015 01: +0,1.093,745
Jul 03 2015 01: +0,1.093,745
Jul 04 2015 01: +0,1.08,667
Jul 05 2015 01: +0,1.091,688
Jul 06 2015 01: +0,1.09,666
Jul 07 2015 01: +0,1.051,702
Jul 08 2015 01: +0,1.081,684
Jul 09 2015 01: +0,1.087,778
Jul 10 2015 01: +0,1.086,706
Jul 11 2015 01: +0,1.088,759
Jul 12 2015 01: +0,1.112,658
