Date,Price,Volume
Feb 27 2015 01: +0,1.129,273
Feb 28 2015 01: +0,1.101,107
Mar 01 2015 01: +0,1.099,122
Mar 02 2015 01: +0,1.095,81
Mar 03 2015 01: +0,1.08,47
Mar 04 2015 01: +0,1.067,44
Mar 05 2015 01: +0,1.065,36
Mar 06 2015 01: +0,1.064,51
Mar 07 2015 01: +0,1.048,75
Mar 08 2015 01: +0,1.069,51
Mar 09 2015 01: +0,1.019,40
Mar 10 2015 01: +0,0.991,38
Mar 11 2015 01: +0,1.093,50
Mar 12 2015 01: +0,1.089,78
Mar 13 2015 01: +0,0.857,431
Mar 14 2015 01: +0,0.499,715
Mar 15 2015 01: +0,0.391,7872
Mar 16 2015 01: +0,0.351,3985
Mar 17 2015 01: +0,0.435,835
Mar 18 2015 01: +0,0.448,565
Mar 19 2015 01: +0,0.439,500
Mar 20 2015 01: +0,0.425,494
Mar 21 2015 01: +0,0.407,594
Mar 22 2015 01: +0,0.411,527
Mar 23 2015 01: +0,0.411,453
Mar 24 2015 01: +0,0.411,453
Mar 25 2015 01: +0,0.411,408
Mar 26 2015 01: +0,0.414,427
Mar 27 2015 01: +0,0.409,465
Mar 28 2015 01: +0,0.417,588
Mar 29 2015 01: +0,0.426,643
Mar 30 2015 01: +0,0.433,362
Mar 31 2015 01: +0,0.437,372
Apr 01 2015 01: +0,0.442,471
Apr 02 2015 01: +0,0.454,420
Apr 03 2015 01: +0,0.473,382
Apr 04 2015 01: +0,0.49,380
Apr 05 2015 01: +0,0.477,396
Apr 06 2015 01: +0,0.487,406
Apr 07 2015 01: +0,0.496,502
Apr 08 2015 01: +0,0.526,383
Apr 09 2015 01: +0,0.523,349
Apr 10 2015 01: +0,0.545,418
Apr 11 2015 01: +0,0.536,372
Apr 12 2015 01: +0,0.532,268
Apr 13 2015 01: +0,0.51,326
Apr 14 2015 01: +0,0.484,331
Apr 15 2015 01: +0,0.487,276
Apr 16 2015 01: +0,0.454,309
Apr 17 2015 01: +0,0.481,283
Apr 18 2015 01: +0,0.491,343
Apr 19 2015 01: +0,0.485,361
Apr 20 2015 01: +0,0.473,311
Apr 21 2015 01: +0,0.462,298
Apr 22 2015 01: +0,0.486,288
Apr 23 2015 01: +0,0.494,336
Apr 24 2015 01: +0,0.484,444
Apr 25 2015 01: +0,0.515,406
Apr 26 2015 01: +0,0.51,396
Apr 27 2015 01: +0,0.518,325
Apr 28 2015 01: +0,0.539,301
Apr 29 2015 01: +0,0.554,283
Apr 30 2015 01: +0,0.583,242
May 01 2015 01: +0,0.585,269
May 02 2015 01: +0,0.589,366
May 03 2015 01: +0,0.59,308
May 04 2015 01: +0,0.58,262
May 05 2015 01: +0,0.58,277
May 06 2015 01: +0,0.595,260
May 07 2015 01: +0,0.59,269
May 08 2015 01: +0,0.599,290
May 09 2015 01: +0,0.601,297
May 10 2015 01: +0,0.623,245
May 11 2015 01: +0,0.605,270
May 12 2015 01: +0,0.621,199
May 13 2015 01: +0,0.627,280
May 14 2015 01: +0,0.625,272
May 15 2015 01: +0,0.642,346
May 16 2015 01: +0,0.775,529
May 17 2015 01: +0,0.846,279
May 18 2015 01: +0,0.82,196
May 19 2015 01: +0,0.779,192
May 20 2015 01: +0,0.722,275
May 21 2015 01: +0,0.729,286
May 22 2015 01: +0,0.747,256
May 23 2015 01: +0,0.77,260
May 24 2015 01: +0,0.811,159
May 25 2015 01: +0,0.777,165
May 26 2015 01: +0,0.777,197
May 27 2015 01: +0,0.593,379
May 28 2015 01: +0,0.728,208
May 29 2015 01: +0,0.746,193
May 30 2015 01: +0,0.737,228
May 31 2015 01: +0,0.763,144
Jun 01 2015 01: +0,0.736,190
Jun 02 2015 01: +0,0.74,170
Jun 03 2015 01: +0,0.74,189
Jun 04 2015 01: +0,0.715,220
Jun 05 2015 01: +0,0.704,217
Jun 06 2015 01: +0,0.729,224
Jun 07 2015 01: +0,0.718,219
Jun 08 2015 01: +0,0.7,209
Jun 09 2015 01: +0,0.679,188
Jun 10 2015 01: +0,0.701,226
Jun 11 2015 01: +0,0.682,193
Jun 12 2015 01: +0,0.71,187
Jun 13 2015 01: +0,0.733,219
Jun 14 2015 01: +0,0.721,157
Jun 15 2015 01: +0,0.729,142
Jun 16 2015 01: +0,0.705,181
Jun 17 2015 01: +0,0.827,459
Jun 18 2015 01: +0,0.919,291
Jun 19 2015 01: +0,0.861,220
Jun 20 2015 01: +0,0.925,231
Jun 21 2015 01: +0,0.759,150
Jun 22 2015 01: +0,0.765,129
Jun 23 2015 01: +0,0.794,102
Jun 24 2015 01: +0,0.81,102
Jun 25 2015 01: +0,0.833,98
Jun 26 2015 01: +0,0.859,109
Jun 27 2015 01: +0,0.87,134
Jun 28 2015 01: +0,0.865,110
Jun 29 2015 01: +0,0.869,96
Jun 30 2015 01: +0,0.896,123
Jul 01 2015 01: +0,0.92,83
Jul 02 2015 01: +0,0.94,84
Jul 03 2015 01: +0,0.949,97
Jul 04 2015 01: +0,0.95,109
Jul 05 2015 01: +0,0.961,114
Jul 06 2015 01: +0,0.936,100
Jul 07 2015 01: +0,0.961,106
Jul 08 2015 01: +0,0.962,115
Jul 09 2015 01: +0,0.956,153
Jul 10 2015 01: +0,0.973,94
Jul 11 2015 01: +0,0.932,147
Jul 12 2015 01: +0,0.969,111
Jul 13 2015 01: +0,0.967,139
Jul 14 2015 01: +0,0.985,104
Jul 15 2015 01: +0,0.999,108
Jul 16 2015 01: +0,0.971,102
Jul 17 2015 01: +0,0.984,113
Jul 18 2015 01: +0,1.035,109
Jul 19 2015 01: +0,1.052,98
Jul 20 2015 01: +0,0.979,98
Jul 21 2015 01: +0,0.982,147
Jul 22 2015 01: +0,1.03,111
Jul 23 2015 01: +0,1.062,137
Jul 24 2015 01: +0,1.061,82
Jul 25 2015 01: +0,1.049,106
Jul 26 2015 01: +0,1.049,82
Jul 27 2015 01: +0,1.054,93
Jul 28 2015 01: +0,1.037,108
Jul 29 2015 01: +0,0.964,106
Jul 30 2015 01: +0,0.971,92
Jul 31 2015 01: +0,0.93,104
Aug 01 2015 01: +0,0.942,110
Aug 02 2015 01: +0,0.968,86
Aug 03 2015 01: +0,0.945,89
Aug 04 2015 01: +0,0.921,109
Aug 05 2015 01: +0,0.91,111
Aug 06 2015 01: +0,0.897,103
Aug 07 2015 01: +0,0.906,97
Aug 08 2015 01: +0,0.96,77
Aug 09 2015 01: +0,0.943,71
Aug 10 2015 01: +0,0.937,93
Aug 11 2015 01: +0,0.924,74
Aug 12 2015 01: +0,0.927,148
Aug 13 2015 01: +0,0.868,82
Aug 14 2015 01: +0,0.864,127
Aug 15 2015 01: +0,0.681,125
Aug 16 2015 01: +0,0.627,88
Aug 17 2015 01: +0,0.629,102
Aug 18 2015 01: +0,0.631,99
Aug 19 2015 01: +0,0.633,112
Aug 20 2015 01: +0,0.625,107
Aug 21 2015 01: +0,0.567,176
Aug 22 2015 01: +0,0.509,239
Aug 23 2015 01: +0,0.478,181
Aug 24 2015 01: +0,0.506,68
Aug 25 2015 01: +0,0.583,49
Aug 26 2015 01: +0,0.652,65
Aug 27 2015 01: +0,0.703,32
Aug 28 2015 01: +0,0.666,46
Aug 29 2015 01: +0,0.662,56
Aug 30 2015 01: +0,0.679,42
Aug 31 2015 01: +0,0.718,39
Sep 01 2015 01: +0,0.743,28
Sep 02 2015 01: +0,0.671,33
Sep 03 2015 01: +0,0.636,50
Sep 04 2015 01: +0,0.612,39
Sep 05 2015 01: +0,0.635,63
Sep 06 2015 01: +0,0.676,55
Sep 07 2015 01: +0,0.686,29
Sep 08 2015 01: +0,0.704,44
Sep 09 2015 01: +0,0.693,31
Sep 10 2015 01: +0,0.639,43
Sep 11 2015 01: +0,0.673,53
Sep 12 2015 01: +0,0.731,39
Sep 13 2015 01: +0,0.733,56
Sep 14 2015 01: +0,0.659,43
Sep 15 2015 01: +0,0.685,41
Sep 16 2015 01: +0,0.723,41
Sep 17 2015 01: +0,0.763,50
Sep 18 2015 01: +0,0.752,44
Sep 19 2015 01: +0,0.74,54
Sep 20 2015 01: +0,0.8,48
Sep 21 2015 01: +0,0.845,39
Sep 22 2015 01: +0,0.688,41
Sep 23 2015 01: +0,0.767,37
Sep 24 2015 01: +0,0.784,43
Sep 25 2015 01: +0,0.758,49
Sep 26 2015 01: +0,0.774,53
Sep 27 2015 01: +0,0.776,48
Sep 28 2015 01: +0,0.77,41
Sep 29 2015 01: +0,0.776,39
Sep 30 2015 01: +0,0.792,28
Oct 01 2015 01: +0,0.794,33
Oct 02 2015 01: +0,0.787,31
Oct 03 2015 01: +0,0.805,53
Oct 04 2015 01: +0,0.757,45
Oct 05 2015 01: +0,0.749,38
Oct 06 2015 01: +0,0.806,39
Oct 07 2015 01: +0,0.818,40
Oct 08 2015 01: +0,0.757,28
Oct 09 2015 01: +0,0.778,59
Oct 10 2015 01: +0,0.766,46
Oct 11 2015 01: +0,0.771,45
Oct 12 2015 01: +0,0.802,55
Oct 13 2015 01: +0,0.794,39
Oct 14 2015 01: +0,0.746,40
Oct 15 2015 01: +0,0.734,29
Oct 16 2015 01: +0,0.743,37
Oct 17 2015 01: +0,0.76,62
Oct 18 2015 01: +0,0.761,102
Oct 19 2015 01: +0,0.783,34
Oct 20 2015 01: +0,0.763,35
Oct 21 2015 01: +0,0.678,54
Oct 22 2015 01: +0,0.65,33
Oct 23 2015 01: +0,0.66,51
Oct 24 2015 01: +0,0.651,49
Oct 25 2015 01: +0,0.653,43
Oct 26 2015 01: +0,0.644,42
Oct 27 2015 01: +0,0.608,38
Oct 28 2015 01: +0,0.609,42
Oct 29 2015 01: +0,0.617,36
Oct 30 2015 01: +0,0.606,53
Oct 31 2015 01: +0,0.6,75
Nov 01 2015 01: +0,0.57,202
Nov 02 2015 01: +0,0.603,76
Nov 03 2015 01: +0,0.721,39
Nov 04 2015 01: +0,0.743,31
Nov 05 2015 01: +0,0.724,26
Nov 06 2015 01: +0,0.683,45
Nov 07 2015 01: +0,0.746,35
Nov 08 2015 01: +0,0.746,27
Nov 09 2015 01: +0,0.719,26
Nov 10 2015 01: +0,0.759,26
Nov 11 2015 01: +0,0.732,43
Nov 12 2015 01: +0,0.747,21
Nov 13 2015 01: +0,0.742,38
Nov 14 2015 01: +0,0.811,61
Nov 15 2015 01: +0,0.916,28
Nov 16 2015 01: +0,0.859,16
Nov 17 2015 01: +0,0.854,24
Nov 18 2015 01: +0,0.922,18
Nov 19 2015 01: +0,0.891,33
Nov 20 2015 01: +0,0.961,25
Nov 21 2015 01: +0,0.925,34
Nov 22 2015 01: +0,0.954,23
Nov 23 2015 01: +0,0.958,31
Nov 24 2015 01: +0,0.944,28
Nov 25 2015 01: +0,0.919,46
Nov 26 2015 01: +0,0.862,22
Nov 27 2015 01: +0,0.83,31
Nov 28 2015 01: +0,0.857,86
Nov 29 2015 01: +0,1.083,88
Nov 30 2015 01: +0,0.978,17
Dec 01 2015 01: +0,0.904,29
Dec 02 2015 01: +0,1.017,29
Dec 03 2015 01: +0,1.353,57
Dec 04 2015 01: +0,1.366,18
Dec 05 2015 01: +0,1.287,32
Dec 06 2015 01: +0,1.334,17
Dec 07 2015 01: +0,1.123,23
Dec 08 2015 01: +0,1.228,29
Dec 09 2015 01: +0,1.139,32
Dec 10 2015 01: +0,1.308,164
Dec 11 2015 01: +0,1.366,29
Dec 12 2015 01: +0,1.705,36
Dec 13 2015 01: +0,1.794,24
Dec 14 2015 01: +0,1.698,59
Dec 15 2015 01: +0,1.819,19
Dec 16 2015 01: +0,1.664,14
Dec 17 2015 01: +0,1.606,19
Dec 18 2015 01: +0,1.698,15
Dec 19 2015 01: +0,1.67,38
Dec 20 2015 01: +0,1.696,11
Dec 21 2015 01: +0,1.617,15
Dec 22 2015 01: +0,1.437,31
Dec 23 2015 01: +0,1.272,34
Dec 24 2015 01: +0,1.558,27
Dec 25 2015 01: +0,1.644,28
Dec 26 2015 01: +0,1.587,28
Dec 27 2015 01: +0,1.592,24
Dec 28 2015 01: +0,1.586,33
Dec 29 2015 01: +0,2.149,98
Dec 30 2015 01: +0,2.301,33
Dec 31 2015 01: +0,2.566,54
Jan 01 2016 01: +0,2.858,24
Jan 02 2016 01: +0,2.63,14
Jan 03 2016 01: +0,2.367,23
Jan 04 2016 01: +0,3.106,69
Jan 05 2016 01: +0,3.099,29
Jan 06 2016 01: +0,4.868,44
Jan 07 2016 01: +0,5.032,29
Jan 08 2016 01: +0,4.141,17
Jan 09 2016 01: +0,4.141,18
Jan 10 2016 01: +0,3.677,34
Jan 11 2016 01: +0,3.733,12
Jan 12 2016 01: +0,3.566,14
Jan 13 2016 01: +0,3.503,32
Jan 14 2016 01: +0,3.111,29
Jan 15 2016 01: +0,2.646,50
Jan 16 2016 01: +0,2.958,20
Jan 17 2016 01: +0,2.908,21
Jan 18 2016 01: +0,2.79,12
Jan 19 2016 01: +0,2.844,20
Jan 20 2016 01: +0,2.814,9
Jan 21 2016 01: +0,2.812,45
Jan 22 2016 01: +0,2.731,26
Jan 23 2016 01: +0,2.838,25
Jan 24 2016 01: +0,2.747,15
Jan 25 2016 01: +0,2.813,18
Jan 26 2016 01: +0,2.924,15
Jan 27 2016 01: +0,2.885,12
Jan 28 2016 01: +0,2.673,19
Jan 29 2016 01: +0,2.645,39
Jan 30 2016 01: +0,2.49,17
Jan 31 2016 01: +0,2.141,16
Feb 01 2016 01: +0,3.143,92
Feb 02 2016 01: +0,3.902,17
Feb 03 2016 01: +0,2.949,7
Feb 04 2016 01: +0,2.884,17
Feb 05 2016 01: +0,2.868,19
Feb 06 2016 01: +0,2.326,12
Feb 07 2016 01: +0,2.08,23
Feb 08 2016 01: +0,2.297,17
Feb 09 2016 01: +0,2.298,21
Feb 10 2016 01: +0,2.052,9
Feb 11 2016 01: +0,2.235,17
Feb 12 2016 01: +0,2.362,12
Feb 13 2016 01: +0,2.503,25
Feb 14 2016 01: +0,2.61,5
Feb 15 2016 01: +0,2.553,12
Feb 16 2016 01: +0,2.57,25
Feb 17 2016 01: +0,2.658,17
Feb 18 2016 01: +0,1.937,40
Feb 19 2016 01: +0,2.445,11
Feb 20 2016 01: +0,2.328,26
Feb 21 2016 01: +0,2.194,19
Feb 22 2016 01: +0,2.402,24
Feb 23 2016 01: +0,2.576,10
Feb 24 2016 01: +0,2.506,16
Feb 25 2016 01: +0,2.355,21
Feb 26 2016 01: +0,2.366,17
Feb 27 2016 01: +0,2.321,18
Feb 28 2016 01: +0,2.287,13
Feb 29 2016 01: +0,2.209,19
Mar 01 2016 01: +0,2.139,21
Mar 02 2016 01: +0,2.135,46
Mar 03 2016 01: +0,2.092,55
Mar 04 2016 01: +0,2.158,19
Mar 05 2016 01: +0,2.135,22
Mar 06 2016 01: +0,2.23,21
Mar 07 2016 01: +0,2.384,21
Mar 08 2016 01: +0,2.17,12
Mar 09 2016 01: +0,2.374,21
Mar 10 2016 01: +0,2.542,13
Mar 11 2016 01: +0,2.191,13
Mar 12 2016 01: +0,2.256,13
Mar 13 2016 01: +0,2.857,27
Mar 14 2016 01: +0,2.775,22
Mar 15 2016 01: +0,2.455,3
Mar 16 2016 01: +0,2.523,20
Mar 17 2016 01: +0,2.595,19
Mar 18 2016 01: +0,2.793,21
Mar 19 2016 01: +0,2.709,20
Mar 20 2016 01: +0,2.504,21
Mar 21 2016 01: +0,2.356,7
Mar 22 2016 01: +0,2.211,13
Mar 23 2016 01: +0,2.222,13
Mar 24 2016 01: +0,2.238,23
Mar 25 2016 01: +0,2.287,16
Mar 26 2016 01: +0,2.321,16
Mar 27 2016 01: +0,2.261,8
Mar 28 2016 01: +0,2.119,24
Mar 29 2016 01: +0,2.167,21
Mar 30 2016 01: +0,2.207,10
Mar 31 2016 01: +0,2.285,15
Apr 01 2016 01: +0,2.337,15
Apr 02 2016 01: +0,2.027,17
Apr 03 2016 01: +0,1.818,42
Apr 04 2016 01: +0,1.777,28
Apr 05 2016 01: +0,2.041,11
Apr 06 2016 01: +0,2.393,77
Apr 07 2016 01: +0,2.902,26
Apr 08 2016 01: +0,2.634,10
Apr 09 2016 01: +0,2.52,11
Apr 10 2016 01: +0,2.582,20
Apr 11 2016 01: +0,2.462,9
Apr 12 2016 01: +0,2.494,12
Apr 13 2016 01: +0,2.344,13
Apr 14 2016 01: +0,2.324,12
Apr 15 2016 01: +0,2.224,10
Apr 16 2016 01: +0,2.133,15
Apr 17 2016 01: +0,2.343,19
Apr 18 2016 01: +0,2.296,15
Apr 19 2016 01: +0,2.198,13
Apr 20 2016 01: +0,2.368,13
Apr 21 2016 01: +0,2.436,7
Apr 22 2016 01: +0,2.382,12
Apr 23 2016 01: +0,2.342,9
Apr 24 2016 01: +0,2.004,20
Apr 25 2016 01: +0,2.011,17
Apr 26 2016 01: +0,2.094,12
Apr 27 2016 01: +0,2.003,5
Apr 28 2016 01: +0,1.785,13
Apr 29 2016 01: +0,1.832,19
Apr 30 2016 01: +0,2.006,28
May 01 2016 01: +0,2.143,11
May 02 2016 01: +0,2.175,12
May 03 2016 01: +0,2.17,12
May 04 2016 01: +0,1.948,19
May 05 2016 01: +0,2.04,12
May 06 2016 01: +0,2.269,26
May 07 2016 01: +0,2.329,17
May 08 2016 01: +0,2.545,22
May 09 2016 01: +0,2.5,11
May 10 2016 01: +0,2.4,11
May 11 2016 01: +0,2.312,7
May 12 2016 01: +0,2.331,16
May 13 2016 01: +0,2.62,38
May 14 2016 01: +0,3.175,27
May 15 2016 01: +0,3.578,11
May 16 2016 01: +0,3.261,18
May 17 2016 01: +0,4.06,26
May 18 2016 01: +0,3.854,27
May 19 2016 01: +0,3.113,20
May 20 2016 01: +0,4.285,42
May 21 2016 01: +0,4.211,30
May 22 2016 01: +0,4.474,22
May 23 2016 01: +0,5.375,49
May 24 2016 01: +0,6.699,25
May 25 2016 01: +0,6.253,12
May 26 2016 01: +0,6.679,67
May 27 2016 01: +0,7.349,25
May 28 2016 01: +0,7.224,25
May 29 2016 01: +0,6.754,22
May 30 2016 01: +0,6.228,24
May 31 2016 01: +0,6.315,10
Jun 01 2016 01: +0,5.477,16
Jun 02 2016 01: +0,5.276,9
Jun 03 2016 01: +0,5.696,21
Jun 04 2016 01: +0,5.319,14
Jun 05 2016 01: +0,5.405,22
Jun 06 2016 01: +0,5.65,25
Jun 07 2016 01: +0,6.059,17
Jun 08 2016 01: +0,6.525,61
Jun 09 2016 01: +0,6.751,15
Jun 10 2016 01: +0,6.063,15
Jun 11 2016 01: +0,6.03,14
Jun 12 2016 01: +0,5.928,8
Jun 13 2016 01: +0,6.009,10
Jun 14 2016 01: +0,5.77,15
Jun 15 2016 01: +0,5.929,16
Jun 16 2016 01: +0,5.721,10
Jun 17 2016 01: +0,5.612,20
Jun 18 2016 01: +0,5.274,19
Jun 19 2016 01: +0,5.352,9
Jun 20 2016 01: +0,5.473,25
Jun 21 2016 01: +0,6.16,31
Jun 22 2016 01: +0,6.113,10
Jun 23 2016 01: +0,5.489,9
Jun 24 2016 01: +0,4.821,16
Jun 25 2016 01: +0,4.422,5
Jun 26 2016 01: +0,4,14
Jun 27 2016 01: +0,3.146,28
Jun 28 2016 01: +0,3.56,29
Jun 29 2016 01: +0,3.854,16
Jun 30 2016 01: +0,4.037,11
Jul 01 2016 01: +0,3.818,14
Jul 02 2016 01: +0,3.6,14
Jul 03 2016 01: +0,3.662,22
Jul 04 2016 01: +0,3.839,11
Jul 05 2016 01: +0,3.715,29
Jul 06 2016 01: +0,3.794,23
Jul 07 2016 01: +0,3.58,18
Jul 08 2016 01: +0,3.718,9
Jul 09 2016 01: +0,3.802,17
Jul 10 2016 01: +0,3.535,55
Jul 11 2016 01: +0,3.652,9
Jul 12 2016 01: +0,4.013,6
Jul 13 2016 01: +0,4.513,8
Jul 14 2016 01: +0,4.074,9
Jul 15 2016 01: +0,4.282,7
Jul 16 2016 01: +0,4.398,11
Jul 17 2016 01: +0,4.014,5
Jul 18 2016 01: +0,4.047,4
Jul 19 2016 01: +0,3.772,9
Jul 20 2016 01: +0,3.978,5
Jul 21 2016 01: +0,3.831,6
Jul 22 2016 01: +0,3.629,5
Jul 23 2016 01: +0,3.624,6
Jul 24 2016 01: +0,3.716,5
Jul 25 2016 01: +0,3.015,2
Jul 26 2016 01: +0,3.677,22
Jul 27 2016 01: +0,3.6,7
Jul 28 2016 01: +0,2.527,3
Jul 29 2016 01: +0,3.075,4
Jul 30 2016 01: +0,3.338,6
Jul 31 2016 01: +0,3.315,9
Aug 01 2016 01: +0,3.461,13
Aug 02 2016 01: +0,3.776,11
Aug 03 2016 01: +0,3.729,7
Aug 04 2016 01: +0,4.047,13
Aug 05 2016 01: +0,4,8
Aug 06 2016 01: +0,3.716,5
Aug 07 2016 01: +0,3.518,9
Aug 08 2016 01: +0,3.301,2
Aug 09 2016 01: +0,3.291,3
Aug 10 2016 01: +0,3.298,4
Aug 11 2016 01: +0,3.287,8
Aug 12 2016 01: +0,3.125,13
Aug 13 2016 01: +0,2.839,9
Aug 14 2016 01: +0,2.912,15
Aug 15 2016 01: +0,3.175,6
Aug 16 2016 01: +0,2.921,7
Aug 17 2016 01: +0,2.851,5
Aug 18 2016 01: +0,2.72,9
Aug 19 2016 01: +0,2.582,18
Aug 20 2016 01: +0,2.753,17
Aug 21 2016 01: +0,2.728,11
Aug 22 2016 01: +0,2.781,7
Aug 23 2016 01: +0,2.756,6
Aug 24 2016 01: +0,2.671,10
Aug 25 2016 01: +0,2.776,13
Aug 26 2016 01: +0,2.801,13
Aug 27 2016 01: +0,2.725,8
Aug 28 2016 01: +0,2.763,3
Aug 29 2016 01: +0,2.502,3
Aug 30 2016 01: +0,2.581,9
Aug 31 2016 01: +0,2.418,13
Sep 01 2016 01: +0,2.468,10
Sep 02 2016 01: +0,2.481,28
Sep 03 2016 01: +0,2.51,16
Sep 04 2016 01: +0,2.496,11
Sep 05 2016 01: +0,2.528,8
Sep 06 2016 01: +0,2.439,5
Sep 07 2016 01: +0,2.498,15
Sep 08 2016 01: +0,2.467,14
Sep 09 2016 01: +0,2.422,11
Sep 10 2016 01: +0,2.38,6
Sep 11 2016 01: +0,2.467,12
Sep 12 2016 01: +0,2.428,3
Sep 13 2016 01: +0,2.374,5
Sep 14 2016 01: +0,2.106,7
Sep 15 2016 01: +0,2.302,10
Sep 16 2016 01: +0,1.972,3
Sep 17 2016 01: +0,2.439,6
Sep 18 2016 01: +0,2.428,6
Sep 19 2016 01: +0,2.259,7
Sep 20 2016 01: +0,2.422,10
Sep 21 2016 01: +0,2.388,5
Sep 22 2016 01: +0,2.22,8
Sep 23 2016 01: +0,2.147,4
Sep 24 2016 01: +0,2.193,19
Sep 25 2016 01: +0,2.282,26
Sep 26 2016 01: +0,2.339,11
Sep 27 2016 01: +0,2.355,8
Sep 28 2016 01: +0,2.271,7
Sep 29 2016 01: +0,2.25,5
Sep 30 2016 01: +0,2.343,14
Oct 01 2016 01: +0,2.219,4
