Date,Price,Volume
Jul 07 2017 01: +0,1.09,214
Jul 08 2017 01: +0,1.088,576
Jul 09 2017 01: +0,1.071,242
Jul 10 2017 01: +0,1.071,271
Jul 11 2017 01: +0,1.041,187
Jul 12 2017 01: +0,1.051,135
Jul 13 2017 01: +0,1.047,133
Jul 14 2017 01: +0,1.063,127
Jul 15 2017 01: +0,1.044,104
Jul 16 2017 01: +0,1.07,238
Jul 17 2017 01: +0,1.075,337
Jul 18 2017 01: +0,1.087,557
Jul 19 2017 01: +0,1.106,500
Jul 20 2017 01: +0,1.117,1001
Jul 21 2017 01: +0,1.082,553
Jul 22 2017 01: +0,1.013,925
Jul 23 2017 01: +0,0.29,8529
Jul 24 2017 01: +0,0.234,5843
Jul 25 2017 01: +0,0.262,2718
Jul 26 2017 01: +0,0.268,1592
Jul 27 2017 01: +0,0.252,1395
Jul 28 2017 01: +0,0.254,1154
Jul 29 2017 01: +0,0.256,946
Jul 30 2017 01: +0,0.244,837
Jul 31 2017 01: +0,0.236,975
Aug 01 2017 01: +0,0.222,980
Aug 02 2017 01: +0,0.217,956
Aug 03 2017 01: +0,0.218,910
Aug 04 2017 01: +0,0.214,797
Aug 05 2017 01: +0,0.21,820
Aug 06 2017 01: +0,0.209,796
Aug 07 2017 01: +0,0.199,733
Aug 08 2017 01: +0,0.199,745
Aug 09 2017 01: +0,0.201,640
Aug 10 2017 01: +0,0.209,633
Aug 11 2017 01: +0,0.208,533
Aug 12 2017 01: +0,0.211,621
Aug 13 2017 01: +0,0.196,573
Aug 14 2017 01: +0,0.189,538
Aug 15 2017 01: +0,0.192,607
Aug 16 2017 01: +0,0.187,529
Aug 17 2017 01: +0,0.191,907
Aug 18 2017 01: +0,0.215,610
Aug 19 2017 01: +0,0.207,504
Aug 20 2017 01: +0,0.211,534
Aug 21 2017 01: +0,0.206,494
Aug 22 2017 01: +0,0.204,466
Aug 23 2017 01: +0,0.205,422
Aug 24 2017 01: +0,0.21,418
Aug 25 2017 01: +0,0.222,412
Aug 26 2017 01: +0,0.216,410
Aug 27 2017 01: +0,0.219,402
Aug 28 2017 01: +0,0.215,407
Aug 29 2017 01: +0,0.208,388
Aug 30 2017 01: +0,0.206,432
Aug 31 2017 01: +0,0.202,332
Sep 01 2017 01: +0,0.209,341
Sep 02 2017 01: +0,0.215,482
Sep 03 2017 01: +0,0.213,323
Sep 04 2017 01: +0,0.214,356
Sep 05 2017 01: +0,0.215,385
Sep 06 2017 01: +0,0.217,275
Sep 07 2017 01: +0,0.216,262
Sep 08 2017 01: +0,0.221,327
Sep 09 2017 01: +0,0.229,393
Sep 10 2017 01: +0,0.222,354
Sep 11 2017 01: +0,0.216,276
Sep 12 2017 01: +0,0.213,293
Sep 13 2017 01: +0,0.213,261
Sep 14 2017 01: +0,0.218,283
Sep 15 2017 01: +0,0.228,353
Sep 16 2017 01: +0,0.231,352
Sep 17 2017 01: +0,0.223,417
Sep 18 2017 01: +0,0.215,282
Sep 19 2017 01: +0,0.212,355
Sep 20 2017 01: +0,0.216,267
Sep 21 2017 01: +0,0.213,375
Sep 22 2017 01: +0,0.213,355
Sep 23 2017 01: +0,0.219,412
Sep 24 2017 01: +0,0.221,292
Sep 25 2017 01: +0,0.217,347
Sep 26 2017 01: +0,0.218,287
Sep 27 2017 01: +0,0.215,233
Sep 28 2017 01: +0,0.212,272
Sep 29 2017 01: +0,0.211,283
Sep 30 2017 01: +0,0.205,334
Oct 01 2017 01: +0,0.208,419
Oct 02 2017 01: +0,0.215,290
Oct 03 2017 01: +0,0.205,335
Oct 04 2017 01: +0,0.214,267
Oct 05 2017 01: +0,0.207,237
Oct 06 2017 01: +0,0.216,234
Oct 07 2017 01: +0,0.219,286
Oct 08 2017 01: +0,0.22,233
Oct 09 2017 01: +0,0.212,188
Oct 10 2017 01: +0,0.209,222
Oct 11 2017 01: +0,0.218,206
Oct 12 2017 01: +0,0.206,219
Oct 13 2017 01: +0,0.212,232
Oct 14 2017 01: +0,0.216,229
Oct 15 2017 01: +0,0.211,303
Oct 16 2017 01: +0,0.213,219
Oct 17 2017 01: +0,0.215,240
Oct 18 2017 01: +0,0.206,197
Oct 19 2017 01: +0,0.205,189
Oct 20 2017 01: +0,0.211,195
Oct 21 2017 01: +0,0.212,231
Oct 22 2017 01: +0,0.21,226
Oct 23 2017 01: +0,0.209,223
Oct 24 2017 01: +0,0.2,224
Oct 25 2017 01: +0,0.207,305
Oct 26 2017 01: +0,0.205,230
Oct 27 2017 01: +0,0.196,221
Oct 28 2017 01: +0,0.204,296
Oct 29 2017 01: +0,0.207,205
Oct 30 2017 01: +0,0.205,196
Oct 31 2017 01: +0,0.201,208
Nov 01 2017 01: +0,0.198,221
Nov 02 2017 01: +0,0.197,180
Nov 03 2017 01: +0,0.195,302
Nov 04 2017 01: +0,0.202,235
Nov 05 2017 01: +0,0.192,275
Nov 06 2017 01: +0,0.191,190
Nov 07 2017 01: +0,0.194,172
Nov 08 2017 01: +0,0.192,152
Nov 09 2017 01: +0,0.19,173
Nov 10 2017 01: +0,0.192,197
Nov 11 2017 01: +0,0.19,229
Nov 12 2017 01: +0,0.187,225
Nov 13 2017 01: +0,0.187,152
Nov 14 2017 01: +0,0.172,155
Nov 15 2017 01: +0,0.18,168
Nov 16 2017 01: +0,0.178,192
Nov 17 2017 01: +0,0.172,266
Nov 18 2017 01: +0,0.18,249
Nov 19 2017 01: +0,0.178,213
Nov 20 2017 01: +0,0.178,208
Nov 21 2017 01: +0,0.179,218
Nov 22 2017 01: +0,0.178,284
Nov 23 2017 01: +0,0.17,171
Nov 24 2017 01: +0,0.17,178
Nov 25 2017 01: +0,0.176,184
Nov 26 2017 01: +0,0.177,208
Nov 27 2017 01: +0,0.175,183
Nov 28 2017 01: +0,0.179,132
Nov 29 2017 01: +0,0.178,149
Nov 30 2017 01: +0,0.174,295
Dec 01 2017 01: +0,0.182,232
Dec 02 2017 01: +0,0.178,366
Dec 03 2017 01: +0,0.182,273
Dec 04 2017 01: +0,0.182,252
Dec 05 2017 01: +0,0.177,345
Dec 06 2017 01: +0,0.18,191
Dec 07 2017 01: +0,0.176,168
Dec 08 2017 01: +0,0.166,252
Dec 09 2017 01: +0,0.174,320
Dec 10 2017 01: +0,0.177,214
Dec 11 2017 01: +0,0.17,174
Dec 12 2017 01: +0,0.167,217
Dec 13 2017 01: +0,0.167,214
Dec 14 2017 01: +0,0.159,264
Dec 15 2017 01: +0,0.16,267
Dec 16 2017 01: +0,0.161,269
Dec 17 2017 01: +0,0.161,222
Dec 18 2017 01: +0,0.161,236
Dec 19 2017 01: +0,0.156,443
Dec 20 2017 01: +0,0.146,275
Dec 21 2017 01: +0,0.143,279
Dec 22 2017 01: +0,0.152,236
Dec 23 2017 01: +0,0.157,201
Dec 24 2017 01: +0,0.161,183
Dec 25 2017 01: +0,0.152,232
Dec 26 2017 01: +0,0.152,306
Dec 27 2017 01: +0,0.155,352
Dec 28 2017 01: +0,0.161,249
Dec 29 2017 01: +0,0.167,232
Dec 30 2017 01: +0,0.166,213
Dec 31 2017 01: +0,0.159,202
Jan 01 2018 01: +0,0.167,196
Jan 02 2018 01: +0,0.164,218
Jan 03 2018 01: +0,0.158,386
Jan 04 2018 01: +0,0.164,184
Jan 05 2018 01: +0,0.164,349
Jan 06 2018 01: +0,0.163,303
Jan 07 2018 01: +0,0.16,278
Jan 08 2018 01: +0,0.159,306
Jan 09 2018 01: +0,0.161,252
Jan 10 2018 01: +0,0.158,221
Jan 11 2018 01: +0,0.16,342
Jan 12 2018 01: +0,0.161,322
Jan 13 2018 01: +0,0.163,372
Jan 14 2018 01: +0,0.169,356
Jan 15 2018 01: +0,0.171,333
Jan 16 2018 01: +0,0.172,234
Jan 17 2018 01: +0,0.17,233
Jan 18 2018 01: +0,0.181,169
Jan 19 2018 01: +0,0.18,237
Jan 20 2018 01: +0,0.187,245
Jan 21 2018 01: +0,0.189,215
Jan 22 2018 01: +0,0.186,251
Jan 23 2018 01: +0,0.185,187
Jan 24 2018 01: +0,0.177,235
Jan 25 2018 01: +0,0.186,207
Jan 26 2018 01: +0,0.175,206
Jan 27 2018 01: +0,0.149,295
Jan 28 2018 01: +0,0.148,242
Jan 29 2018 01: +0,0.139,162
Jan 30 2018 01: +0,0.151,237
Jan 31 2018 01: +0,0.157,135
Feb 01 2018 01: +0,0.156,142
Feb 02 2018 01: +0,0.16,108
Feb 03 2018 01: +0,0.157,177
Feb 04 2018 01: +0,0.159,118
Feb 05 2018 01: +0,0.163,97
Feb 06 2018 01: +0,0.161,64
Feb 07 2018 01: +0,0.152,68
Feb 08 2018 01: +0,0.161,86
Feb 09 2018 01: +0,0.153,95
Feb 10 2018 01: +0,0.159,88
Feb 11 2018 01: +0,0.158,81
Feb 12 2018 01: +0,0.161,77
Feb 13 2018 01: +0,0.167,73
Feb 14 2018 01: +0,0.163,79
Feb 15 2018 01: +0,0.166,73
Feb 16 2018 01: +0,0.165,103
Feb 17 2018 01: +0,0.167,106
Feb 18 2018 01: +0,0.153,85
Feb 19 2018 01: +0,0.157,77
Feb 20 2018 01: +0,0.16,99
Feb 21 2018 01: +0,0.163,106
Feb 22 2018 01: +0,0.163,77
Feb 23 2018 01: +0,0.164,107
Feb 24 2018 01: +0,0.165,159
Feb 25 2018 01: +0,0.165,114
Feb 26 2018 01: +0,0.166,98
Feb 27 2018 01: +0,0.166,139
Feb 28 2018 01: +0,0.16,99
Mar 01 2018 01: +0,0.162,152
Mar 02 2018 01: +0,0.162,131
Mar 03 2018 01: +0,0.164,147
Mar 04 2018 01: +0,0.165,121
Mar 05 2018 01: +0,0.176,74
Mar 06 2018 01: +0,0.17,87
Mar 07 2018 01: +0,0.175,147
Mar 08 2018 01: +0,0.179,89
Mar 09 2018 01: +0,0.177,140
Mar 10 2018 01: +0,0.175,125
Mar 11 2018 01: +0,0.178,145
Mar 12 2018 01: +0,0.169,89
Mar 13 2018 01: +0,0.177,93
Mar 14 2018 01: +0,0.174,89
Mar 15 2018 01: +0,0.173,109
Mar 16 2018 01: +0,0.17,107
Mar 17 2018 01: +0,0.168,140
Mar 18 2018 01: +0,0.175,103
Mar 19 2018 01: +0,0.179,66
Mar 20 2018 01: +0,0.181,87
Mar 21 2018 01: +0,0.181,68
Mar 22 2018 01: +0,0.183,78
Mar 23 2018 01: +0,0.181,80
Mar 24 2018 01: +0,0.181,94
Mar 25 2018 01: +0,0.179,106
Mar 26 2018 01: +0,0.176,68
Mar 27 2018 01: +0,0.17,90
Mar 28 2018 01: +0,0.174,69
Mar 29 2018 01: +0,0.172,83
Mar 30 2018 01: +0,0.162,155
Mar 31 2018 01: +0,0.17,123
Apr 01 2018 01: +0,0.18,148
Apr 02 2018 01: +0,0.185,66
Apr 03 2018 01: +0,0.181,78
Apr 04 2018 01: +0,0.183,94
Apr 05 2018 01: +0,0.183,91
Apr 06 2018 01: +0,0.19,79
Apr 07 2018 01: +0,0.184,118
Apr 08 2018 01: +0,0.187,78
Apr 09 2018 01: +0,0.19,82
Apr 10 2018 01: +0,0.182,89
Apr 11 2018 01: +0,0.178,110
Apr 12 2018 01: +0,0.177,76
Apr 13 2018 01: +0,0.184,140
Apr 14 2018 01: +0,0.186,129
Apr 15 2018 01: +0,0.186,100
Apr 16 2018 01: +0,0.181,85
Apr 17 2018 01: +0,0.178,92
Apr 18 2018 01: +0,0.181,74
Apr 19 2018 01: +0,0.185,80
Apr 20 2018 01: +0,0.182,86
Apr 21 2018 01: +0,0.182,108
Apr 22 2018 01: +0,0.179,102
Apr 23 2018 01: +0,0.174,91
Apr 24 2018 01: +0,0.177,95
Apr 25 2018 01: +0,0.177,102
Apr 26 2018 01: +0,0.175,93
Apr 27 2018 01: +0,0.178,156
Apr 28 2018 01: +0,0.18,86
Apr 29 2018 01: +0,0.178,108
Apr 30 2018 01: +0,0.18,97
May 01 2018 01: +0,0.179,95
May 02 2018 01: +0,0.184,102
May 03 2018 01: +0,0.183,72
May 04 2018 01: +0,0.182,102
May 05 2018 01: +0,0.181,125
May 06 2018 01: +0,0.182,123
May 07 2018 01: +0,0.183,96
May 08 2018 01: +0,0.18,85
May 09 2018 01: +0,0.176,80
May 10 2018 01: +0,0.18,70
May 11 2018 01: +0,0.177,78
May 12 2018 01: +0,0.186,108
May 13 2018 01: +0,0.183,95
May 14 2018 01: +0,0.19,80
May 15 2018 01: +0,0.19,90
May 16 2018 01: +0,0.188,62
May 17 2018 01: +0,0.187,68
May 18 2018 01: +0,0.19,97
May 19 2018 01: +0,0.182,75
May 20 2018 01: +0,0.188,88
May 21 2018 01: +0,0.19,107
May 22 2018 01: +0,0.191,76
