Date,Price,Volume
Jul 07 2017 01: +0,1.061,131
Jul 08 2017 01: +0,1.08,337
Jul 09 2017 01: +0,1.065,188
Jul 10 2017 01: +0,1.055,188
Jul 11 2017 01: +0,1.047,129
Jul 12 2017 01: +0,1.059,134
Jul 13 2017 01: +0,1.08,132
Jul 14 2017 01: +0,1.083,126
Jul 15 2017 01: +0,1.072,144
Jul 16 2017 01: +0,1.105,150
Jul 17 2017 01: +0,0.999,96
Jul 18 2017 01: +0,1.039,95
Jul 19 2017 01: +0,0.945,260
Jul 20 2017 01: +0,0.267,6225
Jul 21 2017 01: +0,0.321,1975
Jul 22 2017 01: +0,0.313,1811
Jul 23 2017 01: +0,0.291,15461
Jul 24 2017 01: +0,0.281,3311
Jul 25 2017 01: +0,0.292,1915
Jul 26 2017 01: +0,0.303,1300
Jul 27 2017 01: +0,0.303,1212
Jul 28 2017 01: +0,0.307,923
Jul 29 2017 01: +0,0.307,635
Jul 30 2017 01: +0,0.307,557
Jul 31 2017 01: +0,0.284,862
Aug 01 2017 01: +0,0.278,689
Aug 02 2017 01: +0,0.274,805
Aug 03 2017 01: +0,0.269,658
Aug 04 2017 01: +0,0.261,644
Aug 05 2017 01: +0,0.265,561
Aug 06 2017 01: +0,0.267,613
Aug 07 2017 01: +0,0.259,573
Aug 08 2017 01: +0,0.259,540
Aug 09 2017 01: +0,0.261,520
Aug 10 2017 01: +0,0.263,571
Aug 11 2017 01: +0,0.258,461
Aug 12 2017 01: +0,0.246,601
Aug 13 2017 01: +0,0.247,573
Aug 14 2017 01: +0,0.243,580
Aug 15 2017 01: +0,0.239,524
Aug 16 2017 01: +0,0.231,599
Aug 17 2017 01: +0,0.223,947
Aug 18 2017 01: +0,0.225,795
Aug 19 2017 01: +0,0.225,910
Aug 20 2017 01: +0,0.224,791
Aug 21 2017 01: +0,0.227,518
Aug 22 2017 01: +0,0.229,517
Aug 23 2017 01: +0,0.24,511
Aug 24 2017 01: +0,0.253,405
Aug 25 2017 01: +0,0.246,455
Aug 26 2017 01: +0,0.248,580
Aug 27 2017 01: +0,0.249,500
Aug 28 2017 01: +0,0.256,440
Aug 29 2017 01: +0,0.262,378
Aug 30 2017 01: +0,0.265,388
Aug 31 2017 01: +0,0.266,327
Sep 01 2017 01: +0,0.271,477
Sep 02 2017 01: +0,0.272,547
Sep 03 2017 01: +0,0.283,668
Sep 04 2017 01: +0,0.284,605
Sep 05 2017 01: +0,0.284,912
Sep 06 2017 01: +0,0.282,447
Sep 07 2017 01: +0,0.29,393
Sep 08 2017 01: +0,0.295,462
Sep 09 2017 01: +0,0.307,420
Sep 10 2017 01: +0,0.309,425
Sep 11 2017 01: +0,0.301,408
Sep 12 2017 01: +0,0.311,334
Sep 13 2017 01: +0,0.309,345
Sep 14 2017 01: +0,0.315,301
Sep 15 2017 01: +0,0.313,369
Sep 16 2017 01: +0,0.32,437
Sep 17 2017 01: +0,0.32,384
Sep 18 2017 01: +0,0.303,305
Sep 19 2017 01: +0,0.306,250
Sep 20 2017 01: +0,0.308,359
Sep 21 2017 01: +0,0.308,302
Sep 22 2017 01: +0,0.304,389
Sep 23 2017 01: +0,0.309,406
Sep 24 2017 01: +0,0.309,369
Sep 25 2017 01: +0,0.305,240
Sep 26 2017 01: +0,0.291,282
Sep 27 2017 01: +0,0.29,326
Sep 28 2017 01: +0,0.279,401
Sep 29 2017 01: +0,0.267,432
Sep 30 2017 01: +0,0.277,459
Oct 01 2017 01: +0,0.292,349
Oct 02 2017 01: +0,0.291,296
Oct 03 2017 01: +0,0.287,271
Oct 04 2017 01: +0,0.288,227
Oct 05 2017 01: +0,0.278,315
Oct 06 2017 01: +0,0.283,391
Oct 07 2017 01: +0,0.286,375
Oct 08 2017 01: +0,0.291,295
Oct 09 2017 01: +0,0.296,294
Oct 10 2017 01: +0,0.296,256
Oct 11 2017 01: +0,0.293,254
Oct 12 2017 01: +0,0.284,297
Oct 13 2017 01: +0,0.291,279
Oct 14 2017 01: +0,0.293,330
Oct 15 2017 01: +0,0.283,342
Oct 16 2017 01: +0,0.281,246
Oct 17 2017 01: +0,0.292,230
Oct 18 2017 01: +0,0.286,310
Oct 19 2017 01: +0,0.283,249
Oct 20 2017 01: +0,0.284,294
Oct 21 2017 01: +0,0.283,311
Oct 22 2017 01: +0,0.288,287
Oct 23 2017 01: +0,0.286,189
Oct 24 2017 01: +0,0.281,232
Oct 25 2017 01: +0,0.278,248
Oct 26 2017 01: +0,0.28,314
Oct 27 2017 01: +0,0.276,258
Oct 28 2017 01: +0,0.277,386
Oct 29 2017 01: +0,0.278,276
Oct 30 2017 01: +0,0.279,293
Oct 31 2017 01: +0,0.282,258
Nov 01 2017 01: +0,0.273,239
Nov 02 2017 01: +0,0.274,246
Nov 03 2017 01: +0,0.271,277
Nov 04 2017 01: +0,0.268,385
Nov 05 2017 01: +0,0.254,324
Nov 06 2017 01: +0,0.259,265
Nov 07 2017 01: +0,0.271,216
Nov 08 2017 01: +0,0.271,226
Nov 09 2017 01: +0,0.266,233
Nov 10 2017 01: +0,0.266,205
Nov 11 2017 01: +0,0.263,274
Nov 12 2017 01: +0,0.262,231
Nov 13 2017 01: +0,0.257,231
Nov 14 2017 01: +0,0.248,225
Nov 15 2017 01: +0,0.252,325
Nov 16 2017 01: +0,0.253,256
Nov 17 2017 01: +0,0.25,253
Nov 18 2017 01: +0,0.248,256
Nov 19 2017 01: +0,0.243,319
Nov 20 2017 01: +0,0.238,227
Nov 21 2017 01: +0,0.233,176
Nov 22 2017 01: +0,0.24,190
Nov 23 2017 01: +0,0.237,202
Nov 24 2017 01: +0,0.24,238
Nov 25 2017 01: +0,0.245,249
Nov 26 2017 01: +0,0.244,234
Nov 27 2017 01: +0,0.238,179
Nov 28 2017 01: +0,0.239,218
Nov 29 2017 01: +0,0.239,259
Nov 30 2017 01: +0,0.233,187
Dec 01 2017 01: +0,0.236,243
Dec 02 2017 01: +0,0.246,253
Dec 03 2017 01: +0,0.242,253
Dec 04 2017 01: +0,0.24,248
Dec 05 2017 01: +0,0.238,223
Dec 06 2017 01: +0,0.234,356
Dec 07 2017 01: +0,0.229,282
Dec 08 2017 01: +0,0.229,201
Dec 09 2017 01: +0,0.221,401
Dec 10 2017 01: +0,0.212,373
Dec 11 2017 01: +0,0.203,437
Dec 12 2017 01: +0,0.2,363
Dec 13 2017 01: +0,0.198,417
Dec 14 2017 01: +0,0.184,597
Dec 15 2017 01: +0,0.181,532
Dec 16 2017 01: +0,0.172,1417
Dec 17 2017 01: +0,0.174,540
Dec 18 2017 01: +0,0.171,352
Dec 19 2017 01: +0,0.17,689
Dec 20 2017 01: +0,0.169,1189
Dec 21 2017 01: +0,0.17,388
Dec 22 2017 01: +0,0.168,303
Dec 23 2017 01: +0,0.17,341
Dec 24 2017 01: +0,0.175,425
Dec 25 2017 01: +0,0.176,432
Dec 26 2017 01: +0,0.183,422
Dec 27 2017 01: +0,0.185,423
Dec 28 2017 01: +0,0.183,440
Dec 29 2017 01: +0,0.184,425
Dec 30 2017 01: +0,0.185,418
Dec 31 2017 01: +0,0.187,376
Jan 01 2018 01: +0,0.186,334
Jan 02 2018 01: +0,0.185,440
Jan 03 2018 01: +0,0.182,1034
Jan 04 2018 01: +0,0.196,459
Jan 05 2018 01: +0,0.2,385
Jan 06 2018 01: +0,0.2,339
Jan 07 2018 01: +0,0.192,338
Jan 08 2018 01: +0,0.194,301
Jan 09 2018 01: +0,0.191,371
Jan 10 2018 01: +0,0.191,249
Jan 11 2018 01: +0,0.192,327
Jan 12 2018 01: +0,0.191,384
Jan 13 2018 01: +0,0.19,451
Jan 14 2018 01: +0,0.189,655
Jan 15 2018 01: +0,0.189,518
Jan 16 2018 01: +0,0.189,492
Jan 17 2018 01: +0,0.196,350
Jan 18 2018 01: +0,0.187,390
Jan 19 2018 01: +0,0.186,476
Jan 20 2018 01: +0,0.202,567
Jan 21 2018 01: +0,0.216,506
Jan 22 2018 01: +0,0.217,334
Jan 23 2018 01: +0,0.211,381
Jan 24 2018 01: +0,0.215,394
Jan 25 2018 01: +0,0.213,351
Jan 26 2018 01: +0,0.209,391
Jan 27 2018 01: +0,0.183,410
Jan 28 2018 01: +0,0.171,358
Jan 29 2018 01: +0,0.172,254
Jan 30 2018 01: +0,0.183,181
Jan 31 2018 01: +0,0.202,244
Feb 01 2018 01: +0,0.204,183
Feb 02 2018 01: +0,0.216,143
Feb 03 2018 01: +0,0.21,166
Feb 04 2018 01: +0,0.206,156
Feb 05 2018 01: +0,0.206,137
Feb 06 2018 01: +0,0.199,134
Feb 07 2018 01: +0,0.205,129
Feb 08 2018 01: +0,0.212,105
Feb 09 2018 01: +0,0.211,113
Feb 10 2018 01: +0,0.214,123
Feb 11 2018 01: +0,0.21,113
Feb 12 2018 01: +0,0.211,102
