Date,Price,Volume
Jul 07 2017 01: +0,0.937,52
Jul 08 2017 01: +0,1,125
Jul 09 2017 01: +0,0.987,73
Jul 10 2017 01: +0,1.007,66
Jul 11 2017 01: +0,0.935,83
Jul 12 2017 01: +0,0.99,60
Jul 13 2017 01: +0,1.015,37
Jul 14 2017 01: +0,1.099,61
Jul 15 2017 01: +0,1.023,62
Jul 16 2017 01: +0,0.907,62
Jul 17 2017 01: +0,0.636,56
Jul 18 2017 01: +0,0.654,66
Jul 19 2017 01: +0,0.762,106
Jul 20 2017 01: +0,0.41,1162
Jul 21 2017 01: +0,0.393,513
Jul 22 2017 01: +0,0.317,730
Jul 23 2017 01: +0,0.265,4432
Jul 24 2017 01: +0,0.219,2829
Jul 25 2017 01: +0,0.242,1358
Jul 26 2017 01: +0,0.239,757
Jul 27 2017 01: +0,0.231,632
Jul 28 2017 01: +0,0.23,585
Jul 29 2017 01: +0,0.231,525
Jul 30 2017 01: +0,0.229,458
Jul 31 2017 01: +0,0.218,550
Aug 01 2017 01: +0,0.207,527
Aug 02 2017 01: +0,0.209,605
Aug 03 2017 01: +0,0.205,570
Aug 04 2017 01: +0,0.194,517
Aug 05 2017 01: +0,0.197,555
Aug 06 2017 01: +0,0.192,601
Aug 07 2017 01: +0,0.194,437
Aug 08 2017 01: +0,0.191,390
Aug 09 2017 01: +0,0.189,421
Aug 10 2017 01: +0,0.196,395
Aug 11 2017 01: +0,0.198,365
Aug 12 2017 01: +0,0.193,376
Aug 13 2017 01: +0,0.192,354
Aug 14 2017 01: +0,0.191,270
Aug 15 2017 01: +0,0.183,316
Aug 16 2017 01: +0,0.186,363
Aug 17 2017 01: +0,0.182,809
Aug 18 2017 01: +0,0.213,366
Aug 19 2017 01: +0,0.192,306
Aug 20 2017 01: +0,0.198,339
Aug 21 2017 01: +0,0.21,278
Aug 22 2017 01: +0,0.205,298
Aug 23 2017 01: +0,0.2,309
Aug 24 2017 01: +0,0.213,241
Aug 25 2017 01: +0,0.215,201
Aug 26 2017 01: +0,0.213,262
Aug 27 2017 01: +0,0.216,260
Aug 28 2017 01: +0,0.214,244
Aug 29 2017 01: +0,0.21,240
Aug 30 2017 01: +0,0.217,230
Aug 31 2017 01: +0,0.218,203
Sep 01 2017 01: +0,0.223,218
Sep 02 2017 01: +0,0.232,250
Sep 03 2017 01: +0,0.243,250
Sep 04 2017 01: +0,0.248,208
Sep 05 2017 01: +0,0.245,170
Sep 06 2017 01: +0,0.234,178
Sep 07 2017 01: +0,0.241,216
Sep 08 2017 01: +0,0.242,176
Sep 09 2017 01: +0,0.242,196
Sep 10 2017 01: +0,0.232,240
Sep 11 2017 01: +0,0.241,175
Sep 12 2017 01: +0,0.244,132
Sep 13 2017 01: +0,0.242,163
Sep 14 2017 01: +0,0.241,151
Sep 15 2017 01: +0,0.243,198
Sep 16 2017 01: +0,0.254,258
Sep 17 2017 01: +0,0.25,218
Sep 18 2017 01: +0,0.239,189
Sep 19 2017 01: +0,0.231,205
Sep 20 2017 01: +0,0.239,180
Sep 21 2017 01: +0,0.224,214
Sep 22 2017 01: +0,0.237,266
Sep 23 2017 01: +0,0.244,191
Sep 24 2017 01: +0,0.242,193
Sep 25 2017 01: +0,0.252,142
Sep 26 2017 01: +0,0.241,149
Sep 27 2017 01: +0,0.238,120
Sep 28 2017 01: +0,0.238,128
Sep 29 2017 01: +0,0.239,155
Sep 30 2017 01: +0,0.231,229
Oct 01 2017 01: +0,0.239,197
Oct 02 2017 01: +0,0.223,146
Oct 03 2017 01: +0,0.238,119
Oct 04 2017 01: +0,0.233,156
Oct 05 2017 01: +0,0.239,143
Oct 06 2017 01: +0,0.236,161
Oct 07 2017 01: +0,0.229,207
Oct 08 2017 01: +0,0.242,165
Oct 09 2017 01: +0,0.236,104
Oct 10 2017 01: +0,0.24,133
Oct 11 2017 01: +0,0.243,125
Oct 12 2017 01: +0,0.233,107
Oct 13 2017 01: +0,0.236,171
Oct 14 2017 01: +0,0.238,180
Oct 15 2017 01: +0,0.246,149
Oct 16 2017 01: +0,0.245,141
Oct 17 2017 01: +0,0.242,107
Oct 18 2017 01: +0,0.233,145
Oct 19 2017 01: +0,0.231,121
Oct 20 2017 01: +0,0.246,146
Oct 21 2017 01: +0,0.245,155
Oct 22 2017 01: +0,0.241,134
Oct 23 2017 01: +0,0.229,111
Oct 24 2017 01: +0,0.232,110
Oct 25 2017 01: +0,0.228,109
Oct 26 2017 01: +0,0.232,131
Oct 27 2017 01: +0,0.223,148
Oct 28 2017 01: +0,0.224,148
Oct 29 2017 01: +0,0.213,179
Oct 30 2017 01: +0,0.219,137
Oct 31 2017 01: +0,0.22,122
Nov 01 2017 01: +0,0.221,105
Nov 02 2017 01: +0,0.227,106
Nov 03 2017 01: +0,0.228,135
Nov 04 2017 01: +0,0.224,123
Nov 05 2017 01: +0,0.224,127
Nov 06 2017 01: +0,0.227,85
Nov 07 2017 01: +0,0.228,118
Nov 08 2017 01: +0,0.224,85
Nov 09 2017 01: +0,0.221,114
Nov 10 2017 01: +0,0.222,134
Nov 11 2017 01: +0,0.206,169
Nov 12 2017 01: +0,0.217,128
Nov 13 2017 01: +0,0.218,96
Nov 14 2017 01: +0,0.21,106
Nov 15 2017 01: +0,0.213,115
Nov 16 2017 01: +0,0.209,115
Nov 17 2017 01: +0,0.2,135
Nov 18 2017 01: +0,0.203,121
Nov 19 2017 01: +0,0.209,127
Nov 20 2017 01: +0,0.21,121
Nov 21 2017 01: +0,0.207,101
Nov 22 2017 01: +0,0.2,109
Nov 23 2017 01: +0,0.192,174
Nov 24 2017 01: +0,0.191,135
Nov 25 2017 01: +0,0.205,152
Nov 26 2017 01: +0,0.205,126
Nov 27 2017 01: +0,0.205,101
Nov 28 2017 01: +0,0.209,105
Nov 29 2017 01: +0,0.212,92
Nov 30 2017 01: +0,0.204,86
Dec 01 2017 01: +0,0.21,136
Dec 02 2017 01: +0,0.211,188
Dec 03 2017 01: +0,0.21,163
Dec 04 2017 01: +0,0.209,102
Dec 05 2017 01: +0,0.192,158
Dec 06 2017 01: +0,0.188,163
Dec 07 2017 01: +0,0.177,281
Dec 08 2017 01: +0,0.18,221
Dec 09 2017 01: +0,0.186,209
Dec 10 2017 01: +0,0.19,139
Dec 11 2017 01: +0,0.187,122
Dec 12 2017 01: +0,0.188,157
Dec 13 2017 01: +0,0.193,144
Dec 14 2017 01: +0,0.191,114
Dec 15 2017 01: +0,0.172,168
Dec 16 2017 01: +0,0.186,234
Dec 17 2017 01: +0,0.206,148
Dec 18 2017 01: +0,0.199,130
Dec 19 2017 01: +0,0.194,115
Dec 20 2017 01: +0,0.167,171
Dec 21 2017 01: +0,0.161,153
Dec 22 2017 01: +0,0.16,174
Dec 23 2017 01: +0,0.163,137
Dec 24 2017 01: +0,0.171,174
Dec 25 2017 01: +0,0.181,128
Dec 26 2017 01: +0,0.181,154
Dec 27 2017 01: +0,0.193,142
Dec 28 2017 01: +0,0.192,98
Dec 29 2017 01: +0,0.196,98
Dec 30 2017 01: +0,0.196,113
Dec 31 2017 01: +0,0.184,113
Jan 01 2018 01: +0,0.19,142
Jan 02 2018 01: +0,0.184,100
Jan 03 2018 01: +0,0.187,104
Jan 04 2018 01: +0,0.193,121
Jan 05 2018 01: +0,0.194,121
Jan 06 2018 01: +0,0.194,132
Jan 07 2018 01: +0,0.188,126
Jan 08 2018 01: +0,0.193,81
Jan 09 2018 01: +0,0.194,113
Jan 10 2018 01: +0,0.188,116
Jan 11 2018 01: +0,0.187,141
Jan 12 2018 01: +0,0.184,168
Jan 13 2018 01: +0,0.189,151
Jan 14 2018 01: +0,0.191,202
Jan 15 2018 01: +0,0.188,138
Jan 16 2018 01: +0,0.191,156
Jan 17 2018 01: +0,0.194,185
Jan 18 2018 01: +0,0.2,102
Jan 19 2018 01: +0,0.201,136
Jan 20 2018 01: +0,0.2,168
Jan 21 2018 01: +0,0.203,145
Jan 22 2018 01: +0,0.207,111
Jan 23 2018 01: +0,0.206,80
Jan 24 2018 01: +0,0.209,87
Jan 25 2018 01: +0,0.201,92
Jan 26 2018 01: +0,0.202,83
Jan 27 2018 01: +0,0.173,110
Jan 28 2018 01: +0,0.167,101
Jan 29 2018 01: +0,0.148,93
Jan 30 2018 01: +0,0.164,77
Jan 31 2018 01: +0,0.163,129
Feb 01 2018 01: +0,0.17,82
Feb 02 2018 01: +0,0.184,58
Feb 03 2018 01: +0,0.182,80
Feb 04 2018 01: +0,0.188,55
Feb 05 2018 01: +0,0.186,57
Feb 06 2018 01: +0,0.182,41
Feb 07 2018 01: +0,0.168,42
Feb 08 2018 01: +0,0.185,39
Feb 09 2018 01: +0,0.186,48
Feb 10 2018 01: +0,0.191,56
Feb 11 2018 01: +0,0.189,59
Feb 12 2018 01: +0,0.194,51
Feb 13 2018 01: +0,0.19,72
Feb 14 2018 01: +0,0.188,40
Feb 15 2018 01: +0,0.193,26
Feb 16 2018 01: +0,0.19,49
Feb 17 2018 01: +0,0.182,59
Feb 18 2018 01: +0,0.177,68
Feb 19 2018 01: +0,0.182,59
