Date,Price,Volume
Aug 30 2018 01: +0,1.103,77
Aug 31 2018 01: +0,1.085,43
Sep 01 2018 01: +0,1.071,32
Sep 02 2018 01: +0,1.063,22
Sep 03 2018 01: +0,1.079,44
Sep 04 2018 01: +0,1.096,44
Sep 05 2018 01: +0,0.948,48
Sep 06 2018 01: +0,0.954,24
Sep 07 2018 01: +0,0.926,25
Sep 08 2018 01: +0,0.935,28
Sep 09 2018 01: +0,0.973,30
Sep 10 2018 01: +0,0.416,597
Sep 11 2018 01: +0,0.299,755
Sep 12 2018 01: +0,0.351,296
Sep 13 2018 01: +0,0.403,189
Sep 14 2018 01: +0,0.477,144
Sep 15 2018 01: +0,0.485,163
Sep 16 2018 01: +0,0.601,196
Sep 17 2018 01: +0,0.339,924
Sep 18 2018 01: +0,0.306,427
Sep 19 2018 01: +0,0.307,347
Sep 20 2018 01: +0,0.316,388
Sep 21 2018 01: +0,0.312,376
Sep 22 2018 01: +0,0.284,931
Sep 23 2018 01: +0,0.28,2056
Sep 24 2018 01: +0,0.273,1017
Sep 25 2018 01: +0,0.266,705
Sep 26 2018 01: +0,0.275,517
Sep 27 2018 01: +0,0.275,390
Sep 28 2018 01: +0,0.268,326
Sep 29 2018 01: +0,0.26,430
Sep 30 2018 01: +0,0.262,330
Oct 01 2018 01: +0,0.26,238
Oct 02 2018 01: +0,0.257,221
Oct 03 2018 01: +0,0.247,22
Oct 03 2018 06: +0,0.278,5
Oct 03 2018 07: +0,0.277,8
Oct 03 2018 08: +0,0.268,1
Oct 03 2018 09: +0,0.265,15
Oct 03 2018 10: +0,0.265,5
Oct 03 2018 11: +0,0.265,13
Oct 03 2018 12: +0,0.262,23
Oct 03 2018 13: +0,0.265,23
Oct 03 2018 14: +0,0.27,24
Oct 03 2018 15: +0,0.254,11
Oct 03 2018 16: +0,0.275,25
Oct 03 2018 17: +0,0.276,27
Oct 03 2018 18: +0,0.263,11
Oct 03 2018 19: +0,0.242,16
Oct 03 2018 20: +0,0.23,24
Oct 03 2018 21: +0,0.229,19
Oct 03 2018 22: +0,0.227,7
Oct 03 2018 23: +0,0.242,3
Oct 04 2018 00: +0,0.241,2
Oct 04 2018 01: +0,0.243,3
Oct 04 2018 02: +0,0.258,1
Oct 04 2018 03: +0,0.24,1
Oct 04 2018 04: +0,0.242,3
Oct 04 2018 05: +0,0.243,1
Oct 04 2018 06: +0,0.173,1
Oct 04 2018 07: +0,0.242,3
Oct 04 2018 08: +0,0.243,8
Oct 04 2018 09: +0,0.231,1
Oct 04 2018 10: +0,0.231,7
Oct 04 2018 11: +0,0.226,5
Oct 04 2018 12: +0,0.265,40
Oct 04 2018 13: +0,0.274,12
Oct 04 2018 14: +0,0.261,9
Oct 04 2018 15: +0,0.268,11
Oct 04 2018 16: +0,0.26,16
Oct 04 2018 17: +0,0.264,14
Oct 04 2018 18: +0,0.25,10
Oct 04 2018 19: +0,0.265,20
Oct 04 2018 20: +0,0.26,14
Oct 04 2018 21: +0,0.235,9
Oct 04 2018 22: +0,0.26,19
Oct 04 2018 23: +0,0.276,9
Oct 05 2018 00: +0,0.253,2
Oct 05 2018 01: +0,0.264,3
Oct 05 2018 02: +0,0.278,3
Oct 05 2018 04: +0,0.26,7
Oct 05 2018 05: +0,0.278,6
Oct 05 2018 06: +0,0.238,3
Oct 05 2018 07: +0,0.253,4
Oct 05 2018 08: +0,0.265,4
Oct 05 2018 09: +0,0.253,5
Oct 05 2018 10: +0,0.265,15
Oct 05 2018 11: +0,0.278,13
Oct 05 2018 12: +0,0.278,11
Oct 05 2018 13: +0,0.26,10
Oct 05 2018 14: +0,0.265,13
Oct 05 2018 15: +0,0.274,4
Oct 05 2018 16: +0,0.258,10
Oct 05 2018 17: +0,0.246,14
Oct 05 2018 18: +0,0.257,11
Oct 05 2018 19: +0,0.273,16
Oct 05 2018 20: +0,0.264,10
Oct 05 2018 21: +0,0.252,11
Oct 05 2018 22: +0,0.234,4
Oct 05 2018 23: +0,0.256,7
Oct 06 2018 00: +0,0.265,6
Oct 06 2018 01: +0,0.276,3
Oct 06 2018 02: +0,0.258,5
Oct 06 2018 03: +0,0.25,3
Oct 06 2018 04: +0,0.244,4
Oct 06 2018 05: +0,0.253,3
Oct 06 2018 06: +0,0.27,3
Oct 06 2018 07: +0,0.241,5
Oct 06 2018 08: +0,0.245,2
Oct 06 2018 09: +0,0.241,8
Oct 06 2018 10: +0,0.251,6
Oct 06 2018 11: +0,0.242,11
Oct 06 2018 12: +0,0.265,18
Oct 06 2018 13: +0,0.23,18
Oct 06 2018 14: +0,0.265,14
Oct 06 2018 15: +0,0.24,11
Oct 06 2018 16: +0,0.249,13
Oct 06 2018 17: +0,0.241,9
Oct 06 2018 18: +0,0.252,14
Oct 06 2018 19: +0,0.265,14
Oct 06 2018 20: +0,0.256,10
Oct 06 2018 21: +0,0.251,9
Oct 06 2018 22: +0,0.265,12
Oct 06 2018 23: +0,0.246,12
Oct 07 2018 00: +0,0.224,4
Oct 07 2018 01: +0,0.248,8
Oct 07 2018 02: +0,0.255,9
Oct 07 2018 03: +0,0.265,3
Oct 07 2018 04: +0,0.265,3
Oct 07 2018 05: +0,0.253,3
Oct 07 2018 06: +0,0.257,2
Oct 07 2018 07: +0,0.273,1
Oct 07 2018 08: +0,0.26,9
Oct 07 2018 09: +0,0.266,7
Oct 07 2018 10: +0,0.277,16
Oct 07 2018 11: +0,0.281,13
Oct 07 2018 12: +0,0.288,18
Oct 07 2018 13: +0,0.27,15
Oct 07 2018 14: +0,0.282,24
Oct 07 2018 15: +0,0.283,14
Oct 07 2018 16: +0,0.287,21
Oct 07 2018 17: +0,0.24,9
Oct 07 2018 18: +0,0.252,15
Oct 07 2018 19: +0,0.258,14
Oct 07 2018 20: +0,0.256,10
Oct 07 2018 21: +0,0.236,4
Oct 07 2018 22: +0,0.277,10
Oct 07 2018 23: +0,0.239,3
Oct 08 2018 00: +0,0.282,5
Oct 08 2018 01: +0,0.28,4
Oct 08 2018 02: +0,0.288,1
Oct 08 2018 03: +0,0.276,1
Oct 08 2018 05: +0,0.256,1
Oct 08 2018 06: +0,0.251,1
Oct 08 2018 07: +0,0.253,4
Oct 08 2018 08: +0,0.253,5
Oct 08 2018 09: +0,0.264,9
Oct 08 2018 10: +0,0.275,2
Oct 08 2018 11: +0,0.276,6
Oct 08 2018 12: +0,0.248,6
Oct 08 2018 13: +0,0.255,7
Oct 08 2018 14: +0,0.276,26
Oct 08 2018 15: +0,0.271,9
Oct 08 2018 16: +0,0.262,5
Oct 08 2018 17: +0,0.242,9
Oct 08 2018 18: +0,0.242,16
Oct 08 2018 19: +0,0.242,13
Oct 08 2018 20: +0,0.262,3
Oct 08 2018 21: +0,0.259,3
Oct 08 2018 22: +0,0.26,5
Oct 08 2018 23: +0,0.265,5
Oct 09 2018 00: +0,0.249,3
Oct 09 2018 01: +0,0.265,14
Oct 09 2018 02: +0,0.276,5
Oct 09 2018 03: +0,0.248,3
Oct 09 2018 04: +0,0.24,5
Oct 09 2018 05: +0,0.276,7
Oct 09 2018 06: +0,0.282,4
Oct 09 2018 07: +0,0.284,3
Oct 09 2018 08: +0,0.277,4
Oct 09 2018 09: +0,0.281,11
Oct 09 2018 11: +0,0.276,5
Oct 09 2018 12: +0,0.246,5
Oct 09 2018 13: +0,0.276,16
Oct 09 2018 14: +0,0.268,12
Oct 09 2018 15: +0,0.257,8
Oct 09 2018 16: +0,0.258,10
Oct 09 2018 17: +0,0.242,11
Oct 09 2018 18: +0,0.265,14
Oct 09 2018 19: +0,0.265,9
Oct 09 2018 20: +0,0.23,7
Oct 09 2018 21: +0,0.256,4
Oct 09 2018 22: +0,0.236,7
Oct 09 2018 23: +0,0.246,4
Oct 10 2018 00: +0,0.263,7
Oct 10 2018 01: +0,0.254,2
Oct 10 2018 02: +0,0.26,11
Oct 10 2018 03: +0,0.257,2
Oct 10 2018 04: +0,0.253,3
Oct 10 2018 05: +0,0.26,5
Oct 10 2018 06: +0,0.236,10
Oct 10 2018 07: +0,0.26,10
Oct 10 2018 08: +0,0.257,7
Oct 10 2018 09: +0,0.256,9
Oct 10 2018 10: +0,0.256,8
Oct 10 2018 11: +0,0.26,6
Oct 10 2018 12: +0,0.253,9
Oct 10 2018 13: +0,0.249,10
Oct 10 2018 14: +0,0.256,16
Oct 10 2018 15: +0,0.257,11
Oct 10 2018 16: +0,0.258,8
Oct 10 2018 17: +0,0.253,7
Oct 10 2018 18: +0,0.253,13
Oct 10 2018 19: +0,0.263,13
Oct 10 2018 20: +0,0.25,13
Oct 10 2018 21: +0,0.255,7
Oct 10 2018 22: +0,0.253,4
Oct 10 2018 23: +0,0.265,6
Oct 11 2018 00: +0,0.24,4
Oct 11 2018 01: +0,0.26,7
Oct 11 2018 02: +0,0.272,4
Oct 11 2018 04: +0,0.254,3
Oct 11 2018 05: +0,0.27,5
Oct 11 2018 06: +0,0.276,7
Oct 11 2018 07: +0,0.271,4
Oct 11 2018 08: +0,0.262,3
Oct 11 2018 09: +0,0.265,1
Oct 11 2018 10: +0,0.272,11
Oct 11 2018 11: +0,0.276,21
Oct 11 2018 12: +0,0.273,10
