Date,Price,Volume
Aug 30 2018 01: +0,1.091,514
Aug 31 2018 01: +0,1.079,313
Sep 01 2018 01: +0,1.092,180
Sep 02 2018 01: +0,1.092,129
Sep 03 2018 01: +0,1.079,119
Sep 04 2018 01: +0,1.084,114
Sep 05 2018 01: +0,1.081,141
Sep 06 2018 01: +0,1.079,128
Sep 07 2018 01: +0,1.104,149
Sep 08 2018 01: +0,1.11,193
Sep 09 2018 01: +0,1.118,748
Sep 10 2018 01: +0,0.975,996
Sep 11 2018 01: +0,0.949,872
Sep 12 2018 01: +0,1.037,1475
Sep 13 2018 01: +0,1.094,857
Sep 14 2018 01: +0,1.053,397
Sep 15 2018 01: +0,1.012,496
Sep 16 2018 01: +0,0.97,414
Sep 17 2018 01: +0,0.732,1231
Sep 18 2018 01: +0,0.67,550
Sep 19 2018 01: +0,0.668,430
Sep 20 2018 01: +0,0.681,419
Sep 21 2018 01: +0,0.724,325
Sep 22 2018 01: +0,0.499,19192
Sep 23 2018 01: +0,0.28,36210
Sep 24 2018 01: +0,0.276,20257
Sep 25 2018 01: +0,0.274,13568
Sep 26 2018 01: +0,0.339,17238
Sep 27 2018 01: +0,0.421,12260
Sep 28 2018 01: +0,0.377,6479
Sep 29 2018 01: +0,0.329,7203
Sep 30 2018 01: +0,0.368,2596
Oct 01 2018 01: +0,0.347,2892
Oct 02 2018 01: +0,0.315,4173
Oct 03 2018 01: +0,0.294,639
Oct 03 2018 06: +0,0.296,111
Oct 03 2018 07: +0,0.297,668
Oct 03 2018 08: +0,0.32,159
Oct 03 2018 09: +0,0.327,75
Oct 03 2018 10: +0,0.3,105
Oct 03 2018 11: +0,0.317,86
Oct 03 2018 12: +0,0.3,62
Oct 03 2018 13: +0,0.297,148
Oct 03 2018 14: +0,0.296,290
Oct 03 2018 15: +0,0.297,276
Oct 03 2018 16: +0,0.297,232
Oct 03 2018 17: +0,0.305,109
Oct 03 2018 18: +0,0.304,102
Oct 03 2018 19: +0,0.32,58
Oct 03 2018 20: +0,0.287,202
Oct 03 2018 21: +0,0.299,101
Oct 03 2018 22: +0,0.313,36
Oct 03 2018 23: +0,0.305,21
Oct 04 2018 00: +0,0.303,52
Oct 04 2018 01: +0,0.297,36
Oct 04 2018 02: +0,0.297,18
Oct 04 2018 03: +0,0.304,18
Oct 04 2018 04: +0,0.297,189
Oct 04 2018 05: +0,0.295,107
Oct 04 2018 06: +0,0.294,183
Oct 04 2018 07: +0,0.287,286
Oct 04 2018 08: +0,0.286,211
Oct 04 2018 09: +0,0.289,130
Oct 04 2018 10: +0,0.281,352
Oct 04 2018 11: +0,0.276,442
Oct 04 2018 12: +0,0.276,463
Oct 04 2018 13: +0,0.276,230
Oct 04 2018 14: +0,0.281,127
Oct 04 2018 15: +0,0.284,176
Oct 04 2018 16: +0,0.287,187
Oct 04 2018 17: +0,0.286,135
Oct 04 2018 18: +0,0.286,102
Oct 04 2018 19: +0,0.283,48
Oct 04 2018 20: +0,0.285,41
Oct 04 2018 21: +0,0.277,15
Oct 04 2018 22: +0,0.276,67
Oct 04 2018 23: +0,0.276,21
Oct 05 2018 00: +0,0.278,22
Oct 05 2018 01: +0,0.278,25
Oct 05 2018 02: +0,0.273,214
Oct 05 2018 03: +0,0.279,270
Oct 05 2018 04: +0,0.281,230
Oct 05 2018 05: +0,0.282,88
Oct 05 2018 06: +0,0.281,66
Oct 05 2018 07: +0,0.286,84
Oct 05 2018 08: +0,0.281,94
Oct 05 2018 09: +0,0.278,540
Oct 05 2018 10: +0,0.286,227
Oct 05 2018 11: +0,0.282,142
Oct 05 2018 12: +0,0.281,140
Oct 05 2018 13: +0,0.28,98
Oct 05 2018 14: +0,0.285,85
Oct 05 2018 15: +0,0.282,78
Oct 05 2018 16: +0,0.282,164
Oct 05 2018 17: +0,0.281,80
Oct 05 2018 18: +0,0.282,159
Oct 05 2018 19: +0,0.282,120
Oct 05 2018 20: +0,0.28,117
Oct 05 2018 21: +0,0.281,42
Oct 05 2018 22: +0,0.278,44
Oct 05 2018 23: +0,0.281,48
Oct 06 2018 00: +0,0.281,29
Oct 06 2018 01: +0,0.288,64
Oct 06 2018 02: +0,0.281,25
Oct 06 2018 03: +0,0.278,37
Oct 06 2018 04: +0,0.278,48
Oct 06 2018 05: +0,0.281,33
