Date,Price,Volume
Mar 18 2016 01: +0,1.136,123
Mar 19 2016 01: +0,1.101,83
Mar 20 2016 01: +0,1.112,64
Mar 21 2016 01: +0,1.092,50
Mar 22 2016 01: +0,1.124,45
Mar 23 2016 01: +0,1.097,48
Mar 24 2016 01: +0,1.103,48
Mar 25 2016 01: +0,1.073,46
Mar 26 2016 01: +0,1.106,54
Mar 27 2016 01: +0,1.077,86
Mar 28 2016 01: +0,1.127,105
Mar 29 2016 01: +0,1.127,132
Mar 30 2016 01: +0,1.047,233
Mar 31 2016 01: +0,0.566,1555
Apr 01 2016 01: +0,0.452,1419
Apr 02 2016 01: +0,0.525,877
Apr 03 2016 01: +0,0.309,24721
Apr 04 2016 01: +0,0.336,5387
Apr 05 2016 01: +0,0.371,1826
Apr 06 2016 01: +0,0.376,1248
Apr 07 2016 01: +0,0.373,910
Apr 08 2016 01: +0,0.389,1019
Apr 09 2016 01: +0,0.419,947
Apr 10 2016 01: +0,0.432,784
Apr 11 2016 01: +0,0.415,718
Apr 12 2016 01: +0,0.411,658
Apr 13 2016 01: +0,0.388,698
Apr 14 2016 01: +0,0.403,795
Apr 15 2016 01: +0,0.419,645
Apr 16 2016 01: +0,0.429,653
Apr 17 2016 01: +0,0.431,597
Apr 18 2016 01: +0,0.437,528
Apr 19 2016 01: +0,0.438,480
Apr 20 2016 01: +0,0.45,464
Apr 21 2016 01: +0,0.445,487
Apr 22 2016 01: +0,0.441,568
Apr 23 2016 01: +0,0.443,574
Apr 24 2016 01: +0,0.431,634
Apr 25 2016 01: +0,0.436,503
Apr 26 2016 01: +0,0.443,431
Apr 27 2016 01: +0,0.441,542
Apr 28 2016 01: +0,0.438,547
Apr 29 2016 01: +0,0.446,649
Apr 30 2016 01: +0,0.452,670
May 01 2016 01: +0,0.476,588
May 02 2016 01: +0,0.483,467
May 03 2016 01: +0,0.471,486
May 04 2016 01: +0,0.481,612
May 05 2016 01: +0,0.465,526
May 06 2016 01: +0,0.455,663
May 07 2016 01: +0,0.462,579
May 08 2016 01: +0,0.478,498
May 09 2016 01: +0,0.47,500
May 10 2016 01: +0,0.47,425
May 11 2016 01: +0,0.481,394
May 12 2016 01: +0,0.478,328
May 13 2016 01: +0,0.481,389
May 14 2016 01: +0,0.491,483
May 15 2016 01: +0,0.484,513
May 16 2016 01: +0,0.483,358
May 17 2016 01: +0,0.45,482
May 18 2016 01: +0,0.445,407
May 19 2016 01: +0,0.459,334
May 20 2016 01: +0,0.463,438
May 21 2016 01: +0,0.472,433
May 22 2016 01: +0,0.469,465
May 23 2016 01: +0,0.473,357
May 24 2016 01: +0,0.469,308
May 25 2016 01: +0,0.463,421
May 26 2016 01: +0,0.461,428
May 27 2016 01: +0,0.46,422
May 28 2016 01: +0,0.465,434
May 29 2016 01: +0,0.465,399
May 30 2016 01: +0,0.467,435
May 31 2016 01: +0,0.465,388
Jun 01 2016 01: +0,0.459,417
Jun 02 2016 01: +0,0.446,514
Jun 03 2016 01: +0,0.432,500
Jun 04 2016 01: +0,0.45,464
Jun 05 2016 01: +0,0.448,450
Jun 06 2016 01: +0,0.443,358
Jun 07 2016 01: +0,0.443,395
Jun 08 2016 01: +0,0.432,463
Jun 09 2016 01: +0,0.422,394
Jun 10 2016 01: +0,0.409,469
Jun 11 2016 01: +0,0.396,649
Jun 12 2016 01: +0,0.396,571
Jun 13 2016 01: +0,0.377,628
Jun 14 2016 01: +0,0.376,565
Jun 15 2016 01: +0,0.381,507
Jun 16 2016 01: +0,0.384,530
Jun 17 2016 01: +0,0.384,586
Jun 18 2016 01: +0,0.387,696
Jun 19 2016 01: +0,0.369,806
Jun 20 2016 01: +0,0.377,603
Jun 21 2016 01: +0,0.378,532
Jun 22 2016 01: +0,0.376,606
Jun 23 2016 01: +0,0.372,539
Jun 24 2016 01: +0,0.36,601
Jun 25 2016 01: +0,0.343,598
Jun 26 2016 01: +0,0.337,468
Jun 27 2016 01: +0,0.342,498
Jun 28 2016 01: +0,0.343,407
Jun 29 2016 01: +0,0.344,392
Jun 30 2016 01: +0,0.354,411
Jul 01 2016 01: +0,0.356,368
Jul 02 2016 01: +0,0.355,395
Jul 03 2016 01: +0,0.368,370
Jul 04 2016 01: +0,0.357,440
Jul 05 2016 01: +0,0.376,447
Jul 06 2016 01: +0,0.392,396
Jul 07 2016 01: +0,0.408,278
Jul 08 2016 01: +0,0.394,293
Jul 09 2016 01: +0,0.38,196
Jul 10 2016 01: +0,0.31,598
Jul 11 2016 01: +0,0.279,807
