Date,Price,Volume
Mar 18 2016 01: +0,1.131,594
Mar 19 2016 01: +0,1.114,318
Mar 20 2016 01: +0,1.113,213
Mar 21 2016 01: +0,1.123,216
Mar 22 2016 01: +0,1.117,169
Mar 23 2016 01: +0,1.106,161
Mar 24 2016 01: +0,1.104,177
Mar 25 2016 01: +0,1.086,146
Mar 26 2016 01: +0,1.095,136
Mar 27 2016 01: +0,1.081,120
Mar 28 2016 01: +0,1.137,244
Mar 29 2016 01: +0,1.126,284
Mar 30 2016 01: +0,0.733,1333
Mar 31 2016 01: +0,0.5,2132
Apr 01 2016 01: +0,0.363,4861
Apr 02 2016 01: +0,0.308,4468
Apr 03 2016 01: +0,0.294,10877
Apr 04 2016 01: +0,0.326,4711
Apr 05 2016 01: +0,0.349,2219
Apr 06 2016 01: +0,0.348,1697
Apr 07 2016 01: +0,0.341,1449
Apr 08 2016 01: +0,0.337,1512
Apr 09 2016 01: +0,0.339,1614
Apr 10 2016 01: +0,0.331,1369
Apr 11 2016 01: +0,0.32,1206
Apr 12 2016 01: +0,0.312,1094
Apr 13 2016 01: +0,0.303,1123
Apr 14 2016 01: +0,0.309,991
Apr 15 2016 01: +0,0.329,934
Apr 16 2016 01: +0,0.348,1144
Apr 17 2016 01: +0,0.375,1582
Apr 18 2016 01: +0,0.405,1109
Apr 19 2016 01: +0,0.4,886
Apr 20 2016 01: +0,0.386,781
Apr 21 2016 01: +0,0.388,907
Apr 22 2016 01: +0,0.389,870
Apr 23 2016 01: +0,0.399,889
Apr 24 2016 01: +0,0.385,877
Apr 25 2016 01: +0,0.39,668
Apr 26 2016 01: +0,0.387,659
Apr 27 2016 01: +0,0.376,667
Apr 28 2016 01: +0,0.381,740
Apr 29 2016 01: +0,0.38,801
Apr 30 2016 01: +0,0.4,796
May 01 2016 01: +0,0.409,755
May 02 2016 01: +0,0.417,634
May 03 2016 01: +0,0.415,526
May 04 2016 01: +0,0.419,648
May 05 2016 01: +0,0.428,562
May 06 2016 01: +0,0.417,644
May 07 2016 01: +0,0.423,665
May 08 2016 01: +0,0.425,584
May 09 2016 01: +0,0.413,519
May 10 2016 01: +0,0.419,568
May 11 2016 01: +0,0.414,538
May 12 2016 01: +0,0.429,461
May 13 2016 01: +0,0.448,526
May 14 2016 01: +0,0.463,585
May 15 2016 01: +0,0.448,514
May 16 2016 01: +0,0.444,473
May 17 2016 01: +0,0.419,479
May 18 2016 01: +0,0.406,512
May 19 2016 01: +0,0.414,455
May 20 2016 01: +0,0.408,503
May 21 2016 01: +0,0.424,516
May 22 2016 01: +0,0.42,513
May 23 2016 01: +0,0.412,434
May 24 2016 01: +0,0.405,404
May 25 2016 01: +0,0.408,433
May 26 2016 01: +0,0.403,410
May 27 2016 01: +0,0.407,429
May 28 2016 01: +0,0.422,474
May 29 2016 01: +0,0.42,384
May 30 2016 01: +0,0.425,413
May 31 2016 01: +0,0.398,432
Jun 01 2016 01: +0,0.392,561
Jun 02 2016 01: +0,0.384,469
Jun 03 2016 01: +0,0.373,522
Jun 04 2016 01: +0,0.378,567
Jun 05 2016 01: +0,0.385,449
Jun 06 2016 01: +0,0.362,460
Jun 07 2016 01: +0,0.365,410
Jun 08 2016 01: +0,0.379,440
Jun 09 2016 01: +0,0.381,381
Jun 10 2016 01: +0,0.375,470
Jun 11 2016 01: +0,0.386,403
Jun 12 2016 01: +0,0.379,394
Jun 13 2016 01: +0,0.372,404
Jun 14 2016 01: +0,0.367,400
Jun 15 2016 01: +0,0.363,424
Jun 16 2016 01: +0,0.364,400
Jun 17 2016 01: +0,0.374,527
Jun 18 2016 01: +0,0.388,588
Jun 19 2016 01: +0,0.387,484
Jun 20 2016 01: +0,0.409,543
Jun 21 2016 01: +0,0.404,337
Jun 22 2016 01: +0,0.408,351
Jun 23 2016 01: +0,0.37,428
Jun 24 2016 01: +0,0.348,509
Jun 25 2016 01: +0,0.313,563
Jun 26 2016 01: +0,0.304,434
Jun 27 2016 01: +0,0.31,377
Jun 28 2016 01: +0,0.314,315
Jun 29 2016 01: +0,0.329,306
Jun 30 2016 01: +0,0.325,290
Jul 01 2016 01: +0,0.342,322
Jul 02 2016 01: +0,0.351,279
Jul 03 2016 01: +0,0.344,322
Jul 04 2016 01: +0,0.304,398
Jul 05 2016 01: +0,0.3,503
Jul 06 2016 01: +0,0.316,360
Jul 07 2016 01: +0,0.343,339
Jul 08 2016 01: +0,0.325,271
Jul 09 2016 01: +0,0.293,326
Jul 10 2016 01: +0,0.276,526
Jul 11 2016 01: +0,0.276,211
Jul 12 2016 01: +0,0.294,231
Jul 13 2016 01: +0,0.328,123
Jul 14 2016 01: +0,0.301,189
Jul 15 2016 01: +0,0.282,153
Jul 16 2016 01: +0,0.309,140
Jul 17 2016 01: +0,0.317,136
Jul 18 2016 01: +0,0.316,116
Jul 19 2016 01: +0,0.301,138
Jul 20 2016 01: +0,0.291,151
Jul 21 2016 01: +0,0.286,135
Jul 22 2016 01: +0,0.298,129
Jul 23 2016 01: +0,0.293,130
Jul 24 2016 01: +0,0.306,131
Jul 25 2016 01: +0,0.305,177
Jul 26 2016 01: +0,0.308,108
Jul 27 2016 01: +0,0.305,116
Jul 28 2016 01: +0,0.304,138
Jul 29 2016 01: +0,0.318,125
Jul 30 2016 01: +0,0.322,124
Jul 31 2016 01: +0,0.327,156
Aug 01 2016 01: +0,0.33,137
Aug 02 2016 01: +0,0.322,127
Aug 03 2016 01: +0,0.314,124
Aug 04 2016 01: +0,0.313,120
Aug 05 2016 01: +0,0.315,115
Aug 06 2016 01: +0,0.302,145
Aug 07 2016 01: +0,0.313,137
Aug 08 2016 01: +0,0.309,137
Aug 09 2016 01: +0,0.307,124
Aug 10 2016 01: +0,0.309,99
Aug 11 2016 01: +0,0.3,103
Aug 12 2016 01: +0,0.292,127
Aug 13 2016 01: +0,0.302,148
Aug 14 2016 01: +0,0.303,153
Aug 15 2016 01: +0,0.312,117
Aug 16 2016 01: +0,0.311,108
Aug 17 2016 01: +0,0.325,123
Aug 18 2016 01: +0,0.323,122
Aug 19 2016 01: +0,0.313,180
Aug 20 2016 01: +0,0.321,130
Aug 21 2016 01: +0,0.316,172
Aug 22 2016 01: +0,0.317,193
Aug 23 2016 01: +0,0.326,150
Aug 24 2016 01: +0,0.329,160
Aug 25 2016 01: +0,0.328,159
Aug 26 2016 01: +0,0.344,149
Aug 27 2016 01: +0,0.352,162
Aug 28 2016 01: +0,0.351,173
Aug 29 2016 01: +0,0.361,138
Aug 30 2016 01: +0,0.353,122
Aug 31 2016 01: +0,0.345,155
