Date,Price,Volume
Mar 18 2016 01: +0,1.142,394
Mar 19 2016 01: +0,1.117,224
Mar 20 2016 01: +0,1.11,140
Mar 21 2016 01: +0,1.102,144
Mar 22 2016 01: +0,1.085,79
Mar 23 2016 01: +0,1.105,95
Mar 24 2016 01: +0,1.103,89
Mar 25 2016 01: +0,1.096,86
Mar 26 2016 01: +0,1.067,94
Mar 27 2016 01: +0,1.077,84
Mar 28 2016 01: +0,1.152,98
Mar 29 2016 01: +0,1.134,195
Mar 30 2016 01: +0,1.103,710
Mar 31 2016 01: +0,1.021,360
Apr 01 2016 01: +0,1.063,296
Apr 02 2016 01: +0,0.994,230
Apr 03 2016 01: +0,0.336,63480
Apr 04 2016 01: +0,0.371,14664
Apr 05 2016 01: +0,0.568,7375
Apr 06 2016 01: +0,0.605,3343
Apr 07 2016 01: +0,0.494,2501
Apr 08 2016 01: +0,0.522,1867
Apr 09 2016 01: +0,0.532,1722
Apr 10 2016 01: +0,0.524,1338
Apr 11 2016 01: +0,0.51,1243
Apr 12 2016 01: +0,0.484,1023
Apr 13 2016 01: +0,0.455,1581
Apr 14 2016 01: +0,0.437,1311
Apr 15 2016 01: +0,0.437,1080
Apr 16 2016 01: +0,0.432,1332
Apr 17 2016 01: +0,0.423,1089
Apr 18 2016 01: +0,0.437,1083
Apr 19 2016 01: +0,0.431,801
Apr 20 2016 01: +0,0.424,733
Apr 21 2016 01: +0,0.422,794
Apr 22 2016 01: +0,0.411,867
Apr 23 2016 01: +0,0.416,835
Apr 24 2016 01: +0,0.415,895
Apr 25 2016 01: +0,0.405,579
Apr 26 2016 01: +0,0.396,899
Apr 27 2016 01: +0,0.4,1268
Apr 28 2016 01: +0,0.418,839
Apr 29 2016 01: +0,0.432,682
Apr 30 2016 01: +0,0.436,795
May 01 2016 01: +0,0.453,671
May 02 2016 01: +0,0.465,951
May 03 2016 01: +0,0.495,590
May 04 2016 01: +0,0.487,552
May 05 2016 01: +0,0.492,511
May 06 2016 01: +0,0.474,817
May 07 2016 01: +0,0.472,666
May 08 2016 01: +0,0.433,815
May 09 2016 01: +0,0.402,746
May 10 2016 01: +0,0.452,675
May 11 2016 01: +0,0.457,547
May 12 2016 01: +0,0.441,439
May 13 2016 01: +0,0.452,487
May 14 2016 01: +0,0.454,689
May 15 2016 01: +0,0.445,707
May 16 2016 01: +0,0.433,591
May 17 2016 01: +0,0.399,688
May 18 2016 01: +0,0.412,462
May 19 2016 01: +0,0.418,426
May 20 2016 01: +0,0.404,570
May 21 2016 01: +0,0.399,617
May 22 2016 01: +0,0.408,590
May 23 2016 01: +0,0.412,572
May 24 2016 01: +0,0.404,490
May 25 2016 01: +0,0.394,572
May 26 2016 01: +0,0.37,769
May 27 2016 01: +0,0.368,830
May 28 2016 01: +0,0.372,871
May 29 2016 01: +0,0.369,845
May 30 2016 01: +0,0.384,729
May 31 2016 01: +0,0.385,599
Jun 01 2016 01: +0,0.375,649
Jun 02 2016 01: +0,0.358,790
Jun 03 2016 01: +0,0.359,668
Jun 04 2016 01: +0,0.359,638
Jun 05 2016 01: +0,0.356,725
Jun 06 2016 01: +0,0.355,674
Jun 07 2016 01: +0,0.348,682
Jun 08 2016 01: +0,0.336,688
Jun 09 2016 01: +0,0.331,831
Jun 10 2016 01: +0,0.337,803
Jun 11 2016 01: +0,0.342,719
Jun 12 2016 01: +0,0.373,2966
Jun 13 2016 01: +0,0.367,820
Jun 14 2016 01: +0,0.345,642
Jun 15 2016 01: +0,0.355,538
Jun 16 2016 01: +0,0.336,743
Jun 17 2016 01: +0,0.321,1132
Jun 18 2016 01: +0,0.323,1027
Jun 19 2016 01: +0,0.338,835
Jun 20 2016 01: +0,0.33,720
Jun 21 2016 01: +0,0.332,800
Jun 22 2016 01: +0,0.332,792
Jun 23 2016 01: +0,0.322,883
Jun 24 2016 01: +0,0.326,629
Jun 25 2016 01: +0,0.304,820
Jun 26 2016 01: +0,0.301,703
Jun 27 2016 01: +0,0.295,600
Jun 28 2016 01: +0,0.293,509
Jun 29 2016 01: +0,0.309,414
Jun 30 2016 01: +0,0.302,480
Jul 01 2016 01: +0,0.314,406
Jul 02 2016 01: +0,0.314,479
Jul 03 2016 01: +0,0.331,476
Jul 04 2016 01: +0,0.318,428
Jul 05 2016 01: +0,0.312,456
Jul 06 2016 01: +0,0.318,542
Jul 07 2016 01: +0,0.316,465
Jul 08 2016 01: +0,0.304,590
Jul 09 2016 01: +0,0.301,596
Jul 10 2016 01: +0,0.283,1006
Jul 11 2016 01: +0,0.28,364
Jul 12 2016 01: +0,0.32,362
Jul 13 2016 01: +0,0.354,321
Jul 14 2016 01: +0,0.335,383
Jul 15 2016 01: +0,0.336,243
Jul 16 2016 01: +0,0.335,361
Jul 17 2016 01: +0,0.34,246
Jul 18 2016 01: +0,0.364,289
Jul 19 2016 01: +0,0.35,202
Jul 20 2016 01: +0,0.345,295
Jul 21 2016 01: +0,0.307,537
Jul 22 2016 01: +0,0.338,316
Jul 23 2016 01: +0,0.346,241
Jul 24 2016 01: +0,0.368,231
Jul 25 2016 01: +0,0.35,276
Jul 26 2016 01: +0,0.336,450
Jul 27 2016 01: +0,0.35,204
Jul 28 2016 01: +0,0.339,238
Jul 29 2016 01: +0,0.332,361
Jul 30 2016 01: +0,0.321,370
Jul 31 2016 01: +0,0.322,283
Aug 01 2016 01: +0,0.323,286
Aug 02 2016 01: +0,0.308,313
Aug 03 2016 01: +0,0.308,334
Aug 04 2016 01: +0,0.309,342
Aug 05 2016 01: +0,0.326,224
Aug 06 2016 01: +0,0.318,350
Aug 07 2016 01: +0,0.313,272
Aug 08 2016 01: +0,0.309,246
Aug 09 2016 01: +0,0.311,227
Aug 10 2016 01: +0,0.309,209
Aug 11 2016 01: +0,0.306,211
Aug 12 2016 01: +0,0.315,269
Aug 13 2016 01: +0,0.326,249
Aug 14 2016 01: +0,0.332,289
Aug 15 2016 01: +0,0.338,223
Aug 16 2016 01: +0,0.337,243
Aug 17 2016 01: +0,0.335,211
Aug 18 2016 01: +0,0.338,287
Aug 19 2016 01: +0,0.345,232
Aug 20 2016 01: +0,0.358,250
Aug 21 2016 01: +0,0.343,327
Aug 22 2016 01: +0,0.329,341
Aug 23 2016 01: +0,0.337,234
Aug 24 2016 01: +0,0.347,315
Aug 25 2016 01: +0,0.352,244
Aug 26 2016 01: +0,0.375,207
Aug 27 2016 01: +0,0.381,208
Aug 28 2016 01: +0,0.379,230
Aug 29 2016 01: +0,0.373,289
Aug 30 2016 01: +0,0.37,277
Aug 31 2016 01: +0,0.358,308
Sep 01 2016 01: +0,0.359,248
Sep 02 2016 01: +0,0.351,483
Sep 03 2016 01: +0,0.355,363
