Aug 05 2014 01: +0,0.982,4510
Aug 06 2014 01: +0,1.002,1985
Aug 07 2014 01: +0,0.973,1537
Aug 08 2014 01: +0,0.957,1181
Aug 09 2014 01: +0,0.961,1250
Aug 10 2014 01: +0,0.964,1055
Aug 11 2014 01: +0,0.935,1073
Aug 12 2014 01: +0,0.959,1362
Aug 13 2014 01: +0,0.998,1967
Aug 14 2014 01: +0,0.995,4107
Aug 15 2014 01: +0,0.772,2364
Aug 16 2014 01: +0,0.572,2422
Aug 17 2014 01: +0,0.228,15771
Aug 18 2014 01: +0,0.185,6018
Aug 19 2014 01: +0,0.386,2945
Aug 20 2014 01: +0,0.446,1895
Aug 21 2014 01: +0,0.376,1394
Aug 22 2014 01: +0,0.377,1619
Aug 23 2014 01: +0,0.379,1453
Aug 24 2014 01: +0,0.387,1410
Aug 25 2014 01: +0,0.387,1355
Aug 26 2014 01: +0,0.368,1317
Aug 27 2014 01: +0,0.365,1077
Aug 28 2014 01: +0,0.362,1104
Aug 29 2014 01: +0,0.389,1418
Aug 30 2014 01: +0,0.48,1269
Aug 31 2014 01: +0,0.629,1417
Sep 01 2014 01: +0,0.93,1160
Sep 02 2014 01: +0,1.326,1797
Sep 03 2014 01: +0,1.29,1020
Sep 04 2014 01: +0,1.002,749
Sep 05 2014 01: +0,0.866,878
Sep 06 2014 01: +0,0.785,929
Sep 07 2014 01: +0,0.774,894
Sep 08 2014 01: +0,0.734,704
Sep 09 2014 01: +0,0.706,656
Sep 10 2014 01: +0,0.715,623
Sep 11 2014 01: +0,0.597,853
Sep 12 2014 01: +0,0.55,840
Sep 13 2014 01: +0,0.533,927
Sep 14 2014 01: +0,0.586,827
Sep 15 2014 01: +0,0.535,704
Sep 16 2014 01: +0,0.518,679
Sep 17 2014 01: +0,0.547,732
Sep 18 2014 01: +0,0.565,834
Sep 19 2014 01: +0,0.527,658
Sep 20 2014 01: +0,0.499,840
Sep 21 2014 01: +0,0.484,626
Sep 22 2014 01: +0,0.482,598
Sep 23 2014 01: +0,0.469,586
Sep 24 2014 01: +0,0.472,631
Sep 25 2014 01: +0,0.504,457
Sep 26 2014 01: +0,0.456,695
Sep 27 2014 01: +0,0.463,827
Sep 28 2014 01: +0,0.442,780
Sep 29 2014 01: +0,0.419,705
Sep 30 2014 01: +0,0.451,588
Oct 01 2014 01: +0,0.435,675
Oct 02 2014 01: +0,0.432,609
Oct 03 2014 01: +0,0.404,710
Oct 04 2014 01: +0,0.403,710
Oct 05 2014 01: +0,0.381,860
Oct 06 2014 01: +0,0.435,638
Oct 07 2014 01: +0,0.417,681
Oct 08 2014 01: +0,0.395,557
Oct 09 2014 01: +0,0.383,711
Oct 10 2014 01: +0,0.379,760
Oct 11 2014 01: +0,0.377,964
Oct 12 2014 01: +0,0.409,788
Oct 13 2014 01: +0,0.408,656
Oct 14 2014 01: +0,0.402,543
Oct 15 2014 01: +0,0.397,693
Oct 16 2014 01: +0,0.413,685
Oct 17 2014 01: +0,0.419,695
Oct 18 2014 01: +0,0.41,728
Oct 19 2014 01: +0,0.399,704
Oct 20 2014 01: +0,0.383,572
Oct 21 2014 01: +0,0.392,489
Oct 22 2014 01: +0,0.402,636
Oct 23 2014 01: +0,0.395,502
Oct 24 2014 01: +0,0.37,629
Oct 25 2014 01: +0,0.39,1036
Oct 26 2014 01: +0,0.419,1020
Oct 27 2014 01: +0,0.452,590
Oct 28 2014 01: +0,0.438,566
Oct 29 2014 01: +0,0.447,620
Oct 30 2014 01: +0,0.401,627
Oct 31 2014 01: +0,0.41,685
Nov 01 2014 01: +0,0.422,703
Nov 02 2014 01: +0,0.402,703
Nov 03 2014 01: +0,0.408,570
Nov 04 2014 01: +0,0.388,571
Nov 05 2014 01: +0,0.393,557
Nov 06 2014 01: +0,0.388,615
Nov 07 2014 01: +0,0.374,731
Nov 08 2014 01: +0,0.373,750
Nov 09 2014 01: +0,0.373,648
Nov 10 2014 01: +0,0.376,682
Nov 11 2014 01: +0,0.371,612
Nov 12 2014 01: +0,0.281,959
Nov 13 2014 01: +0,0.305,667
Nov 14 2014 01: +0,0.324,676
Nov 15 2014 01: +0,0.328,677
Nov 16 2014 01: +0,0.322,701
Nov 17 2014 01: +0,0.314,636
Nov 18 2014 01: +0,0.317,543
Nov 19 2014 01: +0,0.321,475
Nov 20 2014 01: +0,0.305,601
Nov 21 2014 01: +0,0.233,1269
Nov 22 2014 01: +0,0.237,735
Nov 23 2014 01: +0,0.24,727
Nov 24 2014 01: +0,0.244,690
Nov 25 2014 01: +0,0.245,515
Nov 26 2014 01: +0,0.255,514
Nov 27 2014 01: +0,0.25,634
Nov 28 2014 01: +0,0.234,644
Nov 29 2014 01: +0,0.212,476
Nov 30 2014 01: +0,0.158,969
Dec 01 2014 01: +0,0.174,559
Dec 02 2014 01: +0,0.196,618
Dec 03 2014 01: +0,0.228,510
Dec 04 2014 01: +0,0.23,432
Dec 05 2014 01: +0,0.253,427
Dec 06 2014 01: +0,0.257,534
Dec 07 2014 01: +0,0.268,621
Dec 08 2014 01: +0,0.268,477
Dec 09 2014 01: +0,0.259,468
Dec 10 2014 01: +0,0.253,484
Dec 11 2014 01: +0,0.252,470
Dec 12 2014 01: +0,0.238,519
Dec 13 2014 01: +0,0.246,613
