Aug 05 2014 01: +0,0.301,4174
Aug 06 2014 01: +0,0.296,2016
Aug 07 2014 01: +0,0.298,1621
Aug 08 2014 01: +0,0.305,1299
Aug 09 2014 01: +0,0.298,1337
Aug 10 2014 01: +0,0.295,1195
Aug 11 2014 01: +0,0.297,1270
Aug 12 2014 01: +0,0.296,1384
Aug 13 2014 01: +0,0.268,1997
Aug 14 2014 01: +0,0.231,3856
Aug 15 2014 01: +0,0.191,2759
Aug 16 2014 01: +0,0.205,1878
Aug 17 2014 01: +0,0.063,13217
Aug 18 2014 01: +0,0.053,5667
Aug 19 2014 01: +0,0.12,2891
Aug 20 2014 01: +0,0.139,1650
Aug 21 2014 01: +0,0.13,1460
Aug 22 2014 01: +0,0.129,1412
Aug 23 2014 01: +0,0.131,1462
Aug 24 2014 01: +0,0.135,1333
Aug 25 2014 01: +0,0.132,1220
Aug 26 2014 01: +0,0.135,1170
Aug 27 2014 01: +0,0.144,1153
Aug 28 2014 01: +0,0.154,1037
Aug 29 2014 01: +0,0.162,1009
Aug 30 2014 01: +0,0.173,1147
Aug 31 2014 01: +0,0.177,1081
Sep 01 2014 01: +0,0.187,1133
Sep 02 2014 01: +0,0.202,1337
Sep 03 2014 01: +0,0.231,872
Sep 04 2014 01: +0,0.215,679
Sep 05 2014 01: +0,0.2,908
Sep 06 2014 01: +0,0.204,871
Sep 07 2014 01: +0,0.2,906
Sep 08 2014 01: +0,0.194,683
Sep 09 2014 01: +0,0.197,674
Sep 10 2014 01: +0,0.203,845
Sep 11 2014 01: +0,0.183,742
Sep 12 2014 01: +0,0.168,922
Sep 13 2014 01: +0,0.168,907
Sep 14 2014 01: +0,0.184,848
Sep 15 2014 01: +0,0.183,713
Sep 16 2014 01: +0,0.188,644
Sep 17 2014 01: +0,0.198,660
Sep 18 2014 01: +0,0.196,610
Sep 19 2014 01: +0,0.192,662
Sep 20 2014 01: +0,0.189,795
Sep 21 2014 01: +0,0.196,701
Sep 22 2014 01: +0,0.19,666
Sep 23 2014 01: +0,0.192,561
Sep 24 2014 01: +0,0.191,520
Sep 25 2014 01: +0,0.195,589
Sep 26 2014 01: +0,0.193,608
Sep 27 2014 01: +0,0.193,817
