Aug 15 2015 01: +0,1.138,2363
Aug 16 2015 01: +0,1.112,815
Aug 17 2015 01: +0,1.105,572
Aug 18 2015 01: +0,1.11,426
Aug 19 2015 01: +0,1.103,422
Aug 20 2015 01: +0,1.048,647
Aug 21 2015 01: +0,0.916,1464
Aug 22 2015 01: +0,0.904,1452
Aug 23 2015 01: +0,0.442,124098
Aug 24 2015 01: +0,0.413,33553
Aug 25 2015 01: +0,0.458,4378
Aug 26 2015 01: +0,0.426,3845
Aug 27 2015 01: +0,0.416,2967
Aug 28 2015 01: +0,0.41,2691
Aug 29 2015 01: +0,0.387,2815
Aug 30 2015 01: +0,0.376,2735
Aug 31 2015 01: +0,0.364,3391
Sep 01 2015 01: +0,0.332,4138
Sep 02 2015 01: +0,0.305,3113
Sep 03 2015 01: +0,0.31,2446
Sep 04 2015 01: +0,0.321,2652
Sep 05 2015 01: +0,0.329,2461
Sep 06 2015 01: +0,0.314,2619
Sep 07 2015 01: +0,0.3,2456
Sep 08 2015 01: +0,0.303,2952
Sep 09 2015 01: +0,0.302,2420
Sep 10 2015 01: +0,0.296,2541
Sep 11 2015 01: +0,0.418,37304
Sep 12 2015 01: +0,0.441,7016
Sep 13 2015 01: +0,0.423,3329
Sep 14 2015 01: +0,0.417,2903
Sep 15 2015 01: +0,0.399,3038
Sep 16 2015 01: +0,0.385,3040
Sep 17 2015 01: +0,0.392,2509
Sep 18 2015 01: +0,0.371,2883
Sep 19 2015 01: +0,0.367,2672
Sep 20 2015 01: +0,0.372,2783
Sep 21 2015 01: +0,0.378,2749
Sep 22 2015 01: +0,0.381,2190
Sep 23 2015 01: +0,0.395,2180
Sep 24 2015 01: +0,0.379,1737
Sep 25 2015 01: +0,0.378,2247
Sep 26 2015 01: +0,0.384,2251
Sep 27 2015 01: +0,0.366,2258
Sep 28 2015 01: +0,0.348,2193
Sep 29 2015 01: +0,0.344,1927
Sep 30 2015 01: +0,0.349,1668
Oct 01 2015 01: +0,0.36,1334
Oct 02 2015 01: +0,0.353,1712
Oct 03 2015 01: +0,0.348,1878
Oct 04 2015 01: +0,0.34,1855
Oct 05 2015 01: +0,0.32,2194
Oct 06 2015 01: +0,0.323,1640
Oct 07 2015 01: +0,0.323,1646
Oct 08 2015 01: +0,0.316,1599
Oct 09 2015 01: +0,0.315,2097
Oct 10 2015 01: +0,0.31,2619
Oct 11 2015 01: +0,0.299,3034
Oct 12 2015 01: +0,0.312,1543
Oct 13 2015 01: +0,0.302,1344
Oct 14 2015 01: +0,0.302,1966
Oct 15 2015 01: +0,0.298,1820
Oct 16 2015 01: +0,0.299,1617
Oct 17 2015 01: +0,0.307,2020
Oct 18 2015 01: +0,0.301,2117
Oct 19 2015 01: +0,0.3,1852
Oct 20 2015 01: +0,0.295,1657
Oct 21 2015 01: +0,0.254,2852
Oct 22 2015 01: +0,0.263,1295
Oct 23 2015 01: +0,0.272,1723
Oct 24 2015 01: +0,0.277,1731
Oct 25 2015 01: +0,0.278,2094
Oct 26 2015 01: +0,0.273,1283
Oct 27 2015 01: +0,0.264,1168
Oct 28 2015 01: +0,0.26,1439
