Aug 15 2015 01: +0,1.15,940
Aug 16 2015 01: +0,1.124,341
Aug 17 2015 01: +0,1.105,255
Aug 18 2015 01: +0,1.128,179
Aug 19 2015 01: +0,1.114,196
Aug 20 2015 01: +0,1.105,290
Aug 21 2015 01: +0,1.106,523
Aug 22 2015 01: +0,0.514,3269
Aug 23 2015 01: +0,0.351,87756
Aug 24 2015 01: +0,0.419,19205
Aug 25 2015 01: +0,0.453,2624
Aug 26 2015 01: +0,0.418,2361
Aug 27 2015 01: +0,0.418,1783
Aug 28 2015 01: +0,0.41,1596
Aug 29 2015 01: +0,0.393,1722
Aug 30 2015 01: +0,0.397,1654
Aug 31 2015 01: +0,0.406,1699
Sep 01 2015 01: +0,0.376,1685
Sep 02 2015 01: +0,0.327,2725
Sep 03 2015 01: +0,0.326,1889
Sep 04 2015 01: +0,0.319,2210
Sep 05 2015 01: +0,0.324,2218
Sep 06 2015 01: +0,0.315,1958
Sep 07 2015 01: +0,0.308,1583
Sep 08 2015 01: +0,0.317,1926
Sep 09 2015 01: +0,0.321,1305
Sep 10 2015 01: +0,0.314,1576
Sep 11 2015 01: +0,0.314,1888
Sep 12 2015 01: +0,0.318,1969
Sep 13 2015 01: +0,0.318,1869
Sep 14 2015 01: +0,0.313,1616
Sep 15 2015 01: +0,0.305,1765
Sep 16 2015 01: +0,0.303,2561
Sep 17 2015 01: +0,0.303,1897
Sep 18 2015 01: +0,0.308,2507
Sep 19 2015 01: +0,0.309,2910
Sep 20 2015 01: +0,0.313,2475
Sep 21 2015 01: +0,0.312,1952
Sep 22 2015 01: +0,0.305,2453
Sep 23 2015 01: +0,0.312,2055
Sep 24 2015 01: +0,0.321,2216
Sep 25 2015 01: +0,0.335,2187
Sep 26 2015 01: +0,0.367,2134
Sep 27 2015 01: +0,0.379,1752
Sep 28 2015 01: +0,0.366,1584
Sep 29 2015 01: +0,0.347,1716
Sep 30 2015 01: +0,0.347,1812
Oct 01 2015 01: +0,0.358,1399
Oct 02 2015 01: +0,0.35,1907
Oct 03 2015 01: +0,0.355,1848
Oct 04 2015 01: +0,0.351,1611
Oct 05 2015 01: +0,0.355,1445
Oct 06 2015 01: +0,0.343,1287
Oct 07 2015 01: +0,0.331,1582
Oct 08 2015 01: +0,0.328,1668
Oct 09 2015 01: +0,0.327,1683
Oct 10 2015 01: +0,0.327,2062
Oct 11 2015 01: +0,0.32,2120
Oct 12 2015 01: +0,0.308,1871
Oct 13 2015 01: +0,0.299,2091
Oct 14 2015 01: +0,0.306,1883
Oct 15 2015 01: +0,0.306,1908
Oct 16 2015 01: +0,0.306,2183
Oct 17 2015 01: +0,0.305,3251
Oct 18 2015 01: +0,0.306,2612
Oct 19 2015 01: +0,0.303,1711
Oct 20 2015 01: +0,0.299,2076
Oct 21 2015 01: +0,0.255,2146
Oct 22 2015 01: +0,0.268,1263
Oct 23 2015 01: +0,0.278,1909
Oct 24 2015 01: +0,0.288,1862
Oct 25 2015 01: +0,0.292,1715
Oct 26 2015 01: +0,0.283,1653
Oct 27 2015 01: +0,0.283,1442
Oct 28 2015 01: +0,0.275,1668
Oct 29 2015 01: +0,0.28,1509
Oct 30 2015 01: +0,0.285,1521
