Nov 21 2014 01: +0,1.021,628
Nov 22 2014 01: +0,1.031,465
Nov 23 2014 01: +0,1.018,284
Nov 24 2014 01: +0,1.024,226
Nov 25 2014 01: +0,1.037,225
Nov 26 2014 01: +0,1.03,308
Nov 27 2014 01: +0,1.035,410
Nov 28 2014 01: +0,0.864,1121
Nov 29 2014 01: +0,0.512,7077
Nov 30 2014 01: +0,0.24,10759
Dec 01 2014 01: +0,0.237,4556
Dec 02 2014 01: +0,0.303,3372
Dec 03 2014 01: +0,0.33,2562
Dec 04 2014 01: +0,0.288,2236
Dec 05 2014 01: +0,0.297,2387
Dec 06 2014 01: +0,0.33,2576
Dec 07 2014 01: +0,0.319,2248
Dec 08 2014 01: +0,0.309,1635
Dec 09 2014 01: +0,0.309,1561
Dec 10 2014 01: +0,0.29,1891
Dec 11 2014 01: +0,0.296,1692
Dec 12 2014 01: +0,0.29,1602
Dec 13 2014 01: +0,0.289,2001
Dec 14 2014 01: +0,0.291,1688
Dec 15 2014 01: +0,0.29,1472
Dec 16 2014 01: +0,0.292,1366
Dec 17 2014 01: +0,0.277,1375
Dec 18 2014 01: +0,0.291,1242
Dec 19 2014 01: +0,0.292,1511
Dec 20 2014 01: +0,0.298,1356
Dec 21 2014 01: +0,0.3,1340
Dec 22 2014 01: +0,0.313,1408
Dec 23 2014 01: +0,0.32,1205
Dec 24 2014 01: +0,0.342,1206
Dec 25 2014 01: +0,0.382,1339
Dec 26 2014 01: +0,0.406,1284
Dec 27 2014 01: +0,0.448,1095
Dec 28 2014 01: +0,0.448,1013
Dec 29 2014 01: +0,0.436,1040
Dec 30 2014 01: +0,0.445,1002
Dec 31 2014 01: +0,0.467,830
Jan 01 2015 01: +0,0.467,962
Jan 02 2015 01: +0,0.478,1040
Jan 03 2015 01: +0,0.501,839
Jan 04 2015 01: +0,0.526,832
Jan 05 2015 01: +0,0.55,835
Jan 06 2015 01: +0,0.581,677
Jan 07 2015 01: +0,0.585,573
Jan 08 2015 01: +0,0.603,591
Jan 09 2015 01: +0,0.572,851
Jan 10 2015 01: +0,0.575,889
Jan 11 2015 01: +0,0.57,898
Jan 12 2015 01: +0,0.582,739
Jan 13 2015 01: +0,0.583,733
Jan 14 2015 01: +0,0.6,677
Jan 15 2015 01: +0,0.587,826
Jan 16 2015 01: +0,0.615,806
