Feb 27 2015 01: +0,1.128,1056
Feb 28 2015 01: +0,1.107,519
Mar 01 2015 01: +0,1.1,386
Mar 02 2015 01: +0,1.097,231
Mar 03 2015 01: +0,1.076,202
Mar 04 2015 01: +0,1.082,227
Mar 05 2015 01: +0,1.08,210
Mar 06 2015 01: +0,1.078,274
Mar 07 2015 01: +0,1.064,302
Mar 08 2015 01: +0,1.059,234
Mar 09 2015 01: +0,1.062,232
Mar 10 2015 01: +0,1.037,168
Mar 11 2015 01: +0,1.101,170
Mar 12 2015 01: +0,1.117,282
Mar 13 2015 01: +0,1.048,503
Mar 14 2015 01: +0,0.95,603
Mar 15 2015 01: +0,0.601,37764
Mar 16 2015 01: +0,0.449,16825
Mar 17 2015 01: +0,0.725,2750
Mar 18 2015 01: +0,0.634,2471
Mar 19 2015 01: +0,0.612,1843
Mar 20 2015 01: +0,0.627,1612
Mar 21 2015 01: +0,0.577,1962
Mar 22 2015 01: +0,0.622,1504
Mar 23 2015 01: +0,0.608,1417
Mar 24 2015 01: +0,0.593,2449
Mar 25 2015 01: +0,0.611,1277
Mar 26 2015 01: +0,0.6,1233
Mar 27 2015 01: +0,0.576,1566
Mar 28 2015 01: +0,0.579,1469
Mar 29 2015 01: +0,0.583,1404
Mar 30 2015 01: +0,0.578,1499
Mar 31 2015 01: +0,0.582,1450
Apr 01 2015 01: +0,0.602,1652
Apr 02 2015 01: +0,0.674,1309
Apr 03 2015 01: +0,0.702,1280
Apr 04 2015 01: +0,0.793,1499
Apr 05 2015 01: +0,0.88,1640
Apr 06 2015 01: +0,1.056,2409
Apr 07 2015 01: +0,1.162,1672
Apr 08 2015 01: +0,1.136,992
Apr 09 2015 01: +0,1.025,1223
Apr 10 2015 01: +0,0.929,1087
Apr 11 2015 01: +0,0.874,1120
Apr 12 2015 01: +0,0.904,914
Apr 13 2015 01: +0,0.815,919
Apr 14 2015 01: +0,0.788,906
Apr 15 2015 01: +0,0.765,883
Apr 16 2015 01: +0,0.752,1155
Apr 17 2015 01: +0,0.763,987
Apr 18 2015 01: +0,0.737,1246
Apr 19 2015 01: +0,0.751,846
Apr 20 2015 01: +0,0.745,896
Apr 21 2015 01: +0,0.723,813
Apr 22 2015 01: +0,0.709,755
Apr 23 2015 01: +0,0.705,819
Apr 24 2015 01: +0,0.73,914
Apr 25 2015 01: +0,0.737,994
Apr 26 2015 01: +0,0.751,948
Apr 27 2015 01: +0,0.759,729
