Jul 07 2017 01: +0,0.981,37
Jul 08 2017 01: +0,0.897,157
Jul 09 2017 01: +0,0.901,83
Jul 10 2017 01: +0,0.907,66
Jul 11 2017 01: +0,0.889,76
Jul 12 2017 01: +0,0.89,64
Jul 13 2017 01: +0,0.94,50
Jul 14 2017 01: +0,0.992,40
Jul 15 2017 01: +0,0.95,60
Jul 16 2017 01: +0,0.771,55
Jul 17 2017 01: +0,0.512,61
Jul 18 2017 01: +0,0.575,67
Jul 19 2017 01: +0,0.579,113
Jul 20 2017 01: +0,0.27,1515
Jul 21 2017 01: +0,0.322,506
Jul 22 2017 01: +0,0.323,688
Jul 23 2017 01: +0,0.266,4678
Jul 24 2017 01: +0,0.261,1284
Jul 25 2017 01: +0,0.265,904
Jul 26 2017 01: +0,0.272,584
Jul 27 2017 01: +0,0.275,404
Jul 28 2017 01: +0,0.274,388
Jul 29 2017 01: +0,0.28,337
Jul 30 2017 01: +0,0.28,341
Jul 31 2017 01: +0,0.263,364
Aug 01 2017 01: +0,0.251,377
Aug 02 2017 01: +0,0.253,403
Aug 03 2017 01: +0,0.249,442
Aug 04 2017 01: +0,0.246,416
Aug 05 2017 01: +0,0.244,339
Aug 06 2017 01: +0,0.249,363
Aug 07 2017 01: +0,0.241,329
Aug 08 2017 01: +0,0.243,280
Aug 09 2017 01: +0,0.257,355
Aug 10 2017 01: +0,0.253,378
Aug 11 2017 01: +0,0.242,288
Aug 12 2017 01: +0,0.247,263
Aug 13 2017 01: +0,0.244,281
Aug 14 2017 01: +0,0.238,291
Aug 15 2017 01: +0,0.242,260
Aug 16 2017 01: +0,0.243,255
Aug 17 2017 01: +0,0.24,298
Aug 18 2017 01: +0,0.254,296
Aug 19 2017 01: +0,0.255,212
Aug 20 2017 01: +0,0.251,207
Aug 21 2017 01: +0,0.251,211
Aug 22 2017 01: +0,0.255,195
Aug 23 2017 01: +0,0.254,200
Aug 24 2017 01: +0,0.277,185
Aug 25 2017 01: +0,0.274,164
Aug 26 2017 01: +0,0.272,175
Aug 27 2017 01: +0,0.271,180
Aug 28 2017 01: +0,0.28,191
Aug 29 2017 01: +0,0.278,168
Aug 30 2017 01: +0,0.28,150
Aug 31 2017 01: +0,0.284,129
Sep 01 2017 01: +0,0.284,194
Sep 02 2017 01: +0,0.288,201
Sep 03 2017 01: +0,0.291,195
Sep 04 2017 01: +0,0.285,160
Sep 05 2017 01: +0,0.281,124
Sep 06 2017 01: +0,0.27,164
Sep 07 2017 01: +0,0.281,165
Sep 08 2017 01: +0,0.295,177
Sep 09 2017 01: +0,0.294,251
Sep 10 2017 01: +0,0.291,209
Sep 11 2017 01: +0,0.293,150
Sep 12 2017 01: +0,0.284,110
Sep 13 2017 01: +0,0.282,153
Sep 14 2017 01: +0,0.29,144
Sep 15 2017 01: +0,0.288,143
Sep 16 2017 01: +0,0.295,259
Sep 17 2017 01: +0,0.29,211
Sep 18 2017 01: +0,0.288,155
Sep 19 2017 01: +0,0.284,148
Sep 20 2017 01: +0,0.294,177
Sep 21 2017 01: +0,0.296,196
Sep 22 2017 01: +0,0.3,162
Sep 23 2017 01: +0,0.305,170
Sep 24 2017 01: +0,0.314,147
Sep 25 2017 01: +0,0.315,114
Sep 26 2017 01: +0,0.315,127
Sep 27 2017 01: +0,0.303,109
Sep 28 2017 01: +0,0.292,123
Sep 29 2017 01: +0,0.29,132
Sep 30 2017 01: +0,0.279,170
Oct 01 2017 01: +0,0.286,150
Oct 02 2017 01: +0,0.287,211
Oct 03 2017 01: +0,0.292,103
Oct 04 2017 01: +0,0.289,116
Oct 05 2017 01: +0,0.292,105
Oct 06 2017 01: +0,0.298,130
Oct 07 2017 01: +0,0.304,215
Oct 08 2017 01: +0,0.309,159
Oct 09 2017 01: +0,0.314,85
Oct 10 2017 01: +0,0.306,95
Oct 11 2017 01: +0,0.308,112
Oct 12 2017 01: +0,0.298,118
Oct 13 2017 01: +0,0.303,154
Oct 14 2017 01: +0,0.307,143
Oct 15 2017 01: +0,0.319,127
Oct 16 2017 01: +0,0.325,106
Oct 17 2017 01: +0,0.306,81
Oct 18 2017 01: +0,0.299,115
Oct 19 2017 01: +0,0.307,108
Oct 20 2017 01: +0,0.31,83
Oct 21 2017 01: +0,0.312,97
Oct 22 2017 01: +0,0.312,92
Oct 23 2017 01: +0,0.301,72
Oct 24 2017 01: +0,0.305,76
Oct 25 2017 01: +0,0.284,59
Oct 26 2017 01: +0,0.292,108
Oct 27 2017 01: +0,0.285,105
Oct 28 2017 01: +0,0.288,133
Oct 29 2017 01: +0,0.283,103
Oct 30 2017 01: +0,0.287,118
Oct 31 2017 01: +0,0.287,83
Nov 01 2017 01: +0,0.29,92
Nov 02 2017 01: +0,0.295,84
Nov 03 2017 01: +0,0.289,93
Nov 04 2017 01: +0,0.292,111
Nov 05 2017 01: +0,0.273,120
Nov 06 2017 01: +0,0.297,84
Nov 07 2017 01: +0,0.287,97
Nov 08 2017 01: +0,0.291,88
Nov 09 2017 01: +0,0.29,82
Nov 10 2017 01: +0,0.287,98
Nov 11 2017 01: +0,0.282,109
Nov 12 2017 01: +0,0.281,114
Nov 13 2017 01: +0,0.286,74
Nov 14 2017 01: +0,0.262,88
Nov 15 2017 01: +0,0.277,67
Nov 16 2017 01: +0,0.265,102
Nov 17 2017 01: +0,0.259,134
Nov 18 2017 01: +0,0.269,115
Nov 19 2017 01: +0,0.263,108
Nov 20 2017 01: +0,0.251,97
Nov 21 2017 01: +0,0.269,95
Nov 22 2017 01: +0,0.269,102
Nov 23 2017 01: +0,0.265,110
Nov 24 2017 01: +0,0.262,91
Nov 25 2017 01: +0,0.26,102
Nov 26 2017 01: +0,0.263,80
Nov 27 2017 01: +0,0.272,87
Nov 28 2017 01: +0,0.278,73
Nov 29 2017 01: +0,0.279,79
Nov 30 2017 01: +0,0.286,61
Dec 01 2017 01: +0,0.287,76
Dec 02 2017 01: +0,0.286,97
Dec 03 2017 01: +0,0.284,96
Dec 04 2017 01: +0,0.277,84
Dec 05 2017 01: +0,0.269,91
Dec 06 2017 01: +0,0.27,101
Dec 07 2017 01: +0,0.258,115
Dec 08 2017 01: +0,0.265,121
Dec 09 2017 01: +0,0.259,140
Dec 10 2017 01: +0,0.25,155
Dec 11 2017 01: +0,0.244,149
Dec 12 2017 01: +0,0.252,160
Dec 13 2017 01: +0,0.253,105
Dec 14 2017 01: +0,0.239,99
Dec 15 2017 01: +0,0.237,120
Dec 16 2017 01: +0,0.238,174
Dec 17 2017 01: +0,0.228,168
Dec 18 2017 01: +0,0.221,151
Dec 19 2017 01: +0,0.211,194
Dec 20 2017 01: +0,0.209,177
Dec 21 2017 01: +0,0.185,569
Dec 22 2017 01: +0,0.196,151
Dec 23 2017 01: +0,0.199,149
Dec 24 2017 01: +0,0.209,148
Dec 25 2017 01: +0,0.209,170
Dec 26 2017 01: +0,0.217,159
Dec 27 2017 01: +0,0.23,155
Dec 28 2017 01: +0,0.228,143
Dec 29 2017 01: +0,0.231,125
Dec 30 2017 01: +0,0.243,138
Dec 31 2017 01: +0,0.258,116
Jan 01 2018 01: +0,0.25,108
Jan 02 2018 01: +0,0.25,124
Jan 03 2018 01: +0,0.238,93
Jan 04 2018 01: +0,0.261,101
Jan 05 2018 01: +0,0.256,108
Jan 06 2018 01: +0,0.274,130
Jan 07 2018 01: +0,0.284,81
Jan 08 2018 01: +0,0.284,89
Jan 09 2018 01: +0,0.284,69
Jan 10 2018 01: +0,0.268,122
Jan 11 2018 01: +0,0.265,93
Jan 12 2018 01: +0,0.264,146
Jan 13 2018 01: +0,0.279,150
Jan 14 2018 01: +0,0.272,134
Jan 15 2018 01: +0,0.276,172
Jan 16 2018 01: +0,0.273,97
Jan 17 2018 01: +0,0.254,60
Jan 18 2018 01: +0,0.258,45
Jan 19 2018 01: +0,0.266,60
Jan 20 2018 01: +0,0.258,104
Jan 21 2018 01: +0,0.259,80
Jan 22 2018 01: +0,0.26,89
Jan 23 2018 01: +0,0.261,57
Jan 24 2018 01: +0,0.263,60
Jan 25 2018 01: +0,0.254,65
Jan 26 2018 01: +0,0.251,81
Jan 27 2018 01: +0,0.227,100
Jan 28 2018 01: +0,0.219,80
Jan 29 2018 01: +0,0.21,101
Jan 30 2018 01: +0,0.221,66
Jan 31 2018 01: +0,0.222,100
Feb 01 2018 01: +0,0.239,34
Feb 02 2018 01: +0,0.242,29
Feb 03 2018 01: +0,0.23,54
Feb 04 2018 01: +0,0.231,39
Feb 05 2018 01: +0,0.247,32
Feb 06 2018 01: +0,0.229,23
Feb 07 2018 01: +0,0.242,28
Feb 08 2018 01: +0,0.244,26
Feb 09 2018 01: +0,0.235,29
Feb 10 2018 01: +0,0.226,45
Feb 11 2018 01: +0,0.211,44
Feb 12 2018 01: +0,0.222,35
Feb 13 2018 01: +0,0.222,25
Feb 14 2018 01: +0,0.238,30
Feb 15 2018 01: +0,0.237,23
Feb 16 2018 01: +0,0.242,51
Feb 17 2018 01: +0,0.245,43
Feb 18 2018 01: +0,0.24,38
Feb 19 2018 01: +0,0.243,44
Feb 20 2018 01: +0,0.24,34
Feb 21 2018 01: +0,0.239,33
Feb 22 2018 01: +0,0.225,33
Feb 23 2018 01: +0,0.246,39
Feb 24 2018 01: +0,0.244,48
Feb 25 2018 01: +0,0.253,45
Feb 26 2018 01: +0,0.252,34
Feb 27 2018 01: +0,0.248,19
Feb 28 2018 01: +0,0.236,50
Mar 01 2018 01: +0,0.235,29
Mar 02 2018 01: +0,0.252,53
Mar 03 2018 01: +0,0.249,64
Mar 04 2018 01: +0,0.249,34
Mar 05 2018 01: +0,0.247,30
Mar 06 2018 01: +0,0.237,29
Mar 07 2018 01: +0,0.251,51
Mar 08 2018 01: +0,0.257,35
Mar 09 2018 01: +0,0.257,33
Mar 10 2018 01: +0,0.266,38
Mar 11 2018 01: +0,0.261,27
Mar 12 2018 01: +0,0.241,50
Mar 13 2018 01: +0,0.256,39
Mar 14 2018 01: +0,0.264,33
Mar 15 2018 01: +0,0.267,47
Mar 16 2018 01: +0,0.271,40
Mar 17 2018 01: +0,0.266,60
Mar 18 2018 01: +0,0.265,38
Mar 19 2018 01: +0,0.262,29
Mar 20 2018 01: +0,0.262,41
Mar 21 2018 01: +0,0.262,33
Mar 22 2018 01: +0,0.258,24
Mar 23 2018 01: +0,0.256,39
Mar 24 2018 01: +0,0.265,40
Mar 25 2018 01: +0,0.269,45
Mar 26 2018 01: +0,0.277,42
Mar 27 2018 01: +0,0.274,36
Mar 28 2018 01: +0,0.268,27
Mar 29 2018 01: +0,0.279,26
Mar 30 2018 01: +0,0.255,68
Mar 31 2018 01: +0,0.272,36
Apr 01 2018 01: +0,0.279,22
Apr 02 2018 01: +0,0.264,46
Apr 03 2018 01: +0,0.273,40
Apr 04 2018 01: +0,0.277,32
Apr 05 2018 01: +0,0.267,42
Apr 06 2018 01: +0,0.274,38
Apr 07 2018 01: +0,0.269,48
Apr 08 2018 01: +0,0.278,67
Apr 09 2018 01: +0,0.272,22
Apr 10 2018 01: +0,0.264,49
Apr 11 2018 01: +0,0.255,49
Apr 12 2018 01: +0,0.255,41
Apr 13 2018 01: +0,0.274,44
Apr 14 2018 01: +0,0.275,44
Apr 15 2018 01: +0,0.286,50
Apr 16 2018 01: +0,0.292,29
Apr 17 2018 01: +0,0.282,28
Apr 18 2018 01: +0,0.291,22
Apr 19 2018 01: +0,0.296,61
Apr 20 2018 01: +0,0.291,81
Apr 21 2018 01: +0,0.295,42
Apr 22 2018 01: +0,0.287,49
Apr 23 2018 01: +0,0.273,36
Apr 24 2018 01: +0,0.276,29
Apr 25 2018 01: +0,0.29,21
Apr 26 2018 01: +0,0.285,22
Apr 27 2018 01: +0,0.284,68
Apr 28 2018 01: +0,0.291,36
Apr 29 2018 01: +0,0.28,46
Apr 30 2018 01: +0,0.271,66
May 01 2018 01: +0,0.28,40
May 02 2018 01: +0,0.282,15
May 03 2018 01: +0,0.287,31
May 04 2018 01: +0,0.276,31
May 05 2018 01: +0,0.282,27
May 06 2018 01: +0,0.282,29
May 07 2018 01: +0,0.283,18
May 08 2018 01: +0,0.29,36
May 09 2018 01: +0,0.257,35
May 10 2018 01: +0,0.262,39
May 11 2018 01: +0,0.286,32
May 12 2018 01: +0,0.29,32
May 13 2018 01: +0,0.278,20
May 14 2018 01: +0,0.28,33
May 15 2018 01: +0,0.279,15
May 16 2018 01: +0,0.275,12
May 17 2018 01: +0,0.281,28
May 18 2018 01: +0,0.275,20
May 19 2018 01: +0,0.277,34
May 20 2018 01: +0,0.279,39
May 21 2018 01: +0,0.279,37
May 22 2018 01: +0,0.269,28
May 23 2018 01: +0,0.268,32
May 24 2018 01: +0,0.271,22
May 25 2018 01: +0,0.269,28
May 26 2018 01: +0,0.264,43
May 27 2018 01: +0,0.27,30
May 28 2018 01: +0,0.266,27
May 29 2018 01: +0,0.272,40
May 30 2018 01: +0,0.273,14
May 31 2018 01: +0,0.27,22
Jun 01 2018 01: +0,0.27,42
Jun 02 2018 01: +0,0.277,44
Jun 03 2018 01: +0,0.278,32
Jun 04 2018 01: +0,0.248,35
Jun 05 2018 01: +0,0.274,40
Jun 06 2018 01: +0,0.282,24
Jun 07 2018 01: +0,0.286,30
Jun 08 2018 01: +0,0.279,28
Jun 09 2018 01: +0,0.259,17
Jun 10 2018 01: +0,0.251,17
Jun 11 2018 01: +0,0.255,26
Jun 12 2018 01: +0,0.253,22
Jun 13 2018 01: +0,0.25,16
Jun 14 2018 01: +0,0.254,47
Jun 15 2018 01: +0,0.263,25
Jun 16 2018 01: +0,0.267,33
Jun 17 2018 01: +0,0.266,25
Jun 18 2018 01: +0,0.255,23
Jun 19 2018 01: +0,0.236,16
Jun 20 2018 01: +0,0.259,30
Jun 21 2018 01: +0,0.246,20
Jun 22 2018 01: +0,0.237,24
Jun 23 2018 01: +0,0.226,29
Jun 24 2018 01: +0,0.225,22
Jun 25 2018 01: +0,0.225,37
Jun 26 2018 01: +0,0.241,28
Jun 27 2018 01: +0,0.253,23
Jun 28 2018 01: +0,0.248,21
