Jul 07 2017 01: +0,1.064,173
Jul 08 2017 01: +0,1.088,409
Jul 09 2017 01: +0,1.086,261
Jul 10 2017 01: +0,1.077,289
Jul 11 2017 01: +0,1.07,274
Jul 12 2017 01: +0,1.063,215
Jul 13 2017 01: +0,1.076,183
Jul 14 2017 01: +0,1.082,213
Jul 15 2017 01: +0,1.061,251
Jul 16 2017 01: +0,1.088,195
Jul 17 2017 01: +0,1.088,121
Jul 18 2017 01: +0,1.092,176
Jul 19 2017 01: +0,1.074,194
Jul 20 2017 01: +0,0.887,970
Jul 21 2017 01: +0,0.857,529
Jul 22 2017 01: +0,0.6,813
Jul 23 2017 01: +0,0.292,14579
Jul 24 2017 01: +0,0.259,7960
Jul 25 2017 01: +0,0.272,3198
Jul 26 2017 01: +0,0.3,2358
Jul 27 2017 01: +0,0.281,1568
Jul 28 2017 01: +0,0.286,1395
Jul 29 2017 01: +0,0.285,1169
Jul 30 2017 01: +0,0.293,1048
Jul 31 2017 01: +0,0.281,1115
Aug 01 2017 01: +0,0.275,1075
Aug 02 2017 01: +0,0.271,957
Aug 03 2017 01: +0,0.266,1034
Aug 04 2017 01: +0,0.265,938
Aug 05 2017 01: +0,0.283,959
Aug 06 2017 01: +0,0.265,976
Aug 07 2017 01: +0,0.272,797
Aug 08 2017 01: +0,0.267,855
Aug 09 2017 01: +0,0.272,700
Aug 10 2017 01: +0,0.271,742
Aug 11 2017 01: +0,0.266,643
Aug 12 2017 01: +0,0.249,800
Aug 13 2017 01: +0,0.247,779
Aug 14 2017 01: +0,0.234,1097
Aug 15 2017 01: +0,0.238,677
Aug 16 2017 01: +0,0.238,870
Aug 17 2017 01: +0,0.233,702
Aug 18 2017 01: +0,0.237,876
Aug 19 2017 01: +0,0.235,810
Aug 20 2017 01: +0,0.235,807
Aug 21 2017 01: +0,0.236,730
Aug 22 2017 01: +0,0.237,832
Aug 23 2017 01: +0,0.253,646
Aug 24 2017 01: +0,0.259,716
Aug 25 2017 01: +0,0.277,547
Aug 26 2017 01: +0,0.277,622
Aug 27 2017 01: +0,0.293,581
Aug 28 2017 01: +0,0.285,505
Aug 29 2017 01: +0,0.283,465
Aug 30 2017 01: +0,0.288,496
Aug 31 2017 01: +0,0.296,462
Sep 01 2017 01: +0,0.295,601
Sep 02 2017 01: +0,0.294,614
Sep 03 2017 01: +0,0.301,559
Sep 04 2017 01: +0,0.298,483
Sep 05 2017 01: +0,0.3,506
Sep 06 2017 01: +0,0.302,521
Sep 07 2017 01: +0,0.304,521
Sep 08 2017 01: +0,0.311,522
Sep 09 2017 01: +0,0.318,509
Sep 10 2017 01: +0,0.307,547
Sep 11 2017 01: +0,0.315,471
Sep 12 2017 01: +0,0.322,439
Sep 13 2017 01: +0,0.316,431
Sep 14 2017 01: +0,0.315,414
Sep 15 2017 01: +0,0.316,466
Sep 16 2017 01: +0,0.327,664
Sep 17 2017 01: +0,0.329,511
Sep 18 2017 01: +0,0.324,413
Sep 19 2017 01: +0,0.329,527
Sep 20 2017 01: +0,0.329,422
Sep 21 2017 01: +0,0.332,384
Sep 22 2017 01: +0,0.325,452
Sep 23 2017 01: +0,0.326,521
Sep 24 2017 01: +0,0.33,422
Sep 25 2017 01: +0,0.323,367
Sep 26 2017 01: +0,0.318,385
Sep 27 2017 01: +0,0.32,372
Sep 28 2017 01: +0,0.321,380
Sep 29 2017 01: +0,0.323,396
Sep 30 2017 01: +0,0.325,438
Oct 01 2017 01: +0,0.321,449
Oct 02 2017 01: +0,0.312,414
Oct 03 2017 01: +0,0.309,361
Oct 04 2017 01: +0,0.313,358
Oct 05 2017 01: +0,0.313,302
Oct 06 2017 01: +0,0.315,392
Oct 07 2017 01: +0,0.318,550
Oct 08 2017 01: +0,0.315,445
Oct 09 2017 01: +0,0.319,371
Oct 10 2017 01: +0,0.32,397
Oct 11 2017 01: +0,0.317,384
Oct 12 2017 01: +0,0.328,391
Oct 13 2017 01: +0,0.324,410
Oct 14 2017 01: +0,0.328,410
Oct 15 2017 01: +0,0.325,421
Oct 16 2017 01: +0,0.328,326
Oct 17 2017 01: +0,0.327,369
Oct 18 2017 01: +0,0.324,323
Oct 19 2017 01: +0,0.319,317
Oct 20 2017 01: +0,0.325,349
Oct 21 2017 01: +0,0.323,382
Oct 22 2017 01: +0,0.32,370
Oct 23 2017 01: +0,0.313,276
Oct 24 2017 01: +0,0.318,282
Oct 25 2017 01: +0,0.32,343
Oct 26 2017 01: +0,0.316,320
Oct 27 2017 01: +0,0.307,334
Oct 28 2017 01: +0,0.304,454
Oct 29 2017 01: +0,0.307,502
Oct 30 2017 01: +0,0.312,397
Oct 31 2017 01: +0,0.31,400
Nov 01 2017 01: +0,0.313,387
Nov 02 2017 01: +0,0.309,404
Nov 03 2017 01: +0,0.309,468
Nov 04 2017 01: +0,0.311,417
Nov 05 2017 01: +0,0.311,413
Nov 06 2017 01: +0,0.31,305
Nov 07 2017 01: +0,0.313,302
Nov 08 2017 01: +0,0.293,381
Nov 09 2017 01: +0,0.298,379
Nov 10 2017 01: +0,0.306,385
Nov 11 2017 01: +0,0.306,396
Nov 12 2017 01: +0,0.305,382
Nov 13 2017 01: +0,0.301,306
Nov 14 2017 01: +0,0.302,330
Nov 15 2017 01: +0,0.303,399
Nov 16 2017 01: +0,0.302,344
Nov 17 2017 01: +0,0.295,373
Nov 18 2017 01: +0,0.298,375
Nov 19 2017 01: +0,0.301,407
Nov 20 2017 01: +0,0.287,383
Nov 21 2017 01: +0,0.294,353
Nov 22 2017 01: +0,0.297,334
Nov 23 2017 01: +0,0.294,262
Nov 24 2017 01: +0,0.297,354
Nov 25 2017 01: +0,0.303,374
Nov 26 2017 01: +0,0.293,368
Nov 27 2017 01: +0,0.3,335
Nov 28 2017 01: +0,0.3,327
Nov 29 2017 01: +0,0.301,318
Nov 30 2017 01: +0,0.303,333
Dec 01 2017 01: +0,0.302,350
Dec 02 2017 01: +0,0.307,394
Dec 03 2017 01: +0,0.306,356
Dec 04 2017 01: +0,0.304,373
Dec 05 2017 01: +0,0.298,401
Dec 06 2017 01: +0,0.303,430
Dec 07 2017 01: +0,0.296,380
Dec 08 2017 01: +0,0.297,440
Dec 09 2017 01: +0,0.291,406
Dec 10 2017 01: +0,0.29,580
Dec 11 2017 01: +0,0.288,607
Dec 12 2017 01: +0,0.29,543
Dec 13 2017 01: +0,0.295,547
Dec 14 2017 01: +0,0.298,469
Dec 15 2017 01: +0,0.288,431
Dec 16 2017 01: +0,0.287,502
Dec 17 2017 01: +0,0.293,442
Dec 18 2017 01: +0,0.289,376
Dec 19 2017 01: +0,0.285,544
Dec 20 2017 01: +0,0.274,457
Dec 21 2017 01: +0,0.277,440
Dec 22 2017 01: +0,0.269,472
Dec 23 2017 01: +0,0.276,407
Dec 24 2017 01: +0,0.282,382
Dec 25 2017 01: +0,0.28,512
Dec 26 2017 01: +0,0.282,507
Dec 27 2017 01: +0,0.286,545
Dec 28 2017 01: +0,0.294,478
