tournament,team,placing,country,value
0,1,1,4,1.69
0,55,2,11,0.728
0,15,4,13,1.1520000000000001
0,38,4,1,0.61
0,30,8,3,1.4969999999999999
0,17,8,3,0.36
0,32,8,4,0.413
0,12,8,9,2.427
0,44,11,6,0.5
0,18,11,13,1.1
0,49,11,15,1.505
0,33,14,15,0.8
0,16,14,6,1.504
0,27,14,9,1.01
0,14,16,3,0.851
0,19,16,3,0.8440000000000001
1,5,1,15,0.52
1,12,2,9,0.5720000000000001
1,30,4,3,0.61
1,38,4,1,0.284
1,27,8,9,0.32
1,36,8,3,0.185
1,16,8,6,0.319
1,15,8,13,0.47
1,39,9,14,0.564
1,17,9,3,0.249
1,53,9,3,0.19699999999999998
1,49,12,15,0.757
1,1,12,4,1.002
1,3,12,7,0.308
1,32,15,4,0.262
1,55,15,11,0.424
2,44,1,6,0.336
2,30,2,3,0.6759999999999999
2,16,4,6,0.326
2,31,4,13,0.35
2,15,8,13,0.44799999999999995
2,55,8,11,0.527
2,50,8,4,0.364
2,24,8,1,0.511
2,5,12,15,0.8690000000000001
2,27,12,9,0.469
2,51,12,6,1.492
2,8,12,15,0.446
2,54,16,11,0.628
2,14,16,3,0.47100000000000003
2,49,16,15,0.785
2,42,16,4,1.013
3,31,1,13,1.015
3,15,2,13,1.02
3,42,4,4,2.675
3,48,4,6,1.369
3,30,8,3,1.52
3,10,8,6,0.93
3,55,8,11,1.037
3,5,8,15,2.885
3,19,12,3,0.8270000000000001
3,7,12,4,0.62
3,45,12,15,9.326
3,51,12,6,3.175
3,28,16,8,0.725
3,23,16,10,2.668
3,9,16,3,0.63
3,56,16,0,1.056
4,15,1,13,0.35600000000000004
4,44,2,6,0.365
4,50,4,4,0.353
4,55,4,11,0.43
4,30,8,3,0.61
4,47,8,9,0.35100000000000003
4,31,8,13,0.355
4,24,8,1,0.535
4,8,12,15,0.43200000000000005
4,5,12,15,0.52
4,37,12,0,0.3
4,14,12,3,0.467
4,43,16,11,0.37799999999999995
4,46,16,0,0.561
4,51,16,6,1.4
4,27,16,9,0.353
5,38,1,1,0.635
5,49,2,15,0.736
5,55,4,11,0.7170000000000001
5,15,4,13,0.753
5,1,8,4,2.5180000000000002
5,14,8,3,0.741
5,30,8,3,1.187
5,17,8,3,0.7979999999999999
5,42,12,4,1.581
5,31,12,13,0.97
5,27,12,9,0.981
5,12,12,9,1.161
5,8,16,15,0.7809999999999999
5,33,16,15,1.2429999999999999
5,44,16,6,0.759
5,16,16,6,1.05
7,15,1,13,1.275
7,31,2,13,1.14
7,55,4,11,1.4709999999999999
7,44,4,6,1.129
7,34,8,9,1.136
7,21,8,1,2.504
7,30,8,3,3.603
7,50,8,4,1.2919999999999998
7,56,12,0,4.082
7,22,12,10,4.993
7,8,12,15,1.228
7,5,12,15,4.565
7,14,16,3,1.266
7,51,16,6,3.82
7,19,16,3,2.948
7,0,16,5,4.631
8,17,1,3,0.175
8,20,2,1,0.231
8,1,4,4,0.284
8,55,4,11,0.315
8,15,8,13,0.312
8,38,8,1,0.285
8,3,8,7,0.18
8,32,8,4,0.193
8,5,9,15,0.28
8,14,9,3,0.319
8,16,9,6,0.22399999999999998
8,30,12,3,0.513
8,27,12,9,0.23600000000000002
8,34,12,9,0.193
8,12,15,9,0.309
8,53,15,3,0.183
9,24,1,1,0.584
9,30,2,3,0.608
9,1,4,4,0.6940000000000001
9,49,4,15,0.562
9,31,8,13,0.45899999999999996
9,15,8,13,0.405
9,8,8,15,0.41200000000000003
9,55,8,11,0.51
9,27,12,9,0.38799999999999996
9,12,12,9,0.547
9,17,12,3,0.26
9,16,12,6,0.718
9,14,16,3,0.45299999999999996
9,40,16,15,0.389
9,44,16,6,0.434
9,5,16,15,0.907
6,48,1,6,2.093
6,31,2,13,1.778
6,55,4,11,1.79
6,30,4,3,2.812
6,19,8,3,2.5180000000000002
6,34,8,9,1.875
6,15,8,13,1.41
6,42,8,4,3.002
6,5,12,15,6.45
6,45,12,15,19.98
6,11,12,11,3.114
6,14,12,3,1.7409999999999999
6,4,16,12,3.285
6,7,16,4,3.63
6,35,16,7,4.33
6,29,16,4,3.219
