tournament,team,placing,country,value
Atlanta 2017,Astralis,1,Denmark,1.69
Atlanta 2017,Virtus.Pro,2,Poland,0.728
Atlanta 2017,Fnatic,4,Sweden,1.1520000000000001
Atlanta 2017,SK Gaming,4,Brazil,0.61
Atlanta 2017,Natus Vincere,8,CIS,1.4969999999999999
Atlanta 2017,Gambit,8,CIS,0.36
Atlanta 2017,North,8,Denmark,0.413
Atlanta 2017,FaZe Clan,8,International,2.427
Atlanta 2017,Team EnVyUs,11,France,0.5
Atlanta 2017,GODSENT,11,Sweden,1.1
Atlanta 2017,Team Liquid,11,USA,1.505
Atlanta 2017,OpTic Gaming,14,USA,0.8
Atlanta 2017,G2 Esports,14,France,1.504
Atlanta 2017,mousesports,14,International,1.01
Atlanta 2017,Flipsid3 Tactics,16,CIS,0.851
Atlanta 2017,HellRaisers,16,CIS,0.8440000000000001
Boston 2018,Cloud9,1,USA,0.52
Boston 2018,FaZe Clan,2,International,0.5720000000000001
Boston 2018,Natus Vincere,4,CIS,0.61
Boston 2018,SK Gaming,4,Brazil,0.284
Boston 2018,mousesports,8,International,0.32
Boston 2018,Quantum Bellator Fire,8,CIS,0.185
Boston 2018,G2 Esports,8,France,0.319
Boston 2018,Fnatic,8,Sweden,0.47
Boston 2018,Space Soldiers,9,Turkey,0.564
Boston 2018,Gambit,9,CIS,0.249
Boston 2018,Vega Squadron,9,CIS,0.19699999999999998
Boston 2018,Team Liquid,12,USA,0.757
Boston 2018,Astralis,12,Denmark,1.002
Boston 2018,BIG,12,Germany,0.308
Boston 2018,North,15,Denmark,0.262
Boston 2018,Virtus.pro,15,,0.424
Cluj-Napoca 2015,Team EnVyUs,1,France,0.336
Cluj-Napoca 2015,Natus Vincere,2,CIS,0.6759999999999999
Cluj-Napoca 2015,G2 Esports,4,France,0.326
Cluj-Napoca 2015,Ninjas in Pyjamas,4,Sweden,0.35
Cluj-Napoca 2015,Fnatic,8,Sweden,0.44799999999999995
Cluj-Napoca 2015,Virtus.pro,8,,0.527
Cluj-Napoca 2015,Team SoloMid,8,Denmark,0.364
Cluj-Napoca 2015,Luminosity Gaming,8,Brazil,0.511
Cluj-Napoca 2015,Cloud9,12,USA,0.8690000000000001
Cluj-Napoca 2015,mousesports,12,International,0.469
