"Jan 13 2017 01: +0" 1.086 299
"Jan 14 2017 01: +0" 1.048 188
"Jan 15 2017 01: +0" 1.057 131
"Jan 16 2017 01: +0" 1.032 128
"Jan 17 2017 01: +0" 1.016 114
"Jan 18 2017 01: +0" 1.042 91
"Jan 19 2017 01: +0" 1.041 86
"Jan 20 2017 01: +0" 1.066 157
"Jan 21 2017 01: +0" 1.023 145
"Jan 22 2017 01: +0" 1.028 130
"Jan 23 2017 01: +0" 1.023 83
"Jan 24 2017 01: +0" 0.999 101
"Jan 25 2017 01: +0" 0.927 121
"Jan 26 2017 01: +0" 0.741 210
"Jan 27 2017 01: +0" 0.38 1597
"Jan 28 2017 01: +0" 0.344 1407
"Jan 29 2017 01: +0" 0.315 7513
"Jan 30 2017 01: +0" 0.256 5467
"Jan 31 2017 01: +0" 0.284 2088
"Feb 01 2017 01: +0" 0.295 1196
"Feb 02 2017 01: +0" 0.295 765
"Feb 03 2017 01: +0" 0.292 967
"Feb 04 2017 01: +0" 0.294 1122
"Feb 05 2017 01: +0" 0.286 2409
"Feb 06 2017 01: +0" 0.319 750
"Feb 07 2017 01: +0" 0.299 604
"Feb 08 2017 01: +0" 0.298 740
"Feb 09 2017 01: +0" 0.304 588
"Feb 10 2017 01: +0" 0.301 666
"Feb 11 2017 01: +0" 0.299 822
"Feb 12 2017 01: +0" 0.298 689
"Feb 13 2017 01: +0" 0.296 512
"Feb 14 2017 01: +0" 0.303 795
"Feb 15 2017 01: +0" 0.307 575
"Feb 16 2017 01: +0" 0.304 623
"Feb 17 2017 01: +0" 0.302 480
"Feb 18 2017 01: +0" 0.301 559
"Feb 19 2017 01: +0" 0.304 646
"Feb 20 2017 01: +0" 0.308 480
"Feb 21 2017 01: +0" 0.31 512
"Feb 22 2017 01: +0" 0.302 475
"Feb 23 2017 01: +0" 0.302 512
"Feb 24 2017 01: +0" 0.308 541
"Feb 25 2017 01: +0" 0.308 589
"Feb 26 2017 01: +0" 0.316 475
"Feb 27 2017 01: +0" 0.325 402
"Feb 28 2017 01: +0" 0.326 364
"Mar 01 2017 01: +0" 0.319 361
"Mar 02 2017 01: +0" 0.316 520
"Mar 03 2017 01: +0" 0.327 454
"Mar 04 2017 01: +0" 0.325 518
"Mar 05 2017 01: +0" 0.332 538
"Mar 06 2017 01: +0" 0.325 430
"Mar 07 2017 01: +0" 0.327 531
"Mar 08 2017 01: +0" 0.335 309
"Mar 09 2017 01: +0" 0.354 346
"Mar 10 2017 01: +0" 0.341 355
"Mar 11 2017 01: +0" 0.344 488
"Mar 12 2017 01: +0" 0.345 658
"Mar 13 2017 01: +0" 0.347 475
"Mar 14 2017 01: +0" 0.344 301
"Mar 15 2017 01: +0" 0.349 488
"Mar 16 2017 01: +0" 0.338 462
"Mar 17 2017 01: +0" 0.337 567
"Mar 18 2017 01: +0" 0.348 715
"Mar 19 2017 01: +0" 0.361 509
"Mar 20 2017 01: +0" 0.362 518
"Mar 21 2017 01: +0" 0.364 420
"Mar 22 2017 01: +0" 0.364 505
"Mar 23 2017 01: +0" 0.374 420
"Mar 24 2017 01: +0" 0.369 424
"Mar 25 2017 01: +0" 0.379 490
"Mar 26 2017 01: +0" 0.379 407
"Mar 27 2017 01: +0" 0.387 358
"Mar 28 2017 01: +0" 0.397 377
"Mar 29 2017 01: +0" 0.388 402
"Mar 30 2017 01: +0" 0.372 403
"Mar 31 2017 01: +0" 0.38 450
"Apr 01 2017 01: +0" 0.384 457
"Apr 02 2017 01: +0" 0.394 449
"Apr 03 2017 01: +0" 0.386 417
"Apr 04 2017 01: +0" 0.392 361
"Apr 05 2017 01: +0" 0.397 329
