Jan 13 2017 01: +0,1.054,363
Jan 14 2017 01: +0,1.032,296
Jan 15 2017 01: +0,1.034,220
Jan 16 2017 01: +0,1.037,154
Jan 17 2017 01: +0,1.032,196
Jan 18 2017 01: +0,1.036,164
Jan 19 2017 01: +0,1.033,156
Jan 20 2017 01: +0,1.018,253
Jan 21 2017 01: +0,1.029,311
Jan 22 2017 01: +0,1.032,290
Jan 23 2017 01: +0,1.035,198
Jan 24 2017 01: +0,1.016,258
Jan 25 2017 01: +0,1.034,321
Jan 26 2017 01: +0,1.033,526
Jan 27 2017 01: +0,0.974,630
Jan 28 2017 01: +0,0.832,443
Jan 29 2017 01: +0,0.567,13621
Jan 30 2017 01: +0,0.254,10890
Jan 31 2017 01: +0,0.299,5250
Feb 01 2017 01: +0,0.307,3146
Feb 02 2017 01: +0,0.313,2289
Feb 03 2017 01: +0,0.313,2167
Feb 04 2017 01: +0,0.315,2209
Feb 05 2017 01: +0,0.32,2072
Feb 06 2017 01: +0,0.32,1895
Feb 07 2017 01: +0,0.317,1671
Feb 08 2017 01: +0,0.31,1673
Feb 09 2017 01: +0,0.313,1624
Feb 10 2017 01: +0,0.312,1569
Feb 11 2017 01: +0,0.314,1781
Feb 12 2017 01: +0,0.313,1663
Feb 13 2017 01: +0,0.317,1342
Feb 14 2017 01: +0,0.316,1321
Feb 15 2017 01: +0,0.32,1018
Feb 16 2017 01: +0,0.317,1016
Feb 17 2017 01: +0,0.323,1048
Feb 18 2017 01: +0,0.328,1275
Feb 19 2017 01: +0,0.331,1289
Feb 20 2017 01: +0,0.33,1074
Feb 21 2017 01: +0,0.338,948
Feb 22 2017 01: +0,0.338,993
Feb 23 2017 01: +0,0.341,1016
Feb 24 2017 01: +0,0.345,1024
Feb 25 2017 01: +0,0.342,1164
Feb 26 2017 01: +0,0.347,927
Feb 27 2017 01: +0,0.349,841
Feb 28 2017 01: +0,0.349,884
Mar 01 2017 01: +0,0.353,850
Mar 02 2017 01: +0,0.367,1006
Mar 03 2017 01: +0,0.377,900
Mar 04 2017 01: +0,0.37,963
Mar 05 2017 01: +0,0.372,821
Mar 06 2017 01: +0,0.371,715
Mar 07 2017 01: +0,0.386,610
Mar 08 2017 01: +0,0.383,721
Mar 09 2017 01: +0,0.379,628
Mar 10 2017 01: +0,0.382,698
Mar 11 2017 01: +0,0.396,692
Mar 12 2017 01: +0,0.399,737
Mar 13 2017 01: +0,0.4,704
Mar 14 2017 01: +0,0.39,539
Mar 15 2017 01: +0,0.397,576
Mar 16 2017 01: +0,0.395,756
Mar 17 2017 01: +0,0.405,714
Mar 18 2017 01: +0,0.403,755
Mar 19 2017 01: +0,0.391,766
Mar 20 2017 01: +0,0.394,614
Mar 21 2017 01: +0,0.402,662
Mar 22 2017 01: +0,0.402,672
Mar 23 2017 01: +0,0.405,626
Mar 24 2017 01: +0,0.41,734
Mar 25 2017 01: +0,0.408,770
Mar 26 2017 01: +0,0.41,798
Mar 27 2017 01: +0,0.403,568
Mar 28 2017 01: +0,0.41,591
Mar 29 2017 01: +0,0.408,582
Mar 30 2017 01: +0,0.412,615
Mar 31 2017 01: +0,0.409,763
Apr 01 2017 01: +0,0.415,717
Apr 02 2017 01: +0,0.412,659
Apr 03 2017 01: +0,0.411,685
Apr 04 2017 01: +0,0.409,587
Apr 05 2017 01: +0,0.417,632
Apr 06 2017 01: +0,0.416,661
Apr 07 2017 01: +0,0.421,590
Apr 08 2017 01: +0,0.423,788
Apr 09 2017 01: +0,0.427,703
Apr 10 2017 01: +0,0.43,667
Apr 11 2017 01: +0,0.43,569
Apr 12 2017 01: +0,0.435,638
Apr 13 2017 01: +0,0.438,613
Apr 14 2017 01: +0,0.444,499
Apr 15 2017 01: +0,0.453,628
Apr 16 2017 01: +0,0.446,560
Apr 17 2017 01: +0,0.44,512
Apr 18 2017 01: +0,0.45,532
Apr 19 2017 01: +0,0.452,505
Apr 20 2017 01: +0,0.457,628
Apr 21 2017 01: +0,0.468,513
Apr 22 2017 01: +0,0.47,586
Apr 23 2017 01: +0,0.463,532
Apr 24 2017 01: +0,0.467,420
Apr 25 2017 01: +0,0.469,439
Apr 26 2017 01: +0,0.468,386
Apr 27 2017 01: +0,0.471,516
Apr 28 2017 01: +0,0.474,442
Apr 29 2017 01: +0,0.469,549
