Jan 13 2017 01: +0,1.097,339
Jan 14 2017 01: +0,1.043,194
Jan 15 2017 01: +0,1.066,145
Jan 16 2017 01: +0,1.043,130
Jan 17 2017 01: +0,1.049,139
Jan 18 2017 01: +0,1.041,139
Jan 19 2017 01: +0,1.03,84
Jan 20 2017 01: +0,1.039,186
Jan 21 2017 01: +0,1.025,214
Jan 22 2017 01: +0,1.041,201
Jan 23 2017 01: +0,1.055,102
Jan 24 2017 01: +0,0.994,79
Jan 25 2017 01: +0,1.023,106
Jan 26 2017 01: +0,1.035,160
Jan 27 2017 01: +0,0.382,1888
Jan 28 2017 01: +0,0.325,2305
Jan 29 2017 01: +0,0.297,7419
Jan 30 2017 01: +0,0.251,4422
Jan 31 2017 01: +0,0.283,2168
Feb 01 2017 01: +0,0.28,1234
Feb 02 2017 01: +0,0.277,950
Feb 03 2017 01: +0,0.276,1037
Feb 04 2017 01: +0,0.271,1235
Feb 05 2017 01: +0,0.274,1027
Feb 06 2017 01: +0,0.273,896
Feb 07 2017 01: +0,0.263,928
Feb 08 2017 01: +0,0.264,805
Feb 09 2017 01: +0,0.266,813
Feb 10 2017 01: +0,0.27,755
Feb 11 2017 01: +0,0.27,852
Feb 12 2017 01: +0,0.269,792
Feb 13 2017 01: +0,0.266,679
Feb 14 2017 01: +0,0.267,584
Feb 15 2017 01: +0,0.278,542
Feb 16 2017 01: +0,0.274,621
Feb 17 2017 01: +0,0.277,677
Feb 18 2017 01: +0,0.279,783
Feb 19 2017 01: +0,0.282,735
Feb 20 2017 01: +0,0.276,738
Feb 21 2017 01: +0,0.282,571
Feb 22 2017 01: +0,0.274,599
Feb 23 2017 01: +0,0.281,836
Feb 24 2017 01: +0,0.28,613
Feb 25 2017 01: +0,0.284,833
Feb 26 2017 01: +0,0.283,688
Feb 27 2017 01: +0,0.284,672
Feb 28 2017 01: +0,0.29,776
Mar 01 2017 01: +0,0.29,499
Mar 02 2017 01: +0,0.292,621
Mar 03 2017 01: +0,0.3,626
Mar 04 2017 01: +0,0.303,811
Mar 05 2017 01: +0,0.306,561
Mar 06 2017 01: +0,0.301,577
Mar 07 2017 01: +0,0.299,511
Mar 08 2017 01: +0,0.296,535
Mar 09 2017 01: +0,0.296,534
Mar 10 2017 01: +0,0.298,547
Mar 11 2017 01: +0,0.304,627
Mar 12 2017 01: +0,0.306,632
Mar 13 2017 01: +0,0.305,498
Mar 14 2017 01: +0,0.306,391
Mar 15 2017 01: +0,0.301,461
Mar 16 2017 01: +0,0.304,609
Mar 17 2017 01: +0,0.311,654
Mar 18 2017 01: +0,0.31,1033
Mar 19 2017 01: +0,0.32,788
Mar 20 2017 01: +0,0.321,636
Mar 21 2017 01: +0,0.324,546
Mar 22 2017 01: +0,0.333,508
Mar 23 2017 01: +0,0.334,476
Mar 24 2017 01: +0,0.335,399
Mar 25 2017 01: +0,0.336,486
Mar 26 2017 01: +0,0.338,497
Mar 27 2017 01: +0,0.332,453
Mar 28 2017 01: +0,0.335,412
Mar 29 2017 01: +0,0.333,511
Mar 30 2017 01: +0,0.344,338
Mar 31 2017 01: +0,0.34,543
Apr 01 2017 01: +0,0.34,558
Apr 02 2017 01: +0,0.336,555
Apr 03 2017 01: +0,0.335,536
Apr 04 2017 01: +0,0.333,432
Apr 05 2017 01: +0,0.335,408
Apr 06 2017 01: +0,0.341,437
Apr 07 2017 01: +0,0.344,509
Apr 08 2017 01: +0,0.342,587
Apr 09 2017 01: +0,0.338,521
Apr 10 2017 01: +0,0.347,336
Apr 11 2017 01: +0,0.341,376
Apr 12 2017 01: +0,0.339,398
Apr 13 2017 01: +0,0.347,426
Apr 14 2017 01: +0,0.356,435
Apr 15 2017 01: +0,0.351,489
Apr 16 2017 01: +0,0.358,443
Apr 17 2017 01: +0,0.357,486
Apr 18 2017 01: +0,0.358,427
Apr 19 2017 01: +0,0.37,405
Apr 20 2017 01: +0,0.379,316
Apr 21 2017 01: +0,0.372,455
Apr 22 2017 01: +0,0.377,432
Apr 23 2017 01: +0,0.373,354
Apr 24 2017 01: +0,0.372,312
Apr 25 2017 01: +0,0.376,303
Apr 26 2017 01: +0,0.38,292
Apr 27 2017 01: +0,0.377,394
Apr 28 2017 01: +0,0.383,324
Apr 29 2017 01: +0,0.385,371
Apr 30 2017 01: +0,0.388,410
May 01 2017 01: +0,0.388,373
May 02 2017 01: +0,0.382,283
May 03 2017 01: +0,0.385,281
May 04 2017 01: +0,0.388,286
May 05 2017 01: +0,0.376,365
May 06 2017 01: +0,0.384,340
May 07 2017 01: +0,0.381,327
May 08 2017 01: +0,0.372,362
May 09 2017 01: +0,0.373,347
May 10 2017 01: +0,0.379,324
May 11 2017 01: +0,0.379,313
May 12 2017 01: +0,0.377,394
May 13 2017 01: +0,0.381,416
May 14 2017 01: +0,0.377,502
May 15 2017 01: +0,0.381,369
May 16 2017 01: +0,0.383,262
May 17 2017 01: +0,0.383,346
May 18 2017 01: +0,0.389,340
May 19 2017 01: +0,0.392,259
May 20 2017 01: +0,0.392,384
May 21 2017 01: +0,0.388,294
May 22 2017 01: +0,0.392,316
May 23 2017 01: +0,0.397,265
May 24 2017 01: +0,0.328,633
May 25 2017 01: +0,0.374,368
May 26 2017 01: +0,0.392,337
May 27 2017 01: +0,0.393,347
May 28 2017 01: +0,0.397,254
May 29 2017 01: +0,0.394,299
May 30 2017 01: +0,0.391,359
May 31 2017 01: +0,0.397,238
Jun 01 2017 01: +0,0.399,319
Jun 02 2017 01: +0,0.396,426
Jun 03 2017 01: +0,0.398,280
Jun 04 2017 01: +0,0.398,374
Jun 05 2017 01: +0,0.401,281
Jun 06 2017 01: +0,0.394,323
Jun 07 2017 01: +0,0.391,416
Jun 08 2017 01: +0,0.386,331
Jun 09 2017 01: +0,0.391,247
Jun 10 2017 01: +0,0.387,328
Jun 11 2017 01: +0,0.389,287
Jun 12 2017 01: +0,0.389,229
Jun 13 2017 01: +0,0.382,297
Jun 14 2017 01: +0,0.384,222
Jun 15 2017 01: +0,0.378,293
Jun 16 2017 01: +0,0.368,396
Jun 17 2017 01: +0,0.372,444
Jun 18 2017 01: +0,0.354,400
Jun 19 2017 01: +0,0.355,365
Jun 20 2017 01: +0,0.353,347
Jun 21 2017 01: +0,0.343,352
Jun 22 2017 01: +0,0.335,434
Jun 23 2017 01: +0,0.328,299
Jun 24 2017 01: +0,0.338,225
Jun 25 2017 01: +0,0.328,416
Jun 26 2017 01: +0,0.339,293
Jun 27 2017 01: +0,0.349,250
Jun 28 2017 01: +0,0.355,246
Jun 29 2017 01: +0,0.354,286
Jun 30 2017 01: +0,0.358,434
Jul 01 2017 01: +0,0.361,356
Jul 02 2017 01: +0,0.361,331
Jul 03 2017 01: +0,0.355,331
Jul 04 2017 01: +0,0.353,403
Jul 05 2017 01: +0,0.356,328
Jul 06 2017 01: +0,0.356,390
Jul 07 2017 01: +0,0.347,542
Jul 08 2017 01: +0,0.297,288
Jul 09 2017 01: +0,0.3,192
Jul 10 2017 01: +0,0.304,173
Jul 11 2017 01: +0,0.29,251
Jul 12 2017 01: +0,0.286,230
Jul 13 2017 01: +0,0.292,200
Jul 14 2017 01: +0,0.297,235
Jul 15 2017 01: +0,0.292,203
Jul 16 2017 01: +0,0.292,197
Jul 17 2017 01: +0,0.305,204
Jul 18 2017 01: +0,0.307,258
Jul 19 2017 01: +0,0.304,246
Jul 20 2017 01: +0,0.313,197
Jul 21 2017 01: +0,0.325,231
Jul 22 2017 01: +0,0.322,152
Jul 23 2017 01: +0,0.26,286
Jul 24 2017 01: +0,0.256,176
Jul 25 2017 01: +0,0.275,138
Jul 26 2017 01: +0,0.309,82
Jul 27 2017 01: +0,0.309,87
Jul 28 2017 01: +0,0.306,96
Jul 29 2017 01: +0,0.309,79
Jul 30 2017 01: +0,0.319,76
Jul 31 2017 01: +0,0.295,103
Aug 01 2017 01: +0,0.275,103
Aug 02 2017 01: +0,0.292,86
Aug 03 2017 01: +0,0.304,118
Aug 04 2017 01: +0,0.308,62
Aug 05 2017 01: +0,0.304,71
Aug 06 2017 01: +0,0.279,111
Aug 07 2017 01: +0,0.28,92
Aug 08 2017 01: +0,0.282,92
Aug 09 2017 01: +0,0.3,80
Aug 10 2017 01: +0,0.301,92
Aug 11 2017 01: +0,0.306,85
Aug 12 2017 01: +0,0.305,79
Aug 13 2017 01: +0,0.284,73
Aug 14 2017 01: +0,0.275,78
Aug 15 2017 01: +0,0.279,80
Aug 16 2017 01: +0,0.288,78
Aug 17 2017 01: +0,0.295,64
Aug 18 2017 01: +0,0.283,115
Aug 19 2017 01: +0,0.293,80
Aug 20 2017 01: +0,0.293,54
Aug 21 2017 01: +0,0.287,85
Aug 22 2017 01: +0,0.288,125
Aug 23 2017 01: +0,0.306,91
Aug 24 2017 01: +0,0.308,62
Aug 25 2017 01: +0,0.314,90
Aug 26 2017 01: +0,0.307,68
Aug 27 2017 01: +0,0.314,105
