Jan 13 2017 01: +0,1.081,261
Jan 14 2017 01: +0,1.058,208
Jan 15 2017 01: +0,1.056,153
Jan 16 2017 01: +0,1.051,135
Jan 17 2017 01: +0,1.039,158
Jan 18 2017 01: +0,1.043,146
Jan 19 2017 01: +0,1.036,115
Jan 20 2017 01: +0,1.043,242
Jan 21 2017 01: +0,1.018,238
Jan 22 2017 01: +0,1.037,201
Jan 23 2017 01: +0,1.108,113
Jan 24 2017 01: +0,1.015,130
Jan 25 2017 01: +0,0.992,113
Jan 26 2017 01: +0,0.715,180
Jan 27 2017 01: +0,0.35,2249
Jan 28 2017 01: +0,0.31,1969
Jan 29 2017 01: +0,0.286,4249
Jan 30 2017 01: +0,0.24,3514
Jan 31 2017 01: +0,0.266,1686
Feb 01 2017 01: +0,0.281,953
Feb 02 2017 01: +0,0.287,799
Feb 03 2017 01: +0,0.285,1019
Feb 04 2017 01: +0,0.295,972
Feb 05 2017 01: +0,0.295,783
Feb 06 2017 01: +0,0.298,698
Feb 07 2017 01: +0,0.293,587
Feb 08 2017 01: +0,0.294,670
Feb 09 2017 01: +0,0.31,615
Feb 10 2017 01: +0,0.31,758
Feb 11 2017 01: +0,0.317,674
Feb 12 2017 01: +0,0.318,779
Feb 13 2017 01: +0,0.315,482
Feb 14 2017 01: +0,0.303,519
Feb 15 2017 01: +0,0.307,490
Feb 16 2017 01: +0,0.331,530
Feb 17 2017 01: +0,0.331,457
Feb 18 2017 01: +0,0.317,524
Feb 19 2017 01: +0,0.31,556
Feb 20 2017 01: +0,0.313,570
Feb 21 2017 01: +0,0.331,522
Feb 22 2017 01: +0,0.325,349
Feb 23 2017 01: +0,0.313,383
Feb 24 2017 01: +0,0.317,409
Feb 25 2017 01: +0,0.332,444
Feb 26 2017 01: +0,0.329,391
Feb 27 2017 01: +0,0.332,397
Feb 28 2017 01: +0,0.334,343
Mar 01 2017 01: +0,0.326,382
Mar 02 2017 01: +0,0.321,390
Mar 03 2017 01: +0,0.336,444
Mar 04 2017 01: +0,0.342,448
Mar 05 2017 01: +0,0.338,471
Mar 06 2017 01: +0,0.339,322
Mar 07 2017 01: +0,0.352,313
Mar 08 2017 01: +0,0.354,370
Mar 09 2017 01: +0,0.351,304
Mar 10 2017 01: +0,0.355,398
Mar 11 2017 01: +0,0.379,558
Mar 12 2017 01: +0,0.411,389
Mar 13 2017 01: +0,0.391,250
Mar 14 2017 01: +0,0.414,297
Mar 15 2017 01: +0,0.406,310
Mar 16 2017 01: +0,0.383,306
Mar 17 2017 01: +0,0.399,323
Mar 18 2017 01: +0,0.398,349
