"Jan 13 2017 01: +0" 1.053 199
"Jan 14 2017 01: +0" 1.042 136
"Jan 15 2017 01: +0" 1.058 118
"Jan 16 2017 01: +0" 1.056 116
"Jan 17 2017 01: +0" 1.023 102
"Jan 18 2017 01: +0" 1.028 102
"Jan 19 2017 01: +0" 1.033 64
"Jan 20 2017 01: +0" 1.024 115
"Jan 21 2017 01: +0" 1.007 122
"Jan 22 2017 01: +0" 1.031 128
"Jan 23 2017 01: +0" 1.009 107
"Jan 24 2017 01: +0" 0.997 97
"Jan 25 2017 01: +0" 1.039 113
"Jan 26 2017 01: +0" 0.656 265
"Jan 27 2017 01: +0" 0.37 1684
"Jan 28 2017 01: +0" 0.333 1434
"Jan 29 2017 01: +0" 0.301 4642
"Jan 30 2017 01: +0" 0.244 3510
"Jan 31 2017 01: +0" 0.279 1676
"Feb 01 2017 01: +0" 0.292 1156
"Feb 02 2017 01: +0" 0.296 867
"Feb 03 2017 01: +0" 0.297 927
"Feb 04 2017 01: +0" 0.305 999
"Feb 05 2017 01: +0" 0.303 886
"Feb 06 2017 01: +0" 0.301 700
"Feb 07 2017 01: +0" 0.297 629
"Feb 08 2017 01: +0" 0.292 599
"Feb 09 2017 01: +0" 0.294 639
"Feb 10 2017 01: +0" 0.299 654
"Feb 11 2017 01: +0" 0.297 837
"Feb 12 2017 01: +0" 0.301 750
"Feb 13 2017 01: +0" 0.305 526
"Feb 14 2017 01: +0" 0.297 502
"Feb 15 2017 01: +0" 0.302 461
"Feb 16 2017 01: +0" 0.308 461
"Feb 17 2017 01: +0" 0.303 465
"Feb 18 2017 01: +0" 0.307 575
"Feb 19 2017 01: +0" 0.314 554
"Feb 20 2017 01: +0" 0.305 481
"Feb 21 2017 01: +0" 0.304 560
"Feb 22 2017 01: +0" 0.314 384
"Feb 23 2017 01: +0" 0.308 368
"Feb 24 2017 01: +0" 0.316 435
"Feb 25 2017 01: +0" 0.314 570
"Feb 26 2017 01: +0" 0.31 526
"Feb 27 2017 01: +0" 0.313 433
"Feb 28 2017 01: +0" 0.316 396
"Mar 01 2017 01: +0" 0.323 370
"Mar 02 2017 01: +0" 0.327 362
"Mar 03 2017 01: +0" 0.327 456
"Mar 04 2017 01: +0" 0.336 534
"Mar 05 2017 01: +0" 0.34 473
"Mar 06 2017 01: +0" 0.339 316
"Mar 07 2017 01: +0" 0.347 330
"Mar 08 2017 01: +0" 0.34 296
"Mar 09 2017 01: +0" 0.343 320
"Mar 10 2017 01: +0" 0.341 334
"Mar 11 2017 01: +0" 0.345 403
"Mar 12 2017 01: +0" 0.349 385
"Mar 13 2017 01: +0" 0.348 285
"Mar 14 2017 01: +0" 0.351 270
"Mar 15 2017 01: +0" 0.345 318
"Mar 16 2017 01: +0" 0.348 391
"Mar 17 2017 01: +0" 0.361 383
"Mar 18 2017 01: +0" 0.365 375
"Mar 19 2017 01: +0" 0.374 360
"Mar 20 2017 01: +0" 0.368 340
"Mar 21 2017 01: +0" 0.369 315
"Mar 22 2017 01: +0" 0.373 306
"Mar 23 2017 01: +0" 0.372 265
"Mar 24 2017 01: +0" 0.371 347
"Mar 25 2017 01: +0" 0.369 417
"Mar 26 2017 01: +0" 0.372 399
"Mar 27 2017 01: +0" 0.368 263
"Mar 28 2017 01: +0" 0.366 243
"Mar 29 2017 01: +0" 0.372 284
"Mar 30 2017 01: +0" 0.374 258
"Mar 31 2017 01: +0" 0.372 357
"Apr 01 2017 01: +0" 0.377 362
"Apr 02 2017 01: +0" 0.369 421
"Apr 03 2017 01: +0" 0.371 329
"Apr 04 2017 01: +0" 0.371 332
"Apr 05 2017 01: +0" 0.379 285
"Apr 06 2017 01: +0" 0.38 248
"Apr 07 2017 01: +0" 0.377 327
"Apr 08 2017 01: +0" 0.38 369
"Apr 09 2017 01: +0" 0.377 365
"Apr 10 2017 01: +0" 0.376 332
"Apr 11 2017 01: +0" 0.38 281
"Apr 12 2017 01: +0" 0.38 277
"Apr 13 2017 01: +0" 0.387 253
