"Jan 13 2017 01: +0" 1.034 155
"Jan 14 2017 01: +0" 0.997 126
"Jan 15 2017 01: +0" 1.032 72
"Jan 16 2017 01: +0" 1.017 66
"Jan 17 2017 01: +0" 0.995 60
"Jan 18 2017 01: +0" 1.002 58
"Jan 19 2017 01: +0" 1.005 66
"Jan 20 2017 01: +0" 1.035 71
"Jan 21 2017 01: +0" 0.995 95
"Jan 22 2017 01: +0" 0.989 78
"Jan 23 2017 01: +0" 1.002 63
"Jan 24 2017 01: +0" 0.98 68
"Jan 25 2017 01: +0" 0.912 112
"Jan 26 2017 01: +0" 0.498 261
"Jan 27 2017 01: +0" 0.357 838
"Jan 28 2017 01: +0" 0.337 861
"Jan 29 2017 01: +0" 0.304 3707
"Jan 30 2017 01: +0" 0.23 3043
"Jan 31 2017 01: +0" 0.272 1242
"Feb 01 2017 01: +0" 0.281 767
"Feb 02 2017 01: +0" 0.285 616
"Feb 03 2017 01: +0" 0.291 690
"Feb 04 2017 01: +0" 0.29 631
"Feb 05 2017 01: +0" 0.291 536
"Feb 06 2017 01: +0" 0.29 558
"Feb 07 2017 01: +0" 0.289 498
"Feb 08 2017 01: +0" 0.282 519
"Feb 09 2017 01: +0" 0.284 499
"Feb 10 2017 01: +0" 0.292 515
"Feb 11 2017 01: +0" 0.292 608
"Feb 12 2017 01: +0" 0.289 452
"Feb 13 2017 01: +0" 0.291 447
"Feb 14 2017 01: +0" 0.294 391
"Feb 15 2017 01: +0" 0.294 339
"Feb 16 2017 01: +0" 0.292 415
"Feb 17 2017 01: +0" 0.296 409
"Feb 18 2017 01: +0" 0.299 424
"Feb 19 2017 01: +0" 0.299 494
"Feb 20 2017 01: +0" 0.299 376
"Feb 21 2017 01: +0" 0.298 348
"Feb 22 2017 01: +0" 0.289 322
"Feb 23 2017 01: +0" 0.293 374
"Feb 24 2017 01: +0" 0.3 373
"Feb 25 2017 01: +0" 0.306 566
"Feb 26 2017 01: +0" 0.311 309
"Feb 27 2017 01: +0" 0.309 264
"Feb 28 2017 01: +0" 0.308 378
"Mar 01 2017 01: +0" 0.303 377
"Mar 02 2017 01: +0" 0.308 286
"Mar 03 2017 01: +0" 0.323 277
"Mar 04 2017 01: +0" 0.325 321
"Mar 05 2017 01: +0" 0.323 321
"Mar 06 2017 01: +0" 0.324 300
"Mar 07 2017 01: +0" 0.331 231
"Mar 08 2017 01: +0" 0.329 217
"Mar 09 2017 01: +0" 0.324 260
"Mar 10 2017 01: +0" 0.334 226
"Mar 11 2017 01: +0" 0.343 329
"Mar 12 2017 01: +0" 0.347 246
"Mar 13 2017 01: +0" 0.338 210
"Mar 14 2017 01: +0" 0.338 162
"Mar 15 2017 01: +0" 0.338 242
"Mar 16 2017 01: +0" 0.341 290
"Mar 17 2017 01: +0" 0.339 374
"Mar 18 2017 01: +0" 0.362 346
"Mar 19 2017 01: +0" 0.368 294
"Mar 20 2017 01: +0" 0.355 241
"Mar 21 2017 01: +0" 0.362 263
"Mar 22 2017 01: +0" 0.365 226
"Mar 23 2017 01: +0" 0.376 282
"Mar 24 2017 01: +0" 0.365 244
"Mar 25 2017 01: +0" 0.365 373
"Mar 26 2017 01: +0" 0.374 243
"Mar 27 2017 01: +0" 0.376 192
"Mar 28 2017 01: +0" 0.374 184
"Mar 29 2017 01: +0" 0.37 215
"Mar 30 2017 01: +0" 0.382 172
"Mar 31 2017 01: +0" 0.384 195
"Apr 01 2017 01: +0" 0.378 310
"Apr 02 2017 01: +0" 0.364 309
"Apr 03 2017 01: +0" 0.367 284
"Apr 04 2017 01: +0" 0.375 227
"Apr 05 2017 01: +0" 0.387 185
"Apr 06 2017 01: +0" 0.378 199
"Apr 07 2017 01: +0" 0.381 213
"Apr 08 2017 01: +0" 0.381 311
"Apr 09 2017 01: +0" 0.384 221
"Apr 10 2017 01: +0" 0.383 209
"Apr 11 2017 01: +0" 0.388 166
"Apr 12 2017 01: +0" 0.383 174
"Apr 13 2017 01: +0" 0.392 209
"Apr 14 2017 01: +0" 0.398 226
"Apr 15 2017 01: +0" 0.395 224
"Apr 16 2017 01: +0" 0.398 258
"Apr 17 2017 01: +0" 0.4 210
"Apr 18 2017 01: +0" 0.404 222
"Apr 19 2017 01: +0" 0.413 167
"Apr 20 2017 01: +0" 0.417 178
"Apr 21 2017 01: +0" 0.439 300
"Apr 22 2017 01: +0" 0.479 287
"Apr 23 2017 01: +0" 0.483 203
"Apr 24 2017 01: +0" 0.471 144
"Apr 25 2017 01: +0" 0.473 128
"Apr 26 2017 01: +0" 0.459 142
"Apr 27 2017 01: +0" 0.475 171
"Apr 28 2017 01: +0" 0.469 161
"Apr 29 2017 01: +0" 0.476 184
"Apr 30 2017 01: +0" 0.47 179
"May 01 2017 01: +0" 0.461 127
"May 02 2017 01: +0" 0.459 132
"May 03 2017 01: +0" 0.455 200
"May 04 2017 01: +0" 0.458 105
"May 05 2017 01: +0" 0.451 195
"May 06 2017 01: +0" 0.458 150
"May 07 2017 01: +0" 0.472 218
"May 08 2017 01: +0" 0.464 138
"May 09 2017 01: +0" 0.448 122
"May 10 2017 01: +0" 0.445 141
"May 11 2017 01: +0" 0.459 143
"May 12 2017 01: +0" 0.453 172
"May 13 2017 01: +0" 0.454 153
"May 14 2017 01: +0" 0.471 161
"May 15 2017 01: +0" 0.457 120
"May 16 2017 01: +0" 0.454 100
"May 17 2017 01: +0" 0.462 95
"May 18 2017 01: +0" 0.469 114
"May 19 2017 01: +0" 0.455 90
"May 20 2017 01: +0" 0.449 156
"May 21 2017 01: +0" 0.451 143
"May 22 2017 01: +0" 0.47 123
"May 23 2017 01: +0" 0.46 104
"May 24 2017 01: +0" 0.399 244
"May 25 2017 01: +0" 0.435 194
"May 26 2017 01: +0" 0.467 191
"May 27 2017 01: +0" 0.464 164
"May 28 2017 01: +0" 0.459 170
"May 29 2017 01: +0" 0.45 140
"May 30 2017 01: +0" 0.453 91
"May 31 2017 01: +0" 0.458 142
"Jun 01 2017 01: +0" 0.457 146
"Jun 02 2017 01: +0" 0.462 135
"Jun 03 2017 01: +0" 0.466 153
"Jun 04 2017 01: +0" 0.467 141
"Jun 05 2017 01: +0" 0.469 147
"Jun 06 2017 01: +0" 0.458 141
"Jun 07 2017 01: +0" 0.456 143
"Jun 08 2017 01: +0" 0.462 131
"Jun 09 2017 01: +0" 0.455 113
"Jun 10 2017 01: +0" 0.448 108
"Jun 11 2017 01: +0" 0.456 135
"Jun 12 2017 01: +0" 0.45 105
"Jun 13 2017 01: +0" 0.461 118
"Jun 14 2017 01: +0" 0.472 125
"Jun 15 2017 01: +0" 0.459 85
"Jun 16 2017 01: +0" 0.453 131
"Jun 17 2017 01: +0" 0.437 121
"Jun 18 2017 01: +0" 0.459 162
"Jun 19 2017 01: +0" 0.427 82
"Jun 20 2017 01: +0" 0.409 159
"Jun 21 2017 01: +0" 0.402 123
"Jun 22 2017 01: +0" 0.397 175
"Jun 23 2017 01: +0" 0.394 110
"Jun 24 2017 01: +0" 0.389 125
"Jun 25 2017 01: +0" 0.389 119
"Jun 26 2017 01: +0" 0.399 124
"Jun 27 2017 01: +0" 0.412 248
"Jun 28 2017 01: +0" 0.43 125
"Jun 29 2017 01: +0" 0.423 107
"Jun 30 2017 01: +0" 0.437 173
"Jul 01 2017 01: +0" 0.43 129
"Jul 02 2017 01: +0" 0.456 156
"Jul 03 2017 01: +0" 0.44 131
"Jul 04 2017 01: +0" 0.427 189
"Jul 05 2017 01: +0" 0.434 174
"Jul 06 2017 01: +0" 0.434 173
"Jul 07 2017 01: +0" 0.428 180
"Jul 08 2017 01: +0" 0.367 252
"Jul 09 2017 01: +0" 0.374 173
"Jul 10 2017 01: +0" 0.403 133
"Jul 11 2017 01: +0" 0.401 98
"Jul 12 2017 01: +0" 0.416 85
"Jul 13 2017 01: +0" 0.401 87
"Jul 14 2017 01: +0" 0.414 90
"Jul 15 2017 01: +0" 0.427 113
"Jul 16 2017 01: +0" 0.435 156
"Jul 17 2017 01: +0" 0.439 132
"Jul 18 2017 01: +0" 0.437 121
"Jul 19 2017 01: +0" 0.406 96
"Jul 20 2017 01: +0" 0.406 115
"Jul 21 2017 01: +0" 0.427 97
"Jul 22 2017 01: +0" 0.418 72
"Jul 23 2017 01: +0" 0.34 101
"Jul 24 2017 01: +0" 0.344 69
"Jul 25 2017 01: +0" 0.368 78
"Jul 26 2017 01: +0" 0.404 67
"Jul 27 2017 01: +0" 0.413 49
"Jul 28 2017 01: +0" 0.423 75
"Jul 29 2017 01: +0" 0.421 52
"Jul 30 2017 01: +0" 0.414 63
"Jul 31 2017 01: +0" 0.411 66
"Aug 01 2017 01: +0" 0.436 54
"Aug 02 2017 01: +0" 0.435 73
"Aug 03 2017 01: +0" 0.451 68
"Aug 04 2017 01: +0" 0.446 169
"Aug 05 2017 01: +0" 0.432 94
"Aug 06 2017 01: +0" 0.43 67
"Aug 07 2017 01: +0" 0.432 64
"Aug 08 2017 01: +0" 0.454 63
"Aug 09 2017 01: +0" 0.443 52
"Aug 10 2017 01: +0" 0.455 54
"Aug 11 2017 01: +0" 0.458 62
"Aug 12 2017 01: +0" 0.451 58
"Aug 13 2017 01: +0" 0.423 58
"Aug 14 2017 01: +0" 0.438 62
"Aug 15 2017 01: +0" 0.453 38
"Aug 16 2017 01: +0" 0.454 38
"Aug 17 2017 01: +0" 0.457 50
"Aug 18 2017 01: +0" 0.449 40
"Aug 19 2017 01: +0" 0.466 46
"Aug 20 2017 01: +0" 0.455 63
"Aug 21 2017 01: +0" 0.463 52
"Aug 22 2017 01: +0" 0.438 50
"Aug 23 2017 01: +0" 0.471 43
"Aug 24 2017 01: +0" 0.451 49
"Aug 25 2017 01: +0" 0.451 79
"Aug 26 2017 01: +0" 0.459 74
"Aug 27 2017 01: +0" 0.468 62
"Aug 28 2017 01: +0" 0.485 34
"Aug 29 2017 01: +0" 0.499 46
"Aug 30 2017 01: +0" 0.501 49
"Aug 31 2017 01: +0" 0.469 26
"Sep 01 2017 01: +0" 0.475 42
"Sep 02 2017 01: +0" 0.473 44
"Sep 03 2017 01: +0" 0.494 48
"Sep 04 2017 01: +0" 0.545 36
"Sep 05 2017 01: +0" 0.523 23
"Sep 06 2017 01: +0" 0.523 36
"Sep 07 2017 01: +0" 0.496 27
"Sep 08 2017 01: +0" 0.548 34
"Sep 09 2017 01: +0" 0.563 41
"Sep 10 2017 01: +0" 0.589 56
"Sep 11 2017 01: +0" 0.579 44
"Sep 12 2017 01: +0" 0.59 21
"Sep 13 2017 01: +0" 0.511 19
"Sep 14 2017 01: +0" 0.552 22
"Sep 15 2017 01: +0" 0.572 38
"Sep 16 2017 01: +0" 0.588 59
"Sep 17 2017 01: +0" 0.554 70
"Sep 18 2017 01: +0" 0.586 45
"Sep 19 2017 01: +0" 0.573 36
"Sep 20 2017 01: +0" 0.574 19
"Sep 21 2017 01: +0" 0.539 49
"Sep 22 2017 01: +0" 0.509 43
"Sep 23 2017 01: +0" 0.566 56
"Sep 24 2017 01: +0" 0.594 62
"Sep 25 2017 01: +0" 0.608 42
"Sep 26 2017 01: +0" 0.631 44
"Sep 27 2017 01: +0" 0.589 35
"Sep 28 2017 01: +0" 0.57 29
"Sep 29 2017 01: +0" 0.611 25
"Sep 30 2017 01: +0" 0.604 45
"Oct 01 2017 01: +0" 0.583 47
"Oct 02 2017 01: +0" 0.535 35
"Oct 03 2017 01: +0" 0.504 52
"Oct 04 2017 01: +0" 0.527 27
"Oct 05 2017 01: +0" 0.524 40
"Oct 06 2017 01: +0" 0.534 60
"Oct 07 2017 01: +0" 0.523 69
"Oct 08 2017 01: +0" 0.486 49
"Oct 09 2017 01: +0" 0.512 50
"Oct 10 2017 01: +0" 0.515 50
"Oct 11 2017 01: +0" 0.551 53
"Oct 12 2017 01: +0" 0.554 38
"Oct 13 2017 01: +0" 0.566 49
"Oct 14 2017 01: +0" 0.56 62
"Oct 15 2017 01: +0" 0.56 57
"Oct 16 2017 01: +0" 0.552 29
"Oct 17 2017 01: +0" 0.513 37
"Oct 18 2017 01: +0" 0.563 33
"Oct 19 2017 01: +0" 0.559 24
"Oct 20 2017 01: +0" 0.553 44
"Oct 21 2017 01: +0" 0.56 43
"Oct 22 2017 01: +0" 0.566 58
"Oct 23 2017 01: +0" 0.563 40
"Oct 24 2017 01: +0" 0.566 23
"Oct 25 2017 01: +0" 0.587 34
"Oct 26 2017 01: +0" 0.574 13
"Oct 27 2017 01: +0" 0.57 21
"Oct 28 2017 01: +0" 0.567 33
"Oct 29 2017 01: +0" 0.546 32
"Oct 30 2017 01: +0" 0.529 40
"Oct 31 2017 01: +0" 0.542 36
"Nov 01 2017 01: +0" 0.542 18
"Nov 02 2017 01: +0" 0.517 26
"Nov 03 2017 01: +0" 0.546 31
"Nov 04 2017 01: +0" 0.539 54
"Nov 05 2017 01: +0" 0.573 34
"Nov 06 2017 01: +0" 0.59 35
"Nov 07 2017 01: +0" 0.589 11
"Nov 08 2017 01: +0" 0.536 16
"Nov 09 2017 01: +0" 0.553 17
"Nov 10 2017 01: +0" 0.576 34
"Nov 11 2017 01: +0" 0.572 28
"Nov 12 2017 01: +0" 0.567 29
"Nov 13 2017 01: +0" 0.534 19
"Nov 14 2017 01: +0" 0.502 16
"Nov 15 2017 01: +0" 0.533 8
"Nov 16 2017 01: +0" 0.53 30
"Nov 17 2017 01: +0" 0.563 18
"Nov 18 2017 01: +0" 0.58 43
"Nov 19 2017 01: +0" 0.603 40
"Nov 20 2017 01: +0" 0.554 25
"Nov 21 2017 01: +0" 0.572 18
"Nov 22 2017 01: +0" 0.584 31
"Nov 23 2017 01: +0" 0.556 24
"Nov 24 2017 01: +0" 0.524 37
"Nov 25 2017 01: +0" 0.555 27
"Nov 26 2017 01: +0" 0.551 18
"Nov 27 2017 01: +0" 0.544 22
"Nov 28 2017 01: +0" 0.529 9
"Nov 29 2017 01: +0" 0.566 16
"Nov 30 2017 01: +0" 0.562 69
"Dec 01 2017 01: +0" 0.595 14
"Dec 02 2017 01: +0" 0.641 21
"Dec 03 2017 01: +0" 0.623 21
"Dec 04 2017 01: +0" 0.601 17
"Dec 05 2017 01: +0" 0.618 23
"Dec 06 2017 01: +0" 0.622 28
"Dec 07 2017 01: +0" 0.606 12
"Dec 08 2017 01: +0" 0.598 42
"Dec 09 2017 01: +0" 0.582 33
"Dec 10 2017 01: +0" 0.547 10
"Dec 11 2017 01: +0" 0.595 22
"Dec 12 2017 01: +0" 0.543 12
"Dec 13 2017 01: +0" 0.601 15
"Dec 14 2017 01: +0" 0.603 24
"Dec 15 2017 01: +0" 0.613 17
"Dec 16 2017 01: +0" 0.592 23
