Dec 20 2017 01: +0,1.127,275
Dec 21 2017 01: +0,1.101,131
Dec 22 2017 01: +0,1.079,155
Dec 23 2017 01: +0,1.117,93
Dec 24 2017 01: +0,1.139,96
Dec 25 2017 01: +0,1.142,154
Dec 26 2017 01: +0,1.098,127
Dec 27 2017 01: +0,1.092,117
Dec 28 2017 01: +0,1.108,146
Dec 29 2017 01: +0,1.116,102
Dec 30 2017 01: +0,1.119,135
Dec 31 2017 01: +0,1.135,86
Jan 01 2018 01: +0,1.138,107
Jan 02 2018 01: +0,1.143,152
Jan 03 2018 01: +0,1.115,141
Jan 04 2018 01: +0,1.125,132
Jan 05 2018 01: +0,1.129,180
Jan 06 2018 01: +0,1.118,141
Jan 07 2018 01: +0,1.131,123
Jan 08 2018 01: +0,1.119,101
Jan 09 2018 01: +0,1.093,95
Jan 10 2018 01: +0,1.096,96
Jan 11 2018 01: +0,1.093,145
Jan 12 2018 01: +0,1.131,204
Jan 13 2018 01: +0,1.142,185
Jan 14 2018 01: +0,1.107,146
Jan 15 2018 01: +0,1.085,148
Jan 16 2018 01: +0,0.864,632
Jan 17 2018 01: +0,0.892,336
Jan 18 2018 01: +0,0.921,283
Jan 19 2018 01: +0,0.983,219
Jan 20 2018 01: +0,0.925,297
Jan 21 2018 01: +0,0.999,202
Jan 22 2018 01: +0,1.002,190
Jan 23 2018 01: +0,1.027,416
Jan 24 2018 01: +0,1.06,243
Jan 25 2018 01: +0,1.074,193
Jan 26 2018 01: +0,0.753,7444
Jan 27 2018 01: +0,0.286,8599
Jan 28 2018 01: +0,0.284,19934
Jan 29 2018 01: +0,0.268,12750
Jan 30 2018 01: +0,0.294,4297
Jan 31 2018 01: +0,0.293,2201
Feb 01 2018 01: +0,0.281,1951
Feb 02 2018 01: +0,0.292,1708
Feb 03 2018 01: +0,0.295,2007
Feb 04 2018 01: +0,0.287,1710
Feb 05 2018 01: +0,0.286,1621
Feb 06 2018 01: +0,0.282,1121
Feb 07 2018 01: +0,0.283,1224
Feb 08 2018 01: +0,0.283,1133
Feb 09 2018 01: +0,0.289,1275
Feb 10 2018 01: +0,0.289,1233
Feb 11 2018 01: +0,0.281,1157
Feb 12 2018 01: +0,0.274,1089
Feb 13 2018 01: +0,0.282,992
Feb 14 2018 01: +0,0.276,942
Feb 15 2018 01: +0,0.28,1024
Feb 16 2018 01: +0,0.276,1280
Feb 17 2018 01: +0,0.287,1363
Feb 18 2018 01: +0,0.282,1093
Feb 19 2018 01: +0,0.286,1245
Feb 20 2018 01: +0,0.294,963
Feb 21 2018 01: +0,0.289,1017
Feb 22 2018 01: +0,0.283,1215
Feb 23 2018 01: +0,0.285,1204
Feb 24 2018 01: +0,0.293,1211
Feb 25 2018 01: +0,0.293,1563
Feb 26 2018 01: +0,0.295,899
Feb 27 2018 01: +0,0.293,1026
Feb 28 2018 01: +0,0.311,909
Mar 01 2018 01: +0,0.31,885
Mar 02 2018 01: +0,0.313,1024
Mar 03 2018 01: +0,0.313,1158
Mar 04 2018 01: +0,0.318,1187
Mar 05 2018 01: +0,0.321,1047
Mar 06 2018 01: +0,0.328,965
