Dec 20 2017 01: +0,0.895,35
Dec 21 2017 01: +0,0.945,13
Dec 22 2017 01: +0,0.968,10
Dec 23 2017 01: +0,0.895,13
Dec 24 2017 01: +0,0.922,7
Dec 25 2017 01: +0,1.014,8
Dec 26 2017 01: +0,1.169,7
Dec 27 2017 01: +0,0.903,8
Dec 28 2017 01: +0,1.017,5
Dec 29 2017 01: +0,0.944,11
Dec 30 2017 01: +0,0.909,9
Dec 31 2017 01: +0,0.964,9
Jan 01 2018 01: +0,0.978,13
Jan 02 2018 01: +0,1.064,16
Jan 03 2018 01: +0,0.972,4
Jan 04 2018 01: +0,0.955,11
Jan 05 2018 01: +0,0.959,19
Jan 06 2018 01: +0,0.907,18
Jan 07 2018 01: +0,0.934,24
Jan 08 2018 01: +0,0.989,20
Jan 09 2018 01: +0,0.968,13
Jan 10 2018 01: +0,1.011,17
Jan 11 2018 01: +0,1.027,15
Jan 12 2018 01: +0,1.035,21
Jan 13 2018 01: +0,0.904,29
Jan 14 2018 01: +0,0.869,28
Jan 15 2018 01: +0,1.019,179
Jan 16 2018 01: +0,0.368,1447
Jan 17 2018 01: +0,0.216,694
Jan 18 2018 01: +0,0.218,476
Jan 19 2018 01: +0,0.233,420
Jan 20 2018 01: +0,0.257,319
Jan 21 2018 01: +0,0.257,292
Jan 22 2018 01: +0,0.248,277
Jan 23 2018 01: +0,0.239,420
Jan 24 2018 01: +0,0.245,289
Jan 25 2018 01: +0,0.241,269
Jan 26 2018 01: +0,0.243,449
Jan 27 2018 01: +0,0.238,479
Jan 28 2018 01: +0,0.231,530
Jan 29 2018 01: +0,0.236,492
Jan 30 2018 01: +0,0.248,332
Jan 31 2018 01: +0,0.233,222
Feb 01 2018 01: +0,0.226,178
Feb 02 2018 01: +0,0.223,174
Feb 03 2018 01: +0,0.215,260
Feb 04 2018 01: +0,0.213,205
Feb 05 2018 01: +0,0.213,180
Feb 06 2018 01: +0,0.204,177
Feb 07 2018 01: +0,0.204,153
Feb 08 2018 01: +0,0.208,136
Feb 09 2018 01: +0,0.211,171
Feb 10 2018 01: +0,0.209,183
Feb 11 2018 01: +0,0.203,160
Feb 12 2018 01: +0,0.203,162
Feb 13 2018 01: +0,0.202,136
Feb 14 2018 01: +0,0.21,139
Feb 15 2018 01: +0,0.214,145
Feb 16 2018 01: +0,0.213,223
Feb 17 2018 01: +0,0.219,217
Feb 18 2018 01: +0,0.211,201
Feb 19 2018 01: +0,0.211,234
Feb 20 2018 01: +0,0.214,124
Feb 21 2018 01: +0,0.214,192
Feb 22 2018 01: +0,0.213,136
Feb 23 2018 01: +0,0.221,164
Feb 24 2018 01: +0,0.245,136
Feb 25 2018 01: +0,0.239,168
Feb 26 2018 01: +0,0.228,162
Feb 27 2018 01: +0,0.232,129
Feb 28 2018 01: +0,0.234,116
Mar 01 2018 01: +0,0.239,126
Mar 02 2018 01: +0,0.243,120
Mar 03 2018 01: +0,0.245,129
Mar 04 2018 01: +0,0.232,110
Mar 05 2018 01: +0,0.25,99
Mar 06 2018 01: +0,0.241,94
Mar 07 2018 01: +0,0.247,101
Mar 08 2018 01: +0,0.262,81
Mar 09 2018 01: +0,0.26,107
Mar 10 2018 01: +0,0.258,93
Mar 11 2018 01: +0,0.262,99
Mar 12 2018 01: +0,0.26,88
Mar 13 2018 01: +0,0.257,58
Mar 14 2018 01: +0,0.261,59
Mar 15 2018 01: +0,0.257,71
Mar 16 2018 01: +0,0.264,82
Mar 17 2018 01: +0,0.266,74
Mar 18 2018 01: +0,0.263,76
Mar 19 2018 01: +0,0.258,54
Mar 20 2018 01: +0,0.272,68
Mar 21 2018 01: +0,0.283,50
Mar 22 2018 01: +0,0.282,49
Mar 23 2018 01: +0,0.264,56
Mar 24 2018 01: +0,0.283,59
Mar 25 2018 01: +0,0.284,68
Mar 26 2018 01: +0,0.291,46
Mar 27 2018 01: +0,0.303,60
Mar 28 2018 01: +0,0.286,46
Mar 29 2018 01: +0,0.31,71
Mar 30 2018 01: +0,0.26,174
Mar 31 2018 01: +0,0.258,83
Apr 01 2018 01: +0,0.278,74
Apr 02 2018 01: +0,0.27,43
Apr 03 2018 01: +0,0.286,87
Apr 04 2018 01: +0,0.295,47
Apr 05 2018 01: +0,0.289,62
Apr 06 2018 01: +0,0.307,46
Apr 07 2018 01: +0,0.313,44
Apr 08 2018 01: +0,0.292,44
Apr 09 2018 01: +0,0.298,45
Apr 10 2018 01: +0,0.297,53
Apr 11 2018 01: +0,0.304,33
Apr 12 2018 01: +0,0.308,43
Apr 13 2018 01: +0,0.308,43
Apr 14 2018 01: +0,0.305,71
Apr 15 2018 01: +0,0.308,46
Apr 16 2018 01: +0,0.309,54
Apr 17 2018 01: +0,0.3,40
Apr 18 2018 01: +0,0.315,55
Apr 19 2018 01: +0,0.301,44
Apr 20 2018 01: +0,0.313,41
Apr 21 2018 01: +0,0.307,49
Apr 22 2018 01: +0,0.313,52
Apr 23 2018 01: +0,0.317,49
Apr 24 2018 01: +0,0.305,57
Apr 25 2018 01: +0,0.309,42
Apr 26 2018 01: +0,0.303,54
Apr 27 2018 01: +0,0.309,49
Apr 28 2018 01: +0,0.309,66
Apr 29 2018 01: +0,0.307,62
Apr 30 2018 01: +0,0.301,43
May 01 2018 01: +0,0.307,54
May 02 2018 01: +0,0.303,49
May 03 2018 01: +0,0.298,47
May 04 2018 01: +0,0.3,51
May 05 2018 01: +0,0.296,51
May 06 2018 01: +0,0.29,60
May 07 2018 01: +0,0.287,37
May 08 2018 01: +0,0.294,54
May 09 2018 01: +0,0.281,45
May 10 2018 01: +0,0.291,45
May 11 2018 01: +0,0.294,62
May 12 2018 01: +0,0.286,42
May 13 2018 01: +0,0.285,49
May 14 2018 01: +0,0.282,34
May 15 2018 01: +0,0.286,40
May 16 2018 01: +0,0.295,40
May 17 2018 01: +0,0.283,60
May 18 2018 01: +0,0.291,37
May 19 2018 01: +0,0.297,45
May 20 2018 01: +0,0.286,48
May 21 2018 01: +0,0.275,39
May 22 2018 01: +0,0.302,45
May 23 2018 01: +0,0.297,52
May 24 2018 01: +0,0.302,36
May 25 2018 01: +0,0.302,31
May 26 2018 01: +0,0.281,42
May 27 2018 01: +0,0.284,103
May 28 2018 01: +0,0.288,55
May 29 2018 01: +0,0.29,39
May 30 2018 01: +0,0.297,25
May 31 2018 01: +0,0.296,24
Jun 01 2018 01: +0,0.287,39
Jun 02 2018 01: +0,0.283,39
Jun 03 2018 01: +0,0.29,54
Jun 04 2018 01: +0,0.279,28
Jun 05 2018 01: +0,0.287,31
Jun 06 2018 01: +0,0.29,47
Jun 07 2018 01: +0,0.293,34
Jun 08 2018 01: +0,0.298,45
Jun 09 2018 01: +0,0.258,63
Jun 10 2018 01: +0,0.261,34
Jun 11 2018 01: +0,0.259,50
Jun 12 2018 01: +0,0.266,31
Jun 13 2018 01: +0,0.271,52
Jun 14 2018 01: +0,0.286,51
Jun 15 2018 01: +0,0.291,31
Jun 16 2018 01: +0,0.301,30
Jun 17 2018 01: +0,0.294,27
Jun 18 2018 01: +0,0.265,36
Jun 19 2018 01: +0,0.263,47
Jun 20 2018 01: +0,0.272,29
Jun 21 2018 01: +0,0.258,35
Jun 22 2018 01: +0,0.244,45
Jun 23 2018 01: +0,0.248,40
Jun 24 2018 01: +0,0.25,73
Jun 25 2018 01: +0,0.258,16
Jun 26 2018 01: +0,0.257,32
Jun 27 2018 01: +0,0.279,31
Jun 28 2018 01: +0,0.283,31
Jun 29 2018 01: +0,0.246,25
Jun 30 2018 01: +0,0.27,40
Jul 01 2018 01: +0,0.281,28
Jul 02 2018 01: +0,0.281,36
Jul 03 2018 01: +0,0.286,34
Jul 04 2018 01: +0,0.277,29
Jul 05 2018 01: +0,0.266,33
Jul 06 2018 01: +0,0.29,51
Jul 07 2018 01: +0,0.29,29
Jul 08 2018 01: +0,0.293,47
Jul 09 2018 01: +0,0.308,35
Jul 10 2018 01: +0,0.298,25
Jul 11 2018 01: +0,0.31,31
Jul 12 2018 01: +0,0.31,29
Jul 13 2018 01: +0,0.297,32
Jul 14 2018 01: +0,0.286,30
Jul 15 2018 01: +0,0.296,43
Jul 16 2018 01: +0,0.296,29
Jul 17 2018 01: +0,0.304,41
Jul 18 2018 01: +0,0.309,24
Jul 19 2018 01: +0,0.311,30
Jul 20 2018 01: +0,0.3,26
Jul 21 2018 01: +0,0.307,36
Jul 22 2018 01: +0,0.301,25
Jul 23 2018 01: +0,0.309,28
Jul 24 2018 01: +0,0.308,35
Jul 25 2018 01: +0,0.31,43
Jul 26 2018 01: +0,0.313,23
