Dec 20 2017 01: +0,1.1,84
Dec 21 2017 01: +0,1.062,53
Dec 22 2017 01: +0,1.056,38
Dec 23 2017 01: +0,1.079,20
Dec 24 2017 01: +0,1.074,11
Dec 25 2017 01: +0,1.013,19
Dec 26 2017 01: +0,1.053,21
Dec 27 2017 01: +0,1.041,24
Dec 28 2017 01: +0,1.038,15
Dec 29 2017 01: +0,0.955,17
Dec 30 2017 01: +0,0.94,9
Dec 31 2017 01: +0,0.899,10
Jan 01 2018 01: +0,0.981,9
Jan 02 2018 01: +0,0.963,14
Jan 03 2018 01: +0,0.912,14
Jan 04 2018 01: +0,0.928,18
Jan 05 2018 01: +0,0.989,19
Jan 06 2018 01: +0,0.933,19
Jan 07 2018 01: +0,0.912,12
Jan 08 2018 01: +0,1.053,22
Jan 09 2018 01: +0,1.071,12
Jan 10 2018 01: +0,1.024,24
Jan 11 2018 01: +0,1.01,21
Jan 12 2018 01: +0,1.051,28
Jan 13 2018 01: +0,1.079,48
Jan 14 2018 01: +0,1.059,30
Jan 15 2018 01: +0,0.957,66
Jan 16 2018 01: +0,0.472,1138
Jan 17 2018 01: +0,0.262,532
Jan 18 2018 01: +0,0.262,379
Jan 19 2018 01: +0,0.313,289
Jan 20 2018 01: +0,0.289,238
Jan 21 2018 01: +0,0.314,370
Jan 22 2018 01: +0,0.284,193
Jan 23 2018 01: +0,0.261,280
Jan 24 2018 01: +0,0.297,289
Jan 25 2018 01: +0,0.296,210
Jan 26 2018 01: +0,0.28,425
Jan 27 2018 01: +0,0.27,478
Jan 28 2018 01: +0,0.276,745
Jan 29 2018 01: +0,0.272,705
Jan 30 2018 01: +0,0.351,998
Jan 31 2018 01: +0,0.342,377
Feb 01 2018 01: +0,0.309,235
Feb 02 2018 01: +0,0.334,2544
Feb 03 2018 01: +0,0.671,3086
Feb 04 2018 01: +0,0.543,611
Feb 05 2018 01: +0,0.449,457
Feb 06 2018 01: +0,0.41,321
Feb 07 2018 01: +0,0.42,219
Feb 08 2018 01: +0,0.338,152
Feb 09 2018 01: +0,0.317,225
Feb 10 2018 01: +0,0.321,159
Feb 11 2018 01: +0,0.306,163
Feb 12 2018 01: +0,0.292,195
Feb 13 2018 01: +0,0.288,375
Feb 14 2018 01: +0,0.465,1060
Feb 15 2018 01: +0,0.364,287
Feb 16 2018 01: +0,0.296,198
Feb 17 2018 01: +0,0.275,356
Feb 18 2018 01: +0,0.261,191
Feb 19 2018 01: +0,0.255,184
Feb 20 2018 01: +0,0.247,152
Feb 21 2018 01: +0,0.238,136
Feb 22 2018 01: +0,0.227,109
Feb 23 2018 01: +0,0.229,226
Feb 24 2018 01: +0,0.23,180
Feb 25 2018 01: +0,0.23,242
Feb 26 2018 01: +0,0.226,159
Feb 27 2018 01: +0,0.222,212
Feb 28 2018 01: +0,0.222,151
Mar 01 2018 01: +0,0.214,164
Mar 02 2018 01: +0,0.211,134
Mar 03 2018 01: +0,0.202,221
Mar 04 2018 01: +0,0.214,121
Mar 05 2018 01: +0,0.216,83
Mar 06 2018 01: +0,0.21,91
Mar 07 2018 01: +0,0.212,116
Mar 08 2018 01: +0,0.214,109
Mar 09 2018 01: +0,0.208,219
Mar 10 2018 01: +0,0.22,111
Mar 11 2018 01: +0,0.226,100
Mar 12 2018 01: +0,0.222,75
Mar 13 2018 01: +0,0.218,105
Mar 14 2018 01: +0,0.227,77
Mar 15 2018 01: +0,0.22,77
Mar 16 2018 01: +0,0.217,93
Mar 17 2018 01: +0,0.218,117
Mar 18 2018 01: +0,0.225,106
Mar 19 2018 01: +0,0.217,100
Mar 20 2018 01: +0,0.223,66
Mar 21 2018 01: +0,0.222,67
Mar 22 2018 01: +0,0.214,91
Mar 23 2018 01: +0,0.209,90
Mar 24 2018 01: +0,0.214,90
Mar 25 2018 01: +0,0.216,104
Mar 26 2018 01: +0,0.223,65
Mar 27 2018 01: +0,0.22,80
Mar 28 2018 01: +0,0.219,56
Mar 29 2018 01: +0,0.222,73
Mar 30 2018 01: +0,0.205,167
Mar 31 2018 01: +0,0.21,95
Apr 01 2018 01: +0,0.21,112
Apr 02 2018 01: +0,0.23,93
Apr 03 2018 01: +0,0.232,84
Apr 04 2018 01: +0,0.243,73
Apr 05 2018 01: +0,0.252,56
Apr 06 2018 01: +0,0.253,66
Apr 07 2018 01: +0,0.253,57
Apr 08 2018 01: +0,0.243,76
Apr 09 2018 01: +0,0.243,95
Apr 10 2018 01: +0,0.245,71
Apr 11 2018 01: +0,0.237,56
Apr 12 2018 01: +0,0.237,58
Apr 13 2018 01: +0,0.245,66
Apr 14 2018 01: +0,0.259,52
Apr 15 2018 01: +0,0.26,156
Apr 16 2018 01: +0,0.268,72
Apr 17 2018 01: +0,0.254,35
Apr 18 2018 01: +0,0.249,50
Apr 19 2018 01: +0,0.248,46
Apr 20 2018 01: +0,0.256,55
Apr 21 2018 01: +0,0.258,63
Apr 22 2018 01: +0,0.253,49
Apr 23 2018 01: +0,0.259,37
Apr 24 2018 01: +0,0.259,59
Apr 25 2018 01: +0,0.259,70
Apr 26 2018 01: +0,0.257,77
Apr 27 2018 01: +0,0.245,46
Apr 28 2018 01: +0,0.246,51
Apr 29 2018 01: +0,0.247,76
Apr 30 2018 01: +0,0.253,48
May 01 2018 01: +0,0.248,47
May 02 2018 01: +0,0.249,54
May 03 2018 01: +0,0.246,45
May 04 2018 01: +0,0.24,64
May 05 2018 01: +0,0.242,66
May 06 2018 01: +0,0.241,73
May 07 2018 01: +0,0.243,45
May 08 2018 01: +0,0.24,65
May 09 2018 01: +0,0.234,58
May 10 2018 01: +0,0.225,65
May 11 2018 01: +0,0.241,63
May 12 2018 01: +0,0.245,67
May 13 2018 01: +0,0.237,52
May 14 2018 01: +0,0.247,83
May 15 2018 01: +0,0.249,47
May 16 2018 01: +0,0.249,39
May 17 2018 01: +0,0.229,42
May 18 2018 01: +0,0.236,41
May 19 2018 01: +0,0.238,67
May 20 2018 01: +0,0.24,43
May 21 2018 01: +0,0.226,69
May 22 2018 01: +0,0.238,29
May 23 2018 01: +0,0.237,42
May 24 2018 01: +0,0.24,85
May 25 2018 01: +0,0.234,53
May 26 2018 01: +0,0.223,57
May 27 2018 01: +0,0.228,67
May 28 2018 01: +0,0.231,63
May 29 2018 01: +0,0.234,63
May 30 2018 01: +0,0.238,45
May 31 2018 01: +0,0.243,62
Jun 01 2018 01: +0,0.233,50
Jun 02 2018 01: +0,0.232,43
Jun 03 2018 01: +0,0.247,38
Jun 04 2018 01: +0,0.247,37
Jun 05 2018 01: +0,0.24,36
Jun 06 2018 01: +0,0.236,46
Jun 07 2018 01: +0,0.23,55
Jun 08 2018 01: +0,0.228,48
Jun 09 2018 01: +0,0.235,61
Jun 10 2018 01: +0,0.236,33
Jun 11 2018 01: +0,0.237,66
Jun 12 2018 01: +0,0.231,85
Jun 13 2018 01: +0,0.231,49
Jun 14 2018 01: +0,0.238,35
Jun 15 2018 01: +0,0.234,58
Jun 16 2018 01: +0,0.23,47
Jun 17 2018 01: +0,0.22,57
Jun 18 2018 01: +0,0.227,70
Jun 19 2018 01: +0,0.218,72
Jun 20 2018 01: +0,0.23,96
Jun 21 2018 01: +0,0.217,199
Jun 22 2018 01: +0,0.213,71
Jun 23 2018 01: +0,0.208,53
Jun 24 2018 01: +0,0.208,56
Jun 25 2018 01: +0,0.212,40
Jun 26 2018 01: +0,0.21,31
Jun 27 2018 01: +0,0.215,42
Jun 28 2018 01: +0,0.205,56
Jun 29 2018 01: +0,0.212,60
Jun 30 2018 01: +0,0.222,39
Jul 01 2018 01: +0,0.215,39
Jul 02 2018 01: +0,0.22,47
Jul 03 2018 01: +0,0.219,41
Jul 04 2018 01: +0,0.209,50
Jul 05 2018 01: +0,0.213,53
Jul 06 2018 01: +0,0.225,43
Jul 07 2018 01: +0,0.223,51
Jul 08 2018 01: +0,0.226,73
Jul 09 2018 01: +0,0.238,42
Jul 10 2018 01: +0,0.242,40
Jul 11 2018 01: +0,0.25,52
Jul 12 2018 01: +0,0.245,39
Jul 13 2018 01: +0,0.254,43
Jul 14 2018 01: +0,0.249,36
Jul 15 2018 01: +0,0.246,48
Jul 16 2018 01: +0,0.248,54
Jul 17 2018 01: +0,0.255,38
Jul 18 2018 01: +0,0.254,22
Jul 19 2018 01: +0,0.243,31
Jul 20 2018 01: +0,0.248,28
Jul 21 2018 01: +0,0.248,32
Jul 22 2018 01: +0,0.252,50
Jul 23 2018 01: +0,0.25,39
Jul 24 2018 01: +0,0.246,43
Jul 25 2018 01: +0,0.249,29
Jul 26 2018 01: +0,0.245,27
Jul 27 2018 01: +0,0.25,26
Jul 28 2018 01: +0,0.257,24
Jul 29 2018 01: +0,0.247,56
Jul 30 2018 01: +0,0.254,38
Jul 31 2018 01: +0,0.252,41
Aug 01 2018 01: +0,0.246,37
Aug 02 2018 01: +0,0.248,43
Aug 03 2018 01: +0,0.25,49
Aug 04 2018 01: +0,0.246,41
Aug 05 2018 01: +0,0.259,49
Aug 06 2018 01: +0,0.253,68
Aug 07 2018 01: +0,0.248,49
Aug 08 2018 01: +0,0.257,58
Aug 09 2018 01: +0,0.263,37
Aug 10 2018 01: +0,0.257,69
Aug 11 2018 01: +0,0.257,55
Aug 12 2018 01: +0,0.259,51
Aug 13 2018 01: +0,0.258,34
Aug 14 2018 01: +0,0.258,57
Aug 15 2018 01: +0,0.258,47
Aug 16 2018 01: +0,0.264,60
Aug 17 2018 01: +0,0.267,40
Aug 18 2018 01: +0,0.254,60
Aug 19 2018 01: +0,0.262,52
Aug 20 2018 01: +0,0.262,37
Aug 21 2018 01: +0,0.259,55
Aug 22 2018 01: +0,0.269,55
Aug 23 2018 01: +0,0.258,58
Aug 24 2018 01: +0,0.27,41
Aug 25 2018 01: +0,0.269,42
Aug 26 2018 01: +0,0.272,48
Aug 27 2018 01: +0,0.273,48
Aug 28 2018 01: +0,0.272,46
Aug 29 2018 01: +0,0.274,30
Aug 30 2018 01: +0,0.231,48
Aug 31 2018 01: +0,0.253,46
Sep 01 2018 01: +0,0.249,65
Sep 02 2018 01: +0,0.25,39
Sep 03 2018 01: +0,0.252,53
Sep 04 2018 01: +0,0.235,33
Sep 05 2018 01: +0,0.242,51
Sep 06 2018 01: +0,0.254,25
Sep 07 2018 01: +0,0.249,52
Sep 08 2018 01: +0,0.244,71
Sep 09 2018 01: +0,0.261,49
Sep 10 2018 01: +0,0.25,48
Sep 11 2018 01: +0,0.237,51
Sep 12 2018 01: +0,0.247,36
Sep 13 2018 01: +0,0.247,30
Sep 14 2018 01: +0,0.234,37
Sep 15 2018 01: +0,0.237,68
Sep 16 2018 01: +0,0.258,29
Sep 17 2018 01: +0,0.255,33
Sep 18 2018 01: +0,0.259,34
