"Dec 20 2017 01: +0" 1.163 65
"Dec 21 2017 01: +0" 1.104 36
"Dec 22 2017 01: +0" 1.065 24
"Dec 23 2017 01: +0" 1.058 13
"Dec 24 2017 01: +0" 1.064 20
"Dec 25 2017 01: +0" 1.105 21
"Dec 26 2017 01: +0" 1.118 27
"Dec 27 2017 01: +0" 1.047 17
"Dec 28 2017 01: +0" 1.033 19
"Dec 29 2017 01: +0" 0.983 20
"Dec 30 2017 01: +0" 1.001 16
"Dec 31 2017 01: +0" 0.996 9
"Jan 01 2018 01: +0" 1.079 7
"Jan 02 2018 01: +0" 1.051 12
"Jan 03 2018 01: +0" 0.942 15
"Jan 04 2018 01: +0" 1.021 20
"Jan 05 2018 01: +0" 1.034 15
"Jan 06 2018 01: +0" 0.914 24
"Jan 07 2018 01: +0" 1.011 20
"Jan 08 2018 01: +0" 1.003 11
"Jan 09 2018 01: +0" 1.063 20
"Jan 10 2018 01: +0" 1.06 27
"Jan 11 2018 01: +0" 1.064 26
"Jan 12 2018 01: +0" 1.133 46
"Jan 13 2018 01: +0" 1.015 26
"Jan 14 2018 01: +0" 1.029 36
"Jan 15 2018 01: +0" 1.056 37
"Jan 16 2018 01: +0" 0.468 1320
"Jan 17 2018 01: +0" 0.242 552
"Jan 18 2018 01: +0" 0.251 399
"Jan 19 2018 01: +0" 0.271 367
"Jan 20 2018 01: +0" 0.278 335
"Jan 21 2018 01: +0" 0.279 246
"Jan 22 2018 01: +0" 0.289 210
"Jan 23 2018 01: +0" 0.26 337
"Jan 24 2018 01: +0" 0.256 224
"Jan 25 2018 01: +0" 0.27 212
"Jan 26 2018 01: +0" 0.267 447
"Jan 27 2018 01: +0" 0.26 493
"Jan 28 2018 01: +0" 0.272 600
"Jan 29 2018 01: +0" 0.264 656
"Jan 30 2018 01: +0" 0.26 369
"Jan 31 2018 01: +0" 0.258 237
"Feb 01 2018 01: +0" 0.234 178
"Feb 02 2018 01: +0" 0.23 178
"Feb 03 2018 01: +0" 0.23 210
"Feb 04 2018 01: +0" 0.226 297
"Feb 05 2018 01: +0" 0.224 202
"Feb 06 2018 01: +0" 0.215 128
"Feb 07 2018 01: +0" 0.204 153
"Feb 08 2018 01: +0" 0.199 145
"Feb 09 2018 01: +0" 0.205 114
"Feb 10 2018 01: +0" 0.215 178
"Feb 11 2018 01: +0" 0.21 163
"Feb 12 2018 01: +0" 0.199 221
"Feb 13 2018 01: +0" 0.203 126
"Feb 14 2018 01: +0" 0.204 113
"Feb 15 2018 01: +0" 0.206 147
"Feb 16 2018 01: +0" 0.206 219
"Feb 17 2018 01: +0" 0.213 196
"Feb 18 2018 01: +0" 0.206 190
"Feb 19 2018 01: +0" 0.204 168
"Feb 20 2018 01: +0" 0.204 175
"Feb 21 2018 01: +0" 0.205 184
"Feb 22 2018 01: +0" 0.202 221
"Feb 23 2018 01: +0" 0.2 206
"Feb 24 2018 01: +0" 0.214 237
"Feb 25 2018 01: +0" 0.229 137
"Feb 26 2018 01: +0" 0.227 152
