Dec 20 2017 01: +0,1.047,113
Dec 21 2017 01: +0,1.072,49
Dec 22 2017 01: +0,1.039,37
Dec 23 2017 01: +0,1.042,24
Dec 24 2017 01: +0,1.078,28
Dec 25 2017 01: +0,1.103,23
Dec 26 2017 01: +0,1.09,20
Dec 27 2017 01: +0,1.02,28
Dec 28 2017 01: +0,1.074,20
Dec 29 2017 01: +0,1.073,22
Dec 30 2017 01: +0,1.056,22
Dec 31 2017 01: +0,1.101,13
Jan 01 2018 01: +0,1.037,17
Jan 02 2018 01: +0,1.123,19
Jan 03 2018 01: +0,1.02,29
Jan 04 2018 01: +0,1.025,21
Jan 05 2018 01: +0,1.079,38
Jan 06 2018 01: +0,1.016,31
Jan 07 2018 01: +0,1.073,22
Jan 08 2018 01: +0,1.066,13
Jan 09 2018 01: +0,1.049,20
Jan 10 2018 01: +0,1.039,31
Jan 11 2018 01: +0,1.012,34
Jan 12 2018 01: +0,1.103,64
Jan 13 2018 01: +0,1.142,117
Jan 14 2018 01: +0,1.064,76
Jan 15 2018 01: +0,0.945,67
Jan 16 2018 01: +0,0.562,524
Jan 17 2018 01: +0,0.345,259
Jan 18 2018 01: +0,0.41,166
Jan 19 2018 01: +0,0.432,171
Jan 20 2018 01: +0,0.406,201
Jan 21 2018 01: +0,0.417,168
Jan 22 2018 01: +0,0.397,124
Jan 23 2018 01: +0,0.403,193
Jan 24 2018 01: +0,0.39,150
Jan 25 2018 01: +0,0.415,107
Jan 26 2018 01: +0,0.355,389
Jan 27 2018 01: +0,0.287,756
Jan 28 2018 01: +0,0.285,829
Jan 29 2018 01: +0,0.273,664
Jan 30 2018 01: +0,0.281,345
Jan 31 2018 01: +0,0.286,218
Feb 01 2018 01: +0,0.292,225
Feb 02 2018 01: +0,0.29,145
Feb 03 2018 01: +0,0.291,213
Feb 04 2018 01: +0,0.279,162
Feb 05 2018 01: +0,0.289,110
Feb 06 2018 01: +0,0.281,129
Feb 07 2018 01: +0,0.277,84
Feb 08 2018 01: +0,0.268,104
Feb 09 2018 01: +0,0.273,117
Feb 10 2018 01: +0,0.276,121
Feb 11 2018 01: +0,0.259,122
Feb 12 2018 01: +0,0.261,81
Feb 13 2018 01: +0,0.263,120
Feb 14 2018 01: +0,0.249,144
Feb 15 2018 01: +0,0.242,183
Feb 16 2018 01: +0,0.224,163
Feb 17 2018 01: +0,0.234,167
Feb 18 2018 01: +0,0.225,147
Feb 19 2018 01: +0,0.222,159
Feb 20 2018 01: +0,0.221,153
Feb 21 2018 01: +0,0.231,126
Feb 22 2018 01: +0,0.236,151
Feb 23 2018 01: +0,0.23,128
Feb 24 2018 01: +0,0.24,173
Feb 25 2018 01: +0,0.244,121
Feb 26 2018 01: +0,0.231,101
Feb 27 2018 01: +0,0.234,98
Feb 28 2018 01: +0,0.231,147
Mar 01 2018 01: +0,0.227,125
Mar 02 2018 01: +0,0.231,154
Mar 03 2018 01: +0,0.23,134
Mar 04 2018 01: +0,0.238,135
Mar 05 2018 01: +0,0.242,84
Mar 06 2018 01: +0,0.243,121
Mar 07 2018 01: +0,0.235,93
Mar 08 2018 01: +0,0.227,262
Mar 09 2018 01: +0,0.223,161
Mar 10 2018 01: +0,0.231,137
Mar 11 2018 01: +0,0.244,140
Mar 12 2018 01: +0,0.245,108
Mar 13 2018 01: +0,0.242,84
Mar 14 2018 01: +0,0.24,80
Mar 15 2018 01: +0,0.251,88
Mar 16 2018 01: +0,0.255,83
Mar 17 2018 01: +0,0.254,110
Mar 18 2018 01: +0,0.263,90
Mar 19 2018 01: +0,0.255,59
Mar 20 2018 01: +0,0.265,57
Mar 21 2018 01: +0,0.278,61
Mar 22 2018 01: +0,0.269,63
Mar 23 2018 01: +0,0.266,80
Mar 24 2018 01: +0,0.28,67
Mar 25 2018 01: +0,0.272,81
Mar 26 2018 01: +0,0.286,106
Mar 27 2018 01: +0,0.291,99
Mar 28 2018 01: +0,0.291,62
Mar 29 2018 01: +0,0.286,62
Mar 30 2018 01: +0,0.243,141
Mar 31 2018 01: +0,0.258,88
Apr 01 2018 01: +0,0.275,97
Apr 02 2018 01: +0,0.292,109
Apr 03 2018 01: +0,0.301,83
Apr 04 2018 01: +0,0.31,54
Apr 05 2018 01: +0,0.319,58
Apr 06 2018 01: +0,0.329,72
Apr 07 2018 01: +0,0.328,64
Apr 08 2018 01: +0,0.318,40
Apr 09 2018 01: +0,0.319,62
Apr 10 2018 01: +0,0.305,52
Apr 11 2018 01: +0,0.3,28
Apr 12 2018 01: +0,0.314,42
Apr 13 2018 01: +0,0.311,51
Apr 14 2018 01: +0,0.301,60
Apr 15 2018 01: +0,0.31,55
Apr 16 2018 01: +0,0.315,54
Apr 17 2018 01: +0,0.311,53
Apr 18 2018 01: +0,0.308,44
Apr 19 2018 01: +0,0.311,45
Apr 20 2018 01: +0,0.312,42
Apr 21 2018 01: +0,0.301,75
Apr 22 2018 01: +0,0.303,56
Apr 23 2018 01: +0,0.312,48
Apr 24 2018 01: +0,0.313,40
Apr 25 2018 01: +0,0.291,42
Apr 26 2018 01: +0,0.306,71
Apr 27 2018 01: +0,0.31,52
Apr 28 2018 01: +0,0.3,54
Apr 29 2018 01: +0,0.291,68
Apr 30 2018 01: +0,0.292,59
May 01 2018 01: +0,0.297,71
May 02 2018 01: +0,0.304,65
May 03 2018 01: +0,0.294,26
May 04 2018 01: +0,0.29,82
May 05 2018 01: +0,0.288,69
May 06 2018 01: +0,0.287,73
May 07 2018 01: +0,0.292,31
May 08 2018 01: +0,0.284,89
May 09 2018 01: +0,0.271,52
May 10 2018 01: +0,0.277,72
May 11 2018 01: +0,0.294,54
May 12 2018 01: +0,0.296,58
May 13 2018 01: +0,0.287,57
May 14 2018 01: +0,0.294,37
May 15 2018 01: +0,0.298,56
May 16 2018 01: +0,0.294,36
May 17 2018 01: +0,0.287,55
May 18 2018 01: +0,0.291,48
May 19 2018 01: +0,0.295,42
May 20 2018 01: +0,0.298,25
May 21 2018 01: +0,0.292,29
May 22 2018 01: +0,0.29,41
May 23 2018 01: +0,0.299,30
May 24 2018 01: +0,0.298,166
May 25 2018 01: +0,0.3,40
May 26 2018 01: +0,0.285,31
May 27 2018 01: +0,0.29,53
May 28 2018 01: +0,0.293,73
May 29 2018 01: +0,0.295,22
May 30 2018 01: +0,0.294,49
May 31 2018 01: +0,0.284,47
Jun 01 2018 01: +0,0.292,62
Jun 02 2018 01: +0,0.293,54
Jun 03 2018 01: +0,0.293,37
Jun 04 2018 01: +0,0.28,32
Jun 05 2018 01: +0,0.297,38
Jun 06 2018 01: +0,0.292,28
Jun 07 2018 01: +0,0.294,55
Jun 08 2018 01: +0,0.289,32
Jun 09 2018 01: +0,0.252,60
Jun 10 2018 01: +0,0.266,38
Jun 11 2018 01: +0,0.271,43
Jun 12 2018 01: +0,0.285,54
Jun 13 2018 01: +0,0.277,39
Jun 14 2018 01: +0,0.284,31
Jun 15 2018 01: +0,0.273,27
Jun 16 2018 01: +0,0.289,69
Jun 17 2018 01: +0,0.29,30
Jun 18 2018 01: +0,0.284,23
Jun 19 2018 01: +0,0.289,39
Jun 20 2018 01: +0,0.298,43
Jun 21 2018 01: +0,0.279,39
Jun 22 2018 01: +0,0.255,38
Jun 23 2018 01: +0,0.25,39
Jun 24 2018 01: +0,0.257,37
Jun 25 2018 01: +0,0.26,30
Jun 26 2018 01: +0,0.259,22
Jun 27 2018 01: +0,0.264,29
Jun 28 2018 01: +0,0.26,41
Jun 29 2018 01: +0,0.273,31
Jun 30 2018 01: +0,0.279,39
Jul 01 2018 01: +0,0.275,41
Jul 02 2018 01: +0,0.285,56
Jul 03 2018 01: +0,0.29,48
Jul 04 2018 01: +0,0.295,49
Jul 05 2018 01: +0,0.278,19
Jul 06 2018 01: +0,0.285,34
Jul 07 2018 01: +0,0.3,11
Jul 08 2018 01: +0,0.302,46
Jul 09 2018 01: +0,0.298,33
Jul 10 2018 01: +0,0.303,29
Jul 11 2018 01: +0,0.3,39
Jul 12 2018 01: +0,0.303,18
Jul 13 2018 01: +0,0.301,39
Jul 14 2018 01: +0,0.304,43
Jul 15 2018 01: +0,0.295,41
Jul 16 2018 01: +0,0.3,38
Jul 17 2018 01: +0,0.294,24
Jul 18 2018 01: +0,0.3,36
Jul 19 2018 01: +0,0.298,51
Jul 20 2018 01: +0,0.305,33
