Dec 20 2017 01: +0,1.087,55
Dec 21 2017 01: +0,1.088,49
Dec 22 2017 01: +0,1.085,35
Dec 23 2017 01: +0,1.061,18
Dec 24 2017 01: +0,1.023,12
Dec 25 2017 01: +0,1.088,25
Dec 26 2017 01: +0,0.987,13
Dec 27 2017 01: +0,1.007,17
Dec 28 2017 01: +0,1.04,20
Dec 29 2017 01: +0,0.999,12
Dec 30 2017 01: +0,1.034,22
Dec 31 2017 01: +0,1.009,10
Jan 01 2018 01: +0,1.049,5
Jan 02 2018 01: +0,1.053,19
Jan 03 2018 01: +0,0.991,26
Jan 04 2018 01: +0,1.013,15
Jan 05 2018 01: +0,1.078,25
Jan 06 2018 01: +0,1.02,19
Jan 07 2018 01: +0,1.111,24
Jan 08 2018 01: +0,1.063,13
Jan 09 2018 01: +0,1.083,16
Jan 10 2018 01: +0,1.061,24
Jan 11 2018 01: +0,1.045,31
Jan 12 2018 01: +0,1.027,37
Jan 13 2018 01: +0,1.049,22
Jan 14 2018 01: +0,0.956,16
Jan 15 2018 01: +0,0.916,18
Jan 16 2018 01: +0,0.442,959
Jan 17 2018 01: +0,0.332,383
Jan 18 2018 01: +0,0.341,332
Jan 19 2018 01: +0,0.397,282
Jan 20 2018 01: +0,0.361,180
Jan 21 2018 01: +0,0.351,204
Jan 22 2018 01: +0,0.334,225
Jan 23 2018 01: +0,0.231,1348
Jan 24 2018 01: +0,0.221,617
Jan 25 2018 01: +0,0.237,496
Jan 26 2018 01: +0,0.228,874
Jan 27 2018 01: +0,0.244,858
Jan 28 2018 01: +0,0.249,955
Jan 29 2018 01: +0,0.241,972
Jan 30 2018 01: +0,0.238,671
Jan 31 2018 01: +0,0.234,340
Feb 01 2018 01: +0,0.231,306
Feb 02 2018 01: +0,0.227,261
Feb 03 2018 01: +0,0.221,302
Feb 04 2018 01: +0,0.219,284
Feb 05 2018 01: +0,0.218,242
Feb 06 2018 01: +0,0.222,226
Feb 07 2018 01: +0,0.222,214
Feb 08 2018 01: +0,0.218,233
Feb 09 2018 01: +0,0.224,251
Feb 10 2018 01: +0,0.224,237
Feb 11 2018 01: +0,0.225,263
Feb 12 2018 01: +0,0.229,362
Feb 13 2018 01: +0,0.233,240
Feb 14 2018 01: +0,0.224,174
Feb 15 2018 01: +0,0.221,165
Feb 16 2018 01: +0,0.215,248
Feb 17 2018 01: +0,0.216,295
Feb 18 2018 01: +0,0.216,261
