Dec 20 2017 01: +0,1.073,38
Dec 21 2017 01: +0,1.085,28
Dec 22 2017 01: +0,1.119,24
Dec 23 2017 01: +0,1.045,10
Dec 24 2017 01: +0,1.107,13
Dec 25 2017 01: +0,1.115,18
Dec 26 2017 01: +0,1.1,12
Dec 27 2017 01: +0,1.08,20
Dec 28 2017 01: +0,1.072,18
Dec 29 2017 01: +0,1.054,10
Dec 30 2017 01: +0,1.093,29
Dec 31 2017 01: +0,1.122,14
Jan 01 2018 01: +0,1.187,12
Jan 02 2018 01: +0,1.108,19
Jan 03 2018 01: +0,1.097,22
Jan 04 2018 01: +0,1.101,12
Jan 05 2018 01: +0,1.107,48
Jan 06 2018 01: +0,1.058,44
Jan 07 2018 01: +0,1.08,20
Jan 08 2018 01: +0,1.109,19
Jan 09 2018 01: +0,1.115,21
Jan 10 2018 01: +0,1.099,29
Jan 11 2018 01: +0,1.103,35
Jan 12 2018 01: +0,1.108,56
Jan 13 2018 01: +0,1.109,43
Jan 14 2018 01: +0,1.031,27
Jan 15 2018 01: +0,0.96,28
Jan 16 2018 01: +0,0.492,846
Jan 17 2018 01: +0,0.329,377
Jan 18 2018 01: +0,0.338,335
Jan 19 2018 01: +0,0.382,320
Jan 20 2018 01: +0,0.408,180
Jan 21 2018 01: +0,0.381,176
Jan 22 2018 01: +0,0.385,181
Jan 23 2018 01: +0,0.262,1594
Jan 24 2018 01: +0,0.22,949
Jan 25 2018 01: +0,0.233,607
Jan 26 2018 01: +0,0.232,1114
Jan 27 2018 01: +0,0.215,1309
Jan 28 2018 01: +0,0.219,1394
Jan 29 2018 01: +0,0.201,1610
Jan 30 2018 01: +0,0.204,965
Jan 31 2018 01: +0,0.184,601
Feb 01 2018 01: +0,0.183,526
Feb 02 2018 01: +0,0.183,382
Feb 03 2018 01: +0,0.183,558
Feb 04 2018 01: +0,0.18,405
Feb 05 2018 01: +0,0.181,369
Feb 06 2018 01: +0,0.169,359
Feb 07 2018 01: +0,0.163,346
Feb 08 2018 01: +0,0.164,284
Feb 09 2018 01: +0,0.173,289
Feb 10 2018 01: +0,0.163,314
Feb 11 2018 01: +0,0.159,347
Feb 12 2018 01: +0,0.161,352
Feb 13 2018 01: +0,0.164,350
Feb 14 2018 01: +0,0.168,223
Feb 15 2018 01: +0,0.162,259
Feb 16 2018 01: +0,0.15,423
Feb 17 2018 01: +0,0.155,495
Feb 18 2018 01: +0,0.161,409
Feb 19 2018 01: +0,0.163,348
Feb 20 2018 01: +0,0.172,341
Feb 21 2018 01: +0,0.169,456
Feb 22 2018 01: +0,0.168,466
Feb 23 2018 01: +0,0.178,473
Feb 24 2018 01: +0,0.191,527
Feb 25 2018 01: +0,0.204,387
Feb 26 2018 01: +0,0.211,300
Feb 27 2018 01: +0,0.214,225
Feb 28 2018 01: +0,0.216,222
Mar 01 2018 01: +0,0.209,271
Mar 02 2018 01: +0,0.208,255
Mar 03 2018 01: +0,0.215,261
Mar 04 2018 01: +0,0.22,260
Mar 05 2018 01: +0,0.217,196
Mar 06 2018 01: +0,0.212,170
Mar 07 2018 01: +0,0.218,162
Mar 08 2018 01: +0,0.233,165
Mar 09 2018 01: +0,0.218,184
Mar 10 2018 01: +0,0.204,277
Mar 11 2018 01: +0,0.207,251
Mar 12 2018 01: +0,0.234,139
Mar 13 2018 01: +0,0.224,187
Mar 14 2018 01: +0,0.231,148
Mar 15 2018 01: +0,0.234,153
Mar 16 2018 01: +0,0.23,130
Mar 17 2018 01: +0,0.241,152
Mar 18 2018 01: +0,0.235,177
Mar 19 2018 01: +0,0.235,125
Mar 20 2018 01: +0,0.235,120
Mar 21 2018 01: +0,0.236,170
Mar 22 2018 01: +0,0.233,149
Mar 23 2018 01: +0,0.242,115
Mar 24 2018 01: +0,0.244,155
Mar 25 2018 01: +0,0.25,175
Mar 26 2018 01: +0,0.248,165
Mar 27 2018 01: +0,0.246,155
Mar 28 2018 01: +0,0.24,118
Mar 29 2018 01: +0,0.245,167
Mar 30 2018 01: +0,0.222,212
Mar 31 2018 01: +0,0.238,119
Apr 01 2018 01: +0,0.249,146
Apr 02 2018 01: +0,0.264,112
Apr 03 2018 01: +0,0.267,122
Apr 04 2018 01: +0,0.273,95
Apr 05 2018 01: +0,0.278,96
Apr 06 2018 01: +0,0.272,93
Apr 07 2018 01: +0,0.277,122
Apr 08 2018 01: +0,0.275,78
Apr 09 2018 01: +0,0.287,74
Apr 10 2018 01: +0,0.28,91
Apr 11 2018 01: +0,0.28,75
Apr 12 2018 01: +0,0.291,79
Apr 13 2018 01: +0,0.291,93
Apr 14 2018 01: +0,0.304,114
Apr 15 2018 01: +0,0.291,79
Apr 16 2018 01: +0,0.291,102
Apr 17 2018 01: +0,0.293,70
Apr 18 2018 01: +0,0.294,87
Apr 19 2018 01: +0,0.29,79
Apr 20 2018 01: +0,0.284,100
Apr 21 2018 01: +0,0.292,98
Apr 22 2018 01: +0,0.293,114
Apr 23 2018 01: +0,0.291,73
Apr 24 2018 01: +0,0.29,62
Apr 25 2018 01: +0,0.279,80
Apr 26 2018 01: +0,0.275,100
Apr 27 2018 01: +0,0.277,105
Apr 28 2018 01: +0,0.282,101
Apr 29 2018 01: +0,0.297,104
Apr 30 2018 01: +0,0.298,69
May 01 2018 01: +0,0.28,73
May 02 2018 01: +0,0.286,94
May 03 2018 01: +0,0.288,66
May 04 2018 01: +0,0.286,115
May 05 2018 01: +0,0.288,83
May 06 2018 01: +0,0.289,92
May 07 2018 01: +0,0.276,57
May 08 2018 01: +0,0.278,98
May 09 2018 01: +0,0.258,135
May 10 2018 01: +0,0.256,90
May 11 2018 01: +0,0.268,96
May 12 2018 01: +0,0.257,61
May 13 2018 01: +0,0.246,93
May 14 2018 01: +0,0.265,68
