Oct 21 2015 01: +0,1.172,295
Oct 22 2015 01: +0,1.147,163
Oct 23 2015 01: +0,1.137,155
Oct 24 2015 01: +0,1.129,159
Oct 25 2015 01: +0,1.121,136
Oct 26 2015 01: +0,1.121,154
Oct 27 2015 01: +0,1.121,170
Oct 28 2015 01: +0,1.136,278
Oct 29 2015 01: +0,0.835,356
Oct 30 2015 01: +0,0.419,3724
Oct 31 2015 01: +0,0.252,4335
Nov 01 2015 01: +0,0.268,5063
Nov 02 2015 01: +0,0.245,2091
Nov 03 2015 01: +0,0.25,1683
Nov 04 2015 01: +0,0.222,1449
Nov 05 2015 01: +0,0.223,1256
Nov 06 2015 01: +0,0.22,1236
Nov 07 2015 01: +0,0.229,1426
Nov 08 2015 01: +0,0.226,1154
Nov 09 2015 01: +0,0.218,886
Nov 10 2015 01: +0,0.222,1030
Nov 11 2015 01: +0,0.229,867
Nov 12 2015 01: +0,0.245,1722
Nov 13 2015 01: +0,0.256,684
Nov 14 2015 01: +0,0.259,762
Nov 15 2015 01: +0,0.253,827
Nov 16 2015 01: +0,0.255,866
Nov 17 2015 01: +0,0.248,561
Nov 18 2015 01: +0,0.245,680
Nov 19 2015 01: +0,0.254,576
Nov 20 2015 01: +0,0.264,597
Nov 21 2015 01: +0,0.269,809
Nov 22 2015 01: +0,0.256,584
Nov 23 2015 01: +0,0.256,576
Nov 24 2015 01: +0,0.266,660
Nov 25 2015 01: +0,0.264,605
Nov 26 2015 01: +0,0.25,611
Nov 27 2015 01: +0,0.249,614
Nov 28 2015 01: +0,0.246,688
Nov 29 2015 01: +0,0.244,646
Nov 30 2015 01: +0,0.246,720
Dec 01 2015 01: +0,0.242,504
Dec 02 2015 01: +0,0.245,739
Dec 03 2015 01: +0,0.251,523
Dec 04 2015 01: +0,0.247,637
Dec 05 2015 01: +0,0.262,699
Dec 06 2015 01: +0,0.271,1257
Dec 07 2015 01: +0,0.278,631
Dec 08 2015 01: +0,0.321,406
Dec 09 2015 01: +0,0.307,465
Dec 10 2015 01: +0,0.311,560
Dec 11 2015 01: +0,0.319,552
Dec 12 2015 01: +0,0.358,561
Dec 13 2015 01: +0,0.377,467
Dec 14 2015 01: +0,0.383,332
Dec 15 2015 01: +0,0.391,385
Dec 16 2015 01: +0,0.389,288
Dec 17 2015 01: +0,0.413,330
Dec 18 2015 01: +0,0.402,325
Dec 19 2015 01: +0,0.384,440
Dec 20 2015 01: +0,0.392,370
Dec 21 2015 01: +0,0.417,371
Dec 22 2015 01: +0,0.4,345
Dec 23 2015 01: +0,0.364,398
Dec 24 2015 01: +0,0.368,498
Dec 25 2015 01: +0,0.401,424
Dec 26 2015 01: +0,0.396,427
Dec 27 2015 01: +0,0.417,342
Dec 28 2015 01: +0,0.484,400
Dec 29 2015 01: +0,0.505,345
Dec 30 2015 01: +0,0.51,787
Dec 31 2015 01: +0,0.502,302
Jan 01 2016 01: +0,0.506,382
Jan 02 2016 01: +0,0.491,416
Jan 03 2016 01: +0,0.498,334
Jan 04 2016 01: +0,0.452,334
Jan 05 2016 01: +0,0.524,282
Jan 06 2016 01: +0,0.535,457
Jan 07 2016 01: +0,0.67,605
Jan 08 2016 01: +0,0.742,274
Jan 09 2016 01: +0,0.802,515
Jan 10 2016 01: +0,0.872,253
Jan 11 2016 01: +0,0.883,203
Jan 12 2016 01: +0,0.846,181
Jan 13 2016 01: +0,0.792,243
Jan 14 2016 01: +0,0.901,628
Jan 15 2016 01: +0,0.909,433
Jan 16 2016 01: +0,1.069,356
Jan 17 2016 01: +0,1.012,304
Jan 18 2016 01: +0,0.936,276
Jan 19 2016 01: +0,0.913,249
Jan 20 2016 01: +0,0.941,163
Jan 21 2016 01: +0,0.888,187
Jan 22 2016 01: +0,0.832,192
Jan 23 2016 01: +0,0.808,216
Jan 24 2016 01: +0,0.808,185
Jan 25 2016 01: +0,0.801,197
Jan 26 2016 01: +0,0.804,171
Jan 27 2016 01: +0,0.734,156
Jan 28 2016 01: +0,0.69,216
Jan 29 2016 01: +0,0.63,349
Jan 30 2016 01: +0,0.64,449
Jan 31 2016 01: +0,0.813,171
Feb 01 2016 01: +0,0.742,161
Feb 02 2016 01: +0,0.702,324
Feb 03 2016 01: +0,0.76,164
Feb 04 2016 01: +0,0.732,195
Feb 05 2016 01: +0,0.706,192
Feb 06 2016 01: +0,0.693,245
Feb 07 2016 01: +0,0.616,222
Feb 08 2016 01: +0,0.587,207
Feb 09 2016 01: +0,0.565,185
Feb 10 2016 01: +0,0.574,229
Feb 11 2016 01: +0,0.602,226
Feb 12 2016 01: +0,0.626,202
Feb 13 2016 01: +0,0.697,228
Feb 14 2016 01: +0,0.71,231
Feb 15 2016 01: +0,0.745,167
Feb 16 2016 01: +0,0.727,170
Feb 17 2016 01: +0,0.767,305
Feb 18 2016 01: +0,0.551,514
Feb 19 2016 01: +0,0.653,283
Feb 20 2016 01: +0,0.724,259
Feb 21 2016 01: +0,0.706,212
Feb 22 2016 01: +0,0.71,154
Feb 23 2016 01: +0,0.678,196
Feb 24 2016 01: +0,0.621,199
Feb 25 2016 01: +0,0.624,182
Feb 26 2016 01: +0,0.596,222
Feb 27 2016 01: +0,0.662,390
Feb 28 2016 01: +0,0.693,158
Feb 29 2016 01: +0,0.662,198
Mar 01 2016 01: +0,0.673,220
Mar 02 2016 01: +0,0.672,158
Mar 03 2016 01: +0,0.652,188
Mar 04 2016 01: +0,0.665,229
Mar 05 2016 01: +0,0.659,260
Mar 06 2016 01: +0,0.614,241
Mar 07 2016 01: +0,0.561,198
Mar 08 2016 01: +0,0.507,274
Mar 09 2016 01: +0,0.485,244
Mar 10 2016 01: +0,0.502,249
Mar 11 2016 01: +0,0.528,230
Mar 12 2016 01: +0,0.545,317
Mar 13 2016 01: +0,0.574,241
Mar 14 2016 01: +0,0.636,512
Mar 15 2016 01: +0,0.637,125
Mar 16 2016 01: +0,0.598,214
Mar 17 2016 01: +0,0.509,285
Mar 18 2016 01: +0,0.443,552
Mar 19 2016 01: +0,0.498,204
Mar 20 2016 01: +0,0.491,216
Mar 21 2016 01: +0,0.497,173
Mar 22 2016 01: +0,0.484,151
Mar 23 2016 01: +0,0.5,158
Mar 24 2016 01: +0,0.493,160
Mar 25 2016 01: +0,0.533,120
Mar 26 2016 01: +0,0.578,213
Mar 27 2016 01: +0,0.553,146
Mar 28 2016 01: +0,0.527,160
Mar 29 2016 01: +0,0.504,168
Mar 30 2016 01: +0,0.471,192
Mar 31 2016 01: +0,0.451,165
Apr 01 2016 01: +0,0.434,208
