Oct 21 2015 01: +0,1.185,203
Oct 22 2015 01: +0,1.155,106
Oct 23 2015 01: +0,1.126,112
Oct 24 2015 01: +0,1.113,103
Oct 25 2015 01: +0,1.119,115
Oct 26 2015 01: +0,1.117,94
Oct 27 2015 01: +0,1.125,98
Oct 28 2015 01: +0,1.128,149
Oct 29 2015 01: +0,0.723,789
Oct 30 2015 01: +0,1.034,414
Oct 31 2015 01: +0,0.575,3358
Nov 01 2015 01: +0,0.284,11892
Nov 02 2015 01: +0,0.279,4850
Nov 03 2015 01: +0,0.273,3237
Nov 04 2015 01: +0,0.254,2884
Nov 05 2015 01: +0,0.256,2345
Nov 06 2015 01: +0,0.256,2243
Nov 07 2015 01: +0,0.265,2363
Nov 08 2015 01: +0,0.258,2049
Nov 09 2015 01: +0,0.249,1446
Nov 10 2015 01: +0,0.256,1219
Nov 11 2015 01: +0,0.26,1426
Nov 12 2015 01: +0,0.258,1350
Nov 13 2015 01: +0,0.259,1455
Nov 14 2015 01: +0,0.266,1860
Nov 15 2015 01: +0,0.277,1559
Nov 16 2015 01: +0,0.273,1180
Nov 17 2015 01: +0,0.278,982
Nov 18 2015 01: +0,0.284,1041
Nov 19 2015 01: +0,0.284,1020
Nov 20 2015 01: +0,0.291,1162
Nov 21 2015 01: +0,0.294,1206
Nov 22 2015 01: +0,0.289,1225
Nov 23 2015 01: +0,0.288,990
Nov 24 2015 01: +0,0.294,1170
Nov 25 2015 01: +0,0.291,1135
Nov 26 2015 01: +0,0.28,985
Nov 27 2015 01: +0,0.28,1238
Nov 28 2015 01: +0,0.283,1221
Nov 29 2015 01: +0,0.279,1048
Nov 30 2015 01: +0,0.281,837
Dec 01 2015 01: +0,0.286,853
Dec 02 2015 01: +0,0.301,791
Dec 03 2015 01: +0,0.301,778
Dec 04 2015 01: +0,0.31,852
Dec 05 2015 01: +0,0.335,1022
Dec 06 2015 01: +0,0.359,1012
Dec 07 2015 01: +0,0.351,741
Dec 08 2015 01: +0,0.349,699
Dec 09 2015 01: +0,0.339,778
Dec 10 2015 01: +0,0.36,933
Dec 11 2015 01: +0,0.371,739
Dec 12 2015 01: +0,0.379,984
Dec 13 2015 01: +0,0.415,699
Dec 14 2015 01: +0,0.416,604
Dec 15 2015 01: +0,0.415,545
Dec 16 2015 01: +0,0.404,429
Dec 17 2015 01: +0,0.463,1660
Dec 18 2015 01: +0,0.536,907
Dec 19 2015 01: +0,0.546,673
Dec 20 2015 01: +0,0.546,382
Dec 21 2015 01: +0,0.53,443
Dec 22 2015 01: +0,0.491,405
Dec 23 2015 01: +0,0.437,535
Dec 24 2015 01: +0,0.468,416
Dec 25 2015 01: +0,0.478,638
Dec 26 2015 01: +0,0.509,439
Dec 27 2015 01: +0,0.51,441
Dec 28 2015 01: +0,0.508,518
Dec 29 2015 01: +0,0.491,464
Dec 30 2015 01: +0,0.479,449
