Oct 21 2015 01: +0,1.042,47
Oct 22 2015 01: +0,1.035,34
Oct 23 2015 01: +0,1.109,35
Oct 24 2015 01: +0,1.084,24
Oct 25 2015 01: +0,1.092,30
Oct 26 2015 01: +0,1.117,36
Oct 27 2015 01: +0,1.066,41
Oct 28 2015 01: +0,1.075,83
Oct 29 2015 01: +0,0.733,355
Oct 30 2015 01: +0,0.97,267
Oct 31 2015 01: +0,0.892,436
Nov 01 2015 01: +0,0.259,3976
Nov 02 2015 01: +0,0.237,1569
Nov 03 2015 01: +0,0.237,911
Nov 04 2015 01: +0,0.215,840
Nov 05 2015 01: +0,0.211,807
Nov 06 2015 01: +0,0.219,678
Nov 07 2015 01: +0,0.224,670
Nov 08 2015 01: +0,0.222,638
Nov 09 2015 01: +0,0.211,455
Nov 10 2015 01: +0,0.213,467
Nov 11 2015 01: +0,0.219,464
Nov 12 2015 01: +0,0.219,376
Nov 13 2015 01: +0,0.222,503
Nov 14 2015 01: +0,0.22,549
Nov 15 2015 01: +0,0.222,526
Nov 16 2015 01: +0,0.223,393
Nov 17 2015 01: +0,0.221,464
Nov 18 2015 01: +0,0.22,384
Nov 19 2015 01: +0,0.227,348
Nov 20 2015 01: +0,0.231,400
Nov 21 2015 01: +0,0.234,394
Nov 22 2015 01: +0,0.233,301
Nov 23 2015 01: +0,0.231,284
Nov 24 2015 01: +0,0.24,270
Nov 25 2015 01: +0,0.235,299
Nov 26 2015 01: +0,0.218,350
Nov 27 2015 01: +0,0.217,390
Nov 28 2015 01: +0,0.237,1154
Nov 29 2015 01: +0,0.274,541
Nov 30 2015 01: +0,0.272,386
Dec 01 2015 01: +0,0.271,312
Dec 02 2015 01: +0,0.273,263
Dec 03 2015 01: +0,0.288,285
Dec 04 2015 01: +0,0.288,304
Dec 05 2015 01: +0,0.298,302
Dec 06 2015 01: +0,0.311,377
Dec 07 2015 01: +0,0.313,270
Dec 08 2015 01: +0,0.332,203
Dec 09 2015 01: +0,0.337,288
Dec 10 2015 01: +0,0.379,247
Dec 11 2015 01: +0,0.379,235
Dec 12 2015 01: +0,0.38,290
Dec 13 2015 01: +0,0.39,268
Dec 14 2015 01: +0,0.397,180
Dec 15 2015 01: +0,0.41,187
Dec 16 2015 01: +0,0.437,269
Dec 17 2015 01: +0,0.443,171
