Oct 21 2015 01: +0,1.159,150
Oct 22 2015 01: +0,1.126,84
Oct 23 2015 01: +0,1.136,122
Oct 24 2015 01: +0,1.094,75
Oct 25 2015 01: +0,1.119,77
Oct 26 2015 01: +0,1.121,103
Oct 27 2015 01: +0,1.124,141
Oct 28 2015 01: +0,1.118,158
Oct 29 2015 01: +0,0.605,1292
Oct 30 2015 01: +0,0.934,514
Oct 31 2015 01: +0,0.632,1588
Nov 01 2015 01: +0,0.273,7366
Nov 02 2015 01: +0,0.235,5380
Nov 03 2015 01: +0,0.24,2910
Nov 04 2015 01: +0,0.218,2670
Nov 05 2015 01: +0,0.217,2274
Nov 06 2015 01: +0,0.214,2125
Nov 07 2015 01: +0,0.221,2860
Nov 08 2015 01: +0,0.222,1712
Nov 09 2015 01: +0,0.208,1789
Nov 10 2015 01: +0,0.199,1621
Nov 11 2015 01: +0,0.204,1349
Nov 12 2015 01: +0,0.209,1223
Nov 13 2015 01: +0,0.214,1132
Nov 14 2015 01: +0,0.219,1459
Nov 15 2015 01: +0,0.219,1400
Nov 16 2015 01: +0,0.214,1136
Nov 17 2015 01: +0,0.214,999
Nov 18 2015 01: +0,0.218,1076
Nov 19 2015 01: +0,0.228,942
Nov 20 2015 01: +0,0.233,855
Nov 21 2015 01: +0,0.239,973
Nov 22 2015 01: +0,0.22,1228
Nov 23 2015 01: +0,0.221,801
Nov 24 2015 01: +0,0.235,848
Nov 25 2015 01: +0,0.237,914
Nov 26 2015 01: +0,0.207,905
Nov 27 2015 01: +0,0.205,936
Nov 28 2015 01: +0,0.208,1006
Nov 29 2015 01: +0,0.207,1006
Nov 30 2015 01: +0,0.206,807
Dec 01 2015 01: +0,0.208,739
Dec 02 2015 01: +0,0.215,793
Dec 03 2015 01: +0,0.221,850
Dec 04 2015 01: +0,0.233,797
Dec 05 2015 01: +0,0.241,989
Dec 06 2015 01: +0,0.251,883
Dec 07 2015 01: +0,0.254,725
Dec 08 2015 01: +0,0.26,649
Dec 09 2015 01: +0,0.264,771
Dec 10 2015 01: +0,0.279,790
Dec 11 2015 01: +0,0.284,773
Dec 12 2015 01: +0,0.291,832
Dec 13 2015 01: +0,0.302,767
Dec 14 2015 01: +0,0.307,581
Dec 15 2015 01: +0,0.299,730
Dec 16 2015 01: +0,0.303,631
Dec 17 2015 01: +0,0.31,495
Dec 18 2015 01: +0,0.321,505
Dec 19 2015 01: +0,0.317,584
Dec 20 2015 01: +0,0.315,572
Dec 21 2015 01: +0,0.306,440
Dec 22 2015 01: +0,0.307,535
Dec 23 2015 01: +0,0.277,549
Dec 24 2015 01: +0,0.281,503
Dec 25 2015 01: +0,0.286,545
Dec 26 2015 01: +0,0.297,582
Dec 27 2015 01: +0,0.301,568
Dec 28 2015 01: +0,0.299,513
Dec 29 2015 01: +0,0.295,627
Dec 30 2015 01: +0,0.301,643
Dec 31 2015 01: +0,0.303,578
Jan 01 2016 01: +0,0.304,604
Jan 02 2016 01: +0,0.301,607
Jan 03 2016 01: +0,0.301,627
Jan 04 2016 01: +0,0.291,536
Jan 05 2016 01: +0,0.308,485
Jan 06 2016 01: +0,0.313,545
Jan 07 2016 01: +0,0.353,1455
Jan 08 2016 01: +0,0.411,343
Jan 09 2016 01: +0,0.422,446
Jan 10 2016 01: +0,0.411,414
Jan 11 2016 01: +0,0.402,274
Jan 12 2016 01: +0,0.393,226
Jan 13 2016 01: +0,0.403,272
Jan 14 2016 01: +0,0.411,611
Jan 15 2016 01: +0,0.419,464
Jan 16 2016 01: +0,0.441,515
Jan 17 2016 01: +0,0.457,437
Jan 18 2016 01: +0,0.465,382
Jan 19 2016 01: +0,0.48,298
Jan 20 2016 01: +0,0.481,320
Jan 21 2016 01: +0,0.481,400
Jan 22 2016 01: +0,0.486,300
Jan 23 2016 01: +0,0.49,382
Jan 24 2016 01: +0,0.493,389
Jan 25 2016 01: +0,0.487,332
Jan 26 2016 01: +0,0.511,288
Jan 27 2016 01: +0,0.486,294
Jan 28 2016 01: +0,0.468,280
Jan 29 2016 01: +0,0.46,325
Jan 30 2016 01: +0,0.43,498
Jan 31 2016 01: +0,0.44,382
Feb 01 2016 01: +0,0.452,314
Feb 02 2016 01: +0,0.456,304
Feb 03 2016 01: +0,0.437,331
Feb 04 2016 01: +0,0.43,389
Feb 05 2016 01: +0,0.435,314
Feb 06 2016 01: +0,0.393,519
Feb 07 2016 01: +0,0.389,422
Feb 08 2016 01: +0,0.388,360
Feb 09 2016 01: +0,0.398,351
Feb 10 2016 01: +0,0.404,539
Feb 11 2016 01: +0,0.396,395
Feb 12 2016 01: +0,0.408,380
Feb 13 2016 01: +0,0.46,350
Feb 14 2016 01: +0,0.469,362
Feb 15 2016 01: +0,0.455,273
Feb 16 2016 01: +0,0.462,246
Feb 17 2016 01: +0,0.469,222
Feb 18 2016 01: +0,0.348,772
Feb 19 2016 01: +0,0.428,404
Feb 20 2016 01: +0,0.453,405
Feb 21 2016 01: +0,0.459,332
Feb 22 2016 01: +0,0.451,298
Feb 23 2016 01: +0,0.464,305
Feb 24 2016 01: +0,0.451,353
Feb 25 2016 01: +0,0.435,349
Feb 26 2016 01: +0,0.444,312
Feb 27 2016 01: +0,0.443,379
Feb 28 2016 01: +0,0.452,284
Feb 29 2016 01: +0,0.442,265
Mar 01 2016 01: +0,0.428,266
Mar 02 2016 01: +0,0.419,351
Mar 03 2016 01: +0,0.422,400
Mar 04 2016 01: +0,0.423,370
Mar 05 2016 01: +0,0.431,411
Mar 06 2016 01: +0,0.422,389
Mar 07 2016 01: +0,0.414,405
Mar 08 2016 01: +0,0.426,326
Mar 09 2016 01: +0,0.464,1979
